FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.17,1.1,0.03,0.26,1.15,0.09,1.03,-0.02,0.25,19.08,1.64,7.5
4,-0.16,1.16,0.06,0.3,1.19,0.12,1.04,-0.01,0.24,20.31,1.33,6.85
4,-0.13,1.18,0.06,0.3,1.21,0.14,1.05,-0.01,0.24,21.48,1.25,6.37
4,-0.11,1.21,0.08,0.33,1.24,0.15,1.05,0.01,0.23,21.5,0.88,5.83
4,-0.14,1.16,0.09,0.32,1.22,0.15,1.04,0.01,0.23,20.73,0.94,5.18
4,-0.1,1.19,0.11,0.33,1.24,0.17,1.03,0.02,0.23,19.35,1.15,4.69
4,-0.13,1.13,0.09,0.3,1.19,0.15,1.03,0.03,0.22,17.96,1.48,4.53
4,-0.14,1.1,0.09,0.3,1.19,0.17,1.02,0.03,0.21,16.27,2.05,4.18
4,-0.11,1.15,0.15,0.33,1.25,0.2,1.03,0.03,0.22,14.79,2.66,3.66
4,-0.17,1.12,0.11,0.3,1.24,0.18,1.04,0.02,0.22,13.02,3.61,3.21
4,-0.17,1.13,0.11,0.27,1.26,0.18,1.03,0.03,0.22,10.85,4.47,2.79
4,-0.11,1.19,0.17,0.3,1.29,0.17,1.04,0.04,0.23,8.16,3.85,2.24
4,-0.16,1.18,0.17,0.27,1.26,0.14,1.04,0.04,0.24,5.31,3.55,1.94
4,-0.16,1.16,0.17,0.26,1.25,0.12,1.04,0.05,0.24,2.47,3.64,1.79
4,-0.13,1.19,0.2,0.29,1.28,0.17,1.03,0.05,0.25,-0.09,4.15,1.4
4,-0.14,1.18,0.17,0.24,1.25,0.12,1.02,0.04,0.27,-2.42,4.25,0.75
4,-0.13,1.15,0.17,0.26,1.22,0.11,1,0.02,0.27,-4.17,3.6,-0.03
4,-0.1,1.15,0.18,0.26,1.24,0.11,0.98,0.01,0.28,-5.54,2.16,-0.48
4,-0.11,1.13,0.17,0.23,1.19,0.08,0.97,0,0.28,-5.86,0.03,-0.9
4,-0.08,1.18,0.2,0.27,1.24,0.09,0.98,-0.02,0.28,-4.87,-1.47,-1.5
4,-0.11,1.18,0.17,0.26,1.24,0.09,1.01,-0.02,0.28,-3.6,-3.08,-1.65
4,-0.13,1.16,0.12,0.24,1.22,0.06,1.01,0,0.27,-3.1,-4.32,-1.47
4,-0.1,1.19,0.15,0.26,1.26,0.09,1.03,0.01,0.27,-3.73,-5.22,-1.31
4,-0.1,1.19,0.14,0.29,1.24,0.09,1.03,0.01,0.25,-3.99,-5.66,-1.44
4,-0.11,1.16,0.11,0.26,1.21,0.08,1.02,0.01,0.24,-4.99,-5.84,-1.69
4,-0.1,1.18,0.12,0.3,1.22,0.11,1.02,0.01,0.25,-5.66,-6.07,-2.18
4,-0.13,1.13,0.09,0.27,1.18,0.09,1.02,0.01,0.24,-6.31,-6.34,-2.76
4,-0.13,1.13,0.09,0.3,1.21,0.12,1.02,0.01,0.24,-6.92,-5.61,-3.27
4,-0.1,1.16,0.11,0.33,1.22,0.14,1.04,0.01,0.24,-7.63,-4.47,-3.56
4,-0.11,1.13,0.06,0.29,1.19,0.12,1.04,0.02,0.23,-8.3,-3.56,-3.57
4,-0.11,1.15,0.06,0.29,1.21,0.12,1.03,0.01,0.25,-9.51,-2.31,-3.81
4,-0.08,1.16,0.08,0.35,1.25,0.17,1.03,0.02,0.24,-10.05,-1.88,-4.1
4,-0.08,1.19,0.11,0.36,1.26,0.17,1.03,0.01,0.25,-10.89,-1.72,-4.01
4,-0.1,1.16,0.08,0.33,1.24,0.15,1.03,0,0.25,-10.97,-1.41,-4.08
4,-0.07,1.19,0.11,0.38,1.29,0.21,1.02,0.01,0.26,-10.34,-1.37,-3.59
4,-0.1,1.15,0.08,0.35,1.24,0.14,1.01,0,0.25,-10.13,-1.55,-3.56
4,-0.02,1.22,0.15,0.41,1.32,0.25,1.01,0,0.26,-9.63,-1.78,-3.35
4,-0.07,1.16,0.09,0.36,1.25,0.17,1,0,0.26,-9,-2.19,-3.25
4,-0.07,1.16,0.08,0.36,1.28,0.21,1.02,0,0.26,-8.14,-2.68,-2.79
4,-0.07,1.16,0.08,0.35,1.25,0.17,1.02,0,0.27,-7.08,-2.79,-2.75
4,-0.07,1.16,0.09,0.35,1.29,0.17,1.03,0,0.26,-6.44,-3.15,-2.23
4,-0.07,1.18,0.09,0.35,1.26,0.17,1.02,-0.01,0.25,-5.68,-3.13,-2.08
4,-0.1,1.13,0.06,0.32,1.22,0.14,1.03,-0.01,0.25,-5.02,-3.08,-1.71
4,-0.07,1.16,0.09,0.35,1.26,0.17,1.03,0,0.25,-3.7,-2.96,-1.64
4,-0.11,1.12,0.06,0.3,1.22,0.12,1.04,-0.01,0.24,-2.45,-2.45,-1.22
4,-0.11,1.13,0.08,0.32,1.22,0.12,1.03,0,0.24,-1.25,-2.12,-0.74
4,-0.08,1.15,0.11,0.36,1.26,0.17,1.02,0,0.23,-0.02,-1.24,-0.23
