FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,-0.69,1.19,0.06,0.54,1.21,0.25,1.02,0.04,0.21,11.33,2.67,3.64
10,-0.57,1.22,0.08,0.67,1.29,0.39,1.02,0.03,0.22,12.89,2.15,3.84
10,-0.26,1.26,0.3,0.64,1.26,0.34,1.03,0.02,0.25,15.29,-0.37,3.38
10,-0.22,1.28,0.54,0.38,1.25,0.25,1.05,0.04,0.24,17.07,-0.58,3.01
10,-0.33,1.21,0.45,0.7,1.24,0.15,1.05,0.1,0.19,16.88,1.63,3.37
10,-0.59,1.21,0.36,1.19,1.31,0.4,1.04,0.07,0.19,14.28,2.78,3.61
10,-0.16,1.09,0.45,0.87,1.29,0.57,1.03,0.03,0.2,13.95,2.89,2.44
10,-0.05,1.21,0.7,0.78,1.26,0.64,1,0.04,0.21,15.07,2.2,2.07
10,-0.33,1.18,0.68,0.75,1.18,0.57,0.99,0.08,0.23,13.98,0.6,2.63
10,-0.35,1.16,0.68,0.85,1.18,0.48,1,0.09,0.22,10.69,-1.44,3.99
10,-0.33,1.09,0.68,0.73,1.07,0.43,1.02,0.1,0.21,6.45,-3.25,4.95
10,-0.29,0.95,0.74,0.61,1.09,0.52,1.05,0.07,0.2,3.52,-3.56,5.42
10,-0.38,0.84,0.64,0.58,1.1,0.52,1.06,0.01,0.2,2.17,-2.55,3.91
10,-0.23,0.66,0.4,0.51,0.97,0.34,1.05,0,0.21,4.41,-0.18,1.98
10,-0.08,0.64,0.37,0.41,0.89,0.28,1.04,0.04,0.18,6.2,1.87,1.4
10,-0.08,0.64,0.42,0.35,0.87,0.34,1.02,0.09,0.16,2.96,5.16,1.62
10,-0.13,0.61,0.4,0.35,0.81,0.33,0.99,0.07,0.19,0.27,5.83,2.14
10,-0.13,0.64,0.36,0.32,0.79,0.31,0.98,0.04,0.19,-0.31,4.84,2.64
10,-0.19,0.72,0.39,0.3,0.81,0.34,1.01,0.03,0.19,-1.02,3.62,3.03
10,-0.26,0.94,0.7,0.38,0.91,0.57,1.05,0.03,0.19,-1.23,4.59,3.66
10,-0.41,0.97,0.83,0.44,0.89,0.67,1.08,0.04,0.17,-0.94,6.08,4.85
10,-0.39,0.94,0.89,0.41,0.92,0.71,1.09,0.02,0.19,-2.52,5.81,6.31
10,-0.38,0.95,0.94,0.52,0.92,0.77,1.09,-0.03,0.22,-2.54,5.18,6.49
10,-0.39,0.89,0.95,0.55,0.94,0.89,1.08,-0.07,0.21,-2.5,3.99,5.04
10,-0.38,0.84,0.95,0.6,0.95,0.94,1.05,-0.06,0.18,-3.06,5.01,2.95
10,-0.3,0.73,0.94,0.61,0.97,0.91,1.01,-0.04,0.17,-3.86,5.18,0.79
10,-0.32,0.64,0.86,0.55,0.91,0.89,0.96,-0.07,0.2,-5.28,4.24,0.91
10,-0.32,0.55,0.77,0.49,0.81,0.88,1.02,-0.12,0.21,-6.18,5.33,2.52
