FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.02,1.21,0.09,0.33,1.09,0.12,1.05,0.03,0.12,-1.34,2.27,1.4
4,-0.07,1.24,0.11,0.35,1.15,0.2,1.04,0.02,0.13,-1.85,3.23,0.87
4,-0.04,1.29,0.14,0.35,1.19,0.25,1.03,0.02,0.14,-2.61,3.05,0.02
4,-0.04,1.21,0.09,0.29,1.12,0.21,1.03,0.02,0.15,-3.6,2.05,-0.79
4,-0.04,1.28,0.14,0.36,1.16,0.22,1.04,0.03,0.17,-3.86,1.63,-1.46
4,-0.05,1.29,0.17,0.36,1.18,0.24,1.04,0.04,0.17,-4.1,1.46,-1.56
4,-0.14,1.28,0.15,0.36,1.18,0.21,1.03,0.04,0.18,-4.29,0.89,-1.34
4,-0.13,1.28,0.17,0.36,1.16,0.21,1.03,0.02,0.16,-4.26,0.36,-1.44
4,-0.07,1.29,0.2,0.36,1.19,0.22,1.03,0.02,0.16,-3.77,0.19,-1.49
4,-0.07,1.28,0.2,0.32,1.16,0.21,1.03,0.03,0.17,-3.17,0.23,-1.7
4,0.01,1.29,0.22,0.35,1.18,0.21,1.02,0.03,0.17,-3.03,-0.03,-2.11
4,-0.01,1.31,0.21,0.36,1.19,0.22,1.02,0.03,0.17,-3.21,-0.56,-2.44
4,-0.04,1.26,0.18,0.38,1.19,0.21,1.03,0.03,0.17,-3.63,-1.02,-2.28
4,-0.08,1.25,0.18,0.38,1.19,0.17,1.03,0.03,0.16,-3.86,-0.95,-2.31
4,-0.05,1.28,0.15,0.33,1.21,0.2,1.03,0.04,0.16,-3.46,-1.53,-2.25
4,-0.02,1.29,0.15,0.33,1.21,0.18,1.02,0.04,0.15,-3.27,-1.81,-2.58
4,-0.07,1.25,0.14,0.32,1.15,0.15,1.03,0.04,0.16,-2.67,-2.02,-2.64
4,-0.04,1.26,0.17,0.33,1.13,0.12,1.03,0.03,0.16,-2.33,-2.41,-2.84
4,-0.02,1.31,0.18,0.3,1.16,0.17,1.03,0.03,0.16,-1.61,-2.67,-2.82
4,-0.04,1.28,0.15,0.3,1.19,0.17,1.03,0.04,0.15,-1.29,-2.73,-3.01
4,-0.1,1.22,0.09,0.23,1.13,0.14,1.03,0.04,0.15,-0.88,-2.92,-2.89
4,-0.05,1.25,0.12,0.33,1.21,0.22,1.04,0.04,0.14,-0.31,-2.43,-3.18
4,-0.1,1.25,0.09,0.42,1.18,0.2,1.03,0.05,0.14,0.26,-1.83,-3.27
