FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,-0.75,1.07,0.57,0.85,0.98,0.79,1.02,0.07,0.09,-4.24,-10.98,1.4
10,-0.65,1.04,0.67,0.88,0.94,0.82,1.03,0.05,0.11,-3.53,-12.98,0.75
10,-0.39,0.97,0.67,0.92,0.88,0.86,1.04,0.05,0.08,-4.8,-14.99,0.37
10,-0.36,0.92,0.74,0.91,0.85,0.95,1.04,0.06,0.04,-6.94,-16.6,0.1
10,-0.3,0.82,0.73,0.75,0.76,0.94,1,0.05,-0.01,-9.49,-16.98,-0.67
10,-0.23,0.67,0.68,0.51,0.69,0.89,0.99,0.03,0.02,-12.8,-20.16,-1.35
10,0.02,0.48,0.68,0.39,0.58,0.86,1.07,0.04,0.01,-12.66,-21.7,-3.85
10,0.07,0.44,0.73,0.33,0.51,0.86,1.1,0.08,-0.04,-13.37,-21.28,-4.15
10,0.17,0.3,0.7,0.2,0.39,0.79,1.08,0.08,0,-10.45,-18.66,-0.53
10,0.14,0.26,0.74,0.09,0.32,0.74,1.02,0.05,-0.03,-9.66,-14.49,-0.92
10,0.12,0.15,0.71,-0.02,0.2,0.67,0.99,0.07,-0.06,-7.26,-11.56,-1.06
10,0.17,0.07,0.67,0.01,0.14,0.68,1,0.06,-0.06,-5.7,-8.66,-0.66
10,0.24,-0.04,0.58,0.02,0.07,0.62,1.03,0.04,-0.05,-3.49,-4.47,-0.86
10,0.29,-0.05,0.58,0.04,0.04,0.6,1.05,0.01,-0.03,-0.59,-1.94,-1.9
10,0.2,-0.05,0.6,-0.04,-0.04,0.52,1.07,0.03,-0.05,3.69,1.49,-2.44
10,0.2,-0.1,0.58,0.05,-0.1,0.55,1.07,0.06,-0.06,3.47,6.59,-2.51
10,0.18,-0.16,0.54,0.17,-0.13,0.62,1.08,0.07,-0.07,4.73,10.26,-1.7
10,0.21,-0.25,0.48,0.2,-0.19,0.58,1.06,0.05,-0.07,8.14,13.48,-0.5
10,0.09,-0.28,0.46,0.15,-0.26,0.49,1.05,0.05,-0.05,8.66,15.73,0.05
10,0.02,-0.35,0.42,0.17,-0.32,0.48,1.05,0.06,-0.01,9.77,16.5,0.11
10,0.01,-0.41,0.4,0.3,-0.36,0.49,1.03,0.07,0,10.13,17.02,0.74
10,-0.02,-0.41,0.45,0.47,-0.29,0.62,1.04,0.06,0.02,10.03,17.82,0.17
10,-0.16,-0.44,0.42,0.39,-0.41,0.52,1.04,0.06,0.03,10.77,17.81,-0.41
10,-0.2,-0.47,0.46,0.36,-0.47,0.45,1.05,0.08,0.01,9.55,18.02,-0.52
10,-0.19,-0.47,0.52,0.44,-0.5,0.43,1.03,0.12,0.02,7.31,18.62,0.81
10,-0.26,-0.45,0.61,0.52,-0.48,0.57,1.03,0.09,0.11,7.58,19.04,1.73
10,-0.36,-0.44,0.71,0.57,-0.51,0.61,1.05,0.07,0.11,3.76,20.08,1.18
10,-0.35,-0.41,0.8,0.55,-0.54,0.64,1.05,0.1,0.13,4.41,20.42,0.53
10,-0.33,-0.45,0.86,0.64,-0.53,0.74,1.03,0.08,0.11,1.44,20.01,1.69
10,-0.38,-0.5,0.86,0.66,-0.57,0.77,1.04,0.1,0.09,-1.16,19.59,3.05
10,-0.44,-0.39,0.92,0.63,-0.59,0.77,1.05,0.05,0.16,0.4,18.6,3.84
10,-0.41,-0.39,0.97,0.6,-0.57,0.77,1.03,0.04,0.18,3.23,16.05,3.45
10,-0.42,-0.44,0.94,0.54,-0.6,0.83,1.02,0.11,0.12,0.66,14.73,3.54
10,-0.42,-0.38,0.99,0.67,-0.54,0.91,1.01,0.07,0.1,-1.84,13.57,3.95
10,-0.38,-0.39,1.01,0.63,-0.56,0.88,1.06,0.04,0.12,0.95,14.44,3.28
10,-0.38,-0.36,1.08,0.6,-0.6,0.8,1.01,0,0.19,4.18,11.51,1.77
10,-0.33,-0.38,1.07,0.64,-0.56,0.85,0.99,0.05,0.14,7.12,10.77,1.51
10,-0.39,-0.41,0.97,0.63,-0.59,0.86,0.99,0.05,0.16,4.35,9.24,3.55
10,-0.36,-0.36,1.05,0.66,-0.59,0.86,1.02,0.04,0.15,3.73,7.76,6.15
10,-0.32,-0.33,1.11,0.66,-0.59,0.92,1.05,0,0.12,5.45,6.18,5.89
10,-0.33,-0.38,1.05,0.61,-0.6,0.91,1.02,0.06,0.12,5.25,5.92,5.52
10,-0.3,-0.38,1.02,0.58,-0.63,0.91,1.01,0.05,0.16,3.02,5.16,5.56
10,-0.3,-0.35,1.08,0.64,-0.63,0.94,1.03,0.01,0.17,3.23,3.37,4.52
10,-0.33,-0.35,1.07,0.67,-0.65,0.92,1.02,0.01,0.14,3.78,3.26,2.89
10,-0.41,-0.26,1.1,0.69,-0.59,0.95,1.01,0.04,0.15,2.02,1.24,2.98
10,-0.44,-0.29,1.07,0.69,-0.57,0.94,1.02,0.03,0.19,2.45,-0.69,2.92
10,-0.45,-0.23,1.05,0.69,-0.53,0.92,1.04,0.03,0.15,3.3,-3.48,2.68
10,-0.5,-0.19,1.05,0.73,-0.47,0.92,1.03,0.04,0.1,2.38,-4.84,2.83
10,-0.5,-0.19,0.97,0.67,-0.44,0.88,1.03,0.01,0.12,2.4,-5.11,2.73
10,-0.44,-0.13,0.97,0.67,-0.38,0.88,1.04,0,0.15,5.01,-4.48,1.74
10,-0.42,-0.13,0.97,0.69,-0.36,0.85,1.06,0.03,0.12,5.98,-4.78,1.14
10,-0.42,-0.17,0.95,0.67,-0.36,0.8,1.03,0.02,0.1,7.07,-4.78,1.17
10,-0.38,-0.14,0.98,0.67,-0.3,0.85,1.01,0,0.12,8.81,-5.66,1.33
10,-0.38,-0.19,0.94,0.61,-0.3,0.83,1.03,-0.01,0.15,10.79,-6.05,1.11
10,-0.39,-0.16,0.95,0.61,-0.35,0.79,1.03,0.01,0.12,12.14,-7.17,1.24
10,-0.35,-0.17,0.98,0.63,-0.32,0.8,1.04,0.03,0.13,13.39,-6.06,1.64
10,-0.32,-0.17,0.98,0.58,-0.33,0.79,1.05,0.02,0.12,14.89,-4.67,1.77
10,-0.29,-0.16,0.97,0.55,-0.36,0.74,1.06,0.05,0.1,14.81,-3.5,1.54
10,-0.29,-0.16,0.99,0.61,-0.36,0.74,1.04,0.06,0.12,12.37,-3.5,1.94
10,-0.28,-0.19,1.01,0.57,-0.39,0.74,1.03,0.04,0.12,11.85,-4.07,2.04
10,-0.23,-0.17,1.07,0.58,-0.38,0.77,1.03,0.06,0.09,10.53,-4.82,1.35
10,-0.23,-0.2,1.05,0.61,-0.39,0.82,1.03,0.07,0.11,7.05,-5.4,1.42
10,-0.26,-0.25,1.01,0.57,-0.44,0.79,1.03,0.04,0.1,5.59,-5.96,1.37
10,-0.19,-0.2,1.1,0.6,-0.44,0.79,1.03,0.02,0.12,5.59,-6.2,1.24
10,-0.14,-0.25,1.1,0.58,-0.47,0.79,1.03,0.02,0.1,6.39,-6.85,0.9
10,-0.11,-0.25,1.1,0.55,-0.48,0.82,1.02,0.07,0.08,4.55,-7.78,0.65
10,-0.14,-0.26,1.11,0.58,-0.47,0.89,1.02,0.06,0.1,1.42,-8.67,1.06
10,-0.17,-0.28,1.14,0.57,-0.5,0.89,1.05,0.04,0.11,1.13,-8.62,0.62
10,-0.14,-0.29,1.14,0.58,-0.5,0.91,1.05,0.04,0.1,0.85,-8.38,0.21
10,-0.1,-0.35,1.1,0.55,-0.5,0.95,1.05,0.04,0.09,0.39,-8.2,0.31
10,-0.13,-0.39,1.1,0.47,-0.51,0.94,1.05,0.03,0.09,0.44,-7.64,0.75
10,-0.1,-0.38,1.14,0.42,-0.51,0.94,1.03,0.02,0.09,0.91,-6.97,1.03
10,-0.01,-0.41,1.13,0.36,-0.51,0.98,1.04,0.05,0.11,0.59,-6.44,1.53
