FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,0.04,1.18,0.08,0.33,1.01,0.18,0.98,0.08,0.31,-29.34,-43.6,3.38
4,0.18,1.28,0.15,0.41,1.03,0.21,1,0.11,0.34,-25.33,-41.84,0.67
4,0.24,1.24,0.21,0.41,1.01,0.22,0.98,0.12,0.33,-20.45,-40.13,-2.11
4,0.17,1.22,0.22,0.44,1.07,0.27,1.07,0.11,0.35,-17.66,-35.89,-1.26
4,-0.02,1.22,0.14,0.42,1.15,0.22,1.24,0.03,0.33,-14.61,-25.53,4.28
4,-0.14,1.25,0.06,0.38,1.18,0.17,1.25,-0.03,0.4,-8.62,-14.05,11.23
4,-0.17,1.37,0.09,0.42,1.26,0.2,1.21,-0.08,0.38,-3.29,-4.85,17.39
4,-0.25,1.41,0.09,0.47,1.26,0.22,1.04,-0.13,0.4,1.42,-0.31,22.15
4,-0.19,1.46,0.11,0.45,1.21,0.3,0.91,-0.14,0.4,6.84,-0.48,24.6
4,-0.13,1.37,0.08,0.41,1.13,0.3,0.91,-0.13,0.43,8.29,0.29,21.44
4,-0.11,1.24,0.02,0.3,0.98,0.21,0.93,-0.13,0.45,9.69,1.45,14.02
4,-0.02,1.24,0.02,0.27,0.95,0.25,0.91,-0.13,0.44,11.5,2.32,5.53
4,-0.01,1.24,0,0.26,0.98,0.28,0.91,-0.12,0.46,11.37,2.08,0.62
4,-0.02,1.25,0.02,0.23,1.06,0.3,0.93,-0.14,0.48,8.73,1.87,-0.11
4,-0.07,1.22,-0.01,0.17,1.09,0.22,1.01,-0.18,0.48,7.21,1.73,-0.53
4,-0.17,1.19,-0.06,0.12,1.12,0.15,0.96,-0.16,0.51,7.07,-2.42,-2.02
4,-0.17,1.24,-0.04,0.14,1.24,0.15,0.97,-0.12,0.5,7.62,-4.98,-3.2
4,-0.17,1.26,-0.01,0.14,1.25,0.15,0.98,-0.11,0.47,7.2,-8.14,-4.69
4,-0.22,1.18,-0.03,0.12,1.21,0.11,0.99,-0.09,0.43,5.91,-10.37,-6.8
4,-0.19,1.18,0.02,0.18,1.21,0.17,0.98,-0.08,0.41,4.26,-10.6,-9.4
4,-0.17,1.16,0.03,0.17,1.16,0.17,0.97,-0.07,0.38,2.24,-9.89,-11.36
4,-0.13,1.16,0.05,0.18,1.16,0.2,0.95,-0.08,0.37,-0.71,-8.28,-11.52
4,-0.13,1.15,0.06,0.18,1.13,0.21,0.97,-0.11,0.38,-2.71,-5.73,-10.52
4,-0.22,1.12,0.03,0.14,1.1,0.18,0.96,-0.14,0.4,-3.39,-1.92,-9.05
4,-0.2,1.19,0.05,0.12,1.13,0.18,0.96,-0.15,0.4,-3.15,1.36,-8.14
4,-0.2,1.21,0.05,0.11,1.15,0.2,0.95,-0.14,0.4,-2.18,3.5,-7.79
4,-0.22,1.18,0.02,0.08,1.1,0.17,0.95,-0.15,0.42,-1.24,5.94,-8.27
4,-0.16,1.21,0.02,0.12,1.12,0.2,0.96,-0.16,0.44,1.05,8.54,-8.43
4,-0.14,1.21,0,0.15,1.1,0.17,0.96,-0.13,0.46,4.79,11.29,-9.15
4,-0.1,1.28,0.02,0.24,1.15,0.2,0.98,-0.09,0.44,8.29,13.73,-9.38
4,-0.17,1.26,-0.04,0.21,1.1,0.12,1,-0.06,0.47,9.08,16.71,-8.79
4,-0.14,1.28,-0.04,0.3,1.19,0.17,1.02,-0.01,0.47,9.56,20.83,-6.78
4,-0.16,1.28,-0.06,0.3,1.24,0.17,0.99,0.01,0.48,8.67,23.42,-7.16
4,-0.16,1.28,0.03,0.33,1.25,0.15,0.96,0.05,0.49,8.14,23.64,-10.24
4,-0.17,1.25,0.06,0.32,1.22,0.14,0.97,0.07,0.5,6.83,22.57,-12.27
4,-0.19,1.22,0.06,0.32,1.21,0.09,1.03,0.09,0.5,6.91,23.45,-12.96
4,-0.14,1.29,0.11,0.38,1.29,0.12,1.02,0.13,0.48,6.67,23,-13
4,-0.11,1.29,0.15,0.38,1.34,0.15,0.93,0.17,0.5,5.74,20.09,-12.45
4,-0.13,1.25,0.17,0.36,1.26,0.12,0.9,0.19,0.5,4.35,16.53,-12.08
4,-0.14,1.19,0.21,0.32,1.19,0.11,0.89,0.22,0.51,2.41,11.92,-12.79
4,-0.08,1.19,0.28,0.33,1.18,0.12,0.9,0.24,0.51,1.33,8.54,-13.16
4,-0.08,1.22,0.31,0.38,1.21,0.15,0.89,0.26,0.51,-1.5,5.27,-12.04
4,-0.05,1.26,0.33,0.42,1.19,0.12,0.92,0.25,0.5,-4.24,1.52,-10.16
4,-0.04,1.29,0.39,0.48,1.25,0.17,0.92,0.22,0.49,-4.97,-1.75,-8.31
4,-0.04,1.29,0.34,0.45,1.22,0.15,0.89,0.23,0.5,-5.01,-5,-6.91
4,-0.05,1.24,0.31,0.41,1.16,0.11,0.86,0.24,0.49,-5.56,-9.48,-5.46
4,-0.01,1.25,0.33,0.44,1.18,0.17,0.86,0.24,0.47,-6.83,-13.35,-4.11
4,-0.02,1.22,0.31,0.45,1.16,0.17,0.9,0.23,0.44,-8.2,-16.39,-3.14
4,-0.05,1.19,0.31,0.47,1.19,0.18,0.94,0.21,0.43,-8.64,-17.44,-2.37
4,-0.04,1.24,0.28,0.49,1.16,0.15,0.93,0.21,0.42,-8.56,-17.43,-0.78
4,-0.05,1.24,0.27,0.48,1.16,0.17,0.92,0.2,0.41,-10.37,-17.45,0.95
