FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,-0.23,1.18,0.11,0.33,1.07,0.25,1.01,0.02,0.31,-0.25,-0.7,-1.3
10,-0.2,1.21,0.14,0.36,1.12,0.28,1.01,0.01,0.31,0.22,-1.11,-1.31
10,-0.19,1.21,0.12,0.36,1.12,0.27,1.01,0.02,0.3,0.44,-0.95,-1.21
10,-0.17,1.24,0.15,0.39,1.16,0.3,1.01,0.02,0.31,0.29,-0.8,-0.74
10,-0.2,1.21,0.12,0.39,1.15,0.28,1,0.02,0.31,0.18,-0.92,-0.78
10,-0.16,1.25,0.15,0.41,1.18,0.31,1.01,0.02,0.31,0.21,-1.05,-0.69
10,-0.17,1.22,0.14,0.41,1.16,0.33,1.01,0.02,0.3,0.04,-1.13,-0.63
10,-0.17,1.22,0.14,0.41,1.15,0.31,1.01,0.02,0.31,-0.11,-1.19,-0.42
10,-0.19,1.19,0.12,0.38,1.1,0.3,1.01,0.02,0.3,-0.24,-1.37,-0.53
10,-0.2,1.19,0.12,0.38,1.1,0.3,1.02,0.02,0.29,-0.21,-1.22,-0.25
10,-0.17,1.21,0.14,0.41,1.12,0.31,1.02,0.02,0.31,-0.38,-1.31,-0.01
10,-0.14,1.25,0.18,0.42,1.16,0.34,1.01,0.02,0.3,-0.29,-1.01,0.11
10,-0.14,1.25,0.18,0.44,1.18,0.34,1.01,0.02,0.3,0.03,-0.95,0.2
10,-0.14,1.26,0.2,0.42,1.16,0.33,1.01,0.01,0.31,0.26,-0.99,0.33
10,-0.17,1.22,0.15,0.39,1.13,0.31,1.02,0.02,0.29,0.63,-0.57,0.37
10,-0.13,1.26,0.18,0.42,1.16,0.34,1.01,0.01,0.29,1.05,-0.28,0.5
10,-0.14,1.26,0.18,0.44,1.16,0.34,1.02,0.01,0.3,1.07,0.15,0.44
10,-0.17,1.22,0.15,0.39,1.13,0.28,1.02,0.01,0.3,1.33,0.31,0.39
10,-0.14,1.28,0.18,0.42,1.18,0.34,1.01,0.02,0.3,1.68,0.08,0.55
10,-0.16,1.25,0.18,0.41,1.15,0.31,1.01,0.01,0.3,2.05,-0.21,0.51
10,-0.19,1.19,0.14,0.36,1.1,0.3,1.01,0.01,0.3,2.05,-0.23,0.72
10,-0.16,1.28,0.25,0.52,1.26,0.39,1.01,0.02,0.3,2.07,-0.27,0.78
10,-0.17,1.24,0.17,0.41,1.15,0.3,1.02,0.01,0.3,1.89,-0.19,0.85
