FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.1,1.18,0.28,0.18,1.21,-0.01,1.04,0.17,0.19,-54.54,11.82,-9.02
4,-0.11,1.22,0.34,0.2,1.25,-0.01,1.05,0.19,0.18,-64.54,14.41,-10.7
4,-0.14,1.22,0.34,0.18,1.26,-0.04,1.05,0.18,0.16,-75.55,16.31,-13.5
4,-0.14,1.25,0.39,0.21,1.29,-0.03,1.05,0.15,0.17,-87.31,18.02,-17.42
4,-0.16,1.19,0.37,0.2,1.25,-0.07,1.02,0.1,0.19,-97,20.6,-22.66
4,-0.22,1.15,0.36,0.18,1.16,-0.13,1,0.1,0.23,-106.07,21.89,-26.6
4,-0.25,1.15,0.36,0.21,1.18,-0.15,0.96,0.11,0.25,-115.78,20.42,-30.03
4,-0.25,1.18,0.33,0.24,1.16,-0.16,0.94,0.12,0.26,-124.05,16.09,-32.85
4,-0.29,1.16,0.31,0.29,1.21,-0.15,0.94,0.12,0.26,-132.75,11.15,-35.63
4,-0.32,1.21,0.27,0.33,1.24,-0.13,0.99,0.12,0.22,-142.52,7.33,-39.2
4,-0.35,1.24,0.24,0.36,1.24,-0.16,1.04,0.13,0.19,-152.95,4.95,-42.1
4,-0.33,1.24,0.21,0.41,1.25,-0.19,1.15,0.08,0.11,-166.16,5.24,-44.54
4,-0.29,1.31,0.24,0.51,1.34,-0.13,1.17,0,0.09,-177.35,8.69,-46.53
4,-0.3,1.22,0.14,0.52,1.35,-0.12,1.12,-0.08,0.09,-188.24,11.83,-49.21
4,-0.3,1.21,0.11,0.51,1.31,-0.09,1.11,-0.14,0.09,-198.83,16.11,-51.44
4,-0.33,1.19,0.06,0.47,1.25,-0.07,1.07,-0.22,0.12,-207.6,19.6,-54.4
4,-0.41,1.13,-0.01,0.41,1.15,-0.07,1.04,-0.29,0.16,-214.87,23.55,-58.6
4,-0.42,1.09,-0.03,0.41,1.1,-0.04,0.98,-0.37,0.22,-220.21,24.06,-63.43
4,-0.44,1.12,-0.03,0.42,1.09,-0.03,0.98,-0.42,0.24,-221.98,21.28,-67.31
4,-0.41,1.21,0.02,0.49,1.1,-0.01,1,-0.49,0.32,-220.53,18.51,-70.61
4,-0.41,1.26,0.02,0.52,1.1,-0.04,1.05,-0.48,0.36,-217.08,16.37,-73.63
4,-0.41,1.34,0.05,0.55,1.12,-0.07,0.96,-0.45,0.38,-211.94,10.82,-76.54
4,-0.44,1.41,0.11,0.63,1.1,-0.07,0.94,-0.41,0.38,-209.1,7.38,-78.93
4,-0.45,1.43,0.12,0.64,1.07,-0.07,0.92,-0.4,0.37,-205.31,-0.52,-81.4
4,-0.48,1.4,0.2,0.76,1.1,-0.04,0.9,-0.38,0.33,-200.01,-6.39,-84.05
4,-0.47,1.4,0.14,0.73,0.98,-0.06,0.91,-0.31,0.32,-196.33,-11.01,-85.56
4,-0.44,1.38,0.12,0.75,0.97,-0.03,0.93,-0.24,0.29,-192.89,-14.21,-84.89
4,-0.42,1.35,0.09,0.72,0.97,-0.03,0.9,-0.17,0.26,-190.82,-17.42,-82.74
4,-0.38,1.35,0.06,0.69,0.92,-0.09,0.87,-0.1,0.2,-190.66,-22.2,-78.95
4,-0.32,1.32,0.12,0.75,0.98,-0.07,0.8,-0.05,0.17,-191.73,-28.44,-73.56
4,-0.28,1.22,0.12,0.75,0.98,-0.12,0.92,-0.02,0.25,-196.63,-35,-67.28
4,-0.25,1.21,0.11,0.78,1.07,-0.16,1.38,0.12,0.19,-204.99,-31.17,-58.52
4,-0.29,1.26,0.02,0.84,1.21,-0.25,1.82,0.15,-0.13,-210.79,-10.17,-48.47
4,-0.36,1.32,0.03,0.91,1.31,-0.28,1.33,-0.19,0.06,-203.73,4.37,-52.59
4,-0.45,1.24,0.03,0.98,1.35,-0.29,1.08,-0.1,0.13,-200.36,1.03,-61.71
4,-0.5,1.21,0.08,1.06,1.37,-0.25,1.22,-0.05,0.18,-203.05,1.61,-61.56
4,-0.51,1.22,0.05,1.01,1.29,-0.23,1.35,-0.04,0.07,-207.2,6.46,-58.08
4,-0.51,1.28,-0.06,0.92,1.22,-0.2,1.18,-0.06,0.1,-209.77,9.12,-57.01
4,-0.48,1.31,-0.07,0.89,1.22,-0.13,1.15,-0.05,0.12,-213.02,7.46,-57.69
4,-0.51,1.26,-0.07,0.88,1.18,-0.13,1.15,-0.06,0.03,-212.41,8.42,-59.66
4,-0.54,1.22,-0.04,0.87,1.13,-0.18,1.11,-0.01,0,-215.36,11.25,-62.4
4,-0.5,1.24,0,0.91,1.18,-0.16,1.08,0.02,-0.06,-223.89,14.92,-63.91
4,-0.48,1.16,-0.04,0.85,1.15,-0.23,1.08,0.01,-0.11,-233.5,19.65,-65.05
4,-0.45,1.1,-0.07,0.79,1.13,-0.31,1.07,-0.05,-0.15,-242.6,26.85,-68.46
4,-0.47,1.1,-0.04,0.79,1.21,-0.34,1.02,-0.11,-0.15,-250.14,30.75,-73.27
4,-0.54,1.07,-0.04,0.78,1.22,-0.4,0.98,-0.16,-0.13,-250.14,34.84,-77.47
4,-0.65,1.03,-0.04,0.85,1.26,-0.4,0.98,-0.18,-0.09,-250.14,39.37,-83.4
4,-0.75,0.98,-0.1,0.84,1.22,-0.38,0.93,-0.22,-0.1,-250.14,40.47,-88.86
4,-0.82,0.98,-0.13,0.85,1.18,-0.31,0.86,-0.29,-0.07,-250.14,38.4,-94.86
4,-0.88,1,-0.16,0.88,1.15,-0.28,0.87,-0.35,-0.07,-250.14,37.47,-101.5
4,-0.94,1.09,-0.09,0.94,1.15,-0.18,0.99,-0.45,-0.05,-250.14,39.22,-107.5
4,-1.05,1.16,-0.09,1.06,1.15,-0.16,1.31,-0.48,0.16,-250.14,35.57,-109.13
4,-1.21,1.22,-0.1,1.19,1.12,-0.19,1.62,-0.91,0.11,-250.14,45.79,-101.66
4,-1.42,1.46,0.02,1.38,1.12,-0.12,1.19,-1.07,0.24,-250.14,55.76,-92.56
4,-1.59,1.58,0.11,1.43,1.03,0.03,0.93,-0.94,0.41,-250.14,47.75,-89.13
4,-1.76,1.56,0.05,1.49,0.91,0.17,0.92,-0.85,0.42,-250.14,35.3,-85.41
4,-1.85,1.56,-0.15,1.38,0.84,0.31,0.98,-0.73,0.36,-245.32,23.69,-86.07
4,-1.85,1.49,-0.32,1.22,0.64,0.4,1.09,-0.63,0.23,-233.6,20.07,-90.13
4,-1.71,1.47,-0.34,1.19,0.51,0.43,0.95,-0.52,0.29,-223.98,12.49,-96.52
4,-1.56,1.4,-0.37,1.22,0.42,0.34,0.86,-0.46,0.31,-216.53,7.96,-102.93
4,-1.53,1.31,-0.43,1.26,0.41,0.25,0.83,-0.37,0.31,-212.38,4.21,-106.65
4,-1.49,1.31,-0.49,1.34,0.38,0.17,1,-0.22,0.14,-212.02,3.92,-106.32
4,-1.33,1.28,-0.46,1.47,0.33,0.18,0.9,-0.22,0.25,-207.69,-7.21,-104.08
4,-1.28,1.15,-0.4,1.47,0.32,0.18,0.91,-0.22,0.23,-204.02,-13.43,-100.56
4,-1.21,1.04,-0.34,1.46,0.29,0.18,0.97,-0.16,0.13,-202.73,-17.79,-95.13
4,-1.16,0.94,-0.23,1.29,0.33,0.22,0.91,-0.13,0.1,-203.15,-22.74,-84.44
4,-1.06,0.85,-0.15,1.12,0.21,0.17,1.25,-0.11,0.24,-206.61,-22.96,-73.37
4,-1.09,0.67,-0.04,1.18,0.11,0.14,1.54,0.05,0.1,-203.48,0.98,-63.34
4,-1.12,0.63,0.02,1.26,0.02,0.17,1.12,0.04,0.12,-217.56,11.62,-44.95
4,-1.05,0.57,0.06,1.34,-0.04,0.24,0.96,-0.25,0.34,-207.39,8.69,-41.04
4,-1.1,0.39,0.28,1.22,-0.2,0.28,1.09,-0.49,0.49,-184.16,-3.18,-47.1
4,-1.22,0.44,0.57,0.97,-0.39,0.27,1.18,-0.46,0.45,-157.99,2.92,-56.13
4,-1.16,0.51,0.7,0.79,-0.56,0.3,1.05,-0.05,0.37,-142.25,-6.67,-57.55
4,-1.03,0.39,0.52,0.84,-0.59,0.33,0.94,0.06,0.42,-146.02,-18.55,-52.02
