FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,0.01,1.18,0.03,0.15,1.09,0.15,1.02,0.01,0.31,-0.07,-2.52,1.37
10,0.02,1.21,0.05,0.15,1.12,0.18,1.02,0,0.32,-0.2,-1.75,1.36
10,0.02,1.21,0.05,0.17,1.16,0.2,1.01,0.01,0.31,-0.18,-1.2,1.5
10,0.07,1.24,0.05,0.17,1.13,0.2,1.01,0,0.33,-0.15,-0.56,1.4
10,0.05,1.25,0.08,0.18,1.18,0.21,1.01,0,0.32,-0.04,-0.08,1.47
10,0.02,1.22,0.05,0.15,1.15,0.18,1.01,0,0.33,0.21,0.31,1.44
10,0.05,1.26,0.06,0.18,1.18,0.22,1.01,0,0.33,0.71,0.23,1.41
10,0.07,1.28,0.06,0.2,1.19,0.24,1.01,0,0.33,1.21,0.11,1.54
10,0.08,1.29,0.08,0.23,1.18,0.25,1.01,0,0.33,1.29,0.22,1.54
10,0.07,1.28,0.08,0.23,1.16,0.25,1.01,0,0.34,1.57,0.34,1.82
10,0.09,1.31,0.08,0.26,1.15,0.22,1.01,-0.01,0.34,1.85,0.18,1.81
10,0.09,1.31,0.09,0.21,1.16,0.22,1.01,-0.01,0.32,1.89,0.24,1.7
10,0.07,1.29,0.08,0.17,1.16,0.21,1.01,-0.01,0.33,2.15,0.41,2.08
10,0.09,1.28,0.06,0.14,1.15,0.2,1.02,-0.01,0.33,3.02,1.05,2.05
10,0.09,1.32,0.12,0.2,1.21,0.21,1.02,-0.01,0.34,3.41,1.36,1.8
10,0.08,1.26,0.06,0.18,1.15,0.21,1.01,-0.01,0.34,3.59,1.23,1.92
10,0.11,1.32,0.11,0.21,1.21,0.24,1.01,-0.01,0.34,3.89,1.44,1.99
10,0.09,1.32,0.09,0.23,1.21,0.24,1,-0.01,0.34,4.24,1.4,1.92
10,0.09,1.31,0.08,0.18,1.16,0.21,1.01,0,0.34,4.51,1.44,1.79
10,0.11,1.31,0.11,0.21,1.22,0.24,1,0,0.34,4.5,1.32,1.63
10,0.08,1.26,0.08,0.2,1.22,0.24,1,0,0.33,4.35,1.37,1.67
10,0.12,1.31,0.11,0.21,1.22,0.25,1,0,0.34,4.08,1.48,1.74
10,0.09,1.31,0.11,0.21,1.24,0.27,1.01,-0.01,0.33,3.66,1.52,1.71
10,0.08,1.25,0.06,0.15,1.18,0.21,1,-0.01,0.33,3.23,1.58,1.58
10,0.12,1.31,0.11,0.18,1.21,0.24,1.01,-0.01,0.34,3.05,1.21,1.61
10,0.09,1.28,0.08,0.18,1.21,0.22,1.01,0,0.35,2.76,1.09,1.51
10,0.12,1.32,0.11,0.2,1.22,0.25,1,0,0.35,2.37,0.85,1.37
10,0.09,1.28,0.09,0.21,1.24,0.25,1,0,0.35,2.03,0.37,1
10,0.08,1.25,0.05,0.17,1.16,0.21,1,-0.01,0.34,1.85,0.2,0.79
10,0.11,1.28,0.06,0.18,1.16,0.2,0.99,0,0.35,1.69,-0.31,0.63
10,0.12,1.31,0.11,0.23,1.21,0.24,1,-0.01,0.34,1.32,-0.81,0.6
10,0.09,1.28,0.11,0.21,1.18,0.21,1,-0.01,0.33,1.04,-1.03,0.59
10,0.08,1.34,0.15,0.21,1.19,0.27,1.01,0,0.33,0.79,-0.21,0.59
10,0.05,1.35,0.18,0.23,1.21,0.25,1.01,-0.01,0.34,0.98,0.58,0.64
10,0.08,1.4,0.22,0.24,1.25,0.28,0.99,-0.01,0.35,0.52,-0.35,0.64
10,0.11,1.4,0.18,0.23,1.24,0.28,1.01,-0.02,0.35,0.74,-0.52,0.5
10,0.11,1.38,0.17,0.23,1.25,0.3,1.01,-0.02,0.35,1.91,-0.63,0.37
10,0.11,1.38,0.21,0.24,1.25,0.33,1.01,-0.02,0.33,2.15,-0.52,0.02
10,0.08,1.4,0.24,0.26,1.28,0.36,1.01,-0.02,0.34,2.22,-0.66,-0.75
10,0.02,1.32,0.21,0.21,1.24,0.31,0.99,-0.01,0.35,2.01,-1.51,-1.37
10,0.09,1.31,0.24,0.23,1.24,0.33,1,0,0.36,1.88,-2.59,-1.66
