FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.07,1.15,-0.09,0.39,1.19,0.08,0.92,0.01,0.49,-3.16,4.28,-1.39
4,0.01,1.19,-0.04,0.47,1.24,0.14,0.92,0,0.5,-2.53,4.57,-1.6
4,0.02,1.19,-0.04,0.47,1.24,0.14,0.95,0,0.52,-2.37,4.66,-1.66
4,-0.01,1.18,-0.09,0.44,1.22,0.09,0.95,-0.01,0.52,-2.08,5.17,-1.92
4,-0.05,1.19,-0.09,0.44,1.24,0.11,0.95,0,0.51,-2,5.28,-2.08
4,-0.04,1.24,-0.09,0.47,1.25,0.09,0.95,-0.01,0.51,-1.56,5.39,-2.36
4,-0.07,1.25,-0.09,0.45,1.26,0.11,0.95,-0.01,0.53,-1.31,5.66,-2.4
4,-0.05,1.25,-0.07,0.49,1.32,0.12,0.94,-0.02,0.54,-0.44,5.66,-2.42
4,-0.04,1.19,-0.12,0.44,1.28,0.12,0.94,-0.03,0.55,0.4,5.27,-2.22
4,-0.01,1.24,-0.1,0.45,1.29,0.14,0.94,-0.03,0.57,1.45,4.9,-1.92
4,-0.05,1.19,-0.13,0.44,1.28,0.14,0.92,-0.05,0.56,3.09,4.29,-1.42
4,-0.05,1.18,-0.13,0.44,1.29,0.14,0.9,-0.05,0.59,4.76,2.83,-1
4,-0.01,1.21,-0.1,0.45,1.31,0.17,0.9,-0.06,0.58,6.83,1.02,-0.5
4,-0.04,1.16,-0.12,0.44,1.25,0.17,0.91,-0.05,0.58,8.63,-0.06,0.42
4,-0.04,1.16,-0.12,0.42,1.26,0.15,0.92,-0.04,0.56,10.46,-1.34,1.39
4,0.01,1.21,-0.1,0.45,1.29,0.18,0.91,-0.04,0.55,11.62,-1.79,2.25
4,-0.01,1.16,-0.13,0.42,1.26,0.17,0.91,-0.04,0.54,12.45,-3.06,3.02
4,0.01,1.16,-0.13,0.44,1.25,0.17,0.91,-0.03,0.54,13.03,-4.73,3.67
4,0.02,1.19,-0.12,0.47,1.29,0.17,0.91,-0.02,0.52,13.14,-6.44,4.05
4,-0.01,1.13,-0.13,0.45,1.25,0.15,0.92,-0.02,0.51,13.31,-7.31,4.86
4,-0.02,1.12,-0.12,0.44,1.26,0.15,0.92,-0.02,0.51,13.01,-8.31,5.62
4,-0.01,1.16,-0.07,0.45,1.29,0.17,0.92,-0.02,0.5,12.54,-9.75,5.7
4,-0.05,1.12,-0.1,0.42,1.26,0.15,0.9,-0.03,0.48,12.15,-11.18,6.36
4,-0.07,1.1,-0.07,0.41,1.26,0.14,0.89,-0.03,0.49,12.98,-12.55,6.8
4,-0.05,1.15,-0.04,0.42,1.28,0.17,0.92,-0.01,0.49,12.56,-13.77,7.31
4,-0.1,1.12,-0.06,0.39,1.26,0.14,0.99,0.02,0.51,12.07,-14.68,8.15
4,-0.1,1.18,-0.09,0.41,1.29,0.09,1.15,0.06,0.5,10.77,-12.69,8.57
4,-0.08,1.34,-0.07,0.45,1.43,0.12,1.22,0.09,0.48,7.4,-7.34,7.73
4,-0.11,1.4,-0.12,0.44,1.49,0.11,1.12,0.08,0.45,3.9,-2.76,5.82
4,-0.11,1.37,-0.07,0.45,1.47,0.11,0.94,0.06,0.45,3.89,-2.21,3.17
4,-0.07,1.28,0.02,0.44,1.37,0.14,0.88,0.06,0.43,2.77,-3.76,1.61
