FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,0.39,0.92,0.28,0.2,0.91,0.36,0.94,-0.28,0.36,-44.64,-30.39,-32.03
10,0.35,0.94,0.22,2.42,2.89,2.48,0.94,-0.18,0.32,-44.89,-34.73,-32.31
10,0.23,0.92,0.12,3.9,3.93,3.87,0.93,-0.15,0.28,-48.82,-35.79,-31.77
10,0.11,0.88,0.03,4.09,4.73,4.89,0.89,-0.1,0.23,-53.14,-34.87,-28.37
10,0.02,0.7,-0.09,4.42,5.09,5.04,0.88,-0.18,0.2,-50.14,-34.7,-26.15
10,0.09,0.61,-0.09,0.35,0.7,0.14,0.92,-0.21,0.15,-43.74,-35.15,-25.76
10,0.02,0.51,-0.1,0.44,0.69,0.17,0.93,-0.2,0.15,-38.34,-32.94,-24.36
10,-0.11,0.44,-0.13,0.42,0.63,0.15,1.06,-0.2,0.08,-35.84,-24.82,-21.23
10,-0.19,0.41,-0.1,0.44,0.55,0.11,1.06,-0.15,0.15,-34.43,-11.97,-17.55
10,-0.32,0.41,-0.07,0.54,0.52,0.18,1.11,-0.08,0.2,-34.56,3.3,-9.66
10,-0.45,0.35,-0.04,0.69,0.55,0.22,1.1,-0.11,0.29,-32.69,8.56,-4.48
10,-0.66,0.3,0,0.69,0.42,0.18,1.16,-0.09,0.44,-30.11,6.96,-1.69
10,-0.93,0.26,0.11,0.78,0.3,0.28,1.35,0.09,0.3,-24.15,4.88,6.44
10,-0.96,0.21,0.31,0.98,0.38,0.52,1.21,-0.05,0.25,-19.09,12.47,5.46
10,-1.03,0.39,0.65,1.16,0.47,0.68,1.02,-0.07,0.44,-12.78,15.83,-4.82
10,-1.12,0.36,0.88,1.38,0.6,0.89,0.71,-0.2,0.75,-5.31,21.75,-18.66
10,-1.05,0.36,1.28,1.52,0.63,1.31,0.74,0.04,0.59,-4.34,14.96,-26.6
10,-1.02,0.45,1.75,1.86,0.81,1.87,0.71,0.09,0.29,-19.76,15.94,-25.03
10,-0.9,0.55,2.15,1.95,0.95,2.21,0.71,0.28,0.21,-20.08,14.37,-17.48
10,-0.65,0.52,2.55,1.83,0.85,2.61,1.11,0.58,0.14,-34.63,25.24,-1.89
10,-0.57,0.91,3.14,1.71,0.81,3.04,1.29,0.35,0.28,-54.93,31.53,7.41
10,-0.08,1.4,3.44,1.75,0.95,3.38,1.16,0.22,0.35,-62.1,36.97,-4.25
10,0.12,1.38,3.42,1.56,1.09,3.5,1.22,0.26,0.4,-62.46,31.96,-14.2
10,0.05,1.58,3.44,1.46,1.34,3.51,1.05,0.26,0.52,-65.95,19.61,-22.66
10,-0.01,1.83,3.22,1.19,1.69,3.54,1.12,0.3,0.48,-74.11,16.76,-22.69
10,-0.02,2.04,2.94,0.78,2.04,3.42,0.9,0.24,0.46,-79.6,8.18,-22.69
10,-0.02,2.24,2.7,0.51,2.33,3.29,0.76,0.3,0.48,-80.79,1.56,-23.12
10,-0.02,2.15,2.43,0.12,2.39,3.05,0.77,0.44,0.27,-92.8,-0.45,-19.57
10,-0.02,2.08,2.27,-0.25,2.3,2.73,0.88,0.46,0.27,-100.66,-6.46,-12.73
10,0.09,1.99,2.17,-0.53,2.24,2.51,0.84,0.17,0.29,-106.33,-15.09,-14.72
10,0.11,1.69,1.94,-0.66,2.05,2.24,0.93,0.25,0.25,-106.77,-17.15,-20.76
10,0.24,1.52,1.99,-0.62,1.98,2.02,0.91,0.19,0.26,-105.25,-25.57,-34.7
10,0.39,1.26,2.09,-0.51,1.95,1.93,1.3,0.07,0.38,-113.8,-31.52,-42.4
10,0.44,1.18,2.06,-0.47,1.92,1.72,1.48,0.13,0.26,-114.2,-21.6,-39.98
