FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,-0.1,1.26,0.06,0.36,1.09,-0.03,1.1,-0.3,0.3,-2.89,5.53,2.17
3,-0.07,1.49,0.18,0.35,1.25,-0.03,1.09,-0.26,0.3,4.34,10.06,3.52
3,-0.01,1.66,0.54,0.32,1.32,-0.03,1.06,-0.19,0.31,7.53,11.14,3.15
3,0.02,1.61,0.55,0.3,1.24,0.02,1.01,-0.2,0.31,10.24,4.89,1.89
3,0.08,1.47,0.46,0.29,1.16,0.02,1.01,-0.2,0.28,13.07,1.85,-0.02
3,0.14,1.38,0.22,0.3,1.15,0.12,1.02,-0.17,0.22,15.68,0.18,-2.65
3,0.15,1.35,0,0.33,1.12,0.14,1.02,-0.11,0.19,17.2,2,-3.74
3,0.07,1.31,-0.12,0.33,1.13,0.14,1,-0.11,0.17,15.08,4.04,-4.03
3,0.02,1.28,-0.13,0.32,1.18,0.17,0.99,-0.11,0.2,15.13,4.72,-4.81
3,0.01,1.24,-0.16,0.29,1.22,0.18,1,-0.12,0.19,14.95,4.58,-4.76
3,-0.04,1.19,-0.19,0.38,1.24,0.18,1,-0.16,0.21,16.38,4.72,-5.19
3,-0.1,1.1,-0.29,0.41,1.19,0.11,0.98,-0.15,0.21,20.02,4.15,-5.48
3,-0.07,1.09,-0.31,0.33,1.18,0.06,0.99,-0.15,0.23,22.46,3.25,-5.11
3,-0.05,1.07,-0.29,0.42,1.13,0.03,0.99,-0.16,0.22,24.6,3.02,-5.82
3,-0.07,1.03,-0.29,0.36,1.15,-0.01,1.01,-0.15,0.22,26.98,2.5,-6.69
3,-0.01,1.03,-0.26,0.45,1.19,0.03,0.97,-0.13,0.2,30.3,1.18,-8.27
3,-0.02,0.97,-0.22,0.35,1.12,-0.01,0.94,-0.14,0.24,33.16,-1.55,-8.59
3,0.04,1,-0.09,0.45,1.16,0.03,0.94,-0.15,0.22,35.94,-3.84,-8.89
3,0.04,0.94,0,0.42,1.16,0,0.97,-0.14,0.21,39.39,-5.18,-8.96
3,0.07,0.94,0.12,0.42,1.15,-0.04,0.98,-0.1,0.22,41.08,-5.56,-9.05
3,0.08,0.97,0.27,0.44,1.21,-0.03,0.95,-0.05,0.23,41.58,-6.29,-9.6
3,0.04,0.95,0.37,0.41,1.24,-0.04,0.93,-0.01,0.26,41.73,-9.34,-8.27
3,0.01,0.94,0.6,0.38,1.26,-0.06,0.97,0.03,0.33,41.24,-16.05,-5.7
3,0.04,1.04,0.89,0.47,1.44,0.02,1.14,0.09,0.39,43.82,-11.56,-5.54
3,-0.02,1.07,1.08,0.47,1.46,-0.07,1.26,0.17,0.43,44.13,-7.11,-4.78
3,-0.02,1.19,1.26,0.48,1.56,-0.07,1.22,0.18,0.5,40.02,-0.45,-3.84
3,0.02,1.4,0.45,0.61,1.69,-0.01,1.18,0.21,0.48,35.63,4.85,-1.56
3,-0.04,1.44,0.02,0.48,1.53,-0.1,1.07,0.2,0.52,31.7,5.04,0.24
3,-0.07,1.43,0.03,0.45,1.44,-0.13,0.96,0.19,0.49,19.34,-4.39,4.14
3,-0.04,1.43,-0.04,0.45,1.44,-0.12,1.01,0.13,0.48,14.98,-9.16,6.02
3,-0.05,1.41,0.03,0.44,1.43,-0.13,1.02,0.1,0.4,11.55,-11.53,8.41
3,-0.11,1.37,0.06,0.41,1.4,-0.15,1,0.07,0.38,10.15,-10.94,10.12
3,-0.13,1.35,0.11,0.39,1.4,-0.13,0.95,0.07,0.39,8.19,-11.3,10.74
3,-0.19,1.29,0.11,0.38,1.35,-0.15,0.93,0.06,0.38,5.27,-11.37,9.71
3,-0.17,1.28,0.09,0.33,1.38,-0.07,0.95,0.06,0.39,3.34,-10.61,8.13
3,-0.19,1.22,0.02,0.32,1.35,-0.16,0.98,0.07,0.42,0.44,-8.87,5.4
3,-0.1,1.26,0.03,0.29,1.38,-0.13,0.99,0.07,0.44,-2.03,-6.39,2.44
3,-0.08,1.21,-0.03,0.15,1.35,-0.2,0.97,0.08,0.48,-2.96,-3.79,0.2
3,0.08,1.26,0.05,0.3,1.4,-0.22,0.92,0.08,0.49,-4.11,-3.49,-1.82
3,0.05,1.25,0.09,0.26,1.38,-0.23,0.9,0.1,0.49,-4.81,-4.75,-2.79
3,-0.04,1.24,0.22,0.21,1.38,-0.25,0.9,0.1,0.49,-5.4,-6.72,-2.87
3,0.01,1.25,0.33,0.23,1.35,-0.22,0.92,0.1,0.48,-5.53,-7.67,-1.89
3,-0.07,1.18,0.37,0.24,1.31,-0.22,0.93,0.1,0.48,-5.85,-8.15,-0.23
3,-0.07,1.22,0.48,0.29,1.32,-0.18,0.95,0.1,0.47,-5.55,-7.79,1.39
3,-0.11,1.18,0.46,0.2,1.22,-0.23,0.97,0.1,0.46,-4.85,-6.92,2.5
3,-0.08,1.21,0.52,0.2,1.22,-0.2,0.99,0.1,0.43,-5.57,-5.79,3.73
3,-0.02,1.24,0.6,0.2,1.21,-0.2,1,0.1,0.42,-6.05,-4.34,3.98
3,-0.05,1.22,0.48,0.18,1.16,-0.22,1.01,0.12,0.43,-7.47,-3.64,3.93
3,-0.02,1.35,0.18,0.27,1.21,-0.13,1.03,0.11,0.39,-9.74,-3.79,3.79
3,-0.04,1.29,0.2,0.24,1.07,-0.16,1.09,0.1,0.35,-13.1,-3.73,4.46
3,-0.02,1.37,0.28,0.33,1.15,-0.12,1.14,0.05,0.27,-14.83,-0.63,4.97
3,0.02,1.35,0.37,0.38,1.13,-0.07,1.18,0.03,0.23,-14.09,5.57,5.54
3,-0.01,1.29,0.37,0.44,1.13,-0.04,1.17,-0.01,0.2,-12.85,14.12,7.54
3,-0.01,1.25,0.33,0.45,1.07,-0.03,1.09,-0.01,0.23,-10.62,22.27,9.57
3,0.02,1.25,0.37,0.52,1.16,0.11,1.08,0,0.23,-10.95,25.36,12.49
3,-0.01,1.16,0.24,0.45,1.12,0.05,1.13,-0.02,0.21,-14.26,28.03,14.47
3,0.01,1.22,0.3,0.51,1.13,0.02,1.14,-0.05,0.22,-17.03,33.01,15.24
3,-0.01,1.21,0.25,0.51,1.13,-0.04,1.05,-0.11,0.24,-21.05,34.7,13.86
3,0.01,1.19,0.25,0.54,1.16,-0.01,0.93,-0.16,0.3,-22.53,33.25,10.9
3,0.02,1.19,0.25,0.6,1.19,0.06,0.9,-0.2,0.31,-19.56,22.31,7.47
3,0.01,1.15,0.18,0.57,1.18,0.06,0.99,-0.16,0.31,-17.11,15.58,4.31
3,0.01,1.18,0.3,0.72,1.41,0.2,1.07,-0.14,0.26,-17.9,9.65,2.06
3,-0.04,1.15,0.31,0.38,1.37,0.15,1.07,-0.1,0.25,-18.95,7.4,0.07
3,-0.02,1.15,0.45,1,1.28,0.4,1.06,-0.09,0.25,-21.39,4.82,-1.25
3,-0.04,1.06,0.52,0.85,1.34,0.3,1.01,-0.07,0.24,-22.91,-2.21,-2.53
3,-0.04,1.01,0.61,0.91,1.29,0.12,0.97,-0.07,0.24,-25.07,-2.22,-3.98
3,-0.02,1,0.71,0.85,1.21,0.02,0.93,-0.09,0.22,-25.01,-4.56,-4.33
3,-0.04,0.94,0.76,0.7,1.13,-0.16,0.93,-0.1,0.24,-24.65,-7.24,-3.86
3,0.02,0.98,0.37,0.88,1.06,-0.04,0.94,-0.1,0.24,-24.27,-8.15,-2.88
3,-0.05,0.94,0.02,0.91,1.04,-0.06,0.94,-0.12,0.23,-23.53,-6.95,-1.28
3,-0.08,1.01,0.03,0.91,1.04,0,0.95,-0.15,0.26,-21.5,-5.53,-0.15
3,-0.13,1.04,0,0.87,1.01,-0.03,0.94,-0.17,0.29,-18.08,-4.71,0.61
3,-0.13,1.12,-0.1,0.64,1.07,-0.04,0.95,-0.18,0.32,-14.61,-5,0.64
3,-0.13,1.19,-0.1,0.6,1.07,-0.03,0.96,-0.19,0.34,-11.32,-5.27,-0.22
3,-0.11,1.28,-0.01,0.38,1.1,-0.09,0.98,-0.2,0.36,-6.56,-6.63,-1.47
3,-0.05,1.34,-0.07,0.44,1.18,-0.04,0.97,-0.18,0.36,-2.71,-9.63,-2.61
3,-0.08,1.29,-0.12,0.38,1.15,-0.09,0.98,-0.16,0.34,-0.18,-11.82,-2.98
3,-0.05,1.28,-0.09,0.35,1.22,-0.01,0.99,-0.17,0.32,1.69,-14.26,-2.93
3,-0.04,1.22,-0.1,0.36,1.18,-0.03,0.99,-0.18,0.31,3.97,-15.04,-3.4
3,-0.05,1.21,-0.1,0.38,1.19,-0.01,1,-0.17,0.32,8.31,-14.86,-3.87
3,-0.05,1.19,-0.06,0.45,1.22,0,1.02,-0.15,0.31,9.82,-14.52,-4.73
3,-0.07,1.19,-0.06,0.45,1.18,-0.04,0.99,-0.15,0.31,12.78,-13.85,-5.34
3,-0.01,1.26,-0.03,0.52,1.22,0,0.96,-0.13,0.29,14.05,-14.82,-5.17
3,-0.1,1.16,-0.06,0.48,1.15,-0.07,0.95,-0.15,0.3,14.51,-15.53,-4.54
3,-0.1,1.16,-0.03,0.51,1.18,-0.01,0.97,-0.16,0.31,17.04,-14.92,-4.12
3,-0.11,1.12,-0.06,0.47,1.13,-0.04,1,-0.15,0.31,19.47,-13.24,-3.77
3,-0.1,1.13,-0.03,0.45,1.15,-0.03,1.03,-0.14,0.31,21.44,-10.23,-3.79
3,-0.11,1.16,0.05,0.47,1.21,0,1.04,-0.12,0.32,22.94,-6.99,-3.62
3,-0.08,1.19,0.08,0.42,1.21,-0.03,1.03,-0.1,0.31,23.79,-4.34,-3.36
3,-0.04,1.24,0.2,0.48,1.29,0.03,0.99,-0.11,0.28,23.78,-2.77,-2.5
3,-0.07,1.16,0.28,0.39,1.25,-0.01,0.95,-0.12,0.27,24.66,-1.27,-0.98
3,-0.04,1.13,0.45,0.41,1.21,0.02,0.96,-0.13,0.26,25.79,0.14,0.36
3,-0.05,1.06,0.48,0.38,1.15,-0.03,1.04,-0.12,0.24,26.85,3.24,1.24
3,-0.02,1.06,0.55,0.38,1.16,-0.03,1.07,-0.08,0.19,26.66,10.69,1.71
3,-0.02,1.06,0.64,0.38,1.15,-0.03,1.04,-0.08,0.25,27.24,16.81,0.76
3,-0.04,1.1,0.71,0.38,1.18,-0.06,1.08,-0.07,0.23,30.34,21.43,-1.24
3,-0.01,1.19,0.77,0.42,1.28,-0.01,1.12,-0.05,0.22,32.89,26.52,-3.12
3,-0.04,1.24,0.8,0.38,1.25,-0.09,1.07,-0.02,0.23,33.04,31.59,-3.11
3,-0.02,1.29,0.92,0.41,1.26,-0.07,1.02,-0.02,0.26,33.94,31.6,-2.39
3,-0.04,1.24,0.94,0.36,1.25,-0.09,1.05,0,0.27,37.46,27.92,-3.07
3,-0.02,1.28,1.04,0.39,1.32,-0.06,1.11,0.04,0.28,38.6,22.2,-4.97
3,-0.02,1.29,1.1,0.33,1.31,-0.15,1.26,0.1,0.22,36.88,19.8,-7.37
3,-0.02,1.4,1.25,0.33,1.38,-0.18,1.43,0.14,0.16,35.63,18.73,-9.82
3,0.02,1.55,1.44,0.38,1.52,-0.2,1.54,0.22,0.13,31.15,18.4,-11.37
3,-0.02,1.64,1.53,0.36,1.58,-0.25,1.47,0.22,0.1,26.08,21.77,-10.82
3,-0.02,1.68,1.62,0.44,1.68,-0.19,1.26,0.18,0.11,20.47,22.13,-7.54
3,-0.1,1.43,1.44,0.39,1.5,-0.23,1.11,0.13,0.11,15.09,16.15,-2.89
3,-0.08,1.21,1.28,0.41,1.35,-0.16,1,0.09,0.14,12.61,9.67,1.11
3,-0.14,0.98,0.99,0.35,1.13,-0.18,0.91,0.05,0.13,12.66,4.42,3.82
3,-0.14,0.84,0.76,0.32,0.98,-0.12,0.84,0.03,0.15,14.05,1.63,4.6
3,-0.05,0.81,0.65,0.32,0.92,-0.07,0.77,0.04,0.15,14.35,0.31,4
3,-0.1,0.85,0.62,0.33,0.91,-0.03,0.72,0.06,0.14,14,-0.91,3.08
3,-0.01,0.82,0.61,0.36,0.87,-0.04,0.74,0.06,0.16,13.89,-1.89,1.19
3,-0.02,0.94,0.27,0.48,0.98,0.02,0.86,0.08,0.21,14.65,-1.06,-0.76
3,-0.13,0.98,0.14,0.44,1.01,-0.07,1,0.1,0.24,14.29,-0.88,-2.93
3,-0.08,1.21,0.22,0.49,1.21,-0.06,1.09,0.13,0.23,11.24,0.34,-4.38
3,-0.02,1.32,0.34,0.47,1.29,-0.13,1.11,0.13,0.22,8.38,0.77,-4.18
3,-0.07,1.4,0.48,0.42,1.32,-0.18,1.08,0.14,0.21,6.51,-2.08,-2.67
3,-0.02,1.47,0.43,0.44,1.41,-0.16,1.05,0.13,0.17,3.11,-7.31,-0.41
3,-0.07,1.34,0.05,0.38,1.35,-0.2,1.05,0.12,0.15,0.57,-11.95,2.06
3,-0.02,1.31,0.02,0.42,1.37,-0.15,1.05,0.08,0.12,0.23,-13.4,4.4
3,-0.05,1.19,0.02,0.38,1.29,-0.15,1.06,0.06,0.11,1.56,-13.03,6.59
3,-0.1,1.15,0.03,0.39,1.24,-0.12,1.02,0.04,0.13,3.19,-11.03,8.27
3,-0.13,1.13,0.06,0.41,1.21,-0.07,0.97,0.04,0.14,5.85,-9.6,9.18
3,-0.16,1.16,0.08,0.47,1.22,-0.03,0.95,0.04,0.17,8.34,-9.17,9.05
3,-0.22,1.12,0,0.47,1.13,-0.07,0.96,0.05,0.18,10.23,-8.19,8.14
3,-0.14,1.18,0.05,0.54,1.18,-0.03,0.94,0.06,0.2,12.16,-7.46,6.83
3,-0.14,1.12,-0.01,0.51,1.13,-0.06,0.95,0.07,0.21,12.48,-7.63,5.16
3,-0.05,1.16,0,0.52,1.18,-0.01,1,0.07,0.2,12.15,-7.03,3.89
3,-0.04,1.16,0.02,0.54,1.22,0,1.04,0.07,0.21,11.15,-4.84,3
3,-0.05,1.15,0,0.45,1.16,-0.04,1.06,0.06,0.25,10.42,-1.18,2.56
3,-0.01,1.28,0.14,0.49,1.28,-0.01,1.06,0.07,0.27,10.45,0.18,2.82
3,-0.08,1.25,0.08,0.38,1.26,-0.06,1.05,0.03,0.25,7.86,-0.21,3.72
3,-0.05,1.31,0.08,0.41,1.37,-0.03,1.07,0,0.2,6.15,1.53,4.96
3,-0.11,1.26,0.09,0.35,1.29,-0.06,1,-0.01,0.13,3.18,1.95,7.58
3,-0.11,1.15,0.05,0.32,1.18,-0.07,0.88,-0.05,0.14,-2.3,0.41,11.37
3,-0.07,1.07,0.11,0.38,1.16,0,0.93,-0.16,0.17,-5.18,-5.18,14.92
3,-0.11,1.03,0.06,0.35,1.13,-0.09,1.15,-0.24,0.22,-0.71,-6.94,14.67
3,-0.07,1.24,0.11,0.44,1.34,-0.07,1.34,-0.16,0.2,3.99,0.87,10.82
3,-0.11,1.34,0.2,0.42,1.43,-0.15,1.32,-0.08,0.18,4.03,10.6,6.52
3,-0.02,1.55,0.45,0.52,1.55,-0.07,1.03,-0.06,0.21,2.5,8.98,4.68
3,-0.02,1.58,0.61,0.57,1.52,0,1.03,-0.07,0.16,0.56,4.08,3.5
3,-0.02,1.46,0.65,0.51,1.35,0,1.07,-0.08,0.12,-0.79,-2.68,2.13
3,0.01,1.24,-0.16,0.42,1.19,0,1.07,-0.05,0.11,-2.36,-7.55,1.47
3,0.07,1.1,-0.03,0.33,1.21,0.11,1.05,-0.06,0.1,-4.55,-7.05,0.33
3,0.02,1.03,-0.07,0.2,1.15,0.11,1.02,-0.08,0.09,-5.52,-4.96,-0.37
3,0.05,1.09,-0.01,0.21,1.19,0.18,0.99,-0.12,0.1,-5.05,-1.62,-0.41
3,0.01,1.1,-0.01,0.2,1.22,0.17,1,-0.11,0.1,-3.21,1.66,-0.05
3,-0.08,1.07,-0.03,0.23,1.16,0.11,0.99,-0.12,0.13,-1.37,4.05,1.27
3,-0.13,1.1,0,0.29,1.18,0.06,1.01,-0.14,0.14,0.7,5.79,2.25
3,-0.17,1.12,-0.03,0.29,1.13,0,1.03,-0.17,0.14,2.14,6.4,2.66
3,-0.14,1.16,-0.15,0.29,1.16,-0.01,1.04,-0.17,0.13,5.25,7.53,1.61
3,-0.08,1.21,-0.13,0.32,1.19,0,1.03,-0.15,0.13,7.98,7.81,0.27
3,-0.04,1.19,-0.1,0.33,1.18,0,1.03,-0.14,0.13,9.22,7.68,-0.94
3,0.01,1.16,0,0.33,1.16,0.02,1,-0.12,0.14,10.33,6.02,-2.11
3,0.07,1.15,0.09,0.39,1.18,0.03,0.98,-0.15,0.15,9.51,3.82,-2.68
3,0.04,1.12,0.14,0.38,1.15,-0.01,1,-0.17,0.14,12.2,2.22,-4.11
3,0.07,1.16,0.24,0.42,1.22,-0.01,1.01,-0.12,0.14,13.75,1.07,-5.82
3,0.02,1.13,0.28,0.41,1.21,-0.01,1.02,-0.13,0.16,13.28,-0.2,-6.67
3,0.01,1.18,0.34,0.41,1.22,-0.03,1.04,-0.14,0.17,13.56,-1.6,-6.89
3,0.01,1.24,0.43,0.44,1.29,0,1.04,-0.12,0.19,13.8,-4.25,-7.19
3,-0.04,1.22,0.52,0.42,1.28,-0.06,1.06,-0.11,0.19,12.61,-8.28,-7.88
3,-0.07,1.25,0.65,0.39,1.32,-0.1,1.25,-0.05,0.17,12.27,-11.04,-8.4
3,-0.02,1.41,0.91,0.47,1.49,-0.07,1.38,0.06,0.12,7.88,-6.47,-10.51
3,-0.05,1.4,1.01,0.42,1.5,-0.1,1.3,0.06,0.18,-3.09,-2.17,-11.27
3,-0.04,1.43,1.1,0.47,1.53,-0.09,1.25,0.04,0.28,-9.21,-3.64,-11.66
3,-0.04,1.46,1.17,0.54,1.56,-0.09,1.24,0.01,0.32,-13.42,-3.11,-10.28
3,-0.08,1.32,0,0.44,1.46,-0.1,1.11,-0.02,0.36,-15.27,-5.47,-7.52
3,-0.04,1.31,-0.01,0.49,1.43,-0.03,0.99,-0.07,0.38,-14.48,-7.77,-5.59
3,-0.11,1.15,0,0.41,1.21,-0.03,0.87,-0.09,0.39,-10.81,-10,-4.56
3,-0.13,1.03,0.09,0.42,1.07,0.06,0.75,-0.06,0.36,-4.31,-11.66,-4.53
3,-0.19,0.81,0.12,0.38,0.94,0.14,0.78,-0.04,0.3,6.61,-11.99,-7.29
3,-0.13,0.82,0.17,0.44,0.98,0.12,0.83,0.09,0.34,10.34,-6.26,-9.83
3,-0.11,0.87,0.06,0.35,1.01,0,1.06,0.12,0.35,8.86,-3.11,-11.87
3,0.02,1.22,-0.04,0.33,1.29,-0.09,1.18,0.18,0.36,7.1,6.85,-12
3,0.07,1.47,0.09,0.38,1.49,-0.16,1.04,0.18,0.36,5.89,9.65,-10.2
3,0.08,1.56,0.3,0.29,1.5,-0.23,0.93,0.2,0.39,3.4,4.64,-7.91
3,0.07,1.49,0.4,0.3,1.52,-0.25,0.95,0.15,0.35,-1.4,-5.3,-4.66
3,0.05,1.31,0.36,0.17,1.41,-0.23,0.99,0.09,0.32,-1.77,-11.71,-2.95
3,-0.01,1.13,0.24,0.02,1.31,-0.23,1,0.09,0.29,-0.04,-12.85,-1.85
3,-0.02,1.12,0.3,0.11,1.24,-0.12,0.97,0.09,0.25,0.65,-12,-1.43
3,-0.05,1.04,0.31,0.15,1.12,-0.15,0.95,0.1,0.21,1.06,-9.6,-0.75
3,-0.05,1.07,0.4,0.18,1.13,-0.09,0.94,0.11,0.21,0.69,-7.76,-0.62
3,-0.05,1.12,0.49,0.33,1.13,-0.1,0.97,0.12,0.21,-0.4,-6.37,-0.96
3,-0.08,1.12,0.58,0.41,1.12,-0.15,1,0.13,0.19,-2.38,-4.77,-1.97
3,0.05,1.22,0.79,0.55,1.21,-0.09,1.01,0.13,0.2,-4.25,-3.08,-2.76
3,0.11,1.16,0.88,0.52,1.15,-0.18,1.01,0.16,0.18,-6.91,-2.37,-3.69
3,0.18,1.13,0.98,0.54,1.18,-0.18,1.01,0.15,0.18,-10.94,-2.43,-4.44
3,0.14,1.1,0.98,0.47,1.13,-0.16,1,0.15,0.19,-14.6,-2.31,-5.28
3,0.11,1.09,0.97,0.42,1.12,-0.18,0.99,0.16,0.2,-18.04,-2.27,-5.61
3,0.08,1.1,0.97,0.41,1.12,-0.15,0.96,0.16,0.18,-21.31,-3.66,-5.64
3,0.07,1.13,0.91,0.38,1.16,-0.12,0.96,0.14,0.17,-23.02,-4.94,-5.95
3,-0.01,1.13,0.8,0.32,1.12,-0.15,0.98,0.14,0.18,-24.67,-5.63,-5.38
3,-0.07,1.12,0.73,0.29,1.18,-0.12,0.99,0.12,0.18,-25.5,-6.41,-4.09
3,-0.11,1.09,0.58,0.26,1.18,-0.13,1,0.11,0.21,-25.19,-7.73,-2.72
3,-0.07,1.18,0.37,0.33,1.24,-0.1,1.01,0.11,0.23,-25.31,-9.44,-1.93
3,-0.07,1.18,0.15,0.32,1.21,-0.13,1,0.11,0.19,-23.95,-12.55,-1.01
3,-0.05,1.18,0.14,0.32,1.18,-0.15,1,0.12,0.19,-22.56,-14.41,-0.5
3,-0.04,1.16,0.15,0.36,1.13,-0.12,0.95,0.12,0.2,-22.67,-15.13,-0.09
3,0.01,1.13,0.17,0.39,1.15,-0.07,0.99,0.15,0.3,-24.82,-20.54,0.43
3,-0.01,1.22,0.15,0.41,1.25,-0.12,1.27,0.03,0.23,-26.21,-22.48,1.74
3,-0.05,1.32,0.11,0.39,1.31,-0.16,1.3,0,0.29,-21.18,-13.4,3.63
3,-0.04,1.43,0.12,0.39,1.43,-0.19,1.23,-0.02,0.35,-18.4,-11.89,6.02
3,-0.08,1.5,0.14,0.41,1.44,-0.22,1.19,0,0.36,-17.05,-9.91,6.15
3,-0.16,1.46,0.12,0.42,1.35,-0.2,1.06,0.01,0.31,-17.5,-8.34,4.79
3,-0.11,1.31,0.08,0.42,1.25,-0.06,0.87,0.02,0.27,-19.18,-9.76,2.31
3,-0.07,1.06,0.06,0.44,1.06,0,0.78,0.03,0.25,-22.37,-13.11,-0.12
3,-0.02,0.88,0.11,0.44,0.94,0.09,0.87,0.02,0.26,-25.95,-12,-1.58
3,-0.01,0.88,0.02,0.45,0.97,0.08,1.08,-0.02,0.29,-25.85,-5.74,-1.56
3,-0.02,1.06,-0.01,0.47,1.12,0,1.19,-0.07,0.34,-18.66,4.66,-0.79
3,-0.01,1.29,0.15,0.45,1.31,-0.12,1.07,-0.08,0.36,-11.82,10.63,0.9
3,-0.05,1.52,0.34,0.44,1.49,-0.16,0.98,-0.08,0.39,-9.9,8.44,4.01
3,-0.08,1.53,0.45,0.42,1.49,-0.18,1.02,-0.08,0.39,-7.34,3.23,6.07
3,-0.01,1.46,0.46,0.39,1.44,-0.1,1.06,-0.05,0.39,-4.86,0.23,5.72
3,-0.04,1.26,0.39,0.35,1.29,-0.07,1.05,-0.03,0.4,-3.47,-0.72,4.6
3,0.02,1.22,0.36,0.35,1.24,0.03,0.98,-0.04,0.4,-1.01,-0.2,3.16
3,-0.01,1.07,0.31,0.36,1.13,0.03,0.92,-0.04,0.39,1.93,-0.56,2.45
3,0.01,1.07,0.33,0.39,1.12,0.05,0.94,-0.05,0.35,3.42,-4.27,3.24
3,-0.01,1.13,0.36,0.42,1.15,0.05,1.02,-0.06,0.31,5.36,-3.02,4.74
3,-0.04,1.19,0.39,0.42,1.18,0,1.07,-0.06,0.35,7.4,1.25,6.5
3,-0.02,1.28,0.43,0.45,1.26,0,1.05,-0.06,0.41,8.73,3.27,8.08
3,-0.05,1.28,0.4,0.41,1.26,-0.06,1,-0.06,0.4,10.74,2.16,7.82
