FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
1,-0.04,-0.44,0.27,0.18,-0.39,0.25,1.02,0.02,0.11,-1.89,-5.97,-0.54
1,0.11,-0.36,0.34,0.14,-0.3,0.28,1.03,0.02,0.1,-2.11,-5.69,-0.86
1,0.21,-0.36,0.27,0.07,-0.28,0.31,1.02,0.02,0.1,-3.33,-6.19,-0.89
1,0.3,-0.35,0.31,-0.05,-0.25,0.34,1.02,0,0.12,-2.67,-5.66,-0.55
1,0.39,-0.3,0.37,-0.16,-0.19,0.39,1.03,0.01,0.09,-3.21,-6.2,-0.21
1,0.49,-0.3,0.4,-0.28,-0.14,0.4,1.03,0.02,0.08,-3.25,-5.98,0.45
1,0.61,-0.28,0.43,-0.28,-0.08,0.46,1.04,0,0.1,-2.84,-5.07,0.95
1,0.7,-0.28,0.43,-0.36,-0.04,0.52,1.04,0.01,0.07,-3.27,-5.4,0.75
1,0.84,-0.28,0.43,-0.54,0.04,0.58,1.06,0,0.05,-3.18,-4.05,0.44
1,0.94,-0.28,0.45,-0.73,0.09,0.7,1.04,0.01,0.07,-3.16,-3.44,0.38
1,1.13,-0.23,0.54,-0.91,0.2,0.79,1.05,0,0.04,-2.7,-1.8,0.75
1,1.32,-0.25,0.61,-1.12,0.24,0.88,1.06,0,0.04,-1.79,-0.23,1.58
1,1.47,-0.26,0.6,-1.31,0.24,0.91,1.07,-0.01,0.03,-0.42,1.49,1.99
1,1.59,-0.3,0.58,-1.52,0.24,0.92,1.08,0,0.02,0.45,1.98,2.38
1,1.78,-0.3,0.61,-1.67,0.2,0.88,1.09,-0.01,0.02,1.89,5.37,2.15
1,1.9,-0.3,0.62,-1.76,0.18,0.83,1.07,-0.01,0.02,2.17,4.74,1.5
1,1.89,-0.35,0.58,-1.74,0.12,0.77,1.06,0.01,0.05,1.68,3.74,1.13
1,1.8,-0.39,0.52,-1.7,0.09,0.76,1.04,0,0.07,0.91,2.89,0.73
1,1.68,-0.42,0.51,-1.56,0.08,0.76,1.04,0,0.07,0.94,1.53,0.56
1,1.61,-0.41,0.49,-1.4,0.04,0.73,1.03,0,0.09,1.73,0.5,0.31
1,1.37,-0.44,0.42,-1.3,-0.02,0.62,1.03,0,0.09,1.98,-1.81,0.35
1,1.18,-0.42,0.36,-1.12,-0.1,0.55,1.02,0,0.09,2.03,-3.03,0.69
1,0.98,-0.44,0.34,-0.94,-0.11,0.51,1.02,-0.01,0.1,2.4,-4.01,1.11
1,0.87,-0.42,0.37,-0.78,-0.14,0.49,1.03,-0.01,0.1,2.69,-3.92,1.02
1,0.72,-0.48,0.31,-0.7,-0.2,0.45,1.04,0,0.08,2.79,-4.24,0.95
