FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
0,-0.16,1.1,-0.1,0.2,1.16,-0.1,1.06,-0.04,0.09,-8.52,1.75,-0.06
0,-0.13,1.15,-0.07,0.21,1.19,-0.06,1.05,-0.04,0.09,-8.14,2.5,-0.3
0,-0.08,1.18,-0.04,0.23,1.22,-0.01,1.05,-0.03,0.09,-7.66,4.11,-0.63
0,-0.07,1.19,-0.04,0.24,1.24,-0.01,1.04,-0.03,0.11,-7.73,4.72,-1.04
0,-0.11,1.13,-0.09,0.2,1.21,-0.04,1.05,-0.05,0.12,-7.28,5.31,-1.37
0,-0.07,1.19,-0.06,0.27,1.25,-0.04,1.04,-0.05,0.13,-6.27,5.34,-2.1
0,-0.1,1.18,-0.06,0.3,1.25,-0.04,1.03,-0.04,0.13,-5.21,5.09,-2.86
0,-0.07,1.22,-0.03,0.32,1.28,-0.01,1.03,-0.03,0.13,-4.67,4.36,-2.8
0,-0.05,1.21,-0.07,0.27,1.24,-0.07,1.04,-0.03,0.13,-4.04,3.34,-2.46
0,-0.05,1.18,-0.09,0.27,1.25,-0.06,1.04,-0.02,0.12,-3.32,2.52,-1.86
0,-0.04,1.16,-0.12,0.26,1.25,-0.04,1.04,-0.01,0.11,-2.89,2.05,-1.2
0,0.05,1.12,-0.13,0.26,1.28,0.02,1.03,0,0.12,-2.37,1.59,-1.09
0,-0.01,1.13,-0.1,0.27,1.25,-0.01,1.03,-0.01,0.13,-1.17,1,-0.47
0,0.02,1.15,-0.06,0.36,1.29,0.05,1.05,-0.01,0.14,-0.07,0.55,-0.27
0,0.01,1.15,-0.07,0.26,1.25,-0.03,1.04,-0.01,0.1,-1.52,1.78,0.43
0,0.04,1.19,-0.07,0.26,1.22,-0.09,1.04,-0.01,0.12,-0.58,1.07,0.73
0,-0.05,1.16,-0.07,0.24,1.21,-0.07,1.11,0,0.05,-1.56,4.98,0.48
0,-0.07,1.18,-0.09,0.21,1.21,-0.04,1.04,-0.03,0.09,0.21,1.15,0.52
0,-0.07,1.15,-0.07,0.2,1.22,-0.06,1.05,-0.02,0.1,1.21,1.66,0.67
0,-0.08,1.16,-0.07,0.21,1.25,-0.04,1.05,-0.02,0.11,1.24,1.89,0.63
0,-0.08,1.15,-0.07,0.24,1.24,-0.04,1.04,-0.02,0.13,1.19,2.19,0.55
0,-0.08,1.16,-0.06,0.27,1.24,-0.06,1.03,-0.01,0.12,1.43,1.45,0.89
0,-0.08,1.15,-0.09,0.23,1.22,-0.04,0.98,-0.05,0.19,1.21,0.21,1
0,-0.04,1.21,-0.07,0.26,1.22,-0.06,1.05,-0.01,0.13,0.62,0.24,1.58
0,-0.05,1.18,-0.07,0.26,1.25,-0.03,1.04,-0.02,0.12,0.63,0.04,1.24
0,-0.05,1.13,-0.06,0.21,1.22,-0.07,1.06,-0.03,0.12,0.85,0.88,0.35
0,-0.08,1.16,-0.07,0.21,1.21,-0.09,1.06,-0.02,0.12,0.67,1.37,0.18
0,-0.02,1.19,-0.06,0.26,1.24,-0.06,1.05,-0.01,0.12,0.21,1.99,0.08
0,-0.07,1.16,-0.07,0.2,1.21,-0.1,1.06,-0.01,0.12,-0.06,2.98,-0.01
0,-0.04,1.13,-0.01,0.17,1.21,-0.1,1.08,-0.02,0.11,-0.36,4.93,-0.11
0,0.05,1.18,0.21,0.14,1.26,0,1.09,0,0.09,-0.98,8.05,-0.3
0,0.04,1.26,0.49,0.11,1.32,0.15,1.08,0.01,0.13,-2.96,13.91,0.39
0,0.18,1.43,0.73,0.26,1.4,0.4,1.12,0.04,0.07,0.38,21.75,1.69
0,0.3,1.55,0.76,0.21,1.4,0.4,0.96,-0.05,0.23,0.53,17.5,2.4
0,0.23,1.58,0.71,0.35,1.68,0.88,0.91,-0.09,0.33,1.86,11.5,-0.73
0,0.2,1.83,1.08,0.3,1.96,1.56,0.9,0,0.31,-4.31,-3.87,-4.84
0,0.24,1.99,1.38,0.05,2.2,1.77,1.04,0.07,0.12,-10.53,-10.75,-6.86
0,0.51,2.27,1.47,-0.2,2.42,1.74,0.99,0.05,0.2,-13.89,-15.76,-6.01
0,0.35,2.49,1.51,-0.28,2.61,1.66,1.04,0.07,0.22,-13.08,-20.2,-4.65
0,0.55,2.61,1.5,-0.11,2.81,1.56,0.98,-0.02,0.24,-12.14,-29.14,-1.92
0,0.41,2.73,1.44,-0.05,2.76,1.54,1.01,-0.03,0.16,-12.45,-31.63,-0.79
0,0.45,2.91,1.2,-0.04,2.97,1.54,0.99,-0.02,0.13,-13.04,-33.34,-0.03
0,0.33,2.89,1.04,-0.19,3.1,1.22,1.01,-0.01,0.11,-15.53,-36.53,0.54
0,0.49,3.07,1.05,-0.23,3.31,0.92,1.06,-0.02,0.08,-13.21,-34.36,-1.47
0,0.55,3.22,0.86,-0.19,3.31,0.76,1.03,0,0.06,-14.87,-37.53,-2.4
0,0.39,3.32,0.73,-0.08,3.31,0.77,1.04,-0.01,0,-12.97,-35.21,-2.74
0,0.42,3.32,0.51,0.05,3.37,0.65,1.09,0,-0.05,-11.08,-38.82,-2.51
0,0.44,3.07,0.24,0.02,3.22,0.39,1.11,0.02,-0.13,-14.95,-29.31,-1.19
0,0.45,2.98,0.22,0.01,3.23,0.36,1.12,0.09,-0.01,-23.74,-33.32,-2.15
0,0.3,2.82,0.14,-0.11,3.04,0.27,1.21,0.02,-0.1,-28.4,-24.41,-2.75
0,0.24,2.48,-0.04,-0.13,2.7,0,1.15,0,-0.04,-28.3,-11.69,-4.29
0,0.21,2.23,-0.18,0.02,2.42,-0.23,1.11,0.05,-0.08,-25.11,-11.67,-3.15
0,0.15,2.02,-0.22,0.11,1.93,-0.5,1.05,0.03,-0.01,-24.85,-6.64,-1.15
0,0.41,1.71,-0.68,0.18,1.81,-0.47,1.07,-0.03,-0.02,-24.6,-5.12,1.72
0,0.33,1.01,-1.12,0.07,1.31,-0.6,1.06,-0.02,-0.01,-23.35,-3.28,3.55
0,0.18,0.48,-1.33,0.18,1,-0.66,1.06,-0.07,-0.01,-19.53,0.54,3.23
0,0.08,0.07,-1.15,0.29,0.57,-0.92,1.03,-0.12,0.08,-16.21,-4.36,1.24
0,0.01,-0.16,-1.29,0.2,0.35,-1.26,1.05,-0.11,0.02,-12.95,3.9,-1.71
0,-0.05,-0.39,-1.21,0.17,-0.26,-1.73,0.97,-0.01,0.11,-9.88,0.58,-1.44
0,-0.38,-0.63,-1.35,0.23,-0.79,-1.97,0.95,0.08,0.17,-6.99,-1.95,1.06
0,-0.35,-0.75,-1.51,0.26,-0.79,-1.85,0.96,0.19,0.13,-2.85,-3.63,5.22
0,-0.26,-0.88,-1.55,-0.05,-0.76,-1.7,0.98,0.18,0.04,-1.41,-5.89,9.85
0,-0.23,-0.84,-1.46,-0.1,-0.66,-1.55,0.98,0.03,-0.06,-1.05,-7.79,10.33
0,-0.14,-0.7,-1.27,0.05,-0.66,-1.48,0.91,-0.1,-0.07,-0.98,9.69,5.18
0,-0.01,-0.42,-1.08,0.05,-0.5,-1.4,0.96,-0.12,-0.1,5.75,3.77,3.13
0,0.09,-0.16,-0.87,0.02,-0.16,-1.09,1.05,0,-0.02,14.18,16.5,2.58
0,0.07,0.08,-0.68,-0.01,0.18,-0.86,1.11,0.01,0.09,20.82,20.66,3.48
0,-0.17,0.26,-0.65,-0.08,0.42,-0.68,1.15,0.02,-0.01,20.22,20.05,2.57
0,-0.28,0.55,-0.65,-0.01,0.72,-0.47,1.11,0.05,-0.06,14.48,23.9,2.38
0,-0.2,0.89,-0.71,0.01,1,-0.43,1.09,0.03,0.01,11.53,23.89,0.69
0,-0.08,1.32,-0.66,0.01,1.26,-0.47,1.11,0.04,0.07,11.61,24.58,-1.04
0,0.02,1.74,-0.49,0.15,1.72,-0.44,1.08,0.05,0.05,13.53,25.82,-2.17
0,0.02,1.92,-0.35,0.29,2.15,-0.29,1.1,0.05,0.07,15.18,26.73,-2.05
0,-0.04,2.12,-0.29,0.3,2.32,-0.32,1.05,0.07,0.03,18.47,30.6,-2.67
0,-0.08,2.48,-0.19,0.35,2.66,-0.32,1.01,0.12,0.11,17.8,30.18,-1.24
0,-0.28,2.83,-0.1,0.6,3.31,0.09,0.97,0.14,0.16,6.26,33.05,2.95
0,-0.35,3.13,0.08,0.7,3.07,0.24,1.02,0.08,0.05,-5.08,26.31,4.88
0,-0.32,3.15,-0.01,0.48,2.75,-0.07,0.99,0.12,-0.01,-2.18,31.52,3.96
0,-0.47,3.63,-0.01,0.54,3.69,0.08,0.95,0.17,0.17,6.61,39.27,9.66
0,-0.93,3.99,0.06,0.63,4.15,0.22,0.92,0.02,0.35,4.95,27.5,11.21
