FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,-0.08,1.04,0.06,0.24,1.07,0.11,1.03,-0.01,0.03,1.37,-0.66,-3.41
3,-0.01,1.07,0.14,0.27,1.09,0.12,1.08,0,0.01,5.27,4.36,-4.67
3,0.07,1.13,0.2,0.3,1.12,0.12,1.14,0.04,0.01,8.69,11.5,-5.06
3,0.09,1.18,0.17,0.33,1.16,0.12,1.11,0.13,0.03,10.98,15.98,-3.38
3,0.04,1.19,0.14,0.38,1.24,0.11,1.11,0.17,0.03,9.85,17.44,0.15
3,0.01,1.29,0.18,0.45,1.37,0.15,1.12,0.12,0.07,8.55,18.13,3.29
3,-0.05,1.35,0.22,0.45,1.44,0.14,1.08,0.09,0.08,9.43,18.06,5.75
3,-0.07,1.28,0.22,0.44,1.4,0.11,1,0.07,0.09,11.27,15.56,6.58
3,-0.1,1.22,0.27,0.48,1.38,0.18,0.96,0.05,0.11,13.99,11.19,6.83
3,-0.13,1.1,0.22,0.45,1.28,0.15,1,0.04,0.11,15.88,8.52,7.34
3,-0.07,1.09,0.25,0.44,1.25,0.18,1.01,0.04,0.07,17.59,6.66,8.56
3,0.01,1.09,0.24,0.41,1.24,0.21,0.98,0.07,0.08,18.37,5.85,9.71
3,0.01,1.07,0.21,0.38,1.19,0.15,0.96,0.1,0.07,16.31,5.46,10.65
3,0.08,1.12,0.25,0.44,1.25,0.22,1.02,0.08,0.1,14.89,5.49,9.78
3,0.02,1.1,0.21,0.39,1.21,0.14,1.03,0.09,0.09,12.72,5.65,8.24
3,-0.01,1.16,0.24,0.45,1.25,0.18,0.9,0.08,0.09,9.38,-1.02,6.45
3,-0.01,1.15,0.27,0.45,1.25,0.21,0.87,0.03,0.05,7.69,-5.97,6.44
3,-0.02,1.09,0.25,0.44,1.18,0.17,1.07,-0.06,0,9.44,-2.87,6.44
3,-0.07,1,0.21,0.38,1.07,0.14,1.07,-0.05,-0.01,16.58,7.8,6.84
3,-0.01,1.03,0.25,0.41,1.1,0.24,0.95,0.01,0.03,20.65,9.82,7.5
3,-0.07,0.97,0.18,0.35,1.03,0.18,0.85,0.07,0.08,20.59,5.89,7.62
3,-0.02,1.09,0.18,0.41,1.13,0.17,0.91,0.13,0.07,16.81,-1.68,6.73
3,-0.01,1.18,0.17,0.44,1.25,0.15,1.06,0.13,0.03,14.22,-4.02,5.03
3,-0.02,1.22,0.14,0.41,1.32,0.11,1.13,0.14,0.01,11.93,-3.04,3.07
3,-0.01,1.29,0.21,0.45,1.38,0.17,1.06,0.15,0.01,8.95,-2.12,2.82
3,-0.05,1.22,0.17,0.35,1.31,0.14,0.99,0.16,0.04,5.32,-4.42,5.35
3,-0.07,1.12,0.15,0.3,1.29,0.14,0.99,0.2,0.04,-2.53,-11.33,10.85
3,-0.07,1.1,0.15,0.3,1.35,0.11,1.05,0.18,0.03,-8.4,-17.69,13.77
3,-0.08,1.12,0.17,0.29,1.4,0.08,1.12,0.18,0.07,-11.66,-22.97,14.05
3,-0.16,1.22,0.14,0.29,1.44,0.02,1.3,0.13,0.05,-13.57,-22.6,15.05
3,-0.11,1.46,0.2,0.39,1.65,0.09,1.48,-0.01,0.04,-14.56,-21.11,15.66
3,-0.16,1.59,0.17,0.32,1.65,0,1.62,-0.11,0.1,-13.53,-16.03,15.98
3,-0.11,1.81,0.22,0.33,1.77,0.02,1.47,-0.16,0.14,-9.84,-8.08,18.83
3,-0.1,1.8,0.28,0.35,1.66,0.08,1.17,-0.2,0.21,-9.1,-5.95,21.26
3,-0.04,1.59,0.27,0.32,1.4,0.12,1.03,-0.22,0.25,-11,-7.1,17.89
3,-0.04,1.26,0.22,0.17,1.09,0.15,1,-0.24,0.26,-12.82,-8.53,11.23
3,0.01,1.13,0.25,0.07,1.01,0.22,1.01,-0.26,0.22,-13.53,-7.01,3.8
3,-0.02,1.01,0.15,-0.04,0.89,0.15,1.1,-0.23,0.21,-12.87,-3.2,-4.76
3,-0.02,1.1,0.14,0.02,1.03,0.18,1.12,-0.13,0.17,-11.4,3.71,-8.96
