FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
2,-0.02,0.72,0.14,0.23,0.79,0.15,0.7,0.03,0.13,7.9,24.28,-2.04
2,-0.04,0.63,0.18,0.24,0.75,0.21,0.63,0,0.19,3.92,22.88,-1.76
2,-0.08,0.54,0.2,0.29,0.69,0.24,0.58,-0.08,0.22,3.94,20.66,-3.69
2,-0.04,0.61,0.17,0.3,0.76,0.22,0.58,-0.08,0.23,9.11,17.91,-7.19
2,-0.04,0.78,0.12,0.29,0.94,0.21,0.63,-0.01,0.2,9.11,7.4,-9.04
2,-0.07,1.04,0.11,0.26,1.19,0.21,0.82,0.05,0.19,4.81,-1.37,-8.96
2,-0.05,1.32,0.12,0.21,1.53,0.18,1.11,0.09,0.14,-2.21,-11.7,-7.28
2,-0.02,1.72,0.11,0.24,1.86,0.03,1.43,0.04,0.2,-5.33,-17.64,-6.79
2,0.08,2.02,0.02,0.32,2.15,-0.04,1.77,0.01,0.26,-5.08,-19.31,-8.2
2,0.18,2.38,-0.09,0.35,2.6,-0.1,2,0.08,0.18,-1.53,-19.76,-8.11
2,0.23,2.85,-0.13,0.39,3.22,-0.19,2,0.2,0.24,2.18,-17.15,-4.26
2,0.17,3.23,-0.18,0.38,3.62,-0.34,2,0.1,0.14,-1.91,-14.27,-0.54
2,0.08,3.29,-0.1,0.33,3.32,-0.22,2,0.17,0.22,-0.47,-24.15,-1.38
2,-0.05,2.73,-0.04,0.26,2.51,-0.09,1.94,0.18,0.17,-2.01,-29.92,-1.22
2,-0.11,2.11,0.14,0.26,1.9,0.09,1.72,0.11,0.05,-6.47,-27.51,0.26
2,-0.17,1.22,0.3,0.11,1.12,0.11,1.31,0.06,-0.02,-7.92,-15.76,2.73
2,0.01,0.47,0.43,0.05,0.63,0.21,0.89,0.06,0.01,-8.29,-1.33,3.94
2,0.33,0.12,0.4,-0.07,0.3,0.22,0.62,0.06,0.09,-11.41,8.79,6.73
2,0.27,-0.28,0.14,-0.22,0.05,0.14,0.36,-0.03,0.02,-10.98,20.01,10.31
