FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.11,1.37,0.02,0.33,1.4,-0.19,1.09,0.01,0.09,-156.11,19.41,-4.34
4,-0.07,1.37,0.06,0.41,1.41,-0.13,1.05,-0.07,0.16,-166.1,16.15,-8.75
4,-0.07,1.34,0.12,0.47,1.43,-0.03,1,-0.13,0.16,-174.36,9.75,-12.42
4,-0.08,1.21,0.09,0.42,1.26,-0.03,0.96,-0.21,0.09,-180.46,2.21,-12.58
4,-0.07,1.18,0.11,0.44,1.24,0,0.97,-0.24,0.1,-182.02,2.37,-10.63
4,-0.08,1.13,0.06,0.42,1.21,0,1,-0.24,0.09,-183,3.08,-9.96
4,-0.04,1.22,0,0.44,1.26,0.02,1.03,-0.23,0.1,-184.31,2.64,-11.65
4,-0.07,1.18,-0.07,0.41,1.21,-0.06,1.02,-0.27,0.12,-185.39,0.73,-16.05
4,-0.07,1.21,-0.06,0.52,1.22,-0.06,0.99,-0.28,0.12,-182.47,-1.79,-21.85
4,-0.08,1.21,-0.04,0.58,1.24,0,1,-0.24,0.1,-180.05,-6.27,-24.65
4,-0.13,1.21,-0.04,0.52,1.15,-0.03,1.08,-0.22,0.06,-179.73,-10.02,-23.79
4,-0.17,1.28,-0.07,0.51,1.15,-0.03,1.16,-0.21,0.02,-179.19,-9.47,-22.85
4,-0.17,1.31,-0.12,0.51,1.18,0.02,1.08,-0.2,0.02,-177.61,-8.53,-22.21
4,-0.19,1.26,-0.12,0.6,1.18,-0.01,1.08,-0.18,0,-177.31,-6.98,-22.06
4,-0.2,1.15,-0.13,0.58,1.13,0,1.08,-0.13,0.02,-178.28,-4.03,-19.2
4,-0.19,1.12,-0.12,0.64,1.19,0.05,1.03,-0.12,0.03,-182.77,-2.13,-13.58
4,-0.16,1.04,-0.13,0.57,1.09,-0.03,0.93,-0.18,0.06,-187.53,-1.05,-6.7
4,-0.11,1.01,-0.04,0.58,1.07,0,0.79,-0.24,0.07,-187.53,-3.98,-2.92
4,-0.14,0.94,0,0.58,1.01,-0.01,0.69,-0.22,0.04,-187.06,-8.5,-0.32
4,-0.11,0.91,0.06,0.6,1,0.05,0.67,-0.16,0.01,-188.29,-12.66,1.19
4,-0.08,0.92,0.06,0.61,0.97,0.03,0.73,-0.08,0,-192.19,-16.5,2.53
4,-0.19,0.95,-0.04,0.58,0.98,-0.04,1.02,-0.01,-0.05,-197.31,-16.3,2.64
4,-0.17,1.15,-0.09,0.63,1.06,-0.1,1.36,0.06,-0.12,-197.85,-10.46,-2.18
4,-0.23,1.35,-0.15,0.66,1.12,-0.15,1.48,0.16,-0.16,-203.78,-0.06,-9.77
4,-0.33,1.64,-0.15,0.75,1.24,-0.16,1.3,0.18,-0.11,-215.63,4.44,-16.66
4,-0.38,1.8,-0.09,0.85,1.31,-0.15,1.23,0.1,-0.01,-226.54,-9.08,-19.34
4,-0.53,1.81,-0.01,0.92,1.38,-0.18,1.37,-0.02,-0.13,-232.27,-10.56,-22.5
