FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
1,-0.76,0.88,0.52,1.26,0.92,0.52,1.03,0.06,0.03,1.32,-10.03,-2.85
1,-0.69,0.95,0.55,1.07,1,0.61,1.04,0.04,0.01,-0.1,-8.61,-1.9
1,-0.45,0.81,0.43,0.95,0.92,0.48,1.08,0.02,0.01,-0.34,-5.59,-1.79
1,-0.22,0.58,0.43,0.7,0.61,0.27,1.06,0.03,0.08,1.4,-3.28,-2.44
1,-0.02,0.44,0.25,0.47,0.36,0.2,1.03,0.04,0.09,0.39,-4.48,-2.5
1,0.02,0.11,0.06,0.27,0.27,0.17,1.02,0.05,0.11,-2.28,-7.18,-2.67
1,0.09,0.14,0.08,0.26,0.21,0.15,0.99,0.07,0.12,-3.36,-12.12,-2.5
1,0.01,-0.07,-0.07,0.12,0.08,0.12,1,0.05,0.09,-3.21,-14.96,-2.35
1,0.04,-0.08,0,0.05,0.08,0.15,1.05,0.1,0.13,-4.18,-13.02,-2.11
1,-0.01,-0.11,0.06,0.01,0.07,0.11,1.05,0.03,0.03,-0.87,-11.85,-2.52
1,0.01,-0.23,0.08,-0.01,-0.04,0.08,1.06,0.03,0.02,1.66,-8.32,-1.4
1,0.09,-0.22,0.15,0.07,-0.01,0.14,1.06,0.03,0.04,4.14,-2.79,0.21
1,0.04,-0.28,0.06,0.07,-0.05,0.12,1.04,0.04,0.04,5.1,-0.56,1.94
1,0.08,-0.23,0.12,0.2,-0.04,0.17,1.07,0.04,0.04,7.12,1.32,3.21
1,0.01,-0.01,0.4,0.29,0.01,0.24,1.07,0.03,0.04,9.12,2.45,2.92
1,-0.17,0.07,0.42,0.27,0.04,0.21,1.07,0.05,0.02,7.06,3.96,2.74
1,-0.29,0.04,0.27,0.55,0.11,0.36,1.07,0.05,0.02,5.02,5.64,2.73
1,-0.47,0.23,0.51,0.91,0.24,0.68,1.05,0.03,0.05,4.94,7.45,2.45
1,-0.93,0.47,0.8,1.1,0.18,0.85,1.07,0.01,0.01,7.95,8.65,1.25
1,-1.48,0.76,1.54,1.28,0.17,0.94,1.09,0.03,-0.06,7.83,12.11,-0.15
1,-1.22,0.54,1.63,1.24,0.01,0.8,1.08,0.13,-0.07,2,18.46,1.23
1,-1.1,0.32,1.56,1.31,0.02,1.05,1.01,0.17,0.1,-5.7,18.08,6.3
1,-0.91,0.15,1.63,1.75,0.02,1.31,1.1,-0.07,0.19,-4.18,13.69,4.92
1,-0.9,0.09,2.03,1.95,-0.13,1.13,1.03,-0.18,0.27,12.13,12.51,0.33
1,-0.97,-0.01,1.91,1.77,-0.25,1.25,1.01,0.01,0.13,10.35,11.6,-4.05
1,-1.1,-0.02,1.84,1.86,-0.32,1.57,0.84,0.04,0.31,7.22,3.34,-4.04
1,-1.16,0.01,2.03,1.72,-0.41,1.88,0.97,0.07,0.22,11.21,-0.77,-1.69
1,-1.12,0.08,2.19,1.65,-0.62,1.56,1.07,0.15,0.13,5.77,2.67,2.34
1,-0.76,0.01,2.02,1.66,-0.51,1.13,0.97,0.08,0.2,-0.77,-1.63,3.11
1,-0.7,0.08,1.74,1.84,-0.28,1.05,0.95,0.02,0.22,-0.41,-7.57,1.44
1,-0.99,0.38,1.63,1.93,-0.07,0.88,1.03,-0.01,0.15,1.03,-10.36,-1.65
1,-1.89,0.67,1.53,1.95,0.15,0.7,1.08,0.05,-0.02,-4.34,-6.58,-2.95
1,-1.64,0.47,1.16,2.01,0.15,0.45,1.09,0.09,-0.01,-6.55,-3.27,-2.4
1,-1.3,0.27,0.85,1.93,0.26,0.4,1.04,0.02,0.09,-4.94,-3.85,-1.2
1,-1.16,0.14,0.61,1.59,0.32,0.34,1.02,-0.04,0.13,1.37,-10.24,-0.37
1,-1.27,0.04,0.43,1.44,0.2,0.2,1.03,-0.03,0.07,6.28,-15.81,2.02
1,-1.1,0.07,0.21,1.15,0.21,0.18,0.99,0.04,0.09,6.9,-16.49,5.43
1,-1.09,-0.02,-0.18,0.85,0.12,0.14,0.99,0.02,0.08,7.2,-17.63,6.97
1,-0.88,-0.02,-0.47,0.76,0.17,0.02,1.03,-0.02,0.11,9.13,-17.67,4.83
1,-0.63,0.04,-0.57,0.52,0.15,-0.19,1.05,-0.01,0.15,12.48,-21.19,0.83
1,-0.32,0.2,-0.41,0.36,0.2,-0.19,1.06,-0.01,0.09,14.74,-24.79,-3.73
1,0.11,0.3,-0.26,0.18,0.21,-0.22,1.01,0.04,0.06,15.71,-24.31,-6.44
1,0.63,0.35,-0.19,-0.19,0.21,-0.13,1.07,0.08,-0.03,12,-16.33,-7.02
