FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,-0.14,1.1,0.03,0.23,1.19,-0.07,1.04,0.02,0.11,2.12,3.34,2.16
5,-0.1,1.13,0.05,0.26,1.25,0,1.04,0.01,0.11,2,2.92,2.63
5,-0.08,1.16,0.08,0.3,1.25,0.02,1.04,0.01,0.09,2.15,3.13,2.82
5,-0.07,1.18,0.09,0.3,1.25,0.02,1.03,0.01,0.1,2.6,3.23,3.29
5,-0.11,1.18,0.09,0.26,1.22,-0.03,1.02,0.02,0.12,2.85,3.01,3.52
5,-0.05,1.22,0.12,0.3,1.26,0.02,1.04,0,0.11,2.91,2.21,3.69
5,-0.05,1.19,0.09,0.3,1.25,0.02,1.05,0.01,0.1,3.27,2.15,3.92
5,-0.05,1.18,0.08,0.26,1.19,-0.03,1.04,0,0.11,3.36,2.37,3.87
5,-0.05,1.19,0.11,0.33,1.24,0.02,1.04,0,0.08,3.75,3.34,4.02
5,-0.08,1.16,0.09,0.36,1.22,0,1.04,0,0.08,4.24,4.15,4.11
5,-0.04,1.19,0.14,0.42,1.25,0.02,1.03,-0.01,0.1,5.43,4.56,3.99
5,-0.19,1.19,0.17,0.72,1.28,-0.04,1.03,-0.01,0.13,6.71,4.05,3.59
5,-0.66,1.25,0.17,1.07,1.31,-0.1,1.01,-0.05,0.16,8.61,2.81,2.91
5,-0.57,1.32,0.48,1.21,1.37,-0.12,1.01,-0.09,0.2,11.45,-0.59,1.82
5,-0.45,1.46,0.73,1.04,1.38,0.15,0.99,-0.08,0.22,12.34,-7.05,0.5
5,-0.29,1.58,0.73,0.78,1.52,0.45,1,-0.04,0.22,11.38,-12.53,0.47
5,0.26,1.46,0.62,0.7,1.32,0.45,1.01,-0.01,0.21,10.48,-15.79,1.66
5,0.09,1.64,0.55,1.18,1.28,0.3,1.05,-0.03,0.19,11.09,-16.56,2.73
5,-0.87,1.44,0.68,1.09,1.41,0.73,1.09,-0.04,0.08,12.36,-12.24,2.16
5,-1.16,1.84,1.41,0.67,1.53,1.47,1.12,0.04,0.05,12.15,-3.17,1.62
5,-0.68,2.05,1.82,0.75,1.56,1.85,1.04,0.01,0.22,9.54,-4.33,1.63
5,-0.22,2.09,2,1.72,1.59,1.65,0.94,-0.06,0.31,8.92,-8.9,1.6
5,-0.68,2.33,2.28,1.95,1.78,1.96,0.92,-0.05,0.33,11.78,-15.23,2.36
5,-1.24,2.36,2.4,1.56,2.3,2.39,0.94,0,0.24,12.56,-20.37,4.21
5,-1.45,2.72,2.48,1.66,2.6,2.25,0.93,-0.01,0.2,11.2,-28.05,5.95
5,-1.37,2.73,2.08,1.89,2.72,1.78,0.95,-0.06,0.13,10.49,-32.17,4.81
5,-1.18,2.42,1.56,1.64,2.7,1.48,1.01,-0.05,0.08,9.66,-41.56,2.67
5,-0.94,2.15,1.16,1.31,2.64,1.51,1.06,-0.03,-0.01,8.31,-44.58,-0.36
5,-0.79,1.81,0.82,1.26,2.52,1.35,1.19,-0.01,-0.17,6.18,-38.92,-3.21
5,-0.69,1.68,0.74,1.32,2.39,1.05,1.21,0.05,-0.28,3.24,-37.58,-5.73
5,-0.48,1.46,0.71,1.03,2.12,0.73,1.17,0.08,-0.28,-2.23,-29.44,-6
5,-0.45,1.41,0.61,0.7,1.92,0.76,1.12,0.1,-0.28,-8.53,-19.74,-4.31
5,-0.19,1.34,0.49,0.63,1.72,0.58,1.35,0.16,-0.3,-14.87,-0.69,-0.75
5,-0.1,1.18,0.31,0.41,1.53,0.39,1.13,0.09,-0.22,-16.62,-3.02,1.21
5,0.27,1,0.25,0.05,1.34,0.25,1.07,0.04,-0.17,-19.34,1.94,3.13
5,0.54,0.97,0.21,-0.17,1.26,0.18,0.99,0.07,-0.13,-19.57,3.91,3.15
5,0.57,0.88,0.05,-0.42,1.19,0.08,0.93,-0.02,-0.04,-18.87,2.25,2.4
5,0.72,0.87,-0.03,-0.59,1.13,0.03,0.91,-0.05,-0.04,-15.02,2.6,0.27
