FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
0,0.92,2.23,1.48,-0.04,2.2,1.56,0.89,0.07,0.2,1.73,-17.1,-1.15
0,0.64,2.35,1.28,-0.11,2.27,1.5,0.97,0.04,0.15,1.79,-20.78,-2.25
0,0.35,2.33,1.08,-0.13,2.45,1.34,1.01,0.01,0.12,1.76,-20.15,-4.87
0,0.09,2.33,1.04,-0.14,2.61,1.16,1,0.02,0.09,1.18,-17.69,-7.87
0,0.05,2.49,1.04,0.01,2.73,0.95,1,0.05,0.11,0.31,-20.31,-8.41
0,0.2,2.55,0.86,0.17,2.78,0.68,1.06,0.08,0.09,-0.5,-28.65,-6.76
0,-0.01,2.44,0.64,0.27,2.63,0.51,1.12,0.09,0.07,-1.38,-28.91,-5.63
0,-0.23,2.32,0.49,0.35,2.48,0.39,1.12,0.08,0.07,-2.92,-28.65,-4.88
0,-0.44,2.15,0.14,0.41,2.32,0.34,1.09,0.02,0.04,-2.19,-28.34,-4.69
0,-0.63,1.8,0.05,0.55,2.11,0.33,1.07,0.05,0.03,-4.2,-27.98,-4.27
0,-0.51,1.52,-0.01,0.55,1.86,0.2,1.08,0.03,0.02,-2.4,-20.84,-4.6
0,-0.44,1.46,-0.13,0.6,1.77,0.02,1.05,0.04,0.02,-0.53,-15.61,-4.1
0,-0.32,1.34,-0.18,0.57,1.43,-0.16,1.06,0.04,0.1,1.21,-17.63,-4.07
0,-0.45,0.92,-0.41,0.6,1.18,-0.22,1.07,0.04,0.08,-0.21,-9.22,-4.47
0,-0.48,0.64,-0.5,0.54,0.94,-0.38,1.04,0.04,0.14,-2.21,-8.17,-2.96
0,-0.41,0.47,-0.52,0.51,0.67,-0.5,1.05,0.03,0.1,-2.08,-6.16,-1.66
0,-0.32,0.26,-0.53,0.44,0.41,-0.5,1.01,0.02,0.11,-0.69,-5.79,-0.37
0,-0.32,0.14,-0.49,0.49,0.27,-0.43,1,0,0.13,2.82,-0.82,-0.05
0,-0.29,0.02,-0.47,0.49,0.11,-0.47,0.99,-0.01,0.11,5.81,3.07,-0.81
0,-0.2,-0.11,-0.44,0.45,-0.04,-0.49,0.96,0.05,0.09,6.53,4.76,-1.12
0,-0.11,-0.2,-0.46,0.44,-0.08,-0.46,0.94,0.06,0.09,5.85,4.37,0.29
0,-0.01,-0.3,-0.5,0.38,-0.14,-0.46,0.96,0.04,0.09,7.65,3.6,-0.18
0,0.04,-0.32,-0.43,0.38,-0.07,-0.37,1.01,0.04,0.07,9.03,8,-1.24
0,0.02,-0.32,-0.41,0.23,-0.1,-0.4,1.05,0.05,0.1,11.72,16.6,-2.69
