FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,-0.11,1.1,0.06,0.36,1.12,0.09,1,0.05,0.23,-6.96,1.09,-0.61
3,-0.08,1.13,0.09,0.38,1.16,0.14,1.01,0.04,0.23,-6.47,1.86,-1.09
3,-0.1,1.13,0.06,0.36,1.18,0.14,1.05,0.04,0.25,-4.54,2.4,-1.43
3,-0.1,1.16,0.08,0.38,1.21,0.14,1.01,0.06,0.23,-2.77,-0.05,-1.54
3,-0.04,1.22,0.11,0.39,1.24,0.14,1.03,0.05,0.24,-1.76,0.63,-1.15
3,-0.01,1.26,0.12,0.41,1.26,0.14,1.06,0.06,0.23,0.05,1.02,-0.98
3,-0.02,1.28,0.12,0.45,1.26,0.14,1.07,0.04,0.23,3.37,3.65,-0.69
3,-0.01,1.25,0.12,0.47,1.25,0.15,0.98,0.1,0.29,5.44,5.57,-0.48
3,-0.02,1.21,0.11,0.47,1.19,0.12,1.02,0.06,0.23,10.66,4.64,-0.69
3,-0.04,1.19,0.08,0.45,1.19,0.09,1.14,-0.03,0.18,14.16,6,-0.24
3,0.01,1.25,0.12,0.51,1.26,0.17,1.02,0.05,0.21,15.89,3.53,-0.56
3,-0.01,1.19,0.11,0.48,1.22,0.12,0.97,0.06,0.17,18.08,1.45,0.21
3,0.02,1.21,0.15,0.52,1.25,0.14,0.96,0.09,0.14,17.82,-1.54,1.06
3,-0.01,1.13,0.11,0.49,1.25,0.09,1.02,0.1,0.13,18.08,-2.63,1.47
3,-0.02,1.1,0.11,0.49,1.22,0.11,1.08,0.12,0.11,17.89,-0.07,1.98
3,-0.02,1.13,0.15,0.52,1.26,0.12,1.1,0.13,0.1,17.03,5.3,3
3,0.01,1.09,0.12,0.54,1.25,0.14,1.05,0.12,0.1,15.4,8.88,3.89
3,-0.05,1.03,0.09,0.47,1.22,0.11,1.01,0.14,0.15,15.49,10.61,4.92
3,0.01,1.09,0.14,0.51,1.25,0.14,1.03,0.12,0.13,13.72,11.14,6.27
3,-0.04,1.03,0.08,0.44,1.19,0.09,1.04,0.13,0.13,13.65,12.63,6.05
3,-0.02,1.09,0.08,0.44,1.19,0.11,1.02,0.14,0.13,13.07,13.4,5.88
3,-0.01,1.12,0.14,0.48,1.24,0.15,0.98,0.11,0.13,11.84,12.26,6.06
