FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
1,-0.68,-0.56,1.93,1.13,-0.23,1.94,0.98,-0.03,0.12,-11.21,-8.23,-0.57
1,-0.57,-0.63,1.94,1.16,-0.33,1.96,1.08,-0.12,0.38,-4.36,-4.38,0.71
1,-0.53,-0.59,2.14,1.09,-0.39,2.09,1.15,-0.13,0.28,-0.85,-5.46,-2.25
1,-0.45,-0.5,2.27,1.04,-0.39,2.31,1.13,-0.02,0.16,-6.2,-5.5,-5.47
1,-0.56,-0.42,2.22,0.95,-0.36,2.45,1.03,0.05,0.17,-12.26,-10.91,-6.41
1,-0.32,-0.22,2.31,0.97,-0.22,2.46,0.99,0.01,0.32,-11.53,-12.11,-7.63
1,-0.11,-0.1,2.17,0.69,0.01,2.45,0.96,0.06,0.2,-15.31,-17.27,-10.01
1,-0.04,-0.04,2.05,0.42,0.2,2.49,0.93,0.05,0.2,-24.13,-25.11,-8.17
1,0.09,0.05,2.02,0.33,0.23,2.46,1,-0.11,0.24,-21.6,-27.76,-5.77
1,0.17,0.05,2.02,0.23,0.2,2.24,0.97,-0.09,0.2,-13.78,-34.69,-5.12
1,0.21,0.02,2,0.05,0.29,2.09,0.99,-0.07,0.21,-11.26,-42.98,-3.51
1,0.41,0.04,1.94,-0.08,0.38,1.94,1.06,-0.07,0.22,-6.02,-42.41,-2.31
1,0.66,0.04,1.9,-0.05,0.41,1.97,1.15,-0.14,0.1,1.85,-39.79,-3.53
1,0.61,-0.14,1.69,-0.1,0.3,1.75,1.15,0.01,-0.03,2.4,-35.4,-6.87
1,0.75,-0.08,1.57,-0.07,0.27,1.68,1.07,0.03,0.05,-0.56,-35.05,-6.66
1,0.76,0.09,1.51,-0.1,0.3,1.59,1.08,0.06,0,-0.84,-35.21,-7.8
1,0.84,0.12,1.23,-0.17,0.36,1.45,1.08,0,-0.08,-4.08,-37.01,-11.09
