FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,-0.16,1.21,0.24,0.41,1.1,0.2,0.99,0.08,0.35,3.26,0.02,-0.37
3,-0.16,1.22,0.24,0.41,1.12,0.22,0.99,0.08,0.34,3.48,-0.53,-0.38
3,-0.13,1.24,0.25,0.44,1.13,0.22,0.99,0.09,0.35,3.25,-1.33,-0.4
3,-0.08,1.29,0.3,0.49,1.18,0.24,1,0.1,0.33,3.47,-1.47,0.03
3,-0.13,1.24,0.22,0.42,1.12,0.2,1,0.09,0.34,3.21,-1.22,-0.12
3,-0.13,1.24,0.24,0.45,1.15,0.21,1,0.09,0.34,3,-1.4,-0.1
3,-0.13,1.24,0.24,0.44,1.16,0.21,1,0.08,0.34,3.18,-1.76,0.17
3,-0.13,1.24,0.22,0.44,1.16,0.21,1,0.09,0.33,3.4,-2.02,0.65
3,-0.07,1.26,0.27,0.47,1.18,0.24,0.99,0.09,0.33,3.31,-1.6,0.78
3,-0.14,1.18,0.2,0.39,1.1,0.18,1,0.1,0.33,2.92,-1.27,0.53
3,-0.07,1.28,0.27,0.45,1.16,0.22,0.99,0.11,0.32,1.56,-1.28,0.6
3,-0.11,1.24,0.21,0.41,1.13,0.21,0.99,0.09,0.31,-0.53,-1.75,0.45
3,-0.08,1.26,0.24,0.44,1.18,0.24,1.01,0.09,0.32,-1.61,-1.57,-0.32
3,-0.1,1.22,0.24,0.41,1.12,0.22,0.98,0.08,0.31,-2.97,-1.11,-0.74
3,-0.11,1.21,0.24,0.42,1.13,0.24,0.99,0.07,0.33,-4.07,-1.1,-1.37
3,-0.11,1.22,0.22,0.42,1.18,0.24,1.08,0.05,0.34,-2.56,2.53,-1.65
3,-0.16,1.24,0.24,0.42,1.19,0.22,1.02,0.06,0.35,-1.95,3.35,-1.91
3,-0.13,1.28,0.27,0.45,1.22,0.25,0.96,0.06,0.35,-2.21,1.06,-1.72
3,-0.14,1.26,0.27,0.44,1.18,0.24,0.95,0.06,0.35,-2.24,-2.01,-1.43
3,-0.16,1.25,0.27,0.45,1.15,0.24,0.98,0.07,0.33,-2.44,-3.78,-1.33
3,-0.17,1.18,0.22,0.39,1.09,0.21,1.02,0.08,0.31,-2.31,-3.23,-1.76
3,-0.13,1.24,0.28,0.47,1.16,0.28,1.03,0.07,0.3,-3.03,-0.54,-2.8
3,-0.14,1.29,0.3,0.48,1.18,0.31,1.01,0.07,0.29,-4.2,1.76,-3.56
3,-0.19,1.31,0.27,0.44,1.16,0.27,0.99,0.09,0.31,-5.63,2.79,-2.72
3,-0.17,1.29,0.25,0.42,1.16,0.28,0.98,0.06,0.32,-8.66,2.28,-2.76
3,-0.16,1.24,0.25,0.39,1.1,0.24,0.96,0.04,0.33,-9.84,0.57,-3.07
3,-0.14,1.24,0.25,0.41,1.16,0.3,0.95,0.05,0.31,-10.25,-0.15,-2.85
3,-0.14,1.22,0.25,0.39,1.13,0.27,0.97,0.04,0.29,-11.16,0.26,-2.92
3,-0.16,1.19,0.25,0.41,1.12,0.27,0.99,0.04,0.32,-10.87,1.36,-3.47
3,-0.08,1.22,0.28,0.45,1.15,0.3,0.98,0.05,0.32,-11.16,2.28,-3.69
3,-0.05,1.21,0.2,0.39,1.1,0.21,0.96,0.05,0.32,-10.7,2,-2.61
3,-0.02,1.21,0.21,0.41,1.09,0.2,0.94,0.04,0.3,-11.05,-0.76,-1.27
3,-0.01,1.19,0.25,0.47,1.1,0.25,0.96,0.05,0.29,-10.35,-1.39,-1.44
3,-0.01,1.19,0.24,0.48,1.13,0.24,1.04,0.07,0.27,-7.29,-0.89,-2.39
3,0.01,1.25,0.22,0.48,1.15,0.21,1.12,0.09,0.26,-5.15,0.93,-3.72
3,0.01,1.32,0.22,0.51,1.19,0.24,1.17,0.1,0.27,-3.14,4.48,-4.06
3,-0.02,1.35,0.22,0.52,1.18,0.21,1.18,0.12,0.24,-0.35,7.23,-3.15
3,-0.04,1.38,0.24,0.51,1.19,0.22,1.14,0.12,0.26,3.33,9.65,-2.08
3,-0.01,1.41,0.3,0.54,1.22,0.28,1.09,0.11,0.26,8.01,8.15,-1.55
3,0.02,1.38,0.3,0.54,1.19,0.25,1.06,0.12,0.24,13.58,4.84,-1.88
3,-0.05,1.31,0.27,0.49,1.13,0.22,1.04,0.11,0.22,16.37,2.7,-2.34
3,-0.04,1.31,0.34,0.55,1.12,0.27,1.01,0.12,0.19,20.31,2.11,-2.5
3,-0.01,1.26,0.37,0.6,1.12,0.33,0.98,0.13,0.18,23.04,1.61,-2.47
3,-0.01,1.24,0.39,0.61,1.07,0.33,0.95,0.17,0.16,25.09,1.69,-1.82
3,-0.02,1.21,0.4,0.61,1.07,0.34,0.95,0.2,0.13,24.85,3.05,-0.17
3,-0.05,1.12,0.39,0.57,1.01,0.33,0.96,0.24,0.12,23.29,7.62,0.99
3,-0.07,1.07,0.36,0.55,1.03,0.28,1,0.28,0.15,18.18,17.21,2.85
3,-0.1,1.03,0.34,0.54,1.07,0.27,0.99,0.28,0.18,15.83,20.8,5.03
3,-0.08,1.1,0.36,0.57,1.13,0.27,0.94,0.29,0.23,12.69,21.05,9.27
3,-0.14,1.12,0.37,0.57,1.18,0.22,0.92,0.28,0.28,10.8,18.28,11.61
3,-0.14,1.15,0.34,0.55,1.22,0.21,0.93,0.3,0.32,9.02,13.63,12.77
3,-0.14,1.18,0.36,0.57,1.28,0.21,0.95,0.3,0.32,6.58,8.34,13.4
3,-0.13,1.21,0.36,0.57,1.28,0.2,0.94,0.31,0.34,4.37,3.15,13.52
3,-0.11,1.28,0.4,0.6,1.31,0.25,0.91,0.34,0.34,0.11,-2.5,12.97
3,-0.13,1.28,0.39,0.55,1.32,0.21,0.89,0.3,0.37,-3.98,-10.5,13.13
3,-0.14,1.26,0.37,0.51,1.32,0.18,0.96,0.27,0.37,-5.87,-15.61,15.75
3,-0.13,1.34,0.4,0.54,1.35,0.2,1.07,0.24,0.41,-8.24,-21.63,21.23
3,-0.17,1.49,0.39,0.51,1.37,0.2,1.05,0.1,0.54,-8.15,-30.8,20.66
3,-0.16,1.55,0.37,0.47,1.37,0.15,1.23,0.16,0.46,-11.11,-34.01,13.37
3,-0.17,1.64,0.39,0.41,1.38,0.15,1.34,0.01,0.47,-13.12,-28.13,5.46
3,-0.16,1.65,0.37,0.35,1.28,0.17,1.18,-0.03,0.46,-16,-19.15,3.76
3,-0.14,1.5,0.31,0.35,1.12,0.15,0.87,-0.15,0.53,-24.52,-14.61,10.68
3,-0.05,1.37,0.25,0.35,1.07,0.12,0.82,-0.25,0.59,-17.03,-17.09,6.82
3,-0.04,1.34,0.21,0.38,1.1,0.12,0.95,-0.22,0.56,-7.69,-20.53,-1.52
3,-0.05,1.37,0.15,0.36,1.12,0.09,1.09,-0.16,0.51,-0.31,-22.19,-8.38
3,0.01,1.55,0.15,0.39,1.19,0.18,1.11,-0.1,0.45,4.37,-21.66,-9.89
3,0.01,1.62,0.14,0.38,1.21,0.22,1,-0.06,0.39,6.53,-22.27,-7.82
3,0.01,1.52,0.09,0.27,1.16,0.18,0.91,-0.06,0.38,6.67,-26.17,-5.93
3,0.08,1.22,0.06,0.17,1.01,0.21,0.96,-0.01,0.24,15.52,-26.96,-8.87
3,-0.01,1.12,0.03,0.18,0.98,0.21,0.99,-0.02,0.21,19.37,-21.27,-9.82
3,-0.07,1.13,0.05,0.23,0.94,0.2,0.97,-0.01,0.19,21.89,-15.97,-8.77
3,-0.13,1.13,0.06,0.3,0.94,0.21,0.93,-0.03,0.2,25.09,-11.89,-5.52
3,-0.17,1.13,0.09,0.33,0.94,0.22,0.9,-0.03,0.2,27.31,-10.53,-2.71
