FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
2,0.35,0.89,0.2,0.32,0.87,0.14,1.1,0.13,0.04,1.38,6.53,13.8
2,0.39,0.54,0.25,0.24,0.42,0.12,0.78,0.09,0.19,-6.3,13.76,12.49
2,0.26,0.3,0.3,0.14,0.11,0.2,0.31,0.09,0.08,-10.05,14.8,11.03
2,0.26,0.11,0.28,-0.01,-0.07,0.17,-0.11,-0.02,0.14,-13.32,20.2,11.8
2,0.23,0.04,0.25,-0.16,-0.08,0.11,-0.21,-0.18,0.03,-15.02,26.21,9.4
2,0.15,0.12,0.22,-0.11,0.02,0.12,-0.38,-0.23,-0.05,-7.73,25.99,1.74
2,0.07,0.2,0.18,0.07,0.11,0.06,-0.41,-0.1,0.13,0.82,19.83,-5.56
2,0.02,0.24,0.17,0.15,0.12,0.03,-0.32,0.04,0.24,0.97,10.21,-5.11
2,-0.04,0.27,0.15,0.2,0.11,0,0.04,-0.04,0.17,-2.76,2.98,-4.01
2,-0.13,0.27,0.12,0.2,0.12,0.05,0.22,-0.07,0.06,-0.89,1.52,-3.98
2,-0.13,0.23,0.17,0.18,0.08,0.11,0.24,0,0.05,-0.54,4.85,-5.02
2,-0.07,0.23,0.15,0.26,0.05,0.14,0.08,0.02,0.07,-6.81,14.02,-8.31
2,-0.04,0.32,0.15,0.32,0.12,0.14,-0.01,-0.05,0.04,-4.06,18.44,-8.54
2,0.02,0.55,0.14,0.33,0.47,0.15,0.07,-0.08,0.05,-10.59,26.76,-8.53
2,0.02,0.91,0.14,0.39,0.94,0.15,0.42,-0.19,0.17,-2.87,36.2,-9.4
2,0.05,1.47,0.09,0.48,1.62,0.21,1.33,0,1.1,25.24,21.84,-12.83
2,-0.05,2.57,0.02,0.61,2.79,0.17,2,0.57,0.14,9.92,28.3,-7.05
2,-0.17,3.23,-0.15,0.87,3.1,0.17,1.87,0.11,0.96,-4.91,23.16,0.41
2,-0.08,2.91,-0.2,0.67,2.81,0.12,2,0.06,0.74,8.3,1.2,3.32
2,-0.05,3.06,-0.09,0.72,2.94,0.22,2,0.21,0.69,9.74,-7.5,2.31
2,-0.11,3.06,0.02,0.7,2.85,0.15,2,0.08,0.64,9.28,-18.47,-0.4
2,-0.11,2.91,0.14,0.79,2.7,0.21,2,0.09,0.56,17.94,-27.22,-0.79
2,-0.01,2.45,0.17,0.54,2.32,0.25,1.98,0.08,0.42,22.89,-28.8,2.37
2,0.23,1.93,0.08,0.38,1.83,0.18,1.83,0.13,0.22,19.99,-15.39,7.49
2,0.27,0.94,0.08,0.27,1.06,0.11,1.01,0.09,0.5,0.9,3.64,13.5
2,0.18,0.51,0.17,0.26,0.48,0.12,0.67,0.01,0.24,3.27,1.67,11.74
2,-0.02,0.12,0.18,0.18,-0.22,0.08,0.11,-0.09,0.26,-1.48,-1.17,9.41
2,0.11,0.15,0.21,0.01,-0.07,0.08,-0.41,-0.27,-0.08,8.24,9.24,4.73
2,0.26,0.2,0.31,0.04,0.05,0.09,-0.49,-0.16,0.1,16.15,1.51,-0.1
2,0.14,0.3,0.34,0.17,0.09,0.09,-0.47,0.05,0.2,16.2,-7.7,-1.2
2,0.02,0.32,0.31,0.36,0.11,0.08,-0.03,-0.05,0.19,11.7,-16.96,-0.78
2,-0.1,0.23,0.2,0.38,0.12,0.12,0.24,-0.07,0.09,13.49,-15.92,-1.22
2,-0.04,0.26,0.22,0.3,0.11,0.2,0.21,-0.04,0.04,15.38,-13.02,-0.81
2,-0.02,0.3,0.24,0.3,0.14,0.22,0.09,-0.06,0.03,13.74,-8.95,-1.92
2,0.02,0.35,0.22,0.29,0.18,0.21,0.02,-0.05,0.03,12.37,-9.01,-4.1
2,-0.04,0.42,0.2,0.27,0.3,0.21,0.07,-0.09,-0.03,15.15,-6.56,-7.69
2,0.04,0.61,0.24,0.33,0.55,0.25,0.18,-0.03,-0.08,9.48,-4.3,-12.63
2,-0.04,0.87,0.22,0.42,0.88,0.24,0.51,0,-0.18,8.08,8.92,-18
2,-0.17,1.35,0.18,0.36,1.49,0.22,1.58,0.14,0.77,33.13,-2.18,-16.67
2,-0.14,2.24,0.15,0.44,2.23,0.31,2,0.4,-0.09,8.75,1.08,-4.77
