FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.14,1.22,0.2,0.42,1.12,0.22,1,0.08,0.35,5.15,0.92,1.66
4,-0.11,1.24,0.21,0.44,1.13,0.24,0.99,0.08,0.36,5.38,1.07,1.69
4,-0.1,1.26,0.22,0.44,1.13,0.25,0.99,0.08,0.36,5.18,0.75,1.57
4,-0.08,1.29,0.27,0.49,1.18,0.3,1,0.08,0.36,4.99,0.88,1.69
4,-0.13,1.22,0.18,0.41,1.12,0.24,1,0.08,0.36,4.92,0.84,1.77
4,-0.1,1.26,0.24,0.45,1.18,0.28,1,0.08,0.35,4.89,0.82,1.79
4,-0.13,1.25,0.22,0.44,1.16,0.25,1,0.08,0.35,4.81,0.74,1.86
4,-0.1,1.26,0.22,0.47,1.18,0.31,0.99,0.08,0.37,4.29,0.76,1.87
4,-0.13,1.24,0.21,0.44,1.15,0.27,0.99,0.09,0.35,4.12,0.44,1.73
4,-0.11,1.24,0.21,0.44,1.15,0.27,0.99,0.09,0.37,3.9,0.06,1.37
4,-0.1,1.28,0.22,0.44,1.15,0.27,0.99,0.08,0.36,3.6,-0.36,1.31
4,-0.13,1.24,0.21,0.44,1.13,0.28,0.99,0.08,0.37,3.5,-0.37,1.4
4,-0.11,1.24,0.22,0.44,1.15,0.27,1,0.06,0.36,4.11,-0.16,1.84
4,-0.08,1.28,0.25,0.47,1.19,0.3,0.99,0.06,0.35,4.76,0.45,1.37
4,-0.1,1.25,0.22,0.41,1.13,0.22,0.99,0.08,0.36,6.11,0.54,1.71
4,-0.13,1.24,0.21,0.41,1.1,0.2,0.98,0.07,0.37,6.46,-0.01,1.77
4,-0.08,1.25,0.21,0.42,1.15,0.25,0.98,0.07,0.37,7.5,-0.41,1.95
4,-0.1,1.24,0.21,0.42,1.13,0.24,0.98,0.08,0.36,8.21,-0.73,2.07
4,-0.07,1.26,0.22,0.45,1.16,0.27,0.99,0.08,0.36,8.52,-1.05,2.34
4,-0.07,1.28,0.22,0.47,1.18,0.25,0.99,0.08,0.37,8.8,-1.4,2.48
4,-0.11,1.24,0.18,0.42,1.15,0.21,0.99,0.07,0.36,9.39,-1.51,2.56
4,-0.07,1.26,0.22,0.47,1.18,0.25,0.99,0.08,0.35,9.92,-1.88,2.69
4,-0.04,1.29,0.25,0.48,1.19,0.28,1,0.07,0.36,10.16,-1.79,2.95
