FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
1,-0.16,1.22,0.14,0.42,1.12,0.21,1.01,0.07,0.29,-1.3,1.66,0.59
1,-0.16,1.22,0.14,0.42,1.1,0.21,1.01,0.06,0.29,-1.37,1.44,0.68
1,-0.11,1.25,0.15,0.44,1.1,0.21,1.02,0.06,0.28,-1.02,1.35,0.66
1,-0.1,1.29,0.18,0.48,1.16,0.27,1.02,0.07,0.29,-1,1.17,0.67
1,-0.14,1.24,0.15,0.44,1.12,0.21,1.01,0.06,0.3,-1.11,1.29,0.66
1,-0.1,1.26,0.18,0.49,1.18,0.27,1.01,0.05,0.3,-1.38,1.39,0.52
1,-0.11,1.25,0.17,0.45,1.13,0.24,1.01,0.04,0.29,-0.85,1.43,-0.05
1,-0.11,1.26,0.2,0.47,1.18,0.27,1.02,0.04,0.3,-0.51,1.58,-0.11
1,-0.05,1.34,0.21,0.51,1.19,0.27,1.01,0.05,0.31,-0.04,1.5,-0.3
1,-0.08,1.28,0.18,0.49,1.19,0.27,1,0.04,0.31,-0.32,1.17,-0.62
1,-0.04,1.32,0.22,0.51,1.19,0.28,1.01,0.04,0.3,0,0.59,-0.81
1,-0.05,1.26,0.18,0.47,1.16,0.24,1.01,0.06,0.31,0.03,0.73,-0.75
1,-0.08,1.24,0.14,0.44,1.12,0.22,1.01,0.05,0.31,0.02,1.22,-0.85
1,-0.05,1.29,0.2,0.49,1.21,0.28,1,0.06,0.3,0.15,1.22,-0.95
1,-0.02,1.34,0.2,0.52,1.19,0.3,1.01,0.06,0.31,0.06,0.27,-0.87
1,-0.07,1.26,0.15,0.47,1.16,0.25,1.01,0.06,0.31,-0.42,-0.55,-0.66
1,-0.1,1.24,0.15,0.44,1.15,0.24,1.02,0.05,0.29,-0.41,-0.92,-0.7
1,-0.1,1.24,0.15,0.44,1.15,0.24,1.02,0.06,0.3,-0.08,-0.12,-0.82
1,-0.05,1.29,0.18,0.47,1.19,0.27,1.01,0.06,0.29,-0.01,0.63,-0.41
1,-0.07,1.29,0.21,0.48,1.19,0.28,1.02,0.05,0.3,-0.07,0.91,-0.19
1,-0.07,1.28,0.18,0.48,1.19,0.27,1.01,0.05,0.31,0.63,0.58,-0.28
1,-0.08,1.28,0.18,0.45,1.18,0.24,1.01,0.07,0.31,0.85,0.55,-0.16
