FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,-0.16,1.22,0.18,0.44,1.13,0.15,1.01,0.1,0.32,-0.41,1.16,-0.02
5,-0.13,1.25,0.2,0.45,1.15,0.17,1,0.1,0.33,-0.15,1.49,0.11
5,-0.13,1.25,0.2,0.45,1.16,0.17,1,0.09,0.33,-0.15,1.79,0.21
5,-0.11,1.28,0.21,0.48,1.26,0.24,1,0.09,0.34,0.37,1.73,0.33
5,-0.13,1.26,0.2,0.44,1.15,0.15,1,0.1,0.34,0.77,1.68,0.4
5,-0.14,1.25,0.2,0.44,1.13,0.2,1,0.1,0.33,1.29,1.71,0.88
5,-0.11,1.26,0.21,0.48,1.18,0.22,1,0.11,0.33,1.74,1.83,1.09
5,-0.11,1.26,0.21,0.48,1.18,0.21,1,0.11,0.32,2.11,1.87,1.26
5,-0.13,1.24,0.18,0.48,1.16,0.21,1,0.1,0.33,1.76,2.18,1.28
5,-0.1,1.28,0.21,0.52,1.19,0.22,1,0.09,0.33,1.92,2.55,1.29
5,-0.14,1.25,0.15,0.48,1.16,0.21,1,0.11,0.33,2.95,2.5,1.34
5,-0.16,1.22,0.17,0.49,1.18,0.18,0.99,0.1,0.34,2.91,1.98,1.51
5,-0.14,1.25,0.2,0.52,1.18,0.21,1,0.09,0.34,3.23,2.23,1.44
5,-0.14,1.28,0.2,0.54,1.21,0.24,0.99,0.1,0.36,3.29,2.08,1.64
5,-0.14,1.26,0.18,0.49,1.18,0.2,0.99,0.11,0.34,2.43,0.95,2.21
5,-0.1,1.35,0.18,0.52,1.19,0.22,0.99,0.1,0.35,2.63,0.66,2.06
5,-0.16,1.26,0.14,0.51,1.19,0.17,1,0.1,0.34,3.05,0.37,1.85
5,-0.14,1.29,0.15,0.51,1.22,0.2,1,0.1,0.35,3.37,0.22,1.79
5,-0.16,1.31,0.21,0.55,1.24,0.24,0.99,0.1,0.34,2.98,-0.73,1.74
5,-0.28,1.31,0.21,0.61,1.22,0.27,1,0.1,0.33,2.64,-1.02,1.69
5,-0.26,1.29,0.24,0.64,1.24,0.3,0.99,0.1,0.33,2.37,-0.95,1.59
5,-0.2,1.29,0.25,0.55,1.22,0.33,0.98,0.08,0.34,3.34,-0.86,1.39
5,-0.26,1.31,0.39,0.55,1.22,0.34,0.99,0.08,0.34,4.53,-0.47,1.33
5,-0.29,1.37,0.48,0.64,1.26,0.39,0.99,0.09,0.34,5.12,-0.22,1.48
5,-0.28,1.29,0.43,0.64,1.22,0.42,0.99,0.09,0.36,5.77,-0.4,1.9
5,-0.35,1.38,0.55,0.91,1.31,0.54,0.97,0.09,0.37,5.89,-1.62,1.61
5,-0.56,1.38,0.58,1.01,1.28,0.6,0.95,0.09,0.38,6.22,-3.95,1.38
5,-0.62,1.46,0.74,1.13,1.26,0.7,0.97,0.07,0.39,6.76,-5.46,0.75
5,-0.93,1.28,0.73,1.34,1.18,0.7,0.98,0.09,0.39,7.08,-5.7,0.78
5,-1.21,1.32,0.94,1.53,1.16,0.92,0.95,0.1,0.42,6.78,-7.59,0.96
5,-1.43,1.37,1.1,1.46,0.92,0.91,0.94,0.1,0.44,6.21,-11.98,1.17
5,-1.53,1.43,1.11,1.68,0.94,1.16,0.95,0.13,0.43,4.15,-14.18,0.84
5,-1.46,1.55,1.22,1.81,1.06,1.31,0.95,0.13,0.42,0.95,-16.27,0.92
5,-1.46,1.64,1.34,1.68,1.24,1.39,0.95,0.08,0.46,0.37,-19.38,0.84
5,-1.4,1.64,1.26,1.53,1.34,1.38,0.96,0.05,0.42,1.6,-22.89,-0.48
5,-1.16,1.86,1.23,1.26,1.5,1.37,0.98,0.08,0.35,2.6,-25.84,-2.14
5,-0.97,1.89,1.11,1.07,1.64,1.35,1.01,0.1,0.29,0.71,-28.47,-1.81
5,-0.7,1.86,1.01,0.82,1.66,1.34,1.06,0.1,0.22,-0.66,-29.49,-1.95
5,-0.45,1.8,1.01,0.73,1.77,1.28,1.11,0.07,0.19,1.15,-28.17,-3.16
5,-0.44,1.74,0.92,0.51,1.71,1.11,1.12,0.1,0.14,2.61,-24.96,-3.69
5,-0.1,1.49,0.71,0.21,1.5,0.91,1.07,0.16,0.11,5.56,-20.63,-0.78
5,0.04,1.32,0.61,0.12,1.37,0.74,1.07,0.13,0.08,6.95,-18.05,0.94
5,0.07,1.16,0.52,0.04,1.22,0.58,1.05,0.08,0.1,6.98,-16.09,0.6
5,0.14,1.09,0.51,0.02,1.13,0.51,1.05,0.06,0.1,6.92,-13.43,-0.45
5,0.21,0.98,0.4,-0.01,1.06,0.43,1.05,0.1,0.12,6.39,-12.04,-1.38
5,0.24,0.82,0.2,-0.04,0.89,0.27,1.06,0.11,0.14,9.18,-10.85,-1.37
5,0.18,0.67,0.08,-0.02,0.7,0.06,1.05,0.1,0.16,11.21,-8.1,-0.94
5,0.24,0.63,0.03,0.08,0.63,0,1.05,0.09,0.11,9.57,-6.02,-0.69
5,0.29,0.54,-0.01,0.07,0.54,-0.04,1,0.08,0.14,8.03,-3.3,-0.54
5,0.24,0.45,-0.06,0.01,0.39,-0.16,0.98,0.1,0.15,8.26,-0.17,-0.6
5,0.23,0.36,-0.07,0.09,0.36,-0.23,1.01,0.11,0.15,7.1,2.23,-0.66
5,0.27,0.33,-0.07,0.2,0.36,-0.25,1,0.09,0.16,6.66,4.5,-1.04
5,0.23,0.27,-0.13,0.21,0.29,-0.31,1.01,0.1,0.17,5.21,5.29,-0.61
5,0.21,0.23,-0.18,0.26,0.18,-0.35,1.03,0.13,0.13,4.43,6.65,1.11
5,0.17,0.26,-0.16,0.33,0.15,-0.28,1.05,0.14,0.12,1.77,9.67,2.12
5,0.07,0.2,-0.19,0.48,0.14,-0.28,1.07,0.16,0.14,-1.34,15.26,2.79
5,-0.02,0.12,-0.2,0.7,0.04,-0.32,1.06,0.13,0.25,-1.66,20.69,2.72
5,-0.14,0.07,-0.23,0.82,-0.07,-0.28,1.05,0.15,0.19,-5.03,24.64,2.28
5,-0.29,0.09,-0.23,1.19,-0.07,-0.16,1,0.13,0.25,-8.79,26.98,1.96
5,-0.75,0.02,-0.26,1.52,-0.26,-0.04,0.98,0.07,0.32,-8.01,23.76,1.27
5,-1.33,-0.05,-0.07,1.75,-0.33,0.15,0.99,0.02,0.35,0.19,25.73,0.96
5,-2.05,-0.45,0.27,2.27,-0.76,0.45,1.01,0.14,0.39,0.7,26.79,1.25
5,-2.38,-0.69,0.49,2.29,-0.99,0.77,1,0.15,0.37,-0.84,26.51,2.07
5,-2.73,-0.84,0.83,2.36,-0.97,1.39,0.95,0.13,0.48,-1.45,22.63,4.71
5,-2.76,-0.97,1.22,2.41,-0.99,1.74,0.89,0.05,0.52,1.05,16.56,5.67
