FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,0.02,1.21,0.24,0.24,1.12,0.27,1.02,0.04,0.33,-0.44,1.15,-3.15
3,0.07,1.25,0.27,0.29,1.19,0.33,1.02,0.05,0.32,-0.6,0.51,-2.82
3,0.12,1.31,0.31,0.3,1.22,0.37,1.01,0.05,0.32,-1.1,0.47,-2.69
3,0.07,1.25,0.28,0.26,1.16,0.34,1.01,0.05,0.31,-1.72,0.56,-2.18
3,0.07,1.24,0.28,0.27,1.18,0.34,1.01,0.06,0.31,-2.24,0.63,-1.99
3,0.07,1.22,0.28,0.27,1.18,0.36,1.02,0.06,0.31,-3.31,1.03,-1.91
3,0.08,1.26,0.31,0.3,1.22,0.39,1.02,0.04,0.3,-4.02,1.26,-1.38
3,0.08,1.28,0.33,0.3,1.21,0.39,1.01,0.05,0.3,-4.72,1.51,-0.75
3,0.14,1.35,0.39,0.33,1.25,0.42,0.99,0.03,0.3,-5.05,1.25,-0.34
3,0.08,1.26,0.33,0.3,1.22,0.4,0.98,0.03,0.31,-5.34,0.9,0.06
3,0.05,1.21,0.31,0.27,1.15,0.36,0.98,0.03,0.31,-5.34,0.5,0.06
3,0.04,1.21,0.31,0.27,1.13,0.36,0.99,0.04,0.31,-5.67,0.15,-0.52
3,0.08,1.22,0.3,0.24,1.12,0.37,0.99,0.03,0.32,-6.08,-0.48,-0.99
3,0.07,1.26,0.34,0.3,1.19,0.4,0.99,0.04,0.31,-6.6,-1.21,-1.84
3,0.04,1.25,0.3,0.27,1.16,0.39,1,0.04,0.31,-7.21,-2.06,-2.89
3,0.07,1.29,0.34,0.3,1.22,0.42,1,0.05,0.31,-7.81,-3.1,-3.83
3,0.04,1.28,0.31,0.26,1.19,0.39,1,0.04,0.31,-8.02,-4.27,-4.61
3,0.05,1.26,0.31,0.24,1.18,0.39,1.01,0.05,0.3,-7.82,-5.25,-5.2
3,0.04,1.26,0.33,0.26,1.16,0.39,1.01,0.06,0.29,-7.37,-5.5,-5.47
3,0.04,1.28,0.31,0.26,1.16,0.37,1.02,0.06,0.29,-6.19,-5.05,-5.2
3,0.08,1.29,0.36,0.3,1.21,0.4,1.04,0.04,0.25,-3.64,-3.69,-4.85
3,0.07,1.25,0.34,0.27,1.15,0.33,1.04,0.04,0.21,0.37,-0.44,-4.47
3,0.05,1.22,0.34,0.3,1.12,0.33,1.07,0.07,0.22,8.28,6.13,-3.55
3,0.08,1.25,0.37,0.36,1.13,0.33,1.16,0.09,0.22,15.66,13.24,-2.21
3,0.09,1.25,0.33,0.35,1.12,0.3,1.21,0.14,0.21,20.89,24.92,0.77
3,0.08,1.29,0.31,0.38,1.1,0.28,1.09,0.17,0.28,22.4,34.08,5.33
3,0.17,1.31,0.39,0.44,1.16,0.31,1.03,0.18,0.28,20.56,32.57,7.43
3,0.23,1.35,0.37,0.42,1.18,0.3,1.01,0.16,0.27,19.24,29.06,7.66
3,0.24,1.4,0.39,0.47,1.26,0.34,1.01,0.18,0.27,17.2,24.84,6.95
3,0.29,1.32,0.37,0.41,1.26,0.31,1,0.17,0.25,14.15,21.71,6.53
3,0.24,1.29,0.42,0.42,1.32,0.37,0.99,0.15,0.24,11.12,19.53,6.85
3,0.18,1.16,0.36,0.32,1.22,0.33,0.95,0.13,0.24,8.36,18.7,7.48
3,0.2,1.13,0.37,0.29,1.22,0.37,0.94,0.14,0.22,6.76,17.56,7.62
3,0.14,1.04,0.33,0.21,1.15,0.31,0.94,0.14,0.24,4.79,17.09,7.58
3,0.14,1.07,0.31,0.26,1.16,0.34,0.94,0.14,0.28,3.57,16.9,6.87
3,0.09,1.06,0.3,0.26,1.13,0.31,0.92,0.15,0.31,3.35,15.85,6.33
3,0.08,1.1,0.31,0.32,1.19,0.34,0.89,0.16,0.33,2.31,14.11,5.81
3,0.02,1.1,0.31,0.32,1.16,0.34,0.86,0.17,0.33,1.01,12.37,6.01
