FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.59,1.29,-0.37,1.16,1.25,-0.15,1.19,-0.16,0.19,250.13,5.49,113.27
4,-0.53,1.28,-0.31,1.18,1.37,-0.15,1.11,-0.23,0.1,250.13,-5.4,128.55
4,-0.53,1.25,-0.26,1.31,1.43,-0.32,1.2,-0.35,0.09,250.13,-8.63,137.33
4,-0.59,1.16,-0.23,1.26,1.25,-0.41,1.13,-0.2,-0.06,250.13,-12.47,142.45
4,-0.63,1,-0.29,1.28,1.26,-0.41,1.04,-0.16,-0.12,250.13,-16.41,144.11
4,-0.6,0.89,-0.28,1.13,1.24,-0.34,0.98,-0.27,-0.14,250.13,-19.41,140.98
4,-0.59,0.72,-0.38,1.09,1.21,-0.38,0.99,-0.38,-0.19,250.13,-16.83,138.86
4,-0.6,0.66,-0.43,0.98,1.1,-0.46,1.07,-0.45,-0.16,250.13,-11.07,138.61
4,-0.68,0.64,-0.5,0.91,1.01,-0.43,1.23,-0.45,-0.16,250.13,-2.56,138.37
4,-0.82,0.72,-0.5,0.98,1.04,-0.38,1.34,-0.35,-0.16,250.13,9.52,134.78
4,-0.88,0.94,-0.44,1.01,1.15,-0.38,1.35,-0.35,-0.11,250.13,19.93,127.8
4,-0.85,1.04,-0.37,1.01,1.18,-0.44,1.35,-0.29,-0.08,250.13,24.52,121.82
4,-0.84,1.12,-0.37,0.98,1.16,-0.5,1.27,-0.23,-0.03,250.13,30.46,114.93
4,-0.76,1.13,-0.34,0.97,1.16,-0.56,1.16,-0.23,0.02,250.13,30.18,108.39
4,-0.75,1.13,-0.31,1,1.21,-0.52,1.08,-0.2,0.03,250.13,25.69,105.75
4,-0.78,1.04,-0.31,1,1.16,-0.55,1.04,-0.17,0.02,250.13,20.54,104.59
4,-0.76,0.97,-0.22,1.09,1.15,-0.52,1.06,-0.19,0.03,250.13,14.43,102.89
4,-0.79,0.85,-0.16,1,1.04,-0.49,1.12,-0.22,0.04,250.13,10.83,99.6
4,-0.79,0.84,-0.09,1.04,1,-0.44,1.19,-0.24,0.03,250.13,8.86,94.79
4,-0.7,0.88,0.02,1.12,1.04,-0.38,1.23,-0.2,-0.03,250.13,9.63,91.13
4,-0.66,0.88,0.03,1.13,1.03,-0.38,1.22,-0.14,-0.05,250.13,11.46,88.81
4,-0.57,0.91,0.05,1.16,1.06,-0.37,1.16,-0.12,-0.04,250.13,12.47,84.98
