FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,-0.05,1.19,0.22,0.21,1.1,0.27,0.96,0.01,0.44,0.8,-4.22,2.1
5,-0.01,1.24,0.25,0.24,1.13,0.3,0.97,0,0.44,1.06,-4.89,2.18
5,-0.01,1.22,0.27,0.26,1.15,0.28,0.97,0,0.44,1.19,-5.09,1.81
5,-0.01,1.22,0.25,0.24,1.15,0.33,0.98,0,0.44,1.11,-5.3,1.71
5,-0.01,1.24,0.25,0.26,1.16,0.33,0.97,0,0.45,1.21,-5.2,1.63
5,0.02,1.29,0.33,0.3,1.21,0.34,0.98,0,0.43,1.4,-5.02,1.6
5,-0.01,1.22,0.27,0.24,1.16,0.31,0.97,-0.01,0.44,1.51,-5.04,1.18
5,-0.01,1.24,0.27,0.26,1.13,0.28,0.97,0,0.44,1.56,-5.04,1.19
5,0.01,1.26,0.3,0.3,1.19,0.33,0.98,-0.01,0.43,1.7,-5.31,1.14
5,-0.02,1.24,0.27,0.27,1.16,0.31,0.98,0,0.44,1.78,-5.24,0.98
5,0.04,1.29,0.33,0.3,1.16,0.33,0.98,0,0.43,2.05,-4.98,0.81
5,0.01,1.24,0.27,0.24,1.12,0.25,0.98,0,0.43,1.91,-4.85,0.6
5,-0.01,1.22,0.27,0.26,1.1,0.27,0.98,0,0.43,1.63,-4.91,0.43
5,0.04,1.29,0.33,0.3,1.19,0.34,0.98,0,0.43,1.53,-4.74,0.63
5,-0.01,1.24,0.27,0.26,1.12,0.27,0.98,0,0.42,1.47,-4.57,0.51
5,-0.01,1.24,0.27,0.24,1.1,0.27,0.98,0,0.42,1.26,-4.33,0.15
5,0.04,1.29,0.31,0.29,1.18,0.34,0.98,0,0.42,1.13,-4.12,0.02
5,-0.01,1.24,0.27,0.26,1.13,0.3,0.98,0,0.42,1.09,-4.01,-0.08
5,0.04,1.29,0.31,0.3,1.18,0.34,0.99,0,0.42,1.07,-3.95,-0.15
5,0.04,1.29,0.33,0.32,1.21,0.37,0.98,0.01,0.41,1.07,-3.68,-0.31
5,-0.01,1.24,0.27,0.26,1.13,0.3,0.98,0.01,0.41,0.86,-3.69,-0.51
5,0.02,1.28,0.34,0.32,1.21,0.37,0.99,0.01,0.41,0.74,-3.16,-0.47
5,0.01,1.24,0.27,0.26,1.13,0.3,0.99,0.02,0.41,0.72,-2.66,-0.47
5,0.02,1.26,0.28,0.27,1.16,0.31,0.99,0.02,0.41,0.44,-2.6,-0.37
5,-0.01,1.24,0.27,0.26,1.13,0.3,0.98,0,0.41,0.27,-2.73,-0.83
5,0.04,1.29,0.31,0.3,1.18,0.33,0.97,0,0.41,0.07,-2.66,-0.56
5,-0.01,1.24,0.27,0.26,1.13,0.31,0.98,0.01,0.43,0.42,-2.46,-0.6
5,-0.01,1.24,0.27,0.24,1.13,0.3,0.99,0.01,0.4,0.54,-2.33,-0.66
5,-0.01,1.24,0.27,0.24,1.13,0.3,0.99,0,0.41,0.56,-2.06,-0.92
5,-0.01,1.24,0.27,0.26,1.13,0.3,0.99,0.01,0.41,0.81,-2.03,-0.84
5,0.02,1.26,0.28,0.29,1.16,0.33,0.98,0.01,0.4,0.56,-2.29,-0.75
5,-0.01,1.24,0.27,0.26,1.13,0.31,0.98,0,0.41,0.25,-2.56,-0.7
5,0.05,1.29,0.33,0.3,1.19,0.37,0.98,0,0.42,0.54,-2.43,-0.83
5,-0.01,1.22,0.25,0.26,1.13,0.3,0.98,0.01,0.41,0.34,-2.36,-1.06
5,0.02,1.25,0.3,0.27,1.16,0.33,0.98,0.01,0.42,0.15,-2.16,-0.89
5,-0.01,1.22,0.3,0.26,1.13,0.3,0.99,0.01,0.41,0.42,-2.02,-0.92
5,-0.01,1.24,0.27,0.26,1.13,0.31,0.98,0.01,0.42,0.42,-2.18,-0.77
5,-0.01,1.24,0.25,0.26,1.15,0.31,0.98,0,0.42,0.77,-2.36,-0.66
5,0.01,1.24,0.25,0.26,1.15,0.3,0.98,0.01,0.41,0.82,-3,-0.76
5,0.02,1.25,0.28,0.29,1.16,0.33,0.97,0.01,0.41,1.12,-3.12,-0.88
5,-0.01,1.24,0.27,0.26,1.15,0.31,0.99,0.01,0.41,0.91,-3.05,-0.81
5,0.05,1.29,0.33,0.32,1.22,0.37,0.98,0.01,0.41,0.82,-2.99,-0.76
5,-0.01,1.24,0.28,0.26,1.15,0.31,0.98,0.01,0.42,0.75,-3.18,-0.4
5,0.01,1.26,0.31,0.29,1.16,0.34,0.98,0.01,0.42,0.79,-3.02,-0.47
5,-0.01,1.25,0.28,0.32,1.22,0.33,0.98,0.01,0.41,1.02,-3.37,-0.37
5,0.02,1.22,0.22,0.21,1.12,0.22,0.97,0.01,0.41,1.12,-3.91,-0.32
5,-0.02,1.24,0.24,0.24,1.13,0.22,0.98,0.01,0.41,1.53,-3.85,-0.42
5,-0.17,1.28,0.28,0.38,1.19,0.27,0.99,0,0.39,3.07,-2.63,-0.02
5,-0.45,1.32,0.31,0.52,1.24,0.27,1.01,-0.02,0.43,7.16,1.25,1.13
5,-0.42,1.37,0.49,0.78,1.34,0.22,1.01,-0.1,0.45,11.24,0.94,1.39
5,-0.44,1.5,0.73,0.89,1.43,0.27,0.98,-0.1,0.42,12.1,-4.5,-1.13
5,-0.39,1.68,0.95,0.95,1.22,0.73,0.94,0.07,0.49,16.63,-9.27,0.55
5,-0.3,1.59,1.16,0.64,1.25,1.26,0.98,0.06,0.42,16.95,-11.59,3.48
5,-0.11,1.84,1.57,0.58,1.64,1.5,1,-0.02,0.41,15.66,-10.99,1.97
5,-0.26,1.93,1.81,0.75,1.65,1.66,0.98,-0.02,0.4,13.5,-9.95,-2.04
5,-0.48,2.05,1.94,0.72,1.8,1.97,0.98,0.05,0.42,11.79,-9.64,-3.4
5,-0.62,2.26,2.02,0.61,1.9,2.15,1.02,0.07,0.32,9.48,-10.82,-1.42
5,-0.57,2.33,1.99,0.78,2.01,2.08,1,0.01,0.43,14.12,-8.68,0.68
5,-0.23,2.26,1.88,0.69,2.18,2.03,0.98,0.01,0.45,12.83,-12.02,2.06
5,-0.04,2.08,1.51,0.54,2.21,1.75,0.98,-0.02,0.37,13.61,-15.5,1.11
5,0.42,2.04,1.25,0.27,2.05,1.53,1.03,0.03,0.29,10.81,-15.11,-0.71
5,0.61,1.78,0.91,-0.17,1.78,1.11,1.07,0.09,0.3,4.98,-12.52,-2.41
5,0.78,1.66,0.68,-0.23,1.75,0.92,1.05,0.1,0.35,-1.33,-10.4,-2.56
5,0.81,1.55,0.49,-0.35,1.68,0.6,1.01,0.08,0.35,-2.01,-9.78,-1.3
5,0.89,1.43,0.31,-0.29,1.61,0.33,0.97,0.06,0.31,-1.22,-9.69,1.38
5,0.91,1.19,0.08,-0.2,1.46,0.12,0.95,-0.01,0.3,1.94,-9.45,3.41
5,0.84,1.03,-0.23,-0.07,1.35,-0.12,0.97,-0.06,0.3,5.58,-7.57,3.54
5,0.76,0.97,-0.47,-0.05,1.19,-0.35,0.98,-0.03,0.3,8.08,-9.4,2.95
5,0.61,0.95,-0.6,-0.04,0.89,-0.53,0.93,-0.01,0.31,6.56,-16.72,2.78
5,0.3,0.98,-0.59,0.05,0.6,-0.55,0.97,0.08,0.26,3.76,-21.5,2.17
5,0.12,1.03,-0.6,0.15,0.52,-0.47,0.99,0.08,0.27,-1.18,-18.53,0.45
5,-0.1,0.94,-0.69,0.29,0.47,-0.49,1.01,0.11,0.25,-6.76,-12.67,-1.16
5,-0.26,0.95,-0.66,0.45,0.48,-0.49,0.99,0.06,0.29,-7.66,-4.43,-1.57
5,-0.54,0.95,-0.59,0.63,0.42,-0.56,1,0.04,0.31,-5.34,1.87,-1.74
5,-0.88,0.88,-0.53,0.79,0.41,-0.56,1.02,0.03,0.3,-3.37,5.85,-0.71
5,-1.18,0.76,-0.44,1.03,0.42,-0.49,1.02,0.05,0.26,-3.38,9.21,0.66
