FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,0.14,1.41,-0.1,0.2,1.26,-0.16,1.08,0.2,0.15,6.85,-16.5,-6.45
3,0.26,1.55,-0.06,0.3,1.38,-0.13,1.07,0.18,0.1,5.45,-18.15,-7.12
3,0.42,1.65,0.05,0.42,1.56,-0.03,1.06,0.15,0.08,6.18,-19.89,-6.73
3,0.3,1.52,0.15,0.41,1.52,0.03,1.01,0.15,0.05,7.69,-20.68,-4.84
3,0.27,1.41,0.12,0.17,1.24,-0.06,0.98,0.18,0.03,7.15,-20.14,-2.21
3,0.27,1.35,0.2,0.29,1.26,0.05,0.94,0.18,0.01,4.5,-18.63,0.11
3,0.18,1.26,0.12,0.17,1.1,0,0.9,0.19,0,1.1,-17.21,1.8
3,0.21,1.25,0.12,0.18,1.1,-0.01,0.86,0.18,-0.01,-3.56,-15.87,2.7
3,0.29,1.19,0.09,0.18,1.07,-0.01,0.8,0.13,0.03,-5.52,-16.6,3.44
3,0.15,1.15,0.08,0.27,1.06,-0.03,0.84,0.11,-0.01,-4.93,-14.46,3.65
3,0.18,1.16,0.06,0.27,1.04,-0.03,0.86,0.13,-0.04,-4.61,-14.17,4.38
3,0.17,1.18,0.05,0.27,1.06,-0.06,0.9,0.15,-0.04,-5.73,-13.89,4.89
3,0.14,1.19,0.02,0.24,1.07,-0.07,0.99,0.17,-0.08,-8.06,-10.54,3.84
3,0.11,1.21,-0.01,0.24,1.12,-0.1,1.03,0.21,-0.06,-11.09,-7.74,2.41
3,0.12,1.26,-0.01,0.26,1.15,-0.12,1.03,0.22,-0.07,-14.43,-6.57,2.03
3,0.12,1.26,-0.03,0.29,1.15,-0.13,0.99,0.21,-0.06,-17.96,-7.45,2.32
3,0.11,1.26,-0.03,0.32,1.16,-0.13,0.96,0.21,-0.06,-21.34,-10.48,3.23
3,0.11,1.26,-0.04,0.33,1.16,-0.13,0.99,0.21,-0.06,-26.01,-14.05,4.31
3,0.12,1.29,-0.03,0.33,1.21,-0.13,1.06,0.18,-0.08,-30.99,-16.12,5.08
3,0.14,1.38,0,0.36,1.25,-0.13,1.16,0.11,-0.06,-30.64,-13.33,5.24
3,0.04,1.37,-0.03,0.33,1.31,-0.13,1.17,0.1,-0.03,-26.48,-10.5,4.87
3,0.08,1.44,-0.04,0.38,1.35,-0.12,1.13,0.13,0,-23.42,-9.19,5.78
3,0.04,1.44,-0.07,0.38,1.37,-0.13,1.07,0.13,0.03,-23.48,-11.85,5.89
3,0.04,1.47,-0.09,0.33,1.37,-0.07,1.02,0.11,0.07,-22.53,-19.82,5.52
3,0.07,1.49,-0.09,0.38,1.35,-0.12,1.01,0.11,0.09,-21.26,-31.1,5.02
3,0.12,1.61,-0.06,0.41,1.55,0.03,1.05,0.09,0.07,-19.47,-39.79,4.21
3,0.14,1.59,-0.04,0.36,1.46,0,1.13,0.05,0.05,-17.47,-46.25,3.11
3,0.07,1.53,-0.06,0.36,1.43,-0.07,1.35,0.05,0,-13.73,-45,3.73
3,0.05,1.59,-0.09,0.32,1.49,-0.09,1.52,-0.07,-0.04,-11.91,-34.46,5.6
3,0.09,1.65,-0.09,0.42,1.66,0,1.48,-0.14,-0.02,-7.88,-18.37,7.74
3,0.11,1.59,-0.06,0.24,1.41,-0.09,1.25,-0.12,0.09,-1.08,-5.58,9.8
3,0.23,1.58,0.03,0.24,1.29,0,1.12,-0.07,0.23,2.17,-3.31,8.21
3,0.15,1.29,-0.12,0.15,1.16,0.02,1.11,-0.06,0.24,4.5,-4.24,3.31
3,0.18,1.26,-0.15,0.17,1.12,0.05,1.1,-0.04,0.23,4.6,-5.96,-2.53
3,0.21,1.34,-0.15,0.2,1.21,0.08,1.06,-0.07,0.2,5.87,-7.56,-6.25
3,0.3,1.4,-0.13,0.15,1.22,0.06,1,-0.05,0.16,8.98,-7.98,-6.76
3,0.32,1.37,-0.12,0.07,1.19,0.03,0.96,-0.01,0.14,10.06,-8,-5.64
3,0.45,1.38,-0.01,0.14,1.24,0.03,1,0.02,0.13,10.42,-4.68,-4.51
3,0.33,1.24,-0.15,-0.05,1.12,-0.03,1.06,0.07,0.15,8.95,0.08,-3.98
3,0.41,1.29,-0.13,-0.14,1.12,-0.03,1.1,0.07,0.17,4.73,3.83,-4.96
3,0.44,1.26,-0.13,-0.13,1.16,-0.03,1.07,0.04,0.17,0.97,7.99,-6.27
3,0.55,1.35,-0.1,-0.08,1.21,-0.03,1.04,0.02,0.21,-0.45,10.98,-7.29
3,0.42,1.28,-0.13,-0.07,1.21,-0.04,1.01,0.02,0.22,-0.52,13.17,-7.47
3,0.38,1.29,-0.13,-0.05,1.21,-0.06,1.02,0.02,0.25,-0.94,13.92,-7.4
3,0.35,1.26,-0.15,-0.1,1.21,-0.04,1.03,0.02,0.25,-1.08,15.15,-7.37
3,0.3,1.26,-0.16,-0.13,1.19,-0.04,1.01,0.04,0.29,-1.64,14.81,-7.6
3,0.38,1.28,-0.16,-0.16,1.18,-0.07,0.98,0.02,0.29,-2.27,14.05,-7.66
3,0.51,1.22,-0.13,-0.14,1.16,-0.07,0.96,0.02,0.31,-2.31,12.81,-7.44
3,0.44,1.19,-0.12,-0.11,1.16,-0.09,0.93,-0.01,0.34,-0.93,10.04,-7.69
3,0.44,1.19,-0.12,-0.08,1.15,-0.06,0.92,0.03,0.33,0.1,8.39,-7.29
3,0.51,1.29,-0.03,0.02,1.19,0.02,0.89,0.06,0.31,-0.91,5.73,-5.94
3,0.38,1.18,-0.1,-0.01,1.12,-0.04,0.9,0.06,0.3,-2.36,3.36,-4.22
3,0.41,1.19,-0.12,0.02,1.15,-0.03,0.95,0.03,0.29,-2.01,2.81,-2.77
3,0.36,1.21,-0.12,0.05,1.16,-0.03,0.99,0.01,0.29,-0.97,3.57,-2.21
3,0.3,1.22,-0.12,0.07,1.19,-0.01,1,0.01,0.3,0.86,4.94,-2.03
3,0.27,1.26,-0.12,0.11,1.18,-0.01,1.02,0.01,0.33,2.13,6.5,-2.74
3,0.26,1.26,-0.15,0.09,1.15,-0.01,1,0.01,0.35,3.69,7.93,-3.95
3,0.21,1.29,-0.13,0.12,1.16,-0.03,0.99,0.04,0.36,3.98,7.95,-3.95
3,0.27,1.31,-0.13,0.12,1.22,0.02,0.98,0.06,0.4,3.45,5.85,-4.1
3,0.35,1.38,-0.12,0.14,1.21,-0.03,0.99,0.04,0.38,2.5,1.85,-4.37
3,0.21,1.32,-0.15,0.11,1.31,0,1.03,0.03,0.36,3.41,-0.73,-5.14
3,0.2,1.35,-0.15,0.09,1.34,-0.01,1.09,0.05,0.34,4.19,-2,-4.84
3,0.27,1.4,-0.16,0.11,1.43,-0.01,1.17,0.04,0.31,4.65,1.05,-3.01
3,0.14,1.34,-0.15,0.11,1.32,-0.06,1.16,0.04,0.34,5.22,4.37,-1.63
3,0.15,1.37,-0.09,0.15,1.4,0.05,1.11,0.05,0.34,5.07,5.66,-0.9
3,0.14,1.35,-0.12,0.2,1.35,-0.03,1.05,0.03,0.31,6.55,5.1,-0.93
3,0.07,1.32,-0.12,0.12,1.31,-0.01,1.02,0.02,0.22,8.63,4.18,-0.23
3,0.05,1.31,-0.1,0.21,1.29,0.03,1.04,0.03,0.15,10.2,4.42,0.72
3,0.02,1.29,-0.07,0.15,1.28,0.02,1.19,0.06,0.05,12.24,10.76,1.82
3,-0.01,1.32,-0.07,0.18,1.32,0.02,1.3,0.09,-0.01,13.89,20.85,2.18
3,-0.02,1.37,-0.09,0.11,1.35,-0.03,1.23,0.17,-0.05,15.76,28.76,2.73
3,0.01,1.43,-0.07,0.11,1.26,-0.06,1.09,0.21,-0.05,13.37,30.34,3.82
3,0.02,1.41,-0.06,0.2,1.31,-0.03,1.05,0.19,-0.03,12.44,27.38,2.86
3,-0.08,1.37,-0.01,0.29,1.28,-0.04,1.09,0.21,-0.04,12.24,22.93,1.83
3,-0.11,1.34,0.02,0.38,1.29,-0.06,1.16,0.23,-0.02,12.4,19.4,2.28
3,-0.11,1.37,0,0.45,1.32,-0.13,1.29,0.23,-0.05,11.15,20.02,2.91
3,-0.04,1.65,0.21,0.7,1.59,-0.07,1.24,0.17,-0.02,10.09,21.13,2.9
3,-0.17,1.44,0.03,0.54,1.41,-0.19,1.14,0.15,0.01,9.93,18.06,2.8
3,-0.13,1.46,0.05,0.57,1.35,-0.22,1.12,0.14,0.02,10.69,12.53,2.06
3,-0.16,1.41,0.03,0.58,1.34,-0.19,1.11,0.14,-0.01,10.94,7.82,0.44
3,-0.16,1.37,0.03,0.45,1.24,-0.16,1.05,0.14,-0.01,11.87,4.62,-0.6
3,-0.1,1.32,0.05,0.42,1.12,-0.12,0.98,0.14,-0.01,11.44,1.4,-1.6
3,-0.08,1.25,0.06,0.44,1.06,-0.04,0.94,0.17,-0.02,9.85,-0.03,-2.83
3,-0.05,1.18,0.08,0.42,1.01,-0.06,0.91,0.17,0,8.63,1.79,-4.06
3,-0.02,1.16,0.14,0.47,1,-0.03,0.86,0.16,0.02,6.86,2.92,-4.82
3,-0.07,1.09,0.08,0.45,0.98,0,0.85,0.17,0.03,5.34,3.08,-5.7
3,0.08,1.26,0.24,0.57,1.04,0.03,0.84,0.2,0.06,4.63,3.31,-6.41
3,-0.08,1.09,0.08,0.42,1.01,-0.03,0.85,0.24,0.11,2.58,4.69,-5.73
3,-0.08,1.12,0.05,0.39,1.06,-0.04,0.85,0.24,0.14,-1.53,3.44,-3.53
3,-0.07,1.19,0.05,0.39,1.12,-0.07,0.89,0.2,0.14,-5.17,0.8,-1.5
3,-0.05,1.24,0.03,0.39,1.16,-0.1,0.95,0.17,0.14,-6.57,-0.1,-0.81
3,-0.07,1.25,0.05,0.38,1.19,-0.1,1,0.18,0.16,-6.46,-0.2,-0.85
3,-0.05,1.25,0.03,0.36,1.21,-0.1,1.01,0.19,0.18,-7.07,0.66,-0.56
3,0.04,1.29,0.03,0.36,1.24,-0.12,1.02,0.16,0.21,-6.33,2.32,-0.82
3,0.04,1.32,0,0.38,1.25,-0.12,1,0.14,0.23,-3.03,1.83,-1.35
3,0.11,1.35,-0.03,0.38,1.25,-0.1,1,0.15,0.19,1.32,1.5,-1.39
3,0.12,1.35,-0.04,0.35,1.24,-0.1,1.02,0.15,0.18,5.18,2.35,-0.15
3,0.27,1.29,-0.06,0.38,1.24,-0.1,1.06,0.14,0.16,9.09,4.89,0.98
3,0.35,1.22,-0.06,0.38,1.21,-0.1,1.01,0.11,0.18,13.14,7.39,1.81
3,0.36,1.16,-0.06,0.36,1.16,-0.12,0.93,0.11,0.16,18.06,9.42,2.46
3,0.41,1.12,-0.03,0.35,1.1,-0.09,0.88,0.15,0.11,21.06,9.98,3.53
3,0.36,1.09,-0.03,0.32,1.04,-0.07,0.88,0.16,0.06,21.22,11.27,4.67
3,0.35,1.06,-0.04,0.3,1.03,-0.04,0.96,0.19,0.06,20.69,15.28,6.73
3,0.3,1.15,-0.1,0.32,1.06,-0.03,1.1,0.18,0.07,13.78,20.31,10.22
3,0.27,1.29,-0.18,0.29,1.16,-0.04,1.17,0.13,0.1,7.12,27.91,13.46
3,0.27,1.43,-0.23,0.27,1.28,-0.04,1.19,0.07,0.11,3.4,31.61,13.47
3,0.23,1.53,-0.25,0.32,1.4,-0.06,1.16,0.06,0.13,4.18,30.92,11.61
3,0.2,1.53,-0.22,0.32,1.4,-0.09,1.07,0.07,0.11,3.76,26.37,8.59
3,0.12,1.41,-0.2,0.32,1.32,-0.06,1.01,0.1,0.09,2.11,20.83,5.95
3,0.09,1.28,-0.16,0.33,1.19,-0.01,0.98,0.11,0.04,-0.61,17.14,3.94
3,0.05,1.19,-0.09,0.38,1.07,0.03,1.01,0.11,0.02,-3.02,18.85,3
