FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
8,0.27,1.04,0.17,0.26,1.18,-0.34,0.83,0.54,0.19,45.47,9.18,9.05
8,0.33,1.09,0.24,0.3,1.21,-0.32,0.79,0.52,0.18,45.72,9.11,13.24
8,0.32,1.06,0.33,0.33,1.18,-0.31,0.77,0.48,0.21,47.93,9.21,17
8,0.36,1.04,0.36,0.33,1.12,-0.32,0.78,0.45,0.22,51.31,9.82,19.07
8,0.39,1.13,0.37,0.32,1.1,-0.31,0.82,0.48,0.28,55.35,8.35,19.88
8,0.32,1.24,0.42,0.36,1.15,-0.31,0.88,0.53,0.29,58.98,4.6,20.21
8,0.32,1.37,0.33,0.3,1.19,-0.32,0.96,0.55,0.25,58.12,2.29,18.83
8,0.3,1.46,0.3,0.32,1.25,-0.35,1.03,0.54,0.27,56.17,-0.36,16.52
8,0.24,1.55,0.31,0.3,1.28,-0.4,1.06,0.49,0.26,56.65,-2.7,13.18
8,0.18,1.58,0.33,0.29,1.32,-0.43,1.1,0.46,0.22,58.93,-3.69,9.51
8,0.21,1.64,0.43,0.32,1.38,-0.41,1.15,0.46,0.2,60.28,-1.96,6.03
8,0.47,1.78,0.65,0.39,1.46,-0.38,1.21,0.46,0.21,57.51,-1.54,4.15
8,0.44,1.65,0.6,0.27,1.4,-0.38,1.31,0.33,0.17,55.56,0.99,3.42
8,0.51,1.62,0.52,0.24,1.41,-0.32,1.32,0.16,0.17,55.25,1.96,2.89
8,0.36,1.66,0.33,0.33,1.44,-0.25,1.25,0.11,0.23,62.9,6.15,2.23
8,0.14,1.56,0.15,0.33,1.38,-0.28,1.1,-0.03,0.32,69.39,4.54,1.68
8,0.15,1.66,0.06,0.36,1.34,-0.2,1.08,-0.24,0.33,83.61,2.44,-0.97
8,0.09,1.53,-0.13,0.33,1.32,-0.16,1.07,-0.28,0.25,104.43,-0.58,-3.53
8,0.2,1.55,-0.16,0.35,1.35,-0.04,1.17,-0.26,0.15,120.06,2.47,1.81
8,0.17,1.47,-0.18,0.23,1.37,0.12,1.39,-0.3,0,133.86,8.02,9.72
8,0.09,1.41,-0.13,0.15,1.41,0.31,1.39,-0.22,0.02,141.05,19.27,16.06
8,0.21,1.41,-0.13,0.3,1.34,0.34,1.37,-0.15,-0.01,146.8,36.5,20.88
8,0.33,1.46,-0.15,0.6,1.29,0.25,1.19,-0.01,0.12,149.22,46.54,24.6
8,0.27,1.41,-0.15,0.63,1.21,0.18,1.01,0.11,0.18,139.82,48.15,27.29
8,0.26,1.41,-0.15,0.55,1.13,0.17,0.86,0.17,0.18,125.76,43.15,29.5
8,0.27,1.34,-0.18,0.54,1.12,0.17,0.8,0.05,0.21,114.09,35.57,30.39
8,0.29,1.28,-0.19,0.44,1.12,0.18,0.79,-0.05,0.24,107.68,29.69,28.15
8,0.15,1.22,-0.19,0.41,1.13,0.15,0.82,-0.09,0.26,103.98,24.9,25.23
8,0.09,1.19,-0.2,0.14,1.12,0.17,0.88,-0.04,0.21,100.79,23.09,22.6
8,-0.01,1.16,-0.2,0.11,1.1,0.09,0.96,0.01,0.22,89.26,20.26,20.74
8,-0.07,1.15,-0.2,0.04,1.1,0,0.91,0.02,0.28,79.27,18.56,17.52
8,-0.1,1.07,-0.23,-0.14,1.1,-0.01,0.92,-0.02,0.27,71.31,14.51,10.56
8,-0.04,1.06,-0.2,-0.1,1.1,0.03,0.98,-0.01,0.23,66.85,12.84,4.67
8,-0.02,1.06,-0.16,-0.08,1.18,0.02,1.01,0.03,0.21,63.42,12.97,2.4
8,-0.05,1.06,-0.06,-0.05,1.21,-0.04,0.98,0.01,0.23,60.77,11.08,3.18
8,-0.08,1.03,-0.1,-0.1,1.19,-0.09,0.94,-0.01,0.25,57.76,9.05,4.87
8,-0.08,1.03,-0.1,-0.04,1.18,-0.1,0.89,-0.02,0.31,55.02,5.28,5.79
8,-0.17,1.03,-0.1,0.02,1.13,-0.09,0.86,-0.01,0.27,53.46,-0.45,5.28
8,-0.19,1.06,-0.09,0.08,1.12,-0.07,0.96,-0.01,0.24,53.69,-4.8,2.76
8,-0.22,1.12,-0.09,0.04,1.16,-0.04,1.13,0.08,0.2,53.47,-2.93,-0.92
8,-0.26,1.18,-0.12,0.01,1.26,-0.03,1.23,0.19,0.2,50.99,2.05,-3.47
8,-0.26,1.29,-0.16,0.01,1.38,0.05,1.23,0.22,0.2,46.45,4.56,-5.3
8,-0.28,1.29,-0.23,0.08,1.38,0.02,1.16,0.25,0.15,44.69,4.81,-6.34
8,-0.26,1.35,-0.25,0.09,1.4,0.05,0.99,0.37,0.12,36.03,1.21,-3.76
8,-0.29,1.25,-0.22,0.09,1.31,0.06,0.98,0.33,0.09,23.05,-3.25,-0.76
8,-0.28,1.21,-0.1,0.26,1.21,0.03,1,0.28,0.1,14.88,-4.66,-0.35
8,-0.25,1.09,-0.06,0.32,1.16,-0.03,1,0.25,0.11,8.2,-2.75,0.09
8,-0.2,1.09,0.02,0.32,1.22,-0.03,0.97,0.19,0.14,2.43,-1.31,1.46
8,-0.26,1.06,0,0.32,1.25,-0.06,0.98,0.16,0.15,-0.18,0.15,2.98
8,-0.22,1.16,0.06,0.35,1.25,-0.04,1,0.16,0.16,-1.65,0.91,5.54
8,-0.19,1.29,0.12,0.39,1.31,-0.09,1.01,0.17,0.16,-5.15,1.93,8.56
8,-0.22,1.22,0.08,0.35,1.26,-0.12,1.02,0.12,0.19,-8.05,2.35,9.37
8,-0.16,1.29,0.03,0.32,1.21,-0.12,1,0.1,0.17,-7.61,2.73,7.43
8,-0.11,1.31,0.02,0.3,1.16,-0.09,0.96,0.14,0.16,-7.74,-0.46,4.77
8,-0.1,1.32,0.03,0.3,1.15,-0.06,0.89,0.19,0.16,-9.69,-5.8,3.49
8,-0.1,1.4,0.03,0.3,1.13,-0.04,0.91,0.25,0.12,-13.5,-11.9,3.09
8,-0.05,1.37,0.03,0.27,1.13,-0.06,0.95,0.25,0.06,-19.87,-15.68,2.15
8,-0.04,1.37,0.06,0.29,1.13,-0.07,1,0.26,0.01,-26.57,-16.18,0.77
8,-0.08,1.35,0.12,0.29,1.12,-0.12,1.05,0.26,-0.02,-31.79,-13.08,0.05
8,-0.08,1.28,0.12,0.27,1.1,-0.13,1.07,0.29,-0.01,-39.84,-8.22,0.08
8,-0.11,1.28,0.17,0.3,1.13,-0.13,1.09,0.26,-0.02,-47.65,-1.27,0.05
8,-0.13,1.34,0.14,0.27,1.15,-0.15,1.1,0.23,-0.01,-53.11,5.07,-0.5
8,-0.13,1.4,0.12,0.27,1.19,-0.16,1.06,0.22,0.03,-59.15,7.62,-0.06
