FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.39,0.49,-0.25,0.32,1.06,-0.09,1.07,0.08,-0.05,-34.98,27.87,9.11
4,-0.91,0.69,-0.18,0.85,1.4,0.12,1,0,0.07,-49.29,33.95,11.73
4,-1.21,0.44,-0.34,1.46,1.55,0.21,0.99,-0.08,0.05,-60.05,42.34,11.66
4,-1.13,0.27,-0.35,1.86,1.66,0.17,0.94,-0.06,-0.05,-78.18,42.97,6.83
4,-1.3,0.92,-0.29,0.72,1.44,-0.74,1.04,0.02,-0.01,-103.83,40.31,0.63
4,-1.85,1.75,-0.43,0.23,2.24,-1.36,1.07,0.08,-0.13,-128.59,37.33,-3.45
4,-1.92,1.71,-0.69,0.09,2.69,-1.33,1.08,-0.02,-0.12,-152.79,35.92,-5.24
4,-1.89,1.52,-0.97,0.98,3.01,-0.9,1.11,-0.12,0.04,-176.53,25.53,-9.27
4,-2.11,1.68,-0.92,0.61,2.7,-0.92,1.15,-0.16,0.13,-204.27,21.18,-18.11
4,-2.19,1.96,-0.83,4.08,3.53,0.25,1.13,-0.09,0.03,-230.84,22.22,-27.05
4,-2.54,1.77,-0.8,5.09,1.59,-1.11,1.03,-0.03,-0.02,-250.14,22.53,-33.74
4,-1.74,1.65,-0.96,1.62,0.64,-0.71,1.03,0.02,-0.08,-250.14,13.91,-39.01
4,-2.01,1.34,-1.57,-0.39,1,-0.74,0.96,0.03,-0.2,-250.14,5.21,-40.05
4,-1.83,0.76,-1.3,-0.96,0.67,-0.92,0.84,-0.01,-0.25,-250.14,-2.83,-35.68
4,-1.56,0.41,-0.84,-0.39,0.61,-0.99,0.89,-0.19,-0.39,-250.14,-4.77,-28.17
4,-2.1,0.33,-1.33,-0.28,0.54,-1.12,0.84,-0.46,-0.37,-250.14,-8.92,-23.53
4,-1.33,0.26,-1.32,0.32,0.55,-1.14,0.84,-0.67,-0.4,-250.14,-10.43,-29.04
4,-0.45,0.55,-0.99,0.27,0.67,-0.8,0.88,-0.53,-0.5,-250.14,-8.38,-40.32
4,-0.35,0.63,-1.15,-0.23,0.7,-0.53,0.97,-0.18,-0.46,-250.14,-4.42,-52.16
4,-0.07,0.75,-1.57,-0.26,0.91,-0.47,1.2,0.17,-0.52,-250.14,2.45,-59.02
4,-0.13,0.94,-1.75,-0.04,1.1,-0.66,1.44,0.21,-0.58,-250.14,10.84,-60.81
4,-0.35,1.07,-2,0.26,1.26,-1.12,1.86,0.13,-0.85,-250.14,28.47,-59.84
4,-0.05,1.26,-2.09,0.41,1.31,-1.45,2,-0.11,-0.81,-250.14,39.4,-54.25
4,0.23,1.25,-2.01,0.52,1.37,-1.52,1.79,-0.48,-0.75,-250.14,58.18,-50.73
4,0.23,1.12,-1.92,0.58,1.41,-1.43,1.44,-0.59,-0.73,-250.14,53.31,-54.18
4,0.29,1,-1.89,0.61,1.55,-1.42,1.18,-0.58,-0.48,-250.14,44.12,-59.64
4,0.33,0.94,-1.92,0.55,1.44,-1.39,1.25,-0.45,-0.52,-250.14,36.01,-60.56
4,0.32,0.78,-1.85,0.51,1.31,-1.46,1.29,-0.39,-0.66,-250.14,31.02,-54.44
4,0.23,0.63,-1.67,0.55,1.15,-1.52,1.3,-0.48,-0.67,-250.14,27.21,-45.87
4,0.18,0.44,-1.49,0.61,0.79,-1.4,1,-0.59,-0.45,-250.14,31.25,-37.49
4,0.18,0.3,-1.32,0.38,0.58,-1.29,0.67,-0.71,-0.4,-250.14,29.69,-32.73
4,0.26,0.24,-1.39,0.36,0.47,-1.18,0.39,-0.67,-0.32,-250.14,21.43,-32.86
4,0.35,0.24,-1.6,0.45,0.48,-1.03,0.26,-0.66,-0.45,-250.14,10.33,-38.34
4,0.3,0.26,-1.7,0.55,0.63,-0.96,0.26,-0.38,-0.6,-250.14,14.42,-43.83
4,0.21,0.32,-1.6,0.44,0.69,-0.97,0.33,-0.08,-0.71,-250.14,15.65,-46.58
4,0.09,0.48,-1.4,0.21,0.88,-1.12,0.64,-0.1,-1.12,-250.14,4.4,-41.76
4,-0.1,0.75,-1.24,0.11,1.1,-1.3,1.04,-0.54,-1.1,-250.14,-14.4,-43.61
4,-0.11,0.91,-1.37,0.18,1.25,-1.27,1.5,-0.9,-0.99,-250.14,-21.21,-46.26
4,0.08,0.97,-1.6,0.27,1.25,-1.23,1.78,-1.02,-0.98,-250.14,-5.64,-43.5
4,0.01,1.15,-1.76,0.2,1.16,-1.24,2,-1.31,-0.83,-250.14,8.78,-33.85
4,-0.08,1.34,-1.91,0.26,1.22,-1.32,2,-1.72,-0.46,-250.14,33.47,-28.5
4,-0.08,1.35,-2.03,0.44,1.32,-1.36,1.41,-1.32,-0.51,-250.14,33.71,-25.23
4,-0.04,1.1,-2.07,0.47,1.34,-1.26,1.11,-1.2,-0.38,-250.14,39.38,-26.07
4,0.09,0.94,-2.03,0.45,1.15,-1,0.9,-1.02,-0.13,-250.14,34.92,-36.59
4,0.24,0.94,-1.98,0.61,1.03,-0.78,0.8,-0.88,-0.24,-250.14,24.24,-48.39
4,0.29,0.89,-1.92,0.69,0.87,-0.74,0.77,-0.69,-0.35,-250.14,13.76,-53.01
4,0.27,0.79,-1.79,0.7,0.67,-0.81,0.86,-0.67,-0.33,-250.14,2.4,-50.28
4,0.14,0.69,-1.55,0.51,0.54,-0.93,0.93,-0.77,-0.23,-250.14,-4.56,-45.95
4,0.04,0.64,-1.27,0.38,0.42,-1.03,0.87,-0.69,-0.21,-250.14,-8.21,-39.5
4,0.05,0.57,-1.3,0.51,0.38,-1.05,0.73,-0.55,-0.23,-250.14,-11.96,-31.86
4,-0.02,0.69,-1.26,0.63,0.47,-0.8,0.65,-0.44,-0.31,-250.14,-16.28,-28.34
4,-0.01,0.72,-1.05,0.44,0.51,-0.68,0.7,-0.36,-0.42,-250.14,-19.19,-30.96
4,-0.08,0.72,-0.9,0.3,0.48,-0.78,0.8,-0.21,-0.4,-250.14,-18.89,-32.01
4,-0.08,0.79,-0.95,0.36,0.55,-0.83,1.02,-0.27,-0.29,-250.14,-14.73,-29.46
4,-0.1,0.95,-1,0.49,0.82,-0.92,1.44,-0.3,-0.1,-250.14,-2.05,-23.6
4,-0.19,1.16,-1.23,0.76,1.12,-1.03,1.74,-0.49,0.02,-250.14,11.63,-17.82
4,-0.32,1.49,-1.4,0.89,1.32,-1.05,1.81,-0.59,0.13,-246.12,14.95,-21.09
4,-0.42,1.66,-1.39,1.13,1.35,-0.95,1.61,-0.41,0.02,-224.44,12.15,-24.55
