FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.11,1.22,-0.69,-0.01,1.06,-1.51,1.11,-0.27,-0.51,250.13,-9.7,26.11
4,0.23,1.12,-0.68,0.01,1.04,-1.42,1.18,-0.21,-0.55,250.13,-9.6,26.88
4,0.32,1,-0.78,0.05,0.98,-1.36,1.21,-0.1,-0.53,250.13,-5.8,28.05
4,0.27,0.92,-0.81,0.12,1.04,-1.23,1.14,-0.01,-0.51,250.13,-0.55,33.76
4,0.01,0.87,-0.83,0.11,1.01,-1.14,1.08,0.02,-0.47,250.13,3.02,39.48
4,-0.02,0.82,-0.86,0.04,1,-1.17,1.04,0.01,-0.39,250.13,3,39.83
4,-0.16,0.84,-0.86,0.04,1.06,-1.14,0.94,-0.07,-0.29,250.13,-1.98,37.31
4,-0.22,0.79,-0.89,0.01,1.01,-1.02,0.9,-0.22,-0.24,245.69,-10.5,35.14
4,-0.3,0.76,-0.83,-0.02,0.88,-0.96,0.89,-0.38,-0.14,249.7,-9.52,33.37
4,-0.25,0.72,-0.74,-0.16,0.84,-0.87,0.92,-0.51,-0.04,250.13,-4.52,29.53
4,-0.2,0.79,-0.77,-0.07,0.82,-0.84,0.83,-0.54,0.11,250.13,-8.44,25.15
4,-0.11,0.92,-0.83,-0.28,0.89,-0.69,0.81,-0.46,0.04,250.13,-18,22.85
4,-0.04,1.09,-0.83,0.11,0.97,-0.57,0.9,-0.39,-0.03,250.13,-28.02,23.6
4,0.09,1.19,-0.74,0.45,1.03,-0.72,1.03,-0.38,-0.07,250.13,-35.16,24.18
4,0.2,1.31,-0.75,0.81,1.18,-0.84,1.22,-0.33,-0.18,250.13,-40.35,26.53
4,0.18,1.43,-0.77,1.03,1.26,-0.78,1.59,-0.29,-0.35,250.13,-33.4,28.38
4,0.2,1.49,-0.74,0.72,1.4,-0.81,1.75,-0.15,-0.45,250.13,-19.33,26.01
4,0.26,1.29,-0.57,0.7,1.38,-0.83,1.4,-0.01,-0.4,250.13,-7.56,25.31
4,0.15,1.15,-0.43,0.88,1.15,-0.92,1.12,-0.03,-0.34,250.13,-1.82,25.41
4,0.01,0.97,-0.5,0.95,0.95,-1.08,0.79,-0.12,-0.22,250.13,-9.34,28.4
4,-0.04,0.98,-0.6,0.81,0.88,-1.15,0.77,-0.08,-0.28,250.13,-14.31,31.92
4,-0.2,1.09,-0.59,0.75,0.84,-1.15,0.92,-0.05,-0.33,250.13,-18.63,32.91
4,-0.22,1.04,-0.55,0.67,0.82,-1.2,1.02,-0.11,-0.3,250.13,-16.18,30.68
