FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
6,-1.19,-0.87,0.02,0.2,-0.57,0.62,0.98,0.17,0.12,1.08,-5.81,1.61
6,-0.87,-1.16,-0.47,1.83,-0.81,0.21,1.03,0.12,0.11,0.88,-5.61,3.55
6,-0.17,-1.22,-0.6,2.33,-1.27,0,1.06,0.07,0.13,4.14,-4.39,3.56
6,0.61,-1.3,-0.55,0.79,-1.65,-0.8,1.07,0.04,0.14,7.14,-5.55,1.92
6,1.5,-1.34,-0.49,-0.94,-1.4,-1.15,1.06,0.08,0.14,7.21,-7.74,0
6,2.3,-1.1,0.36,-3.1,-0.9,0.3,1.05,0.14,0.08,5.92,-8.21,1.43
6,2.32,-0.48,1.68,-2.5,-0.25,1.85,1.1,0.14,-0.08,3.93,-4.64,3.37
6,1.35,-0.22,1.88,-0.51,-0.25,1.9,1.16,0.1,-0.17,0.56,2.22,3.3
6,0.38,-0.39,1.45,1.15,-0.36,1.69,1.17,0.07,-0.08,2.3,8.34,2.14
6,-0.11,-0.47,0.99,0.75,-0.51,1.25,1.1,0.09,0.02,3.37,9.73,0.8
6,-0.1,-0.54,0.77,0.11,-0.65,0.91,1.03,0.12,0.07,1.2,9.1,-0.75
6,0.05,-0.76,0.55,0.02,-0.79,0.48,0.98,0.12,0.08,-0.45,8.21,-1.6
6,0.21,-0.82,0.34,-0.16,-0.78,0.03,0.97,0.1,0.1,0.36,7.25,-1.63
6,0.33,-0.88,-0.06,-0.1,-1,-0.15,0.98,0.07,0.1,0.76,6.54,-1.7
6,0.26,-1,-0.46,-0.26,-0.85,-0.32,0.99,0.06,0.12,0.78,4.91,-1.48
6,0.26,-1.19,-0.92,-0.19,-0.78,-0.26,1.02,0.07,0.12,1.34,3.71,-1.5
6,-0.32,-1.1,-0.92,-0.28,-0.78,0.02,1.04,0.1,0.13,0.95,2.76,-1.17
6,-1.28,-0.96,-0.55,-0.42,-0.63,0.31,1.04,0.15,0.15,0,2.64,-0.78
6,-1.56,-0.7,0.02,-0.41,-0.6,0.37,1.02,0.16,0.15,-0.6,2.85,-0.41
6,-0.5,-0.57,0.34,-0.08,-0.57,0.36,0.99,0.14,0.18,0.52,2.69,-0.06
6,0.36,-0.65,0.43,0.33,-0.54,0.09,0.96,0.09,0.18,2.41,1.68,-0.27
6,0.49,-0.78,0.45,0.09,-0.53,0.33,0.95,0.05,0.18,4.42,-1.55,-0.32
6,0.35,-0.84,0.37,-0.26,-0.51,0.7,0.97,0.04,0.17,8.08,-3.51,-0.05
6,-0.17,-0.79,0.3,-0.26,-0.56,0.97,0.98,0.08,0.16,10.13,-5.95,0.64
6,-0.69,-0.85,0.18,-0.08,-0.57,0.95,0.99,0.14,0.16,9.42,-6.66,1.69
6,-1.18,-0.99,0,0.44,-0.6,0.71,1,0.16,0.12,7.25,-7.17,2.6
6,-1.19,-1.25,-0.29,1.37,-0.76,0.33,1.02,0.15,0.1,5.08,-7.31,3.47
6,-0.81,-1.25,-0.65,1.75,-1.18,-0.29,1.05,0.11,0.1,5.16,-6.91,3.89
6,-0.28,-1.3,-0.87,1.04,-1.49,-0.55,1.07,0.07,0.1,5.31,-6.44,3.4
6,0.63,-1.27,-0.93,-0.44,-1.31,-0.32,1.09,0.07,0.14,5.75,-6.25,1.77
6,1.96,-1.27,-0.74,-0.99,-0.79,0.28,1.06,0.09,0.13,6.66,-6.31,0.74
6,2.73,-0.97,0.18,-1.08,-0.48,0.97,1.05,0.1,0.05,6.45,-6.1,0.99
6,2.54,-0.51,1.32,-1.59,-0.47,1.71,1.08,0.08,-0.05,5.4,-3.95,0.83
6,1.4,-0.08,2.09,-0.63,-0.47,1.75,1.12,0.09,-0.13,1.13,-0.06,-0.36
6,0.38,-0.29,1.75,-0.5,-0.68,1.28,1.12,0.12,-0.08,-1.52,4.29,-0.98
6,0.04,-0.47,1.13,-0.42,-0.72,0.97,1.06,0.13,0.06,-0.78,6.02,-1.56
6,0.09,-0.56,0.73,-0.2,-0.73,0.74,1.01,0.16,0.11,-1.17,4.8,-2.18
6,0.15,-0.72,0.55,-0.35,-0.75,0.45,0.99,0.15,0.1,-2.73,3.68,-2.17
6,0.33,-0.82,0.46,-0.63,-0.69,0.28,1,0.11,0.08,-2.4,3.28,-2.03
