FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,-0.14,1.31,0.06,0.33,1.12,0.14,0.95,-0.03,0.13,-29.98,-0.94,15.82
3,-0.1,1.29,0.08,0.47,1.06,0.25,0.88,-0.16,0.07,-27.37,-7.92,12.37
3,-0.05,1.31,0.11,0.55,1.06,0.33,0.98,-0.29,0.05,-22.97,-13.27,8.69
3,-0.04,1.31,0.09,0.57,1.09,0.37,1.12,-0.33,0.04,-14.87,-16.78,4.86
3,0.01,1.4,0.11,0.58,1.24,0.37,1.23,-0.17,0.02,-3.92,-15.1,2.2
3,-0.04,1.43,0.09,0.55,1.37,0.37,1.25,0.07,-0.03,-3.67,-15.18,3.05
3,-0.02,1.49,0.09,0.51,1.49,0.39,1.21,0.1,-0.08,-14.21,-14.4,4.06
3,-0.02,1.46,0.14,0.47,1.47,0.37,1.14,-0.01,-0.03,-22.76,-15.51,0.58
3,-0.01,1.37,0.14,0.42,1.41,0.37,1.11,-0.08,0.02,-22.1,-18.08,-4.48
3,-0.04,1.28,0.12,0.39,1.35,0.37,1.05,-0.06,-0.02,-18.1,-19.81,-8.38
3,-0.07,1.24,0.11,0.36,1.26,0.37,1.04,-0.02,-0.06,-16.75,-20.92,-9.31
3,-0.07,1.22,0.11,0.36,1.21,0.37,1.04,0.02,-0.03,-19.8,-19.74,-7.65
3,-0.08,1.21,0.12,0.38,1.18,0.36,0.99,0,-0.02,-24.11,-16.13,-4.4
3,-0.1,1.18,0.15,0.39,1.16,0.34,0.96,-0.04,0.02,-25.59,-12.53,-1.69
3,-0.13,1.15,0.18,0.41,1.16,0.33,0.86,-0.07,0.07,-22.27,-12.24,-0.21
3,-0.11,1.12,0.18,0.39,1.16,0.31,0.82,-0.09,0.11,-16.85,-13.12,1.05
3,-0.07,1.09,0.17,0.39,1.15,0.3,0.79,-0.08,0.07,-11.85,-14.58,2.38
3,-0.08,1.06,0.12,0.33,1.12,0.25,0.88,-0.08,0.06,-10.01,-13.21,3.33
3,-0.04,1.12,0.11,0.3,1.15,0.24,0.94,-0.1,0.09,-8.78,-11.47,4.7
3,-0.01,1.19,0.09,0.27,1.16,0.22,0.98,-0.15,0.13,-3.73,-9.11,5.18
3,0.02,1.26,0.05,0.26,1.15,0.24,1,-0.14,0.1,3.2,-6.38,4.51
3,0.02,1.29,0.03,0.26,1.16,0.24,1,-0.1,0.08,6.53,-3.04,3.95
3,0.07,1.37,0.09,0.33,1.21,0.27,1,-0.06,0.09,7.95,-0.26,3.72
3,0.05,1.29,0.03,0.29,1.16,0.2,1.01,-0.05,0.1,7.01,1.21,3.47
3,0.07,1.26,-0.01,0.27,1.16,0.2,0.99,-0.05,0.1,6.89,1.53,1.27
3,0.07,1.22,-0.01,0.26,1.15,0.17,1.05,-0.03,0.1,6.92,2.31,-1.05
3,0.02,1.19,-0.03,0.26,1.18,0.17,1.09,-0.01,0.09,6.15,4.08,-3.07
3,0.01,1.28,0,0.27,1.21,0.17,1.1,0.04,0.07,6.13,8.89,-2.21
3,-0.08,1.25,-0.01,0.27,1.22,0.17,1.08,0.09,0.05,1.05,15.24,2.12
3,-0.11,1.25,0.05,0.29,1.19,0.15,1.01,0.03,0.06,-5.33,22.18,6.38
3,-0.17,1.1,0.05,0.26,1.06,0.12,0.98,-0.02,0.05,-9.96,29.96,8.55
3,-0.14,0.98,0.05,0.24,0.95,0.09,0.96,-0.06,0.05,-14.58,40.36,7.57
3,-0.05,0.92,0.05,0.23,0.87,0.14,0.94,-0.06,0.08,-19.63,48.95,3.39
3,-0.05,0.94,0.03,0.24,0.92,0.08,1.06,0.01,0.1,-21.52,55.91,-1.72
3,-0.05,1.13,0.03,0.26,1.09,0.06,1.3,0.06,0.12,-19.45,65.56,-5.55
3,-0.1,1.37,0.03,0.35,1.29,0.06,1.42,0.07,0.15,-10.65,70.94,-9.69
3,-0.17,1.61,0.06,0.38,1.41,0.08,1.07,0.13,0.18,-1.15,68.64,-8.86
3,-0.16,1.71,0.14,0.44,1.38,0.15,0.77,0.18,0.26,-7.08,46.45,-4.05
3,-0.14,1.52,0.21,0.51,1.22,0.25,0.62,0.2,0.24,-17.86,17.03,0.1
3,-0.02,1.22,0.24,0.54,1.1,0.33,0.71,0.19,0.07,-19.88,-2.69,0.62
3,0.07,1.09,0.22,0.47,1.09,0.31,1.15,0.18,-0.01,-9.66,-4.69,-0.31
3,0.09,1.22,0.21,0.44,1.24,0.2,1.66,0.13,0.07,-4.2,1.76,3.23
3,0.01,1.64,0.21,0.44,1.52,0.14,1.99,-0.15,0.1,-2.55,0.11,8.8
3,-0.13,2.11,0.25,0.52,1.77,0.22,1.23,-0.14,0.16,24.81,-2.3,8.55
3,-0.13,2.17,0.25,0.67,1.75,0.45,0.84,0,0.09,35.87,-27.31,10.97
3,-0.08,1.75,0.31,0.7,1.53,0.6,0.78,0.06,-0.02,32.81,-51.17,7.49
3,0.01,1.32,0.34,0.63,1.24,0.55,1,0.06,-0.16,25.76,-57.82,4.37
3,0.04,1.01,0.33,0.61,1.09,0.39,1.24,0.09,-0.21,23.24,-44.82,1.98
3,0.09,0.92,0.34,0.66,1.09,0.55,1.2,0.12,-0.22,18.78,-25.53,1.2
3,0.17,0.95,0.34,0.41,1.15,0.6,1,0.05,-0.09,16.57,-12.83,0
3,0.17,1.03,0.33,0.51,1.13,0.64,0.91,0.04,-0.03,15.81,-5.63,-0.47
3,0.07,1.1,0.28,0.79,1.06,0.48,0.83,0.05,0.06,10.41,-4.31,1.32
3,-0.07,1.18,0.25,0.69,1.1,0.39,0.9,0.02,0.08,4.4,-4.89,2.98
3,-0.11,1.25,0.24,0.64,1.13,0.37,0.94,0.02,0.08,4.31,-6.5,2.21
3,-0.14,1.31,0.24,0.55,1.16,0.39,0.96,0.06,0.09,6.69,-10.85,-1.37
3,-0.16,1.37,0.27,0.41,1.21,0.4,1,0.07,0.03,8.46,-16.2,-6.27
3,-0.11,1.44,0.27,0.27,1.24,0.37,1,0.04,0.01,10.06,-20.7,-8.23
3,-0.07,1.47,0.25,0.24,1.29,0.28,1,0.02,0,9.35,-21.13,-7.28
3,-0.02,1.38,0.24,0.26,1.25,0.27,1.02,0.02,-0.02,7.53,-19.9,-4.47
3,0.01,1.28,0.22,0.3,1.22,0.28,1.07,0.04,-0.04,8.1,-18.46,-3.52
3,0.02,1.25,0.2,0.32,1.22,0.27,1.09,0.04,-0.07,11.23,-16.41,-5.79
3,0.02,1.32,0.18,0.33,1.26,0.24,1.03,0.05,-0.06,11.78,-16.07,-8.79
3,0.01,1.38,0.17,0.36,1.29,0.24,1.01,0.08,-0.07,10.47,-16.96,-10.31
3,-0.02,1.37,0.15,0.39,1.26,0.24,0.99,0.11,-0.1,6.68,-17.92,-10.24
3,-0.04,1.31,0.17,0.39,1.24,0.24,1,0.12,-0.14,2.57,-18.18,-9.96
3,-0.05,1.25,0.17,0.38,1.21,0.2,1.06,0.14,-0.17,-1.08,-15.21,-9.68
3,-0.04,1.24,0.2,0.33,1.22,0.21,1.09,0.14,-0.18,-5.18,-8.93,-9.11
3,0.02,1.31,0.25,0.32,1.19,0.2,1.07,0.14,-0.15,-7.84,-3.65,-8.28
3,-0.01,1.21,0.21,0.3,1.22,0.18,1.02,0.14,-0.14,-9.16,-2.1,-8.32
3,-0.04,1.24,0.22,0.3,1.24,0.2,1.03,0.13,-0.17,-10.02,-2.5,-9.69
3,-0.05,1.26,0.2,0.26,1.25,0.18,1.02,0.09,-0.15,-10.91,-1.6,-8.63
3,-0.07,1.28,0.21,0.29,1.24,0.17,1,0.06,-0.17,-10.6,-1.64,-4.91
3,-0.05,1.25,0.22,0.33,1.24,0.2,1.02,0.07,-0.19,-9.81,-1.88,-0.58
3,-0.05,1.24,0.21,0.33,1.24,0.21,1.02,0.08,-0.19,-9.28,-1.11,1.44
3,-0.02,1.24,0.22,0.33,1.21,0.21,1.05,0.08,-0.18,-8.65,0.41,1.45
3,-0.02,1.25,0.22,0.35,1.15,0.25,1.06,0.06,-0.19,-6.27,4.08,1.01
3,0.05,1.29,0.25,0.35,1.16,0.28,1.07,0.06,-0.2,-2.87,8.63,0.93
3,0.07,1.28,0.24,0.41,1.16,0.33,1.05,0.09,-0.22,-0.55,13.22,1.95
3,0.07,1.28,0.22,0.36,1.18,0.3,1.03,0.1,-0.18,-0.82,15.91,2.81
3,0.08,1.31,0.21,0.35,1.21,0.31,0.99,0.09,-0.16,-0.6,17.53,3.89
3,0.04,1.28,0.21,0.35,1.19,0.3,0.96,0.08,-0.16,0.6,16.33,5.24
3,0.02,1.26,0.21,0.33,1.19,0.31,1.01,0.08,-0.18,1.95,13.54,6.45
3,0.01,1.29,0.2,0.33,1.24,0.3,1.08,0.08,-0.2,4.44,12.09,7.61
3,0.01,1.35,0.2,0.32,1.29,0.28,1.12,0.09,-0.21,6.75,13.97,8.89
3,-0.02,1.4,0.2,0.32,1.37,0.31,1.15,0.1,-0.18,7.36,17.18,9.67
3,-0.02,1.41,0.2,0.32,1.35,0.31,1.16,0.13,-0.17,8.04,21.28,10.76
