FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
8,0.02,1.53,-0.13,0.33,1.34,0.58,1.53,-0.28,0.54,30.66,-2.71,-7.76
8,0.01,1.32,-0.06,0.66,1.4,0.45,1.63,0.07,0.4,26.44,-5.7,-7.54
8,0.08,1.34,-0.04,0.84,1.5,0.3,1.53,0.59,0.57,30.66,-2.27,-13.04
8,0.11,1.41,0.12,0.88,1.49,0.15,1.43,0.74,0.43,47.02,10.03,-23.5
8,0.17,1.46,0.43,0.94,1.35,0.12,0.94,0.79,0.54,46.61,4.76,-36.69
8,0.23,1.46,0.64,0.94,1.25,0.14,0.81,0.89,0.42,23.89,-10.01,-34.98
8,0.17,1.43,0.57,0.82,1.26,0.15,1.14,0.66,0.35,9.6,-12.82,-31.69
8,0.08,1.56,0.49,0.72,1.46,0.15,1.53,0.59,0.21,18.09,-0.93,-37
8,-0.07,1.5,0.62,0.61,1.5,0.12,0.94,0.56,0.29,24.37,8.88,-40.02
8,-0.08,1.24,0.73,0.6,1.25,0.14,0.64,0.43,0.34,17.94,-4.82,-36.67
8,0.04,1,0.79,0.67,1.07,0.08,0.56,0.35,0.3,21.06,-14.84,-33.23
8,0.11,0.82,0.79,0.58,0.92,-0.01,0.5,0.3,0.25,28.11,-17.99,-30.27
8,0.14,0.79,0.8,0.51,0.94,-0.07,0.46,0.31,0.18,32.65,-18.67,-25.17
8,0.21,0.84,0.82,0.47,0.91,-0.07,0.43,0.35,0.13,33.89,-16.91,-17.49
8,0.32,0.82,0.65,0.41,0.84,-0.03,0.39,0.28,0.21,38.45,-15.43,-10.31
8,0.33,0.85,0.54,0.38,0.85,-0.03,0.48,0.37,0.22,35.4,-15.18,-6.27
8,0.39,0.88,0.43,0.41,0.88,-0.03,0.62,0.51,0.17,27.87,-15.89,-2.21
8,0.39,0.95,0.33,0.39,0.95,-0.07,0.73,0.57,0.14,14.65,-16.82,0.46
8,0.3,1.01,0.27,0.38,0.98,-0.1,0.87,0.7,0.15,8.76,-16.23,6.39
