FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,-0.05,1.32,0.15,5.55,4.82,4.65,0.95,0,0.42,10.16,-5.74,-4.36
3,-0.07,1.26,0.08,5.5,4.78,4.59,0.95,-0.01,0.43,8.59,-5.87,-5.28
3,-0.07,1.26,0.06,5.46,4.78,4.61,0.95,-0.02,0.41,8.02,-6.02,-6.28
3,-0.08,1.26,0.06,5.49,4.75,4.58,0.96,-0.01,0.41,7.29,-6.15,-7.14
3,-0.05,1.31,0.06,5.5,4.79,4.64,0.95,-0.01,0.39,6.85,-6.69,-8.15
3,0.02,1.44,0.21,5.62,4.89,4.73,0.95,-0.01,0.39,6.34,-6.73,-8.77
3,-0.02,1.26,0.08,5.47,4.79,4.67,0.99,0,0.36,5.37,-5.89,-9.74
3,0.02,1.29,0.09,5.5,4.79,4.64,1.01,0,0.35,4.31,-3.89,-10.37
3,-0.02,1.26,0.06,5.44,4.78,4.61,1.02,0.01,0.34,3.53,-0.96,-10.7
3,-0.02,1.25,0.06,5.46,4.78,4.59,1.02,0.01,0.3,3.64,2.44,-10.73
3,-0.02,1.24,0.03,5.47,4.76,4.59,1.01,0.01,0.3,4.5,5.76,-10.62
3,-0.01,1.26,0.08,5.44,4.75,4.59,0.97,0.01,0.27,6.53,8.8,-10.24
3,-0.01,1.22,0.05,5.47,4.76,4.59,0.99,0.04,0.24,8.12,10.76,-9.51
3,0.07,1.28,0.08,5.44,4.75,4.62,1.14,0.1,0.2,8.02,16.83,-8.81
3,0.04,1.22,0.02,5.47,4.76,4.58,1.26,0.18,0.17,7.69,26.4,-9.07
3,0.04,1.28,0.02,5.43,4.78,4.64,1.29,0.25,0.19,5.27,36.86,-9.92
3,0.02,1.43,0.06,5.46,4.78,4.61,1.24,0.24,0.24,1.89,42.98,-11.16
3,-0.01,1.41,0.05,5.44,4.78,4.61,1.21,0.24,0.28,-1.66,44.96,-11.53
3,-0.07,1.47,0.06,5.46,4.78,4.59,1.24,0.24,0.33,-4.18,43.14,-11.57
3,-0.08,1.56,0.09,5.47,4.78,4.59,1.24,0.26,0.35,-5.31,39.06,-11.4
3,-0.17,1.61,0.14,5.43,4.78,4.61,1.18,0.26,0.36,-6.32,30.36,-12.06
3,-0.19,1.62,0.18,5.46,4.78,4.59,1.07,0.22,0.37,-5.63,20.8,-12.38
3,-0.04,1.65,0.31,5.46,4.78,4.59,1.02,0.23,0.37,-2.14,11.5,-11.81
3,0.08,1.68,0.55,5.46,4.78,4.62,1.08,0.21,0.33,1.89,4.27,-10.5
3,0.42,1.68,0.8,5.47,4.83,4.67,1.06,0.2,0.28,6.27,0.55,-8.29
3,0.32,1.64,0.83,5.47,4.76,4.59,1,0.17,0.27,11.56,-2.73,-6.21
3,-0.02,1.53,0.77,5.44,4.79,4.62,0.98,0.16,0.23,17.17,-5.36,-5.14
3,-0.3,1.46,0.64,5.46,4.79,4.61,0.95,0.16,0.21,21.83,-5.63,-5.08
3,-0.29,1.29,0.55,5.46,4.75,4.58,0.92,0.16,0.2,26.2,-4.53,-5.28
3,-0.17,1.18,0.46,5.44,4.75,4.61,0.88,0.19,0.22,28.94,-3.02,-5.11
3,-0.07,1.12,0.36,5.46,4.76,4.59,0.85,0.21,0.19,29.53,-0.75,-4.78
3,0.01,1.06,0.3,5.46,4.75,4.58,0.82,0.24,0.21,28.86,0.47,-3.95
3,0.05,1.01,0.27,5.44,4.79,4.65,0.81,0.28,0.22,26.94,0.19,-3.11
3,0.12,1.03,0.3,5.47,4.76,4.58,0.82,0.28,0.24,23.48,0.09,-2.4
3,0.23,1.03,0.2,5.44,4.75,4.58,0.86,0.29,0.23,20.68,0.94,-2.24
3,0.14,1.03,0.15,5.43,4.75,4.62,0.89,0.32,0.25,16.36,0.99,-2.64
3,0.09,1.09,0.17,5.52,4.79,4.61,0.89,0.31,0.27,11.22,-0.43,-2.28
3,0.14,1.19,0.17,5.41,4.78,4.64,0.88,0.29,0.28,8.59,-1.92,-1.55
3,0.02,1.18,0.14,5.38,4.72,4.56,0.9,0.3,0.3,6.92,-3.83,-0.15
3,-0.01,1.19,0.11,5.4,4.72,4.56,0.9,0.28,0.29,5.15,-4.79,1.35
3,-0.04,1.19,0.12,5.38,4.72,4.58,0.91,0.28,0.32,4.36,-5.68,3
3,-0.05,1.21,0.14,5.38,4.72,4.56,0.92,0.28,0.32,4.06,-5.93,5.08
3,-0.05,1.24,0.15,5.4,4.72,4.58,0.93,0.27,0.31,4,-5.97,7.36
3,0.02,1.29,0.2,5.47,4.79,4.64,0.94,0.26,0.31,3.9,-5.19,9.24
3,0.01,1.28,0.22,5.43,4.73,4.58,0.95,0.25,0.33,4.21,-3.85,10.35
3,0.07,1.26,0.17,5.38,4.72,4.56,0.95,0.23,0.34,5.35,-2.77,11.05
3,0.09,1.26,0.18,5.38,4.72,4.56,0.94,0.22,0.36,7.02,-2.05,12.27
3,0.09,1.26,0.17,5.37,4.72,4.56,0.94,0.19,0.35,8.93,-1.73,13.28
3,0.12,1.26,0.18,5.4,4.73,4.58,0.93,0.17,0.34,11.53,0.13,14.16
3,0.11,1.26,0.17,5.37,4.72,4.56,0.91,0.18,0.35,14.82,1.69,14.45
3,0.14,1.26,0.17,5.37,4.72,4.56,0.91,0.18,0.33,17.71,4.18,14.35
3,0.12,1.25,0.15,5.37,4.72,4.56,0.92,0.18,0.32,20.19,5.85,13.88
3,0.14,1.26,0.14,5.37,4.72,4.56,0.99,0.19,0.3,19.38,7.98,14.1
3,0.14,1.29,0.12,5.38,4.7,4.56,1.11,0.18,0.27,17.11,12.02,15.98
3,0.12,1.32,0.12,5.37,4.72,4.56,1.18,0.13,0.26,17.34,16.38,19.08
3,0.05,1.37,0.15,5.38,4.72,4.55,1.19,0.07,0.27,18.21,21.46,21.11
3,0.01,1.46,0.2,5.44,4.79,4.64,1.16,-0.03,0.29,20.23,23.61,20.32
3,-0.07,1.41,0.17,5.4,4.73,4.56,1.11,-0.1,0.35,26.32,22.94,18.06
3,-0.07,1.43,0.12,5.4,4.73,4.59,1.09,-0.04,0.3,34.34,20.82,17.61
3,-0.04,1.46,0.12,5.38,4.75,4.56,1.08,0.01,0.25,37.5,14.73,18.91
3,-0.02,1.49,0.15,5.41,4.73,4.58,1.13,0.02,0.27,38.8,8.52,18.63
3,0.11,1.61,0.25,5.56,4.94,4.82,1.36,0.04,0.12,37.56,5.23,16.5
3,0.05,1.59,0.2,5.38,4.73,4.64,1.34,0.07,0.1,38.12,5.71,14.67
3,0.08,1.68,0.28,5.53,4.92,4.71,1.13,0.03,0.13,33.5,3.78,15.05
3,-0.02,1.52,0.31,5.49,4.78,4.61,1.02,0.06,0.15,32.18,-0.15,15.38
3,-0.04,1.38,0.28,5.44,4.78,4.58,1.01,0.12,0.1,29.5,-0.71,13.83
3,-0.13,1.21,0.22,5.37,4.73,4.58,0.97,0.15,0.12,23.4,-3.02,11.05
3,-0.13,1.15,0.24,5.41,4.78,4.61,0.91,0.14,0.11,18.24,-4.47,6.77
3,-0.14,1.15,0.28,5.47,4.83,4.68,0.87,0.13,0.12,13.6,-7.63,3.85
3,-0.23,1.13,0.28,5.44,4.82,4.68,0.88,0.13,0.09,7.35,-11.23,3.84
3,-0.22,1.22,0.37,5.56,4.92,4.79,0.92,0.08,0.1,1.15,-15.26,5.57
3,-0.17,1.29,0.4,5.52,4.85,4.7,0.98,0.06,0.11,-1.75,-16.7,7.16
3,-0.23,1.25,0.36,5.43,4.78,4.62,1.06,0.04,0.09,-2.91,-15.19,8.34
3,-0.26,1.25,0.31,5.35,4.72,4.56,1.12,0.04,0.08,-3.02,-12,8.26
3,-0.26,1.28,0.33,5.35,4.7,4.56,1.12,0.02,0.08,-2.88,-8.37,6.97
3,-0.22,1.34,0.33,5.37,4.72,4.55,1.1,0.01,0.1,-1.44,-5.3,5.01
3,-0.2,1.37,0.34,5.37,4.72,4.56,1.06,0.02,0.11,0.52,-3.88,3.92
3,-0.16,1.4,0.37,5.37,4.73,4.56,1.05,0.04,0.09,1.85,-3.11,3.5
3,-0.1,1.38,0.34,5.35,4.72,4.55,1.05,0.05,0.09,1.82,-2.27,3.15
3,-0.1,1.34,0.33,5.35,4.72,4.56,1.03,0.06,0.09,1.21,-1.41,2.91
3,-0.08,1.37,0.31,5.37,4.72,4.56,1.03,0.06,0.12,0.37,0,3.27
3,-0.14,1.31,0.28,5.35,4.72,4.56,1.03,0.04,0.11,0.16,1.27,3.31
3,-0.17,1.29,0.27,5.35,4.72,4.55,1.04,0.02,0.12,0.47,1.58,3.63
3,-0.2,1.28,0.25,5.35,4.72,4.55,1.04,0.02,0.12,1.67,2.37,3.93
3,-0.22,1.28,0.22,5.35,4.72,4.56,1.04,0.03,0.12,2.79,2.86,3.89
3,-0.2,1.28,0.22,5.35,4.72,4.56,1.04,0.03,0.13,3.41,3.6,3.8
3,-0.14,1.31,0.25,5.41,4.82,4.7,1.04,0.03,0.13,3.05,3.63,3.01
3,-0.11,1.34,0.24,5.41,4.78,4.64,1.04,0.04,0.13,2.76,4.11,2.07
3,-0.08,1.34,0.28,5.44,4.79,4.62,1.05,0.05,0.11,2.05,4.33,1.38
3,-0.1,1.32,0.24,5.41,4.78,4.64,1.04,0.05,0.1,0.84,4.52,0.43
3,-0.08,1.32,0.22,5.41,4.78,4.64,1.04,0.07,0.11,-0.89,4.98,-0.08
3,-0.11,1.26,0.18,5.34,4.73,4.58,1.05,0.07,0.1,-3.32,5.25,-0.8
3,-0.1,1.28,0.2,5.34,4.72,4.58,1.05,0.06,0.11,-5.7,4.6,-1.84
3,-0.07,1.29,0.2,5.34,4.72,4.56,1.05,0.08,0.09,-8.38,4.62,-2.77
3,-0.11,1.26,0.2,5.34,4.73,4.58,1.05,0.09,0.08,-11.8,4.65,-3.6
3,-0.11,1.26,0.21,5.34,4.72,4.56,1.03,0.09,0.08,-14.94,4.24,-4.78
3,-0.11,1.24,0.22,5.37,4.75,4.58,1.02,0.07,0.07,-18.88,3.47,-5.66
3,-0.1,1.25,0.3,5.43,4.76,4.58,1.02,0.05,0.05,-21.88,3.05,-6.02
3,-0.08,1.21,0.25,5.34,4.72,4.55,1.04,0.03,0.05,-23.24,5.27,-6.45
3,-0.08,1.19,0.27,5.34,4.7,4.56,1.01,0.02,0.07,-24.21,6.72,-7.18
3,-0.05,1.25,0.3,5.37,4.72,4.56,1.03,0,0.05,-25.36,8.51,-8.08
3,-0.08,1.19,0.25,5.35,4.73,4.58,1.03,-0.02,0.07,-24.8,10.52,-9.21
3,-0.07,1.21,0.25,5.34,4.72,4.56,1.04,-0.03,0.09,-23.88,12.47,-10.23
3,-0.07,1.22,0.25,5.34,4.7,4.56,1.06,-0.04,0.12,-22.49,14.38,-11.16
3,-0.07,1.26,0.25,5.34,4.72,4.58,1.05,-0.07,0.15,-19.56,14.66,-12.22
3,-0.07,1.31,0.24,5.4,4.83,4.62,1.04,-0.07,0.17,-16.56,13.51,-13.48
3,-0.05,1.34,0.25,5.34,4.73,4.56,1.04,-0.07,0.2,-13.15,10.86,-14.82
3,-0.08,1.37,0.25,5.34,4.72,4.55,1.01,-0.07,0.25,-9.95,8.2,-15.28
3,-0.07,1.37,0.22,5.34,4.72,4.56,0.98,-0.06,0.27,-7.26,3.03,-14.74
3,-0.05,1.4,0.21,5.32,4.7,4.56,1.07,-0.09,0.34,-4.71,-4.18,-15.35
3,-0.04,1.46,0.17,5.32,4.7,4.56,1.25,0.06,0.25,-0.92,-5.48,-15.35
3,-0.07,1.53,0.2,5.34,4.7,4.56,1.15,0.16,0.41,-5.14,-6.51,-15.44
3,-0.1,1.53,0.2,5.32,4.7,4.56,1.13,0.14,0.45,-10.11,-12.22,-18.03
3,-0.04,1.55,0.18,5.34,4.72,4.56,1.19,0.17,0.48,-10.65,-15.64,-18.08
3,-0.1,1.52,0.14,5.34,4.72,4.55,1.2,0.22,0.46,-11.37,-14.86,-16.42
3,-0.11,1.44,0.14,5.32,4.7,4.56,0.99,0.15,0.52,-12.73,-16.23,-11.52
3,-0.13,1.37,0.17,5.32,4.7,4.56,0.91,0.08,0.51,-7.26,-19.73,-7.31
3,-0.14,1.26,0.18,5.32,4.7,4.56,0.87,0.08,0.46,0.44,-19.7,-4.77
3,-0.04,1.21,0.17,5.32,4.72,4.58,0.93,0.12,0.41,6.27,-17.41,-3.44
3,0.09,1.19,0.11,5.34,4.72,4.55,0.98,0.15,0.39,10.79,-12.29,-2.79
3,0.2,1.25,0.09,5.34,4.72,4.58,0.92,0.2,0.39,14.11,-9.31,-2.4
3,0.24,1.32,0.11,5.34,4.73,4.58,0.85,0.24,0.43,13.99,-10.18,-2.63
3,0.23,1.34,0.11,5.32,4.72,4.56,0.86,0.26,0.4,11.63,-14.65,-1.83
3,0.17,1.31,0.11,5.32,4.7,4.56,0.92,0.24,0.34,8.67,-18.26,-0.63
3,0.11,1.25,0.11,5.32,4.72,4.55,0.92,0.25,0.32,5.59,-20.07,0.76
3,0.05,1.21,0.11,5.32,4.7,4.56,0.92,0.25,0.28,2.32,-21.28,1.82
3,0.01,1.18,0.12,5.32,4.72,4.56,0.91,0.22,0.25,-0.11,-22.07,2.28
3,-0.02,1.15,0.15,5.32,4.72,4.56,0.92,0.2,0.22,-1.9,-22.36,2.88
3,0.05,1.13,0.21,5.32,4.7,4.56,0.96,0.2,0.18,-2.66,-20.08,3.54
3,0.14,1.15,0.31,5.32,4.72,4.56,0.98,0.2,0.17,-3.75,-16.29,4.12
3,0.08,1.16,0.39,5.31,4.7,4.55,0.98,0.18,0.16,-3.72,-12.28,4.17
3,0.01,1.19,0.39,5.31,4.72,4.56,0.96,0.19,0.16,-2.11,-9.5,3.52
3,0.02,1.24,0.37,5.34,4.73,4.58,0.96,0.22,0.17,-0.71,-7.19,3.05
3,-0.02,1.19,0.31,5.31,4.7,4.56,0.95,0.24,0.15,-1.05,-6.44,2.88
