FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
8,-0.07,1.49,0.22,5.38,4.52,4.37,1.09,0.12,0.31,-12.34,-17.18,10.52
8,0.05,1.53,0.28,5.46,4.6,4.48,1.09,0.08,0.27,-4.89,-16.29,12.12
8,0.18,1.52,0.31,5.47,4.6,4.46,1.04,0.08,0.24,3.34,-13.92,11.12
8,0.33,1.44,0.31,5.52,4.64,4.48,1.02,0.08,0.21,10.92,-9.71,7.41
8,0.51,1.4,0.4,5.55,4.66,4.48,1.02,0.09,0.18,17.34,-3.45,3.01
8,0.41,1.37,0.27,5.46,4.6,4.48,0.98,0.12,0.19,21.3,0.5,0.12
8,0.42,1.29,0.25,5.5,4.63,4.49,0.99,0.17,0.2,23.9,3.8,-1.67
8,0.32,1.31,0.25,5.52,4.67,4.51,1.03,0.21,0.21,24.72,7,-3.21
8,0.23,1.32,0.24,5.52,4.66,4.49,1.03,0.26,0.22,25.2,10.55,-5.48
8,0.11,1.35,0.21,5.47,4.64,4.51,1,0.29,0.27,25.59,12.11,-7.4
8,0.01,1.38,0.18,5.55,4.73,4.52,0.96,0.32,0.28,24.72,10.85,-8.39
8,-0.01,1.37,0.21,5.5,4.64,4.48,0.98,0.35,0.3,22.5,8.43,-8.51
8,0.01,1.32,0.22,5.5,4.64,4.48,1.01,0.34,0.3,19.55,6.7,-6.71
8,0.02,1.29,0.22,5.5,4.64,4.48,1.02,0.33,0.32,18.18,4.47,-4.58
8,0.07,1.26,0.24,5.49,4.64,4.48,0.96,0.26,0.32,17.69,2.89,-3.14
8,0.15,1.28,0.28,5.49,4.64,4.48,0.95,0.23,0.31,19.5,1.27,-1.63
8,0.2,1.29,0.34,5.49,4.63,4.48,0.94,0.23,0.3,21.89,-0.33,-0.33
8,0.14,1.29,0.33,5.49,4.64,4.46,0.96,0.24,0.29,24.26,-1.01,0.69
8,0.18,1.29,0.3,5.47,4.63,4.49,0.96,0.24,0.28,27.6,0.04,0.33
8,0.14,1.28,0.25,5.5,4.66,4.48,0.94,0.26,0.27,30.35,0.14,-0.38
8,0.14,1.26,0.22,5.5,4.66,4.48,0.92,0.29,0.29,32.34,-1.16,-1.24
8,0.18,1.29,0.24,5.47,4.63,4.49,0.91,0.32,0.28,32.79,-3.02,-1.76
8,0.12,1.25,0.22,5.47,4.64,4.49,0.91,0.35,0.26,31.58,-4.73,-1.33
8,0.17,1.32,0.31,5.59,4.72,4.56,0.94,0.36,0.24,30.03,-5.32,-0.47
8,0.15,1.22,0.28,5.49,4.66,4.51,0.94,0.37,0.21,28.41,-5.14,1.04
8,0.2,1.24,0.3,5.5,4.67,4.51,0.94,0.39,0.22,26.97,-4.28,2.17
8,0.21,1.26,0.36,5.47,4.66,4.51,0.93,0.4,0.21,25.4,-3.24,3.37
8,0.23,1.26,0.37,5.49,4.67,4.53,0.95,0.4,0.21,24.49,-2.1,4.63
8,0.26,1.26,0.39,5.49,4.66,4.49,0.95,0.38,0.2,24.91,0.38,6.34
8,0.24,1.25,0.39,5.49,4.66,4.48,0.9,0.39,0.21,25.34,-0.08,8.21
8,0.21,1.25,0.4,5.49,4.64,4.48,0.89,0.39,0.23,26.93,0.26,9.51
8,0.23,1.24,0.37,5.49,4.66,4.49,0.9,0.42,0.22,27.27,1.24,10.04
8,0.21,1.19,0.37,5.5,4.67,4.49,0.88,0.42,0.22,27.19,3.03,10.08
8,0.23,1.18,0.39,5.49,4.66,4.49,0.86,0.45,0.21,27.59,4.2,10.34
8,0.24,1.16,0.39,5.49,4.64,4.49,0.84,0.47,0.23,26.26,4.51,12.06
8,0.26,1.12,0.39,5.57,4.72,4.51,0.83,0.48,0.22,23.18,4.59,13.6
8,0.23,1.12,0.36,5.47,4.66,4.48,0.81,0.45,0.23,21.61,5.37,14.5
8,0.23,1.12,0.37,5.47,4.64,4.48,0.79,0.48,0.25,20.15,5.01,15.08
8,0.18,1.12,0.34,5.47,4.66,4.48,0.83,0.51,0.28,18.58,3.97,15.84
8,0.18,1.16,0.33,5.47,4.64,4.48,0.88,0.52,0.36,18.15,0.43,17.09
8,0.15,1.26,0.3,5.47,4.66,4.48,0.92,0.54,0.36,18.21,-4.06,18.76
8,0.11,1.38,0.31,5.46,4.64,4.49,0.98,0.57,0.32,16.63,-9.51,18.65
