FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.13,1.13,0.24,0.44,1.19,0.24,0.99,0.04,0.38,1.2,-1.37,0.77
4,-0.1,1.16,0.27,0.47,1.22,0.27,1,0.04,0.39,1.29,-1.51,0.75
4,-0.1,1.18,0.25,0.47,1.21,0.28,0.99,0.04,0.38,1.43,-1.4,0.52
4,-0.08,1.19,0.28,0.48,1.25,0.31,0.99,0.04,0.39,1.47,-1.47,0.56
4,-0.11,1.16,0.27,0.47,1.21,0.3,0.99,0.04,0.38,1.64,-1.65,0.21
4,-0.05,1.22,0.31,0.51,1.26,0.31,0.99,0.04,0.39,1.49,-1.63,0.06
4,-0.11,1.16,0.28,0.48,1.24,0.3,0.99,0.04,0.38,1.5,-1.68,0.14
4,-0.1,1.18,0.27,0.45,1.21,0.28,0.99,0.03,0.38,1.36,-1.58,0.27
4,-0.08,1.19,0.3,0.52,1.25,0.31,0.99,0.04,0.38,1.56,-1.59,0.27
4,-0.07,1.26,0.28,0.48,1.25,0.31,0.99,0.04,0.39,1.63,-1.46,0.5
4,-0.1,1.19,0.27,0.49,1.28,0.31,0.99,0.03,0.38,1.6,-1.1,0.21
4,-0.07,1.22,0.31,0.51,1.28,0.34,0.99,0.04,0.39,1.5,-0.98,0.08
4,-0.1,1.21,0.27,0.47,1.25,0.31,0.99,0.04,0.38,1.47,-0.91,-0.01
4,-0.1,1.19,0.27,0.47,1.25,0.31,0.99,0.03,0.38,1.34,-0.86,-0.22
4,-0.07,1.22,0.3,0.49,1.28,0.34,0.99,0.03,0.38,1.45,-0.94,-0.48
4,-0.13,1.16,0.25,0.44,1.22,0.28,0.98,0.03,0.39,1.63,-0.87,-0.49
4,-0.14,1.16,0.24,0.44,1.22,0.28,0.99,0.03,0.38,1.82,-0.92,-0.44
4,-0.1,1.21,0.25,0.45,1.24,0.28,0.99,0.03,0.39,1.98,-0.78,-0.49
4,-0.13,1.16,0.24,0.47,1.24,0.3,0.99,0.04,0.38,2.06,-0.78,-0.32
4,-0.11,1.16,0.25,0.45,1.24,0.3,1,0.04,0.38,2.04,-0.56,-0.57
4,-0.13,1.16,0.24,0.45,1.22,0.3,0.99,0.04,0.38,2.18,-0.41,-0.52
4,-0.1,1.21,0.28,0.48,1.25,0.3,0.99,0.04,0.38,2.34,-0.34,-0.53
4,-0.11,1.16,0.24,0.48,1.25,0.28,0.98,0.04,0.39,2.34,-0.52,-0.44
4,-0.11,1.15,0.25,0.47,1.22,0.28,0.98,0.04,0.38,2.08,-0.79,-0.34
4,-0.08,1.19,0.3,0.48,1.24,0.3,0.99,0.05,0.39,2.16,-0.94,-0.33
4,-0.1,1.19,0.28,0.49,1.26,0.31,0.99,0.05,0.37,1.99,-0.74,-0.24
4,-0.13,1.16,0.25,0.47,1.24,0.28,0.99,0.04,0.38,1.76,-0.36,-0.23
4,-0.07,1.22,0.31,0.49,1.24,0.27,0.99,0.05,0.38,1.63,-0.27,-0.04
4,-0.08,1.19,0.28,0.49,1.26,0.3,0.98,0.05,0.38,1.49,-0.59,0.38
4,-0.11,1.15,0.27,0.45,1.24,0.3,0.99,0.05,0.39,1.49,-0.49,0.55
4,-0.13,1.16,0.25,0.47,1.24,0.31,0.99,0.05,0.37,1.38,-0.47,0.62
4,-0.1,1.18,0.27,0.48,1.25,0.31,0.99,0.04,0.38,1.42,-0.6,0.5
4,-0.08,1.21,0.28,0.48,1.25,0.31,0.99,0.04,0.38,1.05,-0.66,0.5
4,-0.11,1.18,0.27,0.48,1.24,0.28,0.99,0.04,0.39,1.03,-0.78,0.34
4,-0.07,1.21,0.28,0.49,1.25,0.3,0.99,0.04,0.38,0.98,-0.69,-0.08
4,-0.08,1.19,0.27,0.48,1.24,0.3,0.99,0.04,0.4,0.94,-0.66,0.02
4,-0.1,1.18,0.27,0.47,1.22,0.28,0.99,0.05,0.39,1.08,-0.76,-0.43
4,-0.1,1.18,0.27,0.45,1.22,0.28,0.99,0.04,0.39,0.89,-0.92,-0.61
4,-0.11,1.18,0.25,0.47,1.22,0.28,0.99,0.04,0.39,1.17,-1.02,-0.79
4,-0.07,1.22,0.31,0.51,1.28,0.31,0.99,0.04,0.38,1.44,-1.05,-0.64
4,-0.11,1.16,0.25,0.45,1.22,0.27,0.99,0.05,0.38,1.68,-0.76,-0.64
4,-0.07,1.21,0.28,0.49,1.25,0.3,0.99,0.05,0.39,1.86,-0.78,-0.36
4,-0.1,1.16,0.25,0.45,1.22,0.25,0.99,0.05,0.38,2.02,-0.92,-0.37
4,-0.11,1.16,0.25,0.47,1.21,0.27,0.98,0.05,0.38,2.16,-0.82,-0.2
4,-0.08,1.19,0.3,0.51,1.25,0.3,0.99,0.05,0.38,2.37,-1.05,-0.04
4,-0.1,1.16,0.24,0.45,1.21,0.27,0.99,0.05,0.39,2.44,-0.57,-0.02
4,-0.1,1.19,0.25,0.47,1.22,0.28,0.99,0.05,0.38,2.51,-0.28,0.08
4,-0.11,1.19,0.28,0.49,1.25,0.3,0.99,0.05,0.38,2.5,-0.15,0.13
4,-0.1,1.16,0.24,0.47,1.22,0.27,0.99,0.05,0.38,2.6,-0.21,0.27
4,-0.1,1.19,0.28,0.48,1.25,0.3,0.99,0.05,0.38,2.76,0.11,0.5
4,-0.08,1.19,0.27,0.49,1.25,0.28,0.99,0.05,0.39,2.94,0.23,0.39
4,-0.13,1.13,0.22,0.44,1.19,0.25,0.99,0.06,0.38,3.31,-0.04,0.62
4,-0.1,1.16,0.24,0.45,1.22,0.28,0.99,0.07,0.39,3.67,0.36,0.69
4,-0.05,1.25,0.34,0.54,1.28,0.33,1,0.07,0.38,3.66,0.68,0.93
4,-0.08,1.21,0.28,0.49,1.26,0.3,0.99,0.08,0.38,3.83,0.7,0.97
4,-0.04,1.25,0.33,0.55,1.31,0.34,0.99,0.1,0.38,3.58,1.06,1.14
4,-0.04,1.21,0.31,0.52,1.28,0.33,0.99,0.1,0.38,3,2.08,1.33
4,-0.05,1.19,0.3,0.51,1.24,0.31,0.98,0.11,0.38,2.06,2.44,1.37
4,-0.08,1.18,0.28,0.49,1.22,0.27,0.97,0.11,0.39,0.89,2.34,1.11
4,-0.02,1.21,0.31,0.52,1.28,0.3,0.97,0.1,0.4,-1.01,1.63,0.97
4,-0.07,1.18,0.28,0.49,1.25,0.25,0.97,0.09,0.4,-2.05,1.47,1.03
4,-0.07,1.16,0.27,0.48,1.24,0.24,0.98,0.07,0.4,-3.1,1.17,1.18
4,-0.04,1.21,0.3,0.49,1.26,0.27,0.99,0.04,0.4,-3.4,0.72,1.07
4,-0.08,1.19,0.27,0.45,1.25,0.24,1,0.03,0.39,-3.71,0.3,1.35
4,-0.04,1.25,0.28,0.45,1.24,0.24,1.02,0.03,0.38,-4.62,0,1.71
4,-0.07,1.22,0.28,0.47,1.26,0.25,1.03,-0.01,0.38,-5.82,1.64,1.83
4,-0.08,1.18,0.25,0.45,1.22,0.25,1.02,-0.07,0.39,-5.92,3.16,0.6
4,-0.08,1.21,0.28,0.47,1.26,0.31,1,-0.1,0.39,-4.72,4.39,0.44
4,-0.13,1.16,0.22,0.42,1.19,0.25,0.96,-0.14,0.41,-2.39,4.88,1.94
4,-0.08,1.21,0.27,0.47,1.24,0.33,0.94,-0.16,0.42,0.19,5.31,4.43
4,-0.1,1.16,0.21,0.45,1.19,0.3,0.96,-0.18,0.44,4.39,4.82,6.56
4,-0.11,1.16,0.18,0.45,1.16,0.27,0.95,-0.19,0.44,9.79,4.14,7.48
4,-0.08,1.22,0.22,0.45,1.22,0.36,0.92,-0.2,0.43,16.12,2.48,6.62
4,-0.11,1.18,0.17,0.39,1.15,0.33,0.91,-0.17,0.41,21.92,-0.63,4.57
4,-0.07,1.22,0.2,0.42,1.18,0.39,0.95,-0.12,0.39,26.92,-3.8,2.61
4,-0.08,1.21,0.17,0.42,1.18,0.36,1.04,-0.02,0.39,30.56,-4.19,1.66
4,-0.11,1.19,0.12,0.41,1.19,0.31,1.24,0.1,0.33,32.23,1.39,0.48
4,-0.08,1.29,0.15,0.47,1.32,0.34,1.24,0.18,0.34,29.6,10.69,-0.35
4,-0.11,1.28,0.14,0.47,1.38,0.3,1.05,0.19,0.41,25.66,15.01,-1.37
4,-0.17,1.28,0.21,0.48,1.43,0.3,0.93,0.23,0.44,22.85,14.4,-0.55
4,-0.2,1.19,0.21,0.45,1.37,0.25,0.88,0.23,0.47,19.96,11.17,0.37
4,-0.25,1.1,0.22,0.42,1.28,0.21,0.85,0.23,0.47,17.1,7.5,1.45
4,-0.22,1.1,0.28,0.45,1.26,0.25,0.8,0.23,0.47,14.36,3.05,2.44
4,-0.22,1.03,0.3,0.44,1.21,0.21,0.78,0.23,0.44,11.24,-3.05,3.24
4,-0.14,1.07,0.34,0.49,1.26,0.27,0.82,0.22,0.39,6.57,-10.53,3.63
4,-0.08,1.1,0.37,0.48,1.25,0.22,0.89,0.19,0.39,2.85,-14.55,3.01
4,-0.02,1.16,0.37,0.44,1.25,0.2,1.04,0.18,0.34,-0.63,-14.69,1.64
4,0.07,1.22,0.4,0.45,1.31,0.22,1.18,0.13,0.3,-4.66,-9.91,0.33
4,0.05,1.21,0.37,0.42,1.29,0.18,1.18,0.09,0.31,-6.72,-2.77,-1.54
