FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.9,0.42,-1.63,1.26,0.97,-1.55,1.03,-0.64,-0.5,-250.14,26.36,-136.77
4,-0.87,0.54,-1.27,1.38,0.76,-1.23,0.67,-0.66,-0.45,-250.14,24.85,-132.22
4,-0.75,0.52,-1.18,1.22,0.45,-0.96,0.39,-0.83,-0.35,-250.14,20.61,-131.98
4,-0.57,0.38,-1.26,1.15,0.33,-0.87,0.35,-1.08,-0.23,-250.14,8.02,-135.76
4,-0.69,0.58,-1.21,0.85,0.48,-0.87,0.78,-1.14,-0.05,-250.14,-6.73,-145.7
4,-0.84,0.89,-1.11,0.73,0.63,-0.95,1.21,-0.92,-0.01,-250.14,-10.6,-155.68
4,-1.06,1.12,-1.08,1.09,0.73,-0.95,1.52,-0.75,-0.05,-250.14,-4.77,-162.11
4,-1.13,1.1,-1.08,1.16,0.82,-1.03,1.37,-0.63,-0.01,-250.14,5.14,-157.72
4,-1.1,1.25,-1.12,1.26,0.84,-1.17,1.02,-0.66,0.18,-250.14,7.41,-150.83
4,-0.88,1.13,-1.02,1.31,0.87,-1.14,0.84,-0.65,0.23,-250.14,-1.66,-146.76
4,-0.81,1.1,-0.95,1.19,0.91,-1,0.94,-0.49,0.19,-250.14,-13.84,-145.89
4,-0.85,1.12,-0.86,1.13,0.98,-0.9,1.14,-0.26,0.19,-250.14,-19.63,-144.97
4,-0.94,1.15,-0.8,1.15,1.03,-0.9,1.25,-0.19,0.15,-250.14,-19.81,-138.53
4,-0.96,1.15,-0.75,1.25,1.04,-0.89,1.09,-0.31,0.11,-250.14,-17.52,-126.14
4,-0.84,1,-0.74,1.32,0.94,-0.77,0.82,-0.28,0.13,-250.14,-21.64,-113.87
4,-0.69,0.97,-0.74,1.25,0.92,-0.55,0.79,-0.26,0.22,-250.14,-29.79,-106.82
4,-0.68,1,-0.75,1.04,0.88,-0.56,0.97,-0.19,0.23,-250.14,-36.84,-103.62
4,-0.72,1.13,-0.71,0.98,0.97,-0.59,1.07,-0.25,0.1,-250.14,-38.24,-99.3
4,-0.72,1.13,-0.66,0.97,0.97,-0.55,1.03,-0.29,0.09,-250.14,-31.95,-91.73
4,-0.62,1.12,-0.74,0.95,0.89,-0.46,1.02,-0.15,0.21,-243.17,-27.05,-87.94
4,-0.48,1.22,-0.75,0.91,0.97,-0.41,1.18,-0.05,0.33,-234.87,-24.48,-88.6
4,-0.39,1.47,-0.74,0.88,1.19,-0.38,1.41,-0.03,0.29,-230.56,-22.95,-91.73
4,-0.45,1.65,-0.74,0.82,1.32,-0.43,1.53,-0.15,0.27,-223.91,-14.37,-92.15
4,-0.44,1.72,-0.5,0.95,1.46,-0.4,1.35,-0.23,0.3,-212.74,-7.88,-88.42
4,-0.35,1.66,-0.26,0.98,1.46,-0.23,1.05,-0.28,0.41,-194.75,-10.33,-82.8
4,-0.25,1.62,-0.15,1.09,1.46,-0.07,0.93,-0.21,0.4,-176.42,-21.88,-75.3
4,-0.25,1.66,-0.19,1.24,1.41,0.05,0.95,-0.1,0.34,-166.06,-31.76,-66.81
4,-0.36,1.64,-0.2,1.16,1.32,0.3,1.03,-0.06,0.29,-161.34,-36.66,-61.86
4,-0.41,1.58,-0.15,1.06,1.31,0.79,1.1,-0.04,0.24,-157.9,-33.44,-59.11
4,-0.5,1.5,-0.06,0.87,1.4,1.04,1.08,-0.03,0.19,-154.85,-25.15,-55.27
4,-0.41,1.52,0.06,0.6,1.34,1.02,0.95,-0.12,0.21,-147.41,-17.66,-51.25
