FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,-0.14,1.15,0.2,0.47,1.19,0.21,0.98,0.06,0.41,2.82,-0.54,0.78
10,-0.1,1.18,0.21,0.48,1.22,0.24,0.98,0.06,0.4,2.82,-0.67,0.63
10,-0.1,1.18,0.22,0.48,1.22,0.24,0.99,0.06,0.39,2.73,-0.55,0.47
10,-0.07,1.19,0.24,0.49,1.24,0.28,0.98,0.06,0.4,2.73,-0.56,0.45
10,-0.1,1.16,0.22,0.47,1.22,0.24,0.99,0.06,0.4,2.82,-0.44,0.49
10,-0.07,1.22,0.27,0.48,1.22,0.25,0.98,0.06,0.42,2.88,-0.16,0.6
10,-0.1,1.16,0.24,0.51,1.25,0.27,0.99,0.06,0.4,2.66,-0.31,0.63
10,-0.07,1.21,0.28,0.51,1.25,0.28,0.99,0.06,0.4,2.66,-0.38,0.57
10,-0.05,1.22,0.28,0.52,1.29,0.33,0.98,0.06,0.4,2.8,-0.2,0.64
10,-0.07,1.19,0.27,0.49,1.25,0.28,0.98,0.06,0.4,2.71,-0.16,0.66
10,-0.08,1.22,0.28,0.52,1.28,0.31,0.98,0.06,0.4,2.79,0,0.48
10,-0.08,1.25,0.3,0.6,1.35,0.37,0.98,0.06,0.4,2.49,-0.15,0.52
10,-0.07,1.21,0.25,0.49,1.25,0.28,0.98,0.06,0.41,2.53,-0.11,0.4
10,-0.08,1.21,0.25,0.49,1.26,0.28,0.98,0.06,0.41,2.47,-0.15,0.63
10,-0.1,1.18,0.22,0.47,1.22,0.25,0.98,0.07,0.41,2.34,-0.04,0.6
10,-0.11,1.18,0.22,0.47,1.22,0.25,0.99,0.06,0.4,2.35,-0.21,0.68
10,-0.05,1.21,0.25,0.51,1.26,0.3,0.98,0.07,0.4,2.14,-0.11,0.72
10,-0.11,1.18,0.22,0.47,1.22,0.25,0.98,0.06,0.41,2.31,-0.16,0.34
10,-0.08,1.19,0.24,0.49,1.28,0.3,0.98,0.06,0.4,2.14,-0.18,0.45
10,-0.1,1.19,0.24,0.49,1.24,0.27,0.98,0.07,0.41,2.09,-0.07,0.62
10,-0.11,1.16,0.22,0.47,1.21,0.25,0.98,0.06,0.4,2.02,-0.16,0.63
10,-0.08,1.21,0.24,0.51,1.25,0.28,0.98,0.06,0.41,1.73,-0.22,0.61
10,-0.11,1.16,0.22,0.48,1.21,0.24,0.98,0.06,0.41,1.9,-0.12,0.75
10,-0.1,1.19,0.24,0.49,1.25,0.28,0.98,0.06,0.41,1.92,-0.02,0.63
10,-0.1,1.19,0.24,0.49,1.25,0.25,0.98,0.06,0.4,1.71,-0.41,0.72
10,-0.08,1.18,0.21,0.48,1.22,0.24,0.98,0.06,0.4,1.76,-0.42,0.81
10,-0.07,1.22,0.27,0.52,1.26,0.28,0.99,0.05,0.41,1.84,-0.29,0.67
10,-0.11,1.16,0.22,0.47,1.21,0.24,0.98,0.06,0.4,1.7,-0.31,0.34
