FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,-0.62,-0.23,0.74,0.51,-0.22,0.79,1.03,0.11,0.15,2.11,3.84,3.95
5,-0.53,-0.19,0.68,0.51,-0.17,0.8,1.04,0.09,0.14,0.38,4.04,2.77
5,-0.56,-0.25,0.64,0.49,-0.19,0.79,1.08,0.08,0.14,2.41,6.5,2.2
5,-0.6,-0.28,0.71,0.47,-0.2,0.8,1.06,0.12,0.21,3.82,8.54,2.44
5,-0.68,-0.28,0.79,0.45,-0.2,0.83,1,0.13,0.24,4.85,8.31,3.43
5,-0.65,-0.23,0.88,0.49,-0.16,0.88,1,0.1,0.22,2.95,6.52,3.56
5,-0.66,-0.28,0.79,0.48,-0.13,0.85,1.01,0.08,0.2,2.2,5.25,2.48
5,-0.6,-0.26,0.73,0.42,-0.16,0.76,1.03,0.07,0.21,3.08,4.42,1.23
5,-0.62,-0.22,0.77,0.48,-0.13,0.8,1.03,0.07,0.21,4.47,4.18,0.34
5,-0.57,-0.25,0.73,0.52,-0.11,0.88,1.04,0.08,0.2,5.42,5.35,-0.31
5,-0.63,-0.22,0.85,0.6,-0.16,0.89,1.01,0.1,0.22,6.02,5.85,0.08
5,-0.63,-0.26,0.91,0.57,-0.19,0.89,1,0.1,0.25,6.36,5.46,0.94
5,-0.63,-0.29,0.91,0.51,-0.22,0.83,1.01,0.1,0.22,6,5.08,1.11
5,-0.65,-0.25,0.92,0.55,-0.19,0.77,1.02,0.1,0.21,4.8,4.28,1.64
5,-0.62,-0.28,0.85,0.57,-0.17,0.79,1.04,0.09,0.21,4.14,4.1,1.68
5,-0.6,-0.26,0.85,0.6,-0.16,0.83,1.05,0.08,0.22,4.44,4.73,1.82
5,-0.57,-0.28,0.8,0.54,-0.2,0.76,1.03,0.09,0.22,4.46,5.33,1.21
5,-0.59,-0.28,0.76,0.51,-0.16,0.7,1.01,0.09,0.23,4.14,4.67,0.73
5,-0.63,-0.29,0.74,0.54,-0.17,0.71,1,0.09,0.23,3.74,2.7,0.49
5,-0.6,-0.25,0.77,0.57,-0.13,0.79,1,0.09,0.23,3.89,0.44,0.26
5,-0.62,-0.25,0.76,0.55,-0.16,0.76,1.01,0.1,0.22,4.18,-1.32,-0.16
5,-0.6,-0.17,0.85,0.61,-0.11,0.83,1.02,0.11,0.22,3.53,-1.73,-0.42
5,-0.65,-0.2,0.85,0.63,-0.1,0.77,1.03,0.11,0.2,2.39,-2.55,-0.85
5,-0.6,-0.2,0.79,0.57,-0.13,0.79,1.03,0.1,0.19,1.56,-2.48,-1.09
5,-0.57,-0.2,0.74,0.54,-0.14,0.76,1.04,0.11,0.2,1.68,-1.66,-1.43
5,-0.53,-0.19,0.77,0.55,-0.13,0.76,1.04,0.1,0.2,1.53,-1.46,-1.07
5,-0.57,-0.23,0.7,0.49,-0.16,0.74,1.02,0.1,0.19,1.56,-1.05,-0.13
5,-0.5,-0.17,0.77,0.57,-0.11,0.8,1.03,0.09,0.2,1.92,-0.96,0.67
5,-0.54,-0.25,0.65,0.48,-0.17,0.71,1.02,0.1,0.2,2.1,-1.34,1.26
5,-0.51,-0.2,0.67,0.52,-0.14,0.76,1.02,0.09,0.21,2.19,-1.27,1.91
5,-0.51,-0.23,0.64,0.49,-0.17,0.74,1.02,0.09,0.2,3.11,-0.99,2.01
5,-0.56,-0.23,0.65,0.49,-0.19,0.77,1.03,0.09,0.19,3.56,-0.42,1.78
5,-0.62,-0.3,0.79,0.61,-0.16,0.88,1.01,0.1,0.22,4.59,0.18,1.8
5,-0.66,-0.47,0.77,0.54,-0.3,0.8,0.98,0.09,0.26,4.75,-2.17,2.4
5,-0.7,-0.65,0.86,0.55,-0.54,0.95,0.95,0.1,0.28,5.12,-10.7,3.03
5,-0.65,-0.78,1.04,0.52,-0.79,1.28,1.01,0.05,0.29,4.6,-11.12,2.36
5,-0.36,-1.03,1.56,0.51,-1.03,1.69,1.04,0.08,0.36,9.57,-9.73,2.35
5,-0.32,-1.16,2.18,0.42,-1.15,2.05,1,0.15,0.39,12.47,-12.15,3.1
5,-0.26,-1.22,2.42,0.32,-1.03,2.39,0.96,0.17,0.33,0.39,-16.08,1.69
5,-0.25,-0.93,2.55,0.29,-0.65,2.62,1,0.14,0.36,-4.68,-19.41,2.18
5,-0.02,-0.6,2.48,0.26,-0.32,2.49,1.02,0.05,0.26,-1.99,-19.71,2.4
5,0.11,-0.22,2,0.08,0.12,2.25,1.08,0.11,0.09,-2.49,-18.28,3.01
5,0.44,0.23,1.44,-0.26,0.92,1.62,1.17,0.11,-0.01,-9.43,-21.63,2.89
5,0.27,0.51,1.22,-0.54,1.34,1.2,1.26,0.14,0,-5.66,-21.24,4.8
5,0.04,0.82,1.04,-0.44,1.55,0.83,1.25,0.21,-0.03,2.58,-22.08,9.81
5,-0.11,0.91,0.58,-0.28,1.46,0.52,1.22,0.14,0.08,12.73,-29.85,11.62
5,-0.05,1.01,0.22,-0.02,1.46,0.46,1.08,0.15,0.03,15.31,-19.28,14.73
5,-0.13,1.12,0.09,0.14,1.32,0.21,0.82,0.07,-0.09,16.01,-13.56,14.99
5,-0.73,1.06,-0.04,0.42,1.12,-0.06,0.8,0.08,-0.31,3.59,6.25,11.94
5,-0.72,0.94,-0.32,0.52,0.98,-0.25,0.69,0,-0.08,-5.56,15.6,4.47
5,-0.75,0.75,-0.68,0.55,0.75,-0.41,0.73,-0.11,0.14,0.47,13.37,-4.66
5,-0.76,0.54,-0.74,0.69,0.52,-0.46,0.78,-0.15,0.11,16.41,13.34,-10.76
5,-0.87,0.39,-0.68,0.73,0.17,-0.66,0.89,-0.02,0.04,17.96,21.86,-13.42
5,-0.68,0.24,-0.63,0.81,-0.01,-0.8,0.96,0.29,0.33,18.09,18.47,-4.27
5,-0.53,0.04,-0.63,0.89,-0.08,-0.72,1.3,0.27,0.15,11.79,25.08,9.58
5,-0.28,-0.01,-0.5,1.01,-0.13,-0.62,1.34,0.14,0.21,13.78,25.43,17.15
5,-0.39,-0.01,-0.4,1.53,-0.5,-0.86,1.23,0.11,0.18,13.83,28.15,18.65
5,-0.45,-0.16,-0.47,0.84,-0.75,-0.81,1.06,0.09,0.21,3.11,35.26,17.21
5,-1.12,-0.79,-0.62,0.15,-0.87,0.14,0.85,-0.02,0.41,0.04,21.74,13.2
5,-1.67,-1.27,0.2,-0.33,-1.22,0.73,0.89,-0.07,0.47,7.33,19.85,7.85
5,-2.82,-1.37,2.22,0.02,-1.82,1.5,1.16,-0.17,0.3,25.05,21.35,0.48
5,-3.1,-1.73,3.22,1.01,-1.64,2.8,1.28,0.11,0.22,25.9,33.73,-1.65
