FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,-0.42,1.25,-0.22,0.94,1.38,-0.19,1.02,0.23,0.31,21.63,3.53,7.27
5,-0.54,1.37,-0.23,0.97,1.53,-0.34,1,0.21,0.33,19.34,3.32,5.99
5,-0.56,1.31,-0.22,0.97,1.56,-0.46,0.97,0.18,0.35,17.65,1.85,5.94
5,-0.32,1.22,-0.15,1.09,1.37,-0.49,0.92,0.17,0.37,17.42,-3.66,7.13
5,-0.29,1.07,-0.09,0.87,1.26,-0.37,0.95,0.19,0.33,15.07,-0.73,9.53
5,-0.29,1.09,-0.04,0.73,1.24,-0.26,1.01,0.2,0.34,15.98,4.24,13.82
5,-0.3,0.95,-0.01,0.78,1.1,-0.26,0.98,0.18,0.31,14.88,9.49,20.25
5,-0.28,0.87,-0.1,0.57,1.07,-0.37,0.91,0.16,0.32,12.55,11.61,24.15
5,-0.23,0.92,-0.15,0.58,0.95,-0.26,0.83,0.16,0.3,9.51,13,25.56
5,-0.25,0.89,-0.13,0.57,1.07,-0.16,0.81,0.16,0.29,6.34,13.94,24.82
5,-0.19,0.85,-0.23,0.38,0.95,-0.16,0.81,0.16,0.34,2.63,15.5,22.56
5,-0.04,1.06,-0.25,0.42,1.01,-0.22,1.25,0.28,0.36,-6.76,12.49,23.18
5,-0.05,1.09,-0.47,0.38,1.12,-0.35,1.59,-0.03,0.23,-12.52,21.66,25.02
5,-0.11,1.31,-0.49,0.36,1.25,-0.38,1.25,-0.31,0.62,-7.63,27.38,22.14
5,-0.3,1.32,-0.43,0.41,1.28,-0.29,1.1,-0.36,0.56,10.07,22.68,19.79
5,-0.38,1.32,-0.4,0.44,1.25,-0.19,0.99,-0.13,0.54,18.52,14.38,15.98
5,-0.47,1.28,-0.4,0.41,1.22,-0.12,0.92,0.01,0.5,16.43,2.55,12.85
5,-0.51,1.1,-0.41,0.45,1.03,-0.09,0.85,0.05,0.44,13.02,-10.44,9.73
5,-0.69,0.88,-0.41,0.44,0.88,-0.12,0.79,0,0.41,12.75,-19.47,6.41
5,-0.68,0.84,-0.35,0.41,0.82,-0.1,0.81,-0.04,0.37,15.89,-24.87,2.07
5,-0.45,0.81,-0.43,0.44,0.76,-0.12,0.85,-0.03,0.32,16.27,-26.98,-1.38
5,-0.35,0.79,-0.38,0.45,0.85,-0.1,0.89,0,0.28,15.4,-28.53,-1.76
5,-0.3,0.76,-0.37,0.48,0.79,-0.31,1.06,0.05,0.31,17.84,-31.5,2.22
5,-0.33,0.85,-0.15,0.64,0.98,-0.23,1.01,-0.02,0.25,13.22,-21.24,5.73
5,-0.44,0.89,-0.23,0.51,0.98,-0.2,0.92,-0.07,0.29,16.24,-19.84,8.55
5,-0.45,0.85,-0.26,0.39,1,-0.12,0.89,-0.07,0.38,15.62,-21.95,10.75
5,-0.38,1.03,-0.34,0.44,1.01,-0.13,1.19,0.02,0.36,14.61,-23.94,13.68
5,-0.33,1.1,-0.4,0.52,1.16,-0.18,1.22,-0.02,0.2,14.96,-18.67,12.31
5,-0.69,1,-0.44,0.97,1.04,-0.37,0.98,0.07,0.29,6.69,-16.86,3.57
5,-1.18,1.18,-0.32,1.16,1.04,-0.26,0.96,0.06,0.32,5.76,-14.34,-0.69
5,-1.18,1.29,-0.19,0.98,1.16,-0.04,1.03,0.01,0.28,6.13,-15,-2.43
5,-0.85,1.29,-0.18,0.69,1.21,-0.07,0.97,-0.01,0.27,4.76,-12.85,-2.62
5,-0.73,1.5,-0.25,1.19,1.4,-0.01,0.88,-0.06,0.39,9.99,-13.44,0.02
5,-0.99,1.75,-0.23,1.24,1.44,0.2,0.89,-0.03,0.36,10.77,-18.47,3.78
5,-1.43,1.9,0.11,0.85,1.5,0.65,0.98,0.01,0.35,9.51,-21.31,6.89
5,-1.71,1.96,0.08,0.92,1.35,0.67,0.98,0.02,0.32,8.5,-24.71,8.66
5,-1.39,1.99,0.27,1.19,1.22,0.58,1.01,-0.02,0.31,7.46,-29.89,8.92
5,-1.25,1.62,0.39,0.97,1.16,0.85,1.01,-0.01,0.36,8.5,-36.02,8.04
5,-1,1.25,0.3,0.63,0.97,0.86,1.03,-0.03,0.35,9.08,-38.95,5.94
5,-0.7,1.16,-0.03,0.47,0.81,0.67,1.07,0.02,0.21,7.94,-38.6,3.92
