FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
0,0.73,1.9,0.57,-0.32,2.12,0.77,0.92,-0.05,0.29,4.52,-16.34,-4.92
0,0.97,2.09,0.57,-0.29,2.26,0.86,0.96,-0.02,0.22,0.5,-17.47,-4.4
0,1.21,2.23,0.58,-0.36,2.35,0.83,0.91,-0.01,0.22,-6.25,-22.18,-3.96
0,1.12,2.27,0.57,-0.38,2.38,0.71,0.92,0.02,0.21,-10.52,-30.98,-3.95
0,0.94,2.21,0.49,-0.29,2.3,0.61,0.92,-0.01,0.19,-10.49,-39.18,-2.73
0,0.73,2.27,0.46,-0.1,2.38,0.6,0.95,-0.07,0.2,-8.6,-47.02,-2.66
0,0.49,2.32,0.42,0.09,2.44,0.62,1.01,-0.14,0.15,-6.98,-50.35,-3.47
0,0.2,2.27,0.3,0.21,2.44,0.52,1.06,-0.14,0.14,-9.21,-42.89,-6.82
0,0.12,2.2,0.22,0.21,2.33,0.4,1.14,-0.16,0.09,-5.86,-33.67,-8.93
0,0.11,2.11,0.15,0.17,2.23,0.34,1.16,-0.2,0.1,-0.68,-23.78,-12
0,0.08,2.08,0.14,0.21,2.14,0.25,1.12,-0.07,0.19,3.89,-17.88,-10.34
0,0.07,1.9,0.02,0.12,1.99,0.17,1.13,-0.05,0.12,6.72,-14.85,-6.09
0,0.02,1.74,-0.03,0.26,1.68,0.17,1.14,-0.05,0.02,15.22,-10.59,-1.79
0,-0.07,1.58,0.09,0.29,1.65,0.3,1.24,-0.2,0,15.7,-9.24,-0.76
0,-0.14,1.34,0.22,0.38,1.4,0.31,1.08,-0.04,0.08,16.89,-7.16,0.18
0,-0.2,1.12,0.27,0.42,1.22,0.36,1.07,-0.07,0.06,15.19,-3.79,0.09
0,-0.28,1.06,0.37,0.33,1.16,0.43,1.08,-0.05,0.11,14.76,-3.82,0.56
0,-0.26,1,0.43,0.2,1.06,0.4,1.1,-0.05,0.07,14.62,-1.65,2.11
0,-0.14,0.85,0.39,0.21,0.87,0.3,1.04,-0.07,0.06,14.86,-0.95,2.01
0,0.05,0.79,0.31,0.3,0.76,0.22,1.03,-0.05,0.04,14.55,1.77,0.89
0,0.08,0.6,0.14,0.21,0.57,0.05,1.02,-0.02,0.07,12.75,4.05,0.43
0,0.11,0.45,-0.01,0.29,0.39,-0.07,1.06,0,0.08,10.27,7.75,-0.05
0,0.01,0.24,-0.13,0.36,0.14,-0.18,1.06,0,0.12,4.53,8.27,0.16
0,-0.07,0.05,-0.22,0.3,-0.11,-0.18,1.05,0.02,0.12,1.63,9.37,0.23
0,-0.2,-0.14,-0.26,0.32,-0.23,-0.15,1.03,0.01,0.1,2.24,10.35,1.07
0,-0.32,-0.28,-0.29,0.35,-0.28,-0.15,1.03,-0.06,0.14,1.95,10.15,1.86
0,-0.33,-0.36,-0.31,0.32,-0.26,-0.2,1.02,-0.06,0.09,5.25,14.6,1.67
0,-0.29,-0.28,-0.23,0.38,-0.23,-0.25,1.02,-0.07,0.14,9.36,17.37,1.99
0,-0.29,-0.29,-0.23,0.35,-0.25,-0.31,1.03,-0.05,0.13,8.05,16.7,1.84
0,-0.2,-0.26,-0.25,0.32,-0.23,-0.32,1.03,-0.01,0.11,4.9,16.73,2.37
0,-0.1,-0.16,-0.2,0.29,-0.14,-0.28,1.01,-0.02,0.15,4.62,18.15,3.64
0,-0.07,-0.02,-0.18,0.24,-0.04,-0.25,1.05,-0.03,0.15,5.34,19.6,5.26
0,-0.04,0.15,-0.12,0.3,0.14,-0.16,1.08,-0.04,0.15,5.73,19.91,6.35
0,-0.07,0.29,-0.06,0.26,0.27,-0.13,1.08,-0.04,0.15,4.2,19.39,6.16
0,-0.07,0.48,0.02,0.27,0.45,0.02,1.06,-0.06,0.18,2.89,18.72,5.64
0,-0.01,0.63,0.12,0.32,0.6,0.09,1.05,-0.05,0.19,2.34,17.82,5.44
0,-0.02,0.7,0.21,0.32,0.7,-0.01,1.01,0,0.14,1.72,16.02,5.77
0,-0.04,0.97,0.08,0.33,0.95,0.3,0.97,0.05,0.13,-6.3,15.6,8.11
0,-0.05,1.29,-0.15,0.3,1.28,0.54,0.99,-0.08,0.22,-17,13.44,8.07
0,-0.02,1.52,0.2,0.26,1.43,0.46,1.01,-0.19,0.32,-16.01,11.63,4.31
0,-0.08,1.47,0.4,0.21,1.58,0.15,0.98,-0.17,0.17,-10.22,7.45,-0.31
0,-0.22,1.65,0.3,0.24,1.75,0.2,1.02,-0.16,0.05,-2.1,10.98,-4.97
0,-0.16,1.89,0.43,-0.05,1.86,0.58,1.04,-0.06,0.28,0.04,14.61,-7.05
0,-0.1,1.89,0.65,-0.13,2.02,0.48,1.12,-0.01,0.22,-1.86,14.41,-5.53
0,-0.07,1.83,0.65,-0.14,2.09,0.18,1.01,-0.11,0.07,-6.52,15.73,-5.55
0,-0.02,2.01,0.36,-0.16,2.09,0.45,0.89,-0.09,0.11,-7.69,18.37,-3.88
0,0.08,2.18,0.36,-0.22,2.04,0.57,0.98,-0.08,0.29,-8.25,18.5,1.78
0,0.2,2.12,0.37,-0.13,2.11,0.46,0.97,-0.02,0.25,-6.21,12.15,9.39
0,0.42,2.01,0.28,0.02,1.99,0.08,0.94,-0.08,0.24,0.59,9.37,12.54
