FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,0.09,1.29,0.12,0.33,1.16,-0.06,1.07,0.16,0.17,8.05,-5.93,0.56
3,0.15,1.29,0.14,0.38,1.25,0,1.05,0.17,0.18,4.14,-4.47,0.42
3,0.12,1.26,0.02,0.38,1.24,-0.03,1.04,0.16,0.18,0.63,-2.66,0.53
3,0.11,1.26,-0.09,0.36,1.21,-0.03,1.04,0.16,0.18,-2.15,-0.72,0.48
3,0.12,1.26,-0.15,0.33,1.19,-0.01,1.02,0.16,0.18,-5.26,1.56,0.46
3,0.07,1.24,-0.19,0.36,1.16,0,1,0.15,0.2,-8.81,3.41,0.27
3,0.05,1.21,-0.16,0.35,1.21,0,0.97,0.14,0.19,-10.74,5.32,0.5
3,0.09,1.21,-0.1,0.29,1.19,0,0.96,0.13,0.18,-12.01,7.21,1.07
3,0.08,1.15,-0.12,0.29,1.21,0.05,0.96,0.13,0.18,-12.71,9.85,2.15
3,0.05,1.16,-0.16,0.26,1.19,0.02,1.02,0.15,0.18,-14.27,13.66,4.04
3,0.08,1.21,-0.16,0.27,1.25,0.06,1.07,0.14,0.21,-15.27,21.79,5.79
3,0.14,1.21,-0.18,0.24,1.26,0,1.16,0.14,0.16,-15.07,29.15,6.45
3,0.17,1.25,-0.19,0.26,1.29,-0.01,1.14,0.12,0.18,-13.78,34.76,5.76
3,0.15,1.32,-0.2,0.2,1.31,0,1.06,0.13,0.2,-11.83,37.54,5.04
3,0.12,1.35,-0.18,0.18,1.29,0.03,1.01,0.15,0.23,-10.76,37.61,5.1
3,0.12,1.37,-0.15,0.21,1.31,0.06,1.05,0.17,0.24,-10.09,35.91,5.54
3,0.09,1.37,-0.12,0.21,1.31,0.03,1.07,0.15,0.22,-8.81,35.54,5.37
3,0.04,1.4,-0.01,0.2,1.29,0.02,1.07,0.15,0.26,-6.33,34.12,4.19
3,0.02,1.43,-0.04,0.26,1.31,0.03,1.19,0.19,0.27,-3.84,33.4,2.63
3,0.02,1.56,-0.03,0.41,1.4,-0.01,1.34,0.25,0.24,-2.15,32.92,0.27
3,-0.02,1.71,-0.03,0.52,1.47,-0.03,1.22,0.25,0.25,-2.56,28.3,-3.52
3,-0.07,1.75,0.02,0.57,1.46,-0.06,0.96,0.22,0.3,-2.33,17.36,-7.5
3,-0.1,1.61,0.14,0.67,1.35,-0.07,0.88,0.21,0.28,-3.42,4.6,-7.99
3,-0.14,1.37,0.15,0.58,1.21,-0.1,0.89,0.2,0.19,-4.95,-3.66,-4.75
3,-0.1,1.21,0.09,0.61,1.15,-0.15,0.94,0.19,0.13,-6.86,-5.54,-0.19
3,-0.11,1.09,0.06,0.79,1.09,-0.13,0.95,0.17,0.1,-7.47,-3.22,3.09
3,-0.14,1.04,0.06,0.6,0.98,-0.13,0.99,0.16,0.11,-7.56,1.93,4.2
3,-0.1,1.06,0.11,0.54,1.03,-0.16,1,0.15,0.14,-7.69,6.69,3.84
3,-0.11,1.12,0.09,0.48,1.06,-0.15,0.96,0.13,0.17,-6.95,9.43,2.4
3,-0.13,1.18,0.05,0.44,1.12,-0.09,0.89,0.14,0.18,-5.35,9.23,0.02
3,-0.14,1.24,0.02,0.41,1.13,-0.07,0.86,0.17,0.21,-4.09,5.68,-1.23
3,-0.16,1.29,-0.06,0.41,1.12,-0.1,0.85,0.2,0.22,-4.4,-0.02,-0.92
3,-0.1,1.29,-0.07,0.47,1.18,-0.12,0.87,0.23,0.22,-5.81,-5.82,-0.08
3,0.01,1.34,0,0.45,1.12,-0.13,0.93,0.22,0.22,-7.46,-9.69,0.57
3,0.07,1.28,-0.01,0.45,1.15,-0.1,1.02,0.21,0.2,-8.52,-10.87,1.15
3,0.02,1.32,-0.04,0.49,1.24,-0.07,1.11,0.21,0.19,-9.18,-9.99,1.44
3,-0.04,1.43,-0.01,0.54,1.32,-0.09,1.14,0.2,0.2,-9.28,-8.72,1.69
3,-0.1,1.46,-0.03,0.61,1.56,0.02,1.1,0.2,0.2,-8.43,-8.4,2.02
3,-0.19,1.44,-0.09,0.49,1.41,-0.06,1.03,0.18,0.21,-7.26,-10.08,2.84
3,-0.22,1.38,-0.09,0.47,1.35,-0.06,1,0.17,0.21,-5.79,-12.31,3.63
3,-0.22,1.31,-0.07,0.45,1.29,-0.01,0.99,0.14,0.17,-4.03,-13.54,4.24
3,-0.14,1.21,-0.06,0.42,1.21,0.03,1,0.13,0.15,-1.87,-12.46,4.91
3,-0.05,1.16,-0.04,0.41,1.15,0.05,1,0.11,0.14,-0.08,-9.12,5.05
3,-0.01,1.13,-0.06,0.41,1.13,0.03,1,0.11,0.15,1.56,-5.25,5.18
3,0.04,1.15,-0.07,0.42,1.12,0.05,1,0.11,0.16,2.83,-2.16,5.44
3,0.02,1.16,-0.09,0.42,1.15,0.05,1,0.11,0.17,4.2,0.16,5.72
3,0.02,1.19,-0.1,0.44,1.13,0.03,1.01,0.12,0.18,5.72,1.98,5.72
3,0.01,1.24,-0.1,0.42,1.19,0.05,1.01,0.12,0.2,7.8,2.5,5.74
3,0.01,1.25,-0.1,0.42,1.22,0.05,1.01,0.11,0.21,10.15,1.35,5.16
3,0.02,1.29,-0.12,0.41,1.24,0.06,1.02,0.12,0.2,11.89,-0.45,4.87
3,0.04,1.31,-0.1,0.42,1.25,0.05,1.03,0.13,0.19,13.34,-2.14,4.57
3,0.05,1.31,-0.09,0.42,1.25,0.06,1.02,0.14,0.17,14.79,-3.19,4.53
3,0.04,1.34,-0.01,0.45,1.26,0.02,1.02,0.14,0.14,15.67,-4.55,4.49
3,0.05,1.29,-0.07,0.41,1.24,0.03,1.02,0.15,0.11,15.47,-3.95,4.79
3,0.01,1.29,0.02,0.47,1.25,0,1.02,0.15,0.11,15.42,-3,4.69
3,0.07,1.32,0,0.45,1.19,0,1.02,0.14,0.08,14.6,-1.41,4.44
3,-0.05,1.35,0.08,0.41,1.18,-0.01,1.04,0.14,0.07,13.97,1.19,4.31
3,-0.04,1.38,0.21,0.41,1.16,0,1.03,0.14,0.07,13.63,4.03,4.24
3,-0.08,1.32,0.25,0.41,1.15,-0.03,1.03,0.14,0.08,13.12,6.78,3.8
3,-0.1,1.26,0.18,0.42,1.13,-0.04,1.01,0.15,0.11,12.08,7.89,3.3
3,-0.04,1.22,0.08,0.42,1.15,-0.03,1.02,0.14,0.11,11.48,8.51,2.77
3,-0.14,1.19,-0.03,0.41,1.13,-0.03,1.01,0.14,0.12,11.43,8.5,2.25
3,-0.11,1.19,-0.07,0.42,1.13,-0.03,1,0.16,0.13,10.82,8.01,2
3,-0.04,1.22,-0.09,0.42,1.16,-0.01,1,0.15,0.12,9.47,6.95,1.76
3,-0.05,1.24,-0.12,0.42,1.18,-0.03,0.99,0.15,0.12,7.82,5.93,1.5
3,-0.01,1.25,-0.13,0.44,1.19,-0.03,0.99,0.15,0.13,6.17,4.24,1.43
3,-0.04,1.26,-0.18,0.42,1.19,-0.04,0.98,0.16,0.13,4.66,2.06,1.29
3,-0.1,1.26,-0.19,0.44,1.19,-0.03,0.97,0.18,0.14,2.87,-1.04,1.1
3,-0.16,1.24,-0.18,0.44,1.21,0,0.98,0.19,0.14,1.14,-3.47,0.36
3,-0.13,1.26,-0.15,0.44,1.25,0.02,1.02,0.19,0.13,-0.31,-5.08,-1.29
3,-0.13,1.29,-0.12,0.41,1.21,-0.01,1.06,0.21,0.16,-1.38,-5.73,-3.32
3,-0.11,1.35,-0.07,0.41,1.24,-0.03,1.16,0.21,0.2,-2.5,-6.71,-5.27
3,-0.07,1.58,0,0.36,1.35,-0.03,1.36,0.21,0.18,-3.93,-2.75,-6.1
3,-0.25,1.61,-0.04,0.51,1.53,-0.06,1.39,0.2,0.23,-5.24,0.67,-5.47
3,-0.28,1.62,-0.13,0.41,1.59,-0.04,1.29,0.14,0.3,-4.73,2.18,-2.92
3,-0.2,1.68,-0.19,0.45,1.62,-0.1,1.2,0.12,0.37,-1.18,-0.28,-0.15
3,-0.22,1.62,-0.25,0.48,1.56,-0.12,1.1,0.14,0.42,-0.44,-4.93,0.5
3,-0.16,1.52,-0.16,0.45,1.47,-0.07,1.08,0.14,0.37,-1.6,-9.06,-0.74
3,-0.04,1.4,-0.2,0.44,1.34,0.05,1.02,0.17,0.3,-4.14,-10.82,-2.85
3,0.02,1.29,-0.15,0.35,1.21,0.15,0.93,0.15,0.27,-8.96,-10.28,-5.74
3,0.05,1.16,-0.12,0.32,1.06,0.15,0.81,0.12,0.27,-13.27,-9.83,-8.31
3,0.17,1.09,-0.09,0.39,1,0.15,0.76,0.07,0.31,-16.41,-8.48,-10.44
3,0.18,1.03,-0.1,0.41,1,0.17,0.8,0.03,0.33,-18.11,-7.73,-11.99
3,0.21,1.15,-0.09,0.39,1.06,0.15,0.95,0,0.3,-18.46,-5.47,-11.79
3,0.21,1.12,-0.15,0.38,1.12,0.14,1.01,-0.01,0.3,-16.73,-2.27,-10.39
3,0.21,1.15,-0.2,0.33,1.25,0.12,1.07,0.01,0.29,-15.32,0.77,-8.85
3,0.17,1.22,-0.22,0.27,1.28,0.15,1.12,0.04,0.27,-14.79,3.64,-7.85
3,0.18,1.29,-0.23,0.21,1.28,0.21,1.08,0.06,0.3,-13.27,3.78,-7.46
3,0.21,1.34,-0.26,0.3,1.28,0.25,1,0.05,0.28,-10.89,1.85,-7.22
3,0.15,1.31,-0.25,0.44,1.24,0.25,0.96,0.04,0.27,-9.22,-1.44,-7.37
3,0.15,1.28,-0.16,0.48,1.19,0.34,0.94,0.03,0.24,-7.4,-3.95,-6.98
3,0.2,1.25,-0.16,0.49,1.12,0.33,0.93,0.04,0.2,-5.01,-4.9,-6.91
3,0.2,1.22,-0.15,0.66,1.1,0.43,0.92,0.04,0.18,-2.6,-4.69,-6.75
3,0.12,1.15,-0.12,0.67,1.1,0.4,0.91,0.04,0.17,-0.45,-3.02,-7.08
3,0.15,1.19,-0.09,0.67,1.13,0.43,0.9,0.05,0.17,1.04,-1.94,-7
3,0.08,1.15,-0.1,0.55,1.01,0.37,0.91,0.06,0.18,1.98,-2.06,-6.15
3,0.08,1.16,-0.07,0.52,0.97,0.28,0.91,0.08,0.19,2.8,-3.53,-4.88
3,0.08,1.16,-0.07,0.54,0.98,0.17,0.93,0.09,0.21,2.84,-5.09,-3.54
3,0.07,1.16,-0.07,0.49,1.03,0.08,0.96,0.08,0.19,3.73,-5.39,-2.37
3,0.02,1.18,-0.1,0.51,1.1,0.06,0.97,0.06,0.19,5.56,-6.23,-2.11
3,0.02,1.18,-0.15,0.45,1.13,0.05,0.98,0.03,0.2,8.73,-7.35,-2
3,0.04,1.19,-0.2,0.42,1.16,0.03,1.03,0.02,0.2,12.06,-7.26,-2.03
3,0.04,1.21,-0.22,0.49,1.25,-0.03,1.03,0.01,0.2,15.58,-6.47,-1.89
3,0.02,1.24,-0.2,0.52,1.29,-0.03,1.01,0.03,0.23,19.2,-7.95,-1.95
3,-0.01,1.28,-0.18,0.57,1.35,-0.03,1.01,0.08,0.23,21.9,-9.26,-1.47
3,-0.04,1.25,-0.19,0.55,1.34,0,1.01,0.08,0.24,23.31,-10.76,-0.4
3,-0.05,1.26,-0.19,0.54,1.35,-0.04,1.15,0.08,0.43,28.01,-16.4,-0.48
3,-0.05,1.4,-0.26,0.49,1.5,-0.15,1.49,0.15,0.19,30.23,-7.89,-1.94
3,-0.13,1.58,-0.31,0.49,1.65,-0.18,1.34,0.28,0.23,31.29,-5.64,0.09
3,-0.13,1.65,-0.29,0.47,1.66,-0.07,1.23,0.28,0.4,32.14,-7.5,-2.18
3,-0.08,1.65,-0.29,0.44,1.56,-0.1,1.26,0.33,0.36,31.57,-4.64,-1.58
3,0.01,1.55,-0.28,0.45,1.52,-0.09,1.18,0.36,0.34,29.77,-1.92,-0.18
3,0.01,1.44,-0.26,0.44,1.46,0,1.1,0.34,0.37,23.75,1.35,1.79
3,0.02,1.34,-0.2,0.39,1.32,0.03,0.96,0.3,0.39,20.63,2.33,2.92
3,0.02,1.24,-0.15,0.17,1.19,0,0.88,0.27,0.42,17.46,0.65,3.55
3,-0.02,1.25,-0.12,-0.04,1.22,-0.01,0.86,0.26,0.41,13.68,0.41,3.5
3,-0.28,1.5,0.17,-0.07,1.21,-0.03,0.9,0.26,0.39,9.63,1.31,3.36
3,0.38,1.37,0.54,0.01,1.19,-0.09,0.89,0.24,0.37,7.21,0.79,3.99
3,0.75,1.22,0.62,0.09,1.24,-0.15,0.88,0.22,0.4,5.43,-1.24,4.47
3,0.49,1.21,0.31,0.11,1.22,-0.16,0.91,0.21,0.41,2.4,-3.11,4.5
3,0.32,1.22,0.05,0.09,1.18,-0.15,0.91,0.21,0.36,0.04,-3.42,3.69
3,0.21,1.22,-0.12,0.15,1.15,-0.13,0.9,0.21,0.37,-2.15,-3.63,2.44
3,0.18,1.25,-0.22,0.15,1.15,-0.15,0.89,0.21,0.38,-4.73,-4.29,1.4
3,0.18,1.24,-0.25,0.12,1.15,-0.16,0.87,0.2,0.38,-6.63,-6.63,0.08
3,0.2,1.22,-0.23,0.08,1.15,-0.13,0.89,0.19,0.36,-7.67,-8.98,-1.37
3,0.15,1.25,-0.2,0.07,1.16,-0.13,0.94,0.21,0.36,-9.4,-10.99,-2.58
3,0.11,1.24,-0.18,0.08,1.18,-0.12,0.98,0.21,0.33,-10.8,-11.09,-3.89
3,0.05,1.26,-0.15,0.09,1.22,-0.13,1,0.21,0.32,-11.6,-10.05,-4.58
