FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
2,-0.02,1.07,0.03,0.24,1.12,0.09,1.05,-0.16,0.13,3.23,4.89,-0.08
2,-0.01,1.1,0.09,0.29,1.1,0.14,1.03,-0.17,0.13,3.89,5.46,-0.49
2,0.01,1.04,0.08,0.3,1.03,0.12,0.99,-0.13,0.09,3.66,6.39,-0.69
2,0.04,0.97,0.06,0.26,0.89,0.09,0.87,0.01,0.01,-0.82,9.92,2.91
2,0.07,0.87,0.06,0.23,0.85,0.12,0.77,0.03,0.03,-9.67,9.54,6.93
2,0.04,0.67,0.09,0.18,0.7,0.12,0.59,-0.06,0.1,-17.61,11.06,10.9
2,0.07,0.55,0.11,0.18,0.64,0.15,0.51,-0.13,0.06,-20.29,22.65,11.85
2,0.07,0.54,0.03,0.2,0.69,0.15,0.5,-0.21,-0.03,-17.34,34.38,8.66
2,0.18,0.92,0.03,0.42,1.1,0.25,0.43,-0.23,-0.1,1.59,59.67,3.55
2,0.09,1.13,-0.13,0.51,1.25,0.18,0.4,-0.27,-0.18,19.48,73.67,0.15
2,-0.01,1.62,-0.12,0.75,1.55,0.24,0.68,-0.35,0.34,44.08,79.76,-2.6
2,-0.08,1.77,0.17,0.91,1.8,0.34,1.39,-0.36,1.26,79.02,60.61,-6.63
2,-0.1,1.93,0.28,0.87,1.96,0.27,2,0.22,0.87,46.24,15.81,-7.08
2,-0.51,2.11,0.24,0.7,2.18,0.12,2,-0.14,0.7,-9.65,-21.91,1.9
2,-0.56,2.39,0.05,0.55,2.44,0.06,2,-0.28,0.51,-9.98,-28.92,0.47
2,-0.36,2.61,-0.12,0.44,2.63,0.09,2,-0.36,0.5,3.66,-36.05,1.14
2,-0.29,2.57,-0.06,0.52,2.55,0.14,2,-0.22,0.42,10.55,-38.75,0.05
2,-0.1,2.3,0.09,0.57,2.27,0.2,1.92,-0.14,0.43,7.22,-36.79,-0.6
2,-0.25,1.9,0.22,0.57,2.05,0.3,1.63,-0.13,0.39,5.23,-38.63,0.5
2,-0.2,1.59,0.31,0.58,1.61,0.14,1.37,-0.16,0.31,4.55,-39.38,1.36
2,-0.17,1.21,0.28,0.49,1.29,0.11,1.26,-0.16,0.23,7.41,-33.72,2.13
2,-0.14,0.82,0.22,0.33,0.94,0,1.08,-0.11,0.19,8.76,-22.05,3.69
2,0.05,0.78,0.31,0.32,0.76,0.11,0.83,-0.04,0.18,9.34,-12.28,5.84
2,-0.13,0.45,0.12,0.04,0.2,0.08,0.5,-0.03,0.21,7.17,-9.18,4.7
2,-0.11,0.26,0,-0.07,0.04,0.05,0.3,-0.03,0.05,-1.35,-13.43,2.35
2,-0.02,0.05,-0.15,0.04,0.08,0.06,0,0.01,0.01,-8.38,-4.83,2.83
2,0.12,0.01,-0.19,0.18,0.2,0,-0.14,-0.02,0.01,-12.27,7.57,3.4
2,0.17,-0.07,-0.16,0.21,0.24,0.05,-0.2,-0.13,0.1,-7.09,16.12,0.84
2,0.15,-0.1,-0.09,0.23,0.2,0.02,-0.26,-0.13,0.1,5.6,16.49,-6.6
2,0.24,-0.04,0.05,0.2,0.15,0.03,-0.39,-0.11,0.09,15.05,8.68,-17.17
2,0.26,-0.08,0.09,0.15,0.18,0.03,-0.51,-0.02,0.16,20.37,2.95,-19.53
2,0.24,-0.07,0.08,0.05,0.15,0,-0.55,0,0.22,21.52,-15.73,-16.81
2,0.26,0.04,0.06,0.02,0.18,-0.03,-0.52,0.05,0.18,21.66,-28.73,-11.66
2,0.18,0.15,0.03,0.04,0.24,-0.06,-0.31,0.08,0.1,11.41,-41.1,-6.21
2,0.09,0.32,0.05,0.08,0.33,-0.03,-0.06,0.15,-0.13,-5.23,-36.35,-2.85
2,-0.11,0.66,0.18,0.26,0.64,0.09,0.18,0.28,-0.35,-16.98,-9.91,4.15
2,-0.25,1.25,0.3,0.7,1.19,0.33,0.49,0.05,-0.52,-26.57,27.85,8.91
2,-0.26,1.64,0.25,0.91,1.59,0.21,1.79,-0.98,1.4,47.15,77.69,-7.92
2,-0.07,2.49,0.21,0.82,2.12,0.25,2,0.13,0.47,5.18,-12.74,-11.4
2,-0.5,3.72,0.2,0.94,3.16,0.21,2,-0.54,0.22,7.44,65.11,12.45
2,-0.65,3.07,0.31,0.82,3.03,0.17,2,-0.09,0.54,1.4,36.06,7.78
2,-0.51,2.98,0.43,0.72,2.82,0.36,2,-0.35,0.67,-32.17,-0.81,-2.98
2,-0.39,2.64,0.49,0.81,2.83,0.43,2,-0.76,0.54,-25.44,-35.96,-9.65
2,-0.48,2.42,0.37,1.15,2.66,0.43,2,-0.43,0.33,27.4,-40.96,-16.23
2,-0.75,2.32,0.49,1.38,2.35,0.52,1.9,-0.02,0.18,18.74,-42.92,-9.91
2,-0.78,1.95,0.49,1.32,1.87,0.54,1.58,0.01,0.16,-3.84,-34.73,-11.65
2,-0.51,1.28,0.31,0.92,1.28,0.33,1.4,-0.01,0.12,-7.54,-11.63,-13.89
2,-0.53,0.66,0.15,0.63,0.89,0.06,1.1,0.01,0.1,-5.79,4.58,-7.86
2,-0.35,0.42,-0.03,0.48,0.61,0.02,0.78,0.06,0.2,-9.08,4.3,1.11
2,-0.04,0.21,-0.1,0.3,0.26,0.05,0.5,0.05,0.24,-18.56,-2.97,9.26
2,0.29,0.01,-0.07,0.07,-0.01,0.06,0.16,-0.04,0.32,-23.51,-10.02,15.41
2,0.38,-0.23,-0.18,-0.22,-0.1,-0.1,-0.07,-0.02,0.17,-23.32,-7.74,19.96
2,0.39,-0.28,-0.18,-0.26,-0.04,-0.15,-0.19,-0.07,0.07,-17.97,1.25,22.6
2,0.26,-0.26,-0.13,-0.1,-0.08,-0.09,-0.11,-0.21,-0.25,-4.4,16.73,19.64
2,0.14,-0.2,-0.06,-0.1,0.02,0,-0.41,-0.24,-0.1,3.04,25.09,10.21
2,0.15,-0.11,0.05,-0.85,0.11,0.14,-0.73,-0.24,-0.07,14.34,22.82,-2.04
2,0.2,-0.08,-1.03,-1.33,0.09,0.14,-0.76,-0.16,-0.02,26.88,22.72,-9.57
2,0.18,0.05,0.09,0.2,0.12,0.17,-0.84,-0.05,0.21,36.82,11.31,-11.27
2,0.02,0.12,0.08,0.18,0.23,0.11,-0.55,0.02,0.38,43.38,-9.85,-9.82
