FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
8,-0.01,1.25,0.21,0.47,1.04,-0.18,0.92,0.33,0.3,-6.05,1.24,-20.15
8,0.07,1.29,0.3,0.57,1.13,-0.09,0.9,0.34,0.32,-6.21,1.44,-20.08
8,0.12,1.25,0.25,0.54,1.12,-0.1,0.88,0.37,0.32,-5.79,2.02,-18.78
8,0.14,1.21,0.24,0.55,1.16,-0.07,0.85,0.39,0.35,-4.34,2.14,-16.19
8,0.2,1.25,0.22,0.58,1.22,-0.03,0.85,0.42,0.36,-2.77,2.45,-12.77
8,0.29,1.21,0.18,0.52,1.26,-0.01,0.87,0.43,0.37,-1.13,2.2,-9.06
8,0.3,1.22,0.18,0.55,1.32,0,0.87,0.42,0.37,0.83,2.18,-6.08
8,0.36,1.29,0.22,0.57,1.32,0,0.88,0.41,0.38,2.3,2.91,-3.9
8,0.33,1.26,0.17,0.55,1.34,0.02,0.9,0.41,0.39,4.96,3.28,-2
8,0.32,1.31,0.18,0.58,1.32,0.02,0.88,0.41,0.38,7.34,3.07,-0.19
8,-0.1,1.38,0.11,0.58,1.34,0.03,0.85,0.4,0.39,9.55,2.07,1.21
8,-0.39,1.34,0.11,0.6,1.26,0,0.83,0.4,0.37,11.3,1.59,2.58
8,-0.62,1.34,0.14,0.64,1.16,-0.03,0.8,0.4,0.35,13.01,2.04,3.76
8,-0.82,1.31,0.21,0.61,1.12,-0.07,0.78,0.38,0.35,15.24,2.49,4.97
8,-1.03,1.25,0.2,0.48,1.06,-0.09,0.74,0.39,0.35,16.78,3.66,5.85
8,-1.19,1.13,0.15,0.44,1.03,-0.1,0.73,0.38,0.36,17.85,4.57,6.95
8,-0.93,1.04,0.05,0.39,1.03,-0.12,0.72,0.37,0.36,19.05,4.47,8.15
8,0.79,1.04,0.05,0.35,1,-0.15,0.68,0.35,0.36,20.58,3.47,8.67
8,0.75,1.04,0.08,0.35,1.01,-0.18,0.65,0.36,0.34,21.47,1.43,9.22
8,0.66,1.1,0.14,0.39,1.03,-0.19,0.64,0.41,0.34,21.28,-1.15,10.21
8,0.52,1.1,0.18,0.45,1.04,-0.19,0.65,0.45,0.33,19.89,-3.28,11.56
8,0.38,1.1,0.27,0.51,1.03,-0.19,0.67,0.5,0.32,17.89,-4.51,13.53
8,0.24,1.09,0.33,0.52,1.09,-0.15,0.69,0.5,0.32,16.69,-5.42,15.28
8,0.14,1.1,0.42,0.54,1.13,-0.15,0.74,0.5,0.33,16.15,-5.82,16.81
8,0.11,1.15,0.45,0.51,1.15,-0.19,0.81,0.54,0.36,15.34,-7.51,18.08
8,0.07,1.26,0.49,0.57,1.26,-0.2,0.91,0.6,0.33,12.97,-8.8,18.79
8,0.02,1.25,0.45,0.52,1.32,-0.28,0.97,0.64,0.34,10.75,-8.33,18.15
8,0.08,1.29,0.42,0.52,1.43,-0.31,1.05,0.66,0.38,9.06,-7.12,16.4
8,0.17,1.37,0.36,0.51,1.52,-0.35,1.21,0.69,0.42,7.63,-4.04,14.4
8,0.26,1.49,0.34,0.54,1.61,-0.4,1.39,0.7,0.45,6.69,-1.69,12.68
8,0.33,1.68,0.33,0.58,1.69,-0.41,1.47,0.66,0.48,3.28,2.99,10.37
8,0.36,1.81,0.28,0.58,1.68,-0.37,1.28,0.56,0.54,-0.59,-1.08,8.33
8,0.32,1.98,0.25,0.54,1.64,-0.28,1.31,0.5,0.56,-3.85,-5.29,6.82
8,0.3,2.09,0.31,0.57,1.68,-0.18,1.48,0.37,0.52,-7.09,-6.67,4.16
8,0.23,2.39,0.45,0.6,1.9,-0.15,1.51,0.12,0.49,-2.02,-9.4,-0.29
8,0.72,2.18,0.54,0.61,1.86,-0.15,1.54,-0.01,0.44,0.34,-10.43,-5.19
8,0.18,1.83,0.36,0.38,1.71,-0.19,1.53,-0.02,0.39,1.96,-6.33,-7.69
8,-0.1,1.87,0.14,0.05,1.53,-0.2,1.61,-0.04,0.38,2.02,3.44,-6.73
8,-0.14,1.86,-0.03,-0.17,1.49,-0.18,1.64,-0.08,0.34,0.81,15.12,-3.64
8,-0.05,1.65,-0.15,-0.26,1.55,-0.12,1.3,-0.09,0.35,-0.55,23.41,4.76
8,-0.04,1.52,-0.09,-0.26,1.47,0.05,1.06,-0.22,0.47,1.29,22.76,8.61
8,-0.07,1.31,-0.06,-0.36,1.38,0.28,0.89,-0.2,0.47,7.31,19,6.83
8,-0.08,1.16,-0.03,-0.17,1.12,0.51,0.75,-0.14,0.45,12.43,14.21,2.96
8,-0.07,0.98,0,-0.29,1,0.61,0.58,-0.06,0.4,15.81,7.98,0.49
8,-0.01,0.89,0.05,-0.54,0.97,0.65,0.45,0.01,0.32,12.83,1.44,1.55
8,-0.05,0.81,0.05,-0.35,0.92,0.64,0.41,-0.02,0.27,7.82,-1.31,4.46
8,-0.05,0.82,0.05,-0.07,0.81,0.52,0.4,-0.02,0.3,1.9,-4.98,7.39
8,-0.05,0.85,0.05,0.2,0.91,0.39,0.6,-0.03,0.28,-4.37,-5.46,10.73
8,-0.08,0.87,0.11,0.29,0.98,0.31,0.77,-0.09,0.34,-9.97,-7.47,13.34
8,-0.14,0.87,-0.03,0.15,1.06,0.2,0.92,-0.14,0.33,-10.45,-6.99,14.42
8,-0.16,0.97,-0.01,0.24,1.22,0.17,1.08,-0.13,0.3,-9.4,-6.08,14.86
8,-0.17,1.12,-0.01,0.32,1.35,0.12,1.22,-0.13,0.28,-8.64,-2.18,15.55
8,-0.26,1.19,-0.06,0.29,1.38,0.11,1.19,-0.13,0.29,-4.88,0.57,14.92
