FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.16,1.1,-0.12,0.32,1.18,0.06,1,0.07,0.34,-2.82,0.83,-1.11
4,-0.13,1.15,-0.09,0.35,1.19,0.09,1,0.05,0.34,-1.76,0.56,-1.05
4,-0.13,1.13,-0.09,0.33,1.19,0.09,1,0.05,0.36,-0.37,0.88,-0.67
4,-0.08,1.18,-0.04,0.39,1.24,0.15,0.99,0.05,0.35,1.14,1.26,-0.6
4,-0.11,1.13,-0.09,0.33,1.21,0.09,1,0.05,0.35,2.38,1.35,-0.32
4,-0.11,1.13,-0.1,0.33,1.19,0.11,1.01,0.05,0.36,3.97,2.15,0.02
4,-0.08,1.16,-0.09,0.36,1.24,0.14,1,0.05,0.36,5.59,2.34,0.35
4,-0.11,1.13,-0.12,0.36,1.19,0.11,0.99,0.04,0.36,7.29,2.72,0.38
4,-0.1,1.13,-0.12,0.35,1.22,0.12,0.99,0.05,0.36,9.38,2.73,1.02
4,-0.07,1.18,-0.09,0.39,1.24,0.14,0.99,0.05,0.36,10.81,2.64,1.39
4,-0.1,1.16,-0.1,0.38,1.26,0.15,0.99,0.06,0.36,11.98,2.46,1.54
4,-0.07,1.12,-0.13,0.36,1.22,0.14,0.99,0.07,0.36,12.89,2.13,1.66
4,-0.02,1.18,-0.09,0.39,1.25,0.09,1,0.07,0.34,13.16,1.86,1.8
4,-0.02,1.16,-0.1,0.38,1.24,0.12,0.99,0.08,0.34,13.46,1.86,1.97
4,-0.05,1.1,-0.12,0.35,1.24,0.11,1,0.08,0.35,13.27,2.09,2
4,-0.05,1.1,-0.12,0.35,1.24,0.09,1,0.09,0.34,12.95,2.38,2.08
4,-0.05,1.15,-0.1,0.39,1.26,0.12,0.99,0.1,0.35,12.36,2.33,1.99
4,-0.07,1.16,-0.09,0.36,1.22,0.06,1,0.09,0.36,11.6,2.23,1.99
4,-0.11,1.12,-0.09,0.33,1.22,0.05,0.99,0.09,0.35,10.94,2.03,2.18
4,-0.1,1.13,-0.09,0.36,1.25,0.08,0.99,0.09,0.36,10.34,1.87,2.47
4,-0.14,1.12,-0.09,0.33,1.22,0.05,0.99,0.09,0.36,9.69,1.64,2.5
4,-0.14,1.12,-0.07,0.33,1.21,0.03,0.99,0.09,0.36,9.69,1.45,2.71
4,-0.13,1.15,-0.06,0.36,1.24,0.06,0.99,0.09,0.36,8.95,1.1,2.5
4,-0.14,1.13,-0.07,0.33,1.22,0.03,0.99,0.09,0.35,8.6,1.01,2.47
4,-0.07,1.18,-0.03,0.36,1.25,0.06,1,0.09,0.35,8.36,1.17,2.29
4,-0.14,1.13,-0.07,0.32,1.21,0.03,1,0.08,0.36,8.56,1.47,2.26
4,-0.1,1.19,-0.01,0.36,1.25,0.08,0.99,0.08,0.35,8.27,1.02,2.13
4,-0.14,1.16,-0.03,0.33,1.24,0.06,0.98,0.09,0.36,7.76,0.81,2.08
4,-0.16,1.15,-0.06,0.3,1.21,0.05,0.99,0.09,0.36,7.45,0.31,2.16
4,-0.13,1.19,-0.01,0.33,1.25,0.09,0.98,0.08,0.36,7.47,-0.08,1.99
4,-0.16,1.13,-0.06,0.3,1.21,0.05,0.99,0.09,0.36,7.09,-0.27,1.81
4,-0.14,1.16,-0.04,0.32,1.26,0.09,0.99,0.09,0.36,6.92,-0.35,1.79
4,-0.11,1.18,-0.04,0.3,1.28,0.11,0.99,0.09,0.36,6.63,-0.58,1.83
4,-0.13,1.18,-0.04,0.3,1.29,0.12,1,0.09,0.36,6.23,-0.42,1.76
4,-0.13,1.18,-0.04,0.32,1.29,0.11,0.99,0.1,0.35,5.85,-0.67,1.68
4,-0.16,1.13,-0.09,0.29,1.24,0.08,0.99,0.09,0.34,5.66,-0.73,1.81
4,-0.13,1.16,-0.06,0.33,1.25,0.08,0.99,0.09,0.35,5.47,-1,1.43
4,-0.14,1.12,-0.09,0.33,1.22,0.06,1,0.08,0.36,5.25,-0.65,1.48
4,-0.1,1.19,-0.04,0.36,1.25,0.08,1,0.09,0.35,5.31,-0.35,1.47
4,-0.14,1.13,-0.1,0.33,1.22,0.05,1,0.1,0.35,4.63,-0.45,1.42
4,-0.11,1.15,-0.09,0.35,1.25,0.09,1,0.09,0.35,4.4,-0.38,1.32
4,-0.11,1.16,-0.09,0.36,1.24,0.08,1,0.09,0.35,4.2,-0.58,1.34
4,-0.14,1.12,-0.12,0.35,1.21,0.06,1,0.09,0.36,3.83,-0.69,1.14
4,-0.1,1.19,-0.06,0.38,1.24,0.09,1.01,0.08,0.36,3.69,-0.67,0.93
4,-0.13,1.13,-0.12,0.35,1.21,0.05,0.99,0.09,0.36,3.47,-0.52,1.08
4,-0.1,1.15,-0.1,0.39,1.25,0.09,0.99,0.09,0.35,3.52,-1.1,0.62
4,-0.1,1.15,-0.09,0.36,1.22,0.08,0.99,0.09,0.36,3.27,-1.05,0.83
4,-0.11,1.12,-0.1,0.33,1.21,0.06,1,0.09,0.35,3.05,-0.85,0.73
4,-0.08,1.19,-0.07,0.38,1.25,0.08,0.99,0.09,0.34,3.15,-1.11,0.43
4,-0.11,1.13,-0.1,0.35,1.22,0.06,0.99,0.08,0.36,2.82,-1.17,0.27
4,-0.08,1.16,-0.09,0.35,1.24,0.09,1,0.09,0.35,2.72,-1.1,0.12
4,-0.08,1.16,-0.07,0.36,1.24,0.08,1,0.09,0.35,2.68,-1.12,0.26
4,-0.1,1.13,-0.1,0.33,1.22,0.05,1,0.08,0.34,2.19,-1.31,0.11
4,-0.07,1.21,-0.04,0.38,1.25,0.08,1,0.1,0.35,2.37,-1.27,0.23
4,-0.1,1.13,-0.09,0.35,1.22,0.05,0.99,0.09,0.35,2.11,-1.21,0.1
4,-0.07,1.16,-0.06,0.39,1.26,0.11,1,0.09,0.35,2.03,-1.78,-0.07
4,-0.07,1.16,-0.04,0.39,1.24,0.08,1,0.09,0.33,1.81,-1.6,-0.24
4,-0.08,1.15,-0.06,0.36,1.21,0.06,0.99,0.1,0.34,1.98,-1.31,-0.05
4,-0.02,1.21,-0.01,0.39,1.24,0.08,1,0.1,0.35,2.09,-1.31,0.08
4,-0.08,1.16,-0.04,0.36,1.21,0.05,0.99,0.09,0.35,1.8,-1.41,-0.02
4,-0.07,1.16,-0.01,0.36,1.25,0.09,1,0.09,0.35,1.38,-1.69,0.05
4,-0.08,1.16,-0.03,0.36,1.24,0.09,1,0.1,0.35,1.34,-1.76,-0.12
4,-0.11,1.13,-0.06,0.36,1.22,0.06,1,0.1,0.34,1.17,-1.54,-0.13
4,-0.07,1.18,-0.03,0.36,1.24,0.08,0.99,0.09,0.35,0.9,-1.47,-0.27
4,-0.14,1.13,-0.07,0.33,1.21,0.05,0.99,0.1,0.35,0.66,-1.29,-0.27
4,-0.11,1.15,-0.06,0.35,1.24,0.09,1,0.09,0.34,0.36,-1,-0.19
4,-0.13,1.16,-0.06,0.36,1.24,0.06,0.99,0.1,0.35,0.34,-1.18,-0.72
4,-0.08,1.19,-0.03,0.39,1.25,0.06,0.99,0.1,0.34,-0.18,-1.56,-0.7
4,-0.08,1.18,-0.06,0.38,1.25,0.08,1,0.1,0.34,-0.17,-1.83,-0.92
4,-0.13,1.13,-0.09,0.35,1.24,0.08,1,0.1,0.35,0.05,-1.95,-0.85
4,-0.07,1.21,-0.01,0.42,1.28,0.09,0.99,0.1,0.35,-0.32,-2.15,-0.87
4,-0.08,1.19,-0.04,0.38,1.25,0.09,0.99,0.09,0.33,-0.39,-2.18,-0.81
4,-0.1,1.15,-0.06,0.36,1.24,0.08,0.99,0.1,0.34,-0.59,-1.73,-0.88
4,-0.1,1.15,-0.07,0.36,1.24,0.06,1,0.1,0.34,-0.33,-1.62,-1.03
4,-0.11,1.15,-0.09,0.36,1.22,0.08,0.99,0.1,0.35,-0.46,-1.95,-0.7
4,-0.1,1.18,-0.06,0.38,1.24,0.08,0.99,0.1,0.35,0.02,-2.15,-0.68
4,-0.13,1.18,-0.07,0.36,1.21,0.05,1,0.1,0.35,0.08,-1.95,-0.73
4,-0.14,1.13,-0.09,0.35,1.21,0.06,1.01,0.1,0.34,0.21,-1.93,-0.76
4,-0.1,1.16,-0.06,0.38,1.26,0.09,1,0.09,0.35,0.18,-1.85,-0.53
4,-0.13,1.13,-0.09,0.35,1.22,0.06,1,0.1,0.34,0.35,-1.59,-0.61
4,-0.13,1.13,-0.09,0.35,1.22,0.06,1,0.09,0.34,0.48,-1.95,-0.51
4,-0.13,1.19,0,0.41,1.26,0.11,1,0.1,0.35,0.38,-1.94,-0.27
4,-0.14,1.09,-0.1,0.32,1.18,0.05,1,0.1,0.33,0.63,-1.37,-0.49
4,-0.1,1.16,-0.06,0.38,1.22,0.08,0.99,0.1,0.34,0.82,-1.63,-0.15
4,-0.1,1.15,-0.06,0.38,1.24,0.09,1,0.1,0.33,0.96,-1.46,-0.25
4,-0.11,1.13,-0.07,0.35,1.19,0.06,1,0.09,0.34,0.98,-1.21,-0.05
4,-0.1,1.16,-0.06,0.38,1.24,0.09,1,0.1,0.35,1.47,-0.4,0.27
4,-0.11,1.13,-0.09,0.33,1.21,0.06,0.99,0.09,0.35,1.95,-0.4,0.44
4,-0.11,1.15,-0.07,0.35,1.24,0.09,1,0.1,0.34,1.67,-0.85,0.41
4,-0.07,1.16,-0.06,0.38,1.25,0.09,1,0.09,0.34,2.15,-0.82,0.4
4,-0.1,1.13,-0.07,0.36,1.24,0.08,1,0.1,0.33,2.19,-0.55,0.6
4,-0.11,1.15,-0.09,0.36,1.24,0.08,1,0.1,0.34,2.37,-0.55,0.79
4,-0.07,1.16,-0.06,0.38,1.25,0.09,0.99,0.09,0.34,2.2,-0.79,1.15
4,-0.11,1.13,-0.09,0.35,1.19,0.06,0.99,0.09,0.33,2.27,-1.02,1.22
4,-0.11,1.13,-0.09,0.35,1.19,0.06,1,0.09,0.34,2.27,-0.78,1.16
4,-0.08,1.15,-0.07,0.38,1.22,0.08,1,0.1,0.34,2.21,-0.92,0.91
4,-0.11,1.13,-0.09,0.35,1.21,0.06,1,0.1,0.33,2.04,-0.33,0.85
4,-0.05,1.21,-0.04,0.39,1.25,0.11,1,0.09,0.34,1.92,-0.08,1
4,-0.1,1.16,-0.06,0.39,1.25,0.09,1.01,0.09,0.34,1.67,0.29,0.89
4,-0.11,1.15,-0.07,0.36,1.24,0.06,1,0.1,0.34,1.41,0.42,0.67
4,-0.08,1.19,-0.01,0.41,1.28,0.11,1,0.09,0.33,1.47,0.49,0.79
4,-0.11,1.15,-0.06,0.35,1.24,0.06,1.01,0.09,0.33,1.09,0.9,0.42
4,-0.08,1.18,-0.04,0.39,1.25,0.11,1,0.1,0.34,1.08,1.03,0.44
4,-0.13,1.13,-0.06,0.38,1.25,0.08,1,0.09,0.34,1.07,1.07,0.47
4,-0.14,1.15,-0.07,0.33,1.21,0.08,0.99,0.09,0.34,1.21,0.87,0.42
4,-0.11,1.18,-0.01,0.39,1.26,0.09,1,0.09,0.34,0.89,0.71,0.24
4,-0.13,1.13,-0.07,0.33,1.21,0.08,0.99,0.09,0.35,1.02,0.92,0.4
4,-0.1,1.16,-0.06,0.36,1.24,0.08,1.01,0.09,0.35,1.17,0.79,0.24
4,-0.13,1.13,-0.06,0.36,1.24,0.09,1,0.09,0.34,1.23,0.73,0.19
4,-0.13,1.13,-0.07,0.33,1.21,0.06,1,0.09,0.34,0.95,0.38,0.31
4,-0.1,1.19,-0.03,0.39,1.25,0.11,1,0.09,0.34,0.9,0.22,0.37
4,-0.13,1.13,-0.07,0.33,1.21,0.06,0.99,0.1,0.34,0.81,0.05,0.21
4,-0.08,1.18,-0.04,0.36,1.24,0.08,1,0.09,0.34,0.81,0.13,0.11
4,-0.13,1.13,-0.07,0.36,1.24,0.08,1,0.09,0.34,1.11,0.05,-0.07
4,-0.13,1.13,-0.07,0.36,1.21,0.06,1,0.09,0.34,0.98,-0.02,-0.18
4,-0.11,1.18,-0.03,0.41,1.26,0.09,1,0.09,0.34,0.86,0.07,-0.21
4,-0.13,1.13,-0.09,0.35,1.21,0.06,1,0.09,0.33,0.57,0.11,-0.21
4,-0.08,1.19,-0.03,0.39,1.25,0.11,1,0.09,0.34,0.7,0.24,0.13
4,-0.08,1.18,-0.04,0.39,1.25,0.09,0.99,0.1,0.33,-0.02,-0.1,0.02
4,-0.1,1.15,-0.06,0.36,1.24,0.08,1,0.1,0.33,-0.82,-0.13,0.15
4,-0.1,1.15,-0.06,0.36,1.24,0.09,1,0.1,0.34,-2.14,-0.49,-0.11
4,-0.1,1.16,-0.06,0.36,1.25,0.06,1,0.11,0.33,-4.12,-0.55,-0.35
4,-0.11,1.12,-0.07,0.32,1.24,0.03,1,0.13,0.32,-6.69,-0.46,-1.05
4,-0.17,1.12,-0.06,0.32,1.21,0.02,0.99,0.14,0.31,-11.08,-0.63,-1.69
4,-0.16,1.16,-0.04,0.32,1.25,0.03,1,0.16,0.28,-15.87,0,-2.6
4,-0.22,1.09,-0.01,0.32,1.25,-0.01,1.01,0.19,0.26,-23.31,0.44,-3.71
4,-0.25,1.09,-0.04,0.26,1.26,-0.04,1.02,0.22,0.24,-33.6,-0.02,-4.75
4,-0.23,1.07,-0.01,0.27,1.34,-0.04,1.04,0.23,0.21,-45.02,0.11,-6.76
4,-0.35,1.04,-0.04,0.2,1.28,-0.16,1.01,0.24,0.18,-59.21,0.02,-9.28
4,-0.36,1.09,-0.01,0.18,1.29,-0.2,1,0.26,0.16,-76.22,0.69,-12.45
4,-0.42,1.04,-0.06,0.18,1.32,-0.2,0.98,0.26,0.17,-93.34,1.53,-16.26
4,-0.45,0.97,-0.1,0.12,1.26,-0.26,1,0.27,0.16,-112.27,1.73,-21.59
4,-0.47,0.98,-0.06,0.2,1.28,-0.23,1.02,0.24,0.15,-132.53,3.05,-27.2
4,-0.54,0.97,-0.06,0.14,1.28,-0.26,1.04,0.22,0.19,-149.94,4.91,-32.51
