FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
1,-0.02,1.15,0.05,0.3,1.21,0.11,1.03,-0.17,0.12,1.96,-1.08,0.07
1,0.01,1.18,0.06,0.32,1.21,0.12,1.03,-0.16,0.1,1.85,-1.43,-0.1
1,0.01,1.18,0.09,0.38,1.25,0.15,1.04,-0.15,0.1,2.11,-0.95,-0.32
1,0.04,1.19,0.08,0.33,1.22,0.17,1.04,-0.15,0.09,1.36,-0.83,-0.25
1,0.04,1.18,0.05,0.3,1.21,0.12,1.04,-0.14,0.1,0.73,-1.12,0.08
1,0.07,1.21,0.09,0.35,1.28,0.2,1.03,-0.15,0.1,-0.02,-1.16,-0.14
1,0.04,1.18,0.05,0.32,1.24,0.18,1.02,-0.17,0.09,-0.38,-1.38,-0.45
1,0.04,1.22,0.09,0.33,1.28,0.2,1.03,-0.16,0.09,0.96,-0.23,-0.49
1,0.04,1.26,0.14,0.29,1.31,0.24,1.03,-0.15,0.1,1.5,0.18,-0.71
1,0.04,1.24,0.15,0.26,1.29,0.33,1.03,-0.16,0.11,0.58,-1.18,-0.91
1,0.12,1.37,0.3,0.27,1.46,0.62,1.05,-0.18,0.08,1.54,0.85,-1.26
1,0.11,1.47,0.42,0.12,1.58,0.62,1.02,-0.16,0.09,2.68,2.59,-1.44
1,0.17,1.53,0.61,0.05,1.72,0.77,1.02,-0.15,0.11,2.65,2.74,-0.71
1,0.33,1.5,0.65,0.02,1.72,0.82,1.02,-0.16,0.14,1.66,-0.65,-0.51
1,0.54,1.52,0.73,0.07,1.71,0.74,1.02,-0.16,0.18,2.03,-5.02,-0.21
1,0.73,1.56,0.77,0.21,1.83,0.82,1.04,-0.15,0.15,3.08,-6.65,-0.03
1,0.67,1.61,0.89,0.35,1.93,0.82,1.02,-0.19,0.15,3.63,-8.89,-0.69
1,0.55,1.69,0.99,0.33,1.78,0.79,0.97,-0.18,0.15,3.78,-13.05,-0.92
1,0.47,1.64,1.04,0.38,1.58,0.82,0.97,-0.2,0.16,4.69,-15.41,-1.55
1,0.39,1.8,1.1,0.6,1.71,0.91,1.02,-0.2,0.12,4.85,-14.93,-2.14
1,0.18,1.98,1.08,0.7,1.74,0.92,1.04,-0.16,0.08,6.4,-13.96,-2.05
1,-0.11,1.89,0.98,0.76,1.62,0.95,1.01,-0.14,0.12,8.62,-15.81,-1.53
1,-0.22,1.92,0.92,0.67,1.64,0.86,1.03,-0.14,0.08,6.36,-16.11,-1.49
1,-0.08,1.8,0.99,0.54,1.46,0.77,1.03,-0.13,0.11,4.39,-18.26,-2.24
1,-0.01,1.87,1.1,0.63,1.44,0.89,1.02,-0.11,0.03,1.14,-19.51,-2.66
1,-0.13,1.78,0.97,0.7,1.38,0.79,1.06,-0.08,0.01,-1.05,-18.24,-2.03
1,-0.3,1.53,0.79,0.67,1.13,0.88,1.06,-0.09,0.05,-2.26,-19.19,-1.46
1,-0.41,1.41,0.77,0.76,1.15,0.82,1.09,-0.12,-0.04,-4.76,-19.79,-1.12
1,-0.76,1.24,0.73,1.03,1,0.61,1.06,-0.15,-0.02,-4.02,-18.29,-1.27
1,-0.73,1.03,0.7,1.01,0.79,0.52,1.05,-0.17,0.01,-2.31,-18.05,-2.31
1,-0.54,0.87,0.77,0.76,0.69,0.64,1.04,-0.19,0.02,0.73,-19.4,-3.13
1,-0.5,0.78,0.79,0.75,0.61,0.64,1.03,-0.17,-0.02,3.92,-19.05,-3.39
1,-0.44,0.69,0.7,0.81,0.44,0.6,1.03,-0.15,-0.03,5.42,-18.49,-3.38
1,-0.39,0.64,0.71,0.88,0.33,0.54,1.03,-0.11,0,5.71,-17.41,-2.63
1,-0.51,0.48,0.61,0.88,0.23,0.46,1.04,-0.11,0,5.86,-18.18,-1.5
1,-0.39,0.47,0.68,0.81,0.15,0.48,1.04,-0.12,-0.02,3.71,-18.97,-1.83
1,-0.14,0.42,0.62,0.45,0.08,0.42,1.05,-0.1,-0.06,0.41,-15.95,-2.24
1,0.02,0.39,0.54,0.39,0.07,0.36,1.04,-0.1,-0.05,-0.92,-14.42,-2.11
1,0.18,0.32,0.39,0.24,0.05,0.36,1.03,-0.1,-0.03,-1.14,-13.05,-1.96
