FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,-0.56,1.12,0.94,1.12,1.04,0.8,1,-0.11,0.05,7.36,-26.27,-4.6
5,-0.56,1.03,0.94,1.37,1.03,0.91,1.04,-0.1,0.03,8.41,-25.5,-5.02
5,-0.59,0.91,0.98,1.47,1,1.02,1.09,-0.1,0.05,8.5,-24.11,-5.79
5,-0.5,0.78,1.13,1.32,0.84,0.98,1.11,-0.13,0.08,11.09,-25.67,-7.9
5,-0.36,0.79,1.23,1.25,0.7,1.01,1.08,-0.07,0.06,9.25,-25.79,-8.4
5,-0.32,0.85,1.2,1.1,0.6,0.97,1.03,0,0.01,7.94,-26.15,-6.18
5,-0.2,0.87,1.22,1.07,0.57,1.07,1.01,0,-0.01,5.88,-23.95,-3.73
5,-0.13,0.81,1.16,0.91,0.49,1.05,1.02,-0.05,0,3.56,-23.54,-3.54
5,0.07,0.85,1.11,0.64,0.45,0.95,1.04,-0.02,-0.06,2.9,-21.94,-2.86
5,0.26,0.82,1.07,-0.2,0.47,0.97,1.07,-0.03,-0.1,2.37,-18.86,-1.77
5,0.48,0.78,0.91,-0.41,0.44,0.89,1.08,-0.05,-0.11,4.03,-16.98,-0.98
5,0.81,0.76,0.74,-0.65,0.41,0.73,1.09,-0.07,-0.19,5.73,-14.44,-0.44
5,1.06,0.7,0.6,-0.78,0.39,0.65,1.09,-0.04,-0.21,5.77,-9.52,0.27
5,1.22,0.64,0.45,-0.76,0.39,0.49,1.09,-0.05,-0.22,4.31,-4.35,1.19
5,1.15,0.54,0.28,-0.63,0.45,0.36,1.07,-0.03,-0.19,3.98,-0.5,2.44
5,0.92,0.38,0.11,-0.5,0.45,0.22,1.07,-0.05,-0.15,2.6,0.98,4.15
5,0.7,0.27,-0.06,-0.41,0.38,0.09,1.04,-0.07,-0.11,0.13,0.63,4.72
5,0.66,0.23,-0.13,-0.32,0.33,0,1.06,-0.09,-0.12,-0.51,-0.62,4.69
5,0.55,0.15,-0.19,-0.19,0.29,-0.03,1.07,-0.08,-0.17,-1.98,0.41,4.31
5,0.51,0.17,-0.13,-0.01,0.29,-0.03,1.01,-0.07,-0.11,-3.99,1.69,3.29
5,0.3,0.12,-0.18,0.07,0.2,-0.01,0.97,-0.08,-0.07,-7.16,2.39,3.16
5,0.17,0.05,-0.2,0.17,0.12,-0.04,1,-0.11,-0.07,-9.02,3.98,2.24
5,0.07,0.02,-0.15,0.24,0.11,-0.03,1.01,-0.15,-0.09,-5.5,7.82,0.86
5,-0.05,-0.01,-0.12,0.26,0.05,-0.01,1.05,-0.16,-0.05,-2.15,10.81,-1.52
5,-0.04,-0.02,-0.03,0.33,-0.01,0,1.05,-0.09,-0.06,1.24,12.14,-2.63
5,-0.1,-0.1,0.08,0.39,-0.1,0.06,0.97,-0.05,-0.02,1.76,13.25,-0.98
5,-0.28,-0.26,0.12,0.41,-0.2,0.25,0.92,-0.06,0.02,5.27,14.65,1.51
5,-0.35,-0.32,0.28,0.51,-0.19,0.55,0.95,-0.15,0.02,10.55,13.21,2.77
5,-0.56,-0.39,0.37,0.49,-0.33,0.71,0.96,-0.19,0.07,14.69,13.83,1.05
5,-0.65,-0.47,0.67,0.48,-0.5,0.89,0.99,-0.2,0.07,19.44,12.7,-1.75
5,-0.7,-0.63,0.86,0.44,-0.65,1.14,1.04,-0.16,0.04,23.88,11.56,-3.53
5,-0.72,-0.75,1.08,0.54,-0.66,1.31,1.09,-0.13,0.09,26.53,10.35,-3.98
5,-0.68,-0.85,1.35,0.6,-0.69,1.59,1.08,-0.05,0.14,27.99,4.79,-3.53
5,-0.72,-0.88,1.47,0.45,-0.84,1.77,1.08,0,0.12,20.02,-1.31,-0.96
5,-0.68,-0.91,1.62,0.3,-0.82,1.91,1.06,0.02,0.11,9.27,-4.96,1
5,-0.5,-0.94,1.74,0.05,-0.78,2.06,1.03,-0.03,0.11,6.68,-8.32,1.27
5,-0.29,-0.88,1.9,-0.26,-0.63,2.18,1.08,-0.03,0.03,6.95,-8.53,1.37
5,0.04,-0.73,2.09,-0.36,-0.51,2.22,1.06,-0.06,0.02,10.79,-4.56,1.6
5,0.42,-0.57,2.09,-0.26,-0.33,2.15,1.04,-0.01,0,12.56,-0.67,1.84
5,0.92,-0.41,2.02,-0.51,-0.1,1.99,1.02,0.03,0.03,6.35,-1.83,3.84
5,1.26,-0.25,1.9,-0.59,0.05,1.82,1.04,0.01,0,-0.32,-4.77,5.29
5,1.53,-0.14,1.66,-1.25,0.08,1.56,1.04,-0.04,-0.02,-4.2,-7.61,6.15
5,1.87,-0.02,1.5,-1.03,0.14,1.38,1.04,-0.04,-0.06,-7.17,-10.82,6.92
5,1.99,-0.01,1.17,-1.08,0.18,1.26,1.04,-0.06,-0.09,-11.27,-13.1,7.32
5,2.05,0.04,0.92,-1.05,0.27,1.1,1.04,-0.09,-0.12,-17.69,-16.09,7.14
5,2.02,0.09,0.7,-0.99,0.38,0.91,1.07,-0.13,-0.12,-23.37,-19.25,5.34
5,1.83,0.09,0.37,-0.94,0.41,0.67,1.09,-0.14,-0.15,-26.45,-22.46,3.48
5,1.71,0.12,0.17,-0.88,0.45,0.57,1.13,-0.15,-0.17,-26.55,-22.72,1.27
