FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
3,0.05,1.16,-0.06,-0.04,1.4,0.27,1.2,0.17,-0.3,13.67,28.6,-1.44
3,-0.01,1.12,0.02,-0.14,1.22,0.27,0.99,0.27,-0.34,13.01,31.01,4.16
3,-0.02,1.15,0.09,0.27,1.22,0.18,1.08,0.42,-0.36,8.27,28.76,9.66
3,-0.13,1.44,0.21,0.27,1.47,0.12,1.54,0.2,-0.34,1.47,34.63,14.31
3,-0.14,1.69,0.21,0.29,1.56,0.18,1.67,-0.14,-0.17,20.25,55.73,14.44
3,-0.26,1.75,0.17,0.32,1.47,0.21,1.35,-0.11,-0.15,41.6,67.96,14.41
3,-0.26,1.58,0.12,0.38,1.32,0.21,1.06,0.02,-0.06,49.97,62.69,17.67
3,-0.04,1.4,0.12,0.42,1.24,0.11,0.93,0.12,0.02,50.76,50.18,19.98
3,-0.08,1.31,0.21,0.48,1.13,0.02,1.04,0.01,0.03,52.21,35.69,17.4
3,-0.01,1.43,0.42,0.49,1.13,0.05,0.97,-0.08,0.09,57.12,23.16,10.61
3,-0.14,1.44,0.34,0.42,1.16,0.11,1.01,-0.06,0.08,58.68,16.34,3.8
3,-0.19,1.46,0.27,0.41,1.21,0.09,1.04,0.01,0.03,61.85,15.21,-3.78
3,-0.19,1.37,0.05,0.26,1.1,0.05,0.96,0.11,0.01,61.62,12.37,-9.64
3,-0.2,1.29,0.06,0.33,1.06,0.05,0.85,0.16,-0.03,53.6,5.98,-11.47
3,-0.1,1.19,0.18,0.36,0.92,0.05,0.84,0.12,-0.07,44.56,3.28,-11.3
3,0.14,1.01,0.28,0.41,0.85,0.08,0.76,0.16,-0.05,37.78,1.47,-11.18
3,0.23,0.92,0.3,0.47,0.87,0,0.75,0.26,0.03,25.36,3.9,-11.09
3,0.23,1.03,0.28,0.41,0.92,-0.06,0.82,0.24,0,11.61,6.18,-10.38
3,0.07,1.22,0.28,0.32,1,-0.06,0.9,0.19,0.01,2.84,8.26,-10.31
