FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
8,0.36,1.19,0.22,0.11,1.16,-0.07,1.01,0.29,-0.01,26.57,1.96,4.73
8,0.44,1.31,0.3,0.21,1.21,-0.04,1.06,0.28,0.05,24.16,5.02,4.83
8,0.33,1.4,0.3,0.18,1.19,-0.07,1.04,0.29,0.05,24.78,6.71,1.94
8,0.23,1.41,0.33,0.11,1.18,-0.06,1.01,0.25,0.06,25.64,7.12,0.11
8,0.23,1.35,0.27,0.08,1.25,-0.03,1.02,0.23,0.04,25.6,7.37,0.63
8,0.38,1.4,0.37,0.18,1.35,-0.01,1.04,0.23,0.04,23.4,7.47,2.62
8,0.39,1.35,0.39,0.18,1.31,-0.04,1.05,0.26,0.05,21.95,8.46,3.86
8,0.38,1.31,0.37,0.18,1.19,-0.12,1.02,0.27,0.08,21.37,9.06,2.65
8,0.35,1.31,0.34,0.15,1.15,-0.12,0.96,0.3,0.08,18.01,7.53,1.5
8,0.3,1.38,0.34,0.11,1.18,-0.09,0.94,0.28,0.07,12.88,3.72,1.61
8,0.15,1.4,0.37,0.09,1.21,-0.07,0.95,0.27,0.06,8.08,0.28,1.53
8,0.07,1.37,0.4,0.17,1.26,-0.06,0.95,0.27,0.04,5.23,-2.73,-0.01
8,-0.01,1.26,0.33,0.2,1.15,-0.15,0.96,0.28,0.03,5.76,-4.05,-1.92
8,-0.02,1.26,0.28,0.23,1.15,-0.16,0.98,0.31,-0.01,4.53,-3.79,-3.06
8,0.04,1.29,0.27,0.2,1.12,-0.16,1.03,0.31,-0.01,3.56,-1.42,-3.02
8,0.11,1.32,0.31,0.14,1.13,-0.12,1.04,0.31,0.02,3.24,1.89,-3.15
8,0.12,1.25,0.3,0.14,1.13,-0.1,0.96,0.3,0.05,4.21,3.43,-3.56
8,0.12,1.15,0.28,0.2,1.09,-0.13,0.87,0.32,0.02,4.64,1.44,-4.41
8,0.07,1.1,0.22,0.27,1.06,-0.18,0.8,0.37,0.08,2.44,-3.79,-3.24
8,0.18,1.16,0.3,0.29,1.07,-0.19,0.89,0.34,-0.01,0.75,-2.74,-2.07
8,0.27,1.21,0.36,0.2,1.06,-0.16,0.92,0.33,0.02,0.76,-0.41,-1.95
8,0.11,1.13,0.34,0.23,1.09,-0.07,0.91,0.36,0.02,-1.13,1.15,-1.79
8,0.04,1.1,0.4,0.24,1.01,-0.07,0.85,0.37,0.05,-3.01,2.2,-1.54
8,0.09,1.03,0.4,0.23,0.92,-0.1,0.7,0.39,0.06,-6.76,-2.73,-0.07
8,0.15,1.07,0.48,0.23,0.91,-0.12,0.67,0.36,0.02,-9.39,-9.6,1.96
8,0.14,1.03,0.37,0.09,0.88,-0.09,0.68,0.32,-0.01,-8.35,-6.66,1.29
8,0.12,0.98,0.34,0.02,0.85,0.05,0.67,0.32,0.03,-6.79,-1.78,-1.5
8,0.04,0.79,0.28,0.09,0.7,0.08,0.6,0.4,0.07,-7.58,3.24,-2.65
8,0.14,0.85,0.39,0.26,0.84,0.03,0.5,0.49,0.1,-13.85,-1.4,2.04
8,0.23,1.19,0.54,0.32,1,-0.18,0.57,0.48,0.05,-23.04,-12.13,5.51
8,0.2,1.41,0.65,0.3,1.34,-0.34,0.93,0.41,0.15,-15.92,-15.31,1.96
8,0.27,1.64,0.82,0.27,1.69,-0.4,1.24,0.46,0.21,-9.82,-16.74,-6.73
8,0.17,1.8,0.76,0.17,1.75,-0.49,1.64,0.65,0.09,-9.76,-16.07,-13.54
8,-0.02,1.86,0.7,0.02,1.71,-0.53,1.73,0.65,0.08,-6.74,-19.55,-13.49
8,-0.17,2.02,0.76,0.04,1.69,-0.53,1.58,0.43,0.09,-3.35,-19.63,-12.24
8,-0.16,2.2,0.83,0.17,1.69,-0.44,1.79,0.27,0.09,4.35,-9.75,-14.32
8,-0.07,2.18,0.83,0.2,1.9,-0.25,1.96,0.15,0.1,10.34,2.85,-14.5
8,0.01,1.9,0.33,0.05,1.99,0,1.87,-0.09,0.2,8.21,6,-16.37
8,0.07,1.95,-0.1,0.01,1.9,0.12,1.79,-0.46,0.13,28.83,26.34,-33.08
8,0.35,1.99,-0.29,0.09,1.52,0.17,1.31,-0.06,0.2,45,21.74,-44.38
8,0.78,1.9,-0.49,0.29,1.46,0.14,1.49,0.32,0.19,17.32,13.07,-32.08
8,0.61,1.62,-0.53,0.45,1.74,0.42,1.38,-0.12,0.17,-2.62,7.85,-10.98
8,0.52,1.26,-0.59,0.27,1.47,0.64,1.17,-0.3,0.42,6.66,16.19,-11.53
8,0.42,1.1,-0.59,0.21,1.25,0.76,1.02,-0.19,0.27,13.06,10.92,-18.37
8,0.42,1.31,-0.38,0.2,1.28,0.88,0.83,0,0.17,11.86,5.31,-16.81
8,0.39,1.21,-0.2,0.12,1.18,0.85,0.65,-0.06,0.24,2.26,-10.03,-11.72
8,0.27,0.95,-0.06,0.11,1.03,0.71,0.58,-0.1,0.12,-0.2,-20.54,-7.14
8,0.12,0.78,-0.01,0.12,0.89,0.55,0.49,-0.19,0.07,2.13,-24.47,-1.05
8,0.07,0.87,-0.03,0.15,0.82,0.48,0.6,-0.33,0.02,10.56,-15.67,2.63
8,0.12,0.98,-0.06,0.02,0.87,0.49,0.75,-0.3,0.02,21.44,-9.39,2.18
8,0.26,1.04,0,0.02,1,0.48,0.86,-0.18,-0.01,20.1,-6.44,2.03
8,0.39,1.09,0.02,0.07,0.98,0.37,0.95,-0.13,0.01,19.13,-1.76,2.79
8,0.48,1.18,0.09,0.23,1.03,0.27,1.02,-0.09,0.02,21.2,4.79,2.51
8,0.35,1.28,0.03,0.35,1.13,0.24,1.02,-0.03,0.03,15.7,5.21,4.52
8,0.32,1.37,0,0.29,1.24,0.3,1.05,-0.03,0.05,11.14,4.09,6.4
8,0.21,1.41,0.02,0.12,1.29,0.33,1.02,-0.05,0.08,8.49,-1.77,6.24
8,0.21,1.46,0,0.04,1.24,0.34,1.1,-0.07,0,4.56,-0.63,4.59
8,0.26,1.37,-0.01,0.12,1.24,0.34,1.06,-0.06,0.06,7.56,0.58,3.26
8,0.3,1.25,-0.03,0.23,1.19,0.31,0.98,-0.02,0.05,4.54,2.58,2.92
8,0.35,1.32,0.03,0.17,1.21,0.27,0.98,0.01,0.05,-1.98,1.68,2.64
8,0.23,1.35,0.08,0.04,1.24,0.25,1.03,0.03,0.04,-2.53,1.68,2.2
8,0.2,1.38,0.11,-0.11,1.19,0.22,1.05,0,0.07,-0.17,3.27,1.68
8,0.24,1.29,0.12,-0.01,1.18,0.24,1.02,-0.06,0.05,3.46,6.31,1.24
8,0.3,1.28,0.09,0.07,1.19,0.22,1.02,-0.02,0.04,3.6,7.93,2.4
8,0.3,1.31,0.08,0.09,1.25,0.2,1.06,0.02,0.05,1.85,9.87,3.87
8,0.23,1.34,0.09,0.08,1.32,0.18,1.08,0.04,0.04,1.95,11.11,4.59
8,0.23,1.37,0.05,0.08,1.34,0.2,1.09,0.04,0.07,1.92,11.86,5.21
8,0.26,1.32,0,0.04,1.29,0.22,1.06,0.05,0.06,1.89,13.79,6.26
8,0.23,1.28,-0.01,0.04,1.22,0.24,0.99,0.02,0.06,1.58,12.33,8.73
8,0.21,1.26,0.02,0.04,1.19,0.24,0.98,-0.05,0.03,2.79,10.78,10.27
8,0.32,1.34,0.09,0.07,1.24,0.33,0.98,-0.04,0.04,7.09,11.21,10.14
8,0.23,1.31,0.02,0.09,1.24,0.3,0.99,0,0.04,7.27,10.02,10.15
8,0.2,1.32,0,0.14,1.22,0.3,1,-0.04,0.05,3.34,7.44,10.98
8,0.21,1.35,0.05,0.11,1.22,0.28,1.06,-0.15,0.05,3.47,5.85,10.6
8,0.23,1.37,0.06,0.12,1.21,0.3,1.08,-0.21,0.04,12.78,7.03,8.18
8,0.24,1.34,0.03,0.15,1.18,0.37,1.05,-0.12,0.02,17.8,10.26,6.21
8,0.2,1.29,0.03,0.09,1.12,0.4,0.98,-0.09,0.08,14.83,11.08,5.77
8,0.21,1.32,0.09,0.12,1.09,0.37,0.94,-0.16,0.11,12.63,8.28,5.05
8,0.24,1.24,0.08,0.11,1.09,0.39,0.87,-0.21,0.1,19.93,3.98,3.43
8,0.21,1.24,0.11,0.08,1.09,0.42,0.85,-0.22,0.11,24.11,1.1,0.95
