FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
0,-0.35,2.11,-0.38,0.63,1.65,-0.25,1.05,-0.09,-0.06,-4.45,-28.12,-5.92
0,-0.25,1.93,-0.41,0.57,1.47,-0.22,1.07,-0.08,-0.06,-4.22,-21.27,-8.19
0,-0.04,1.71,-0.41,0.44,1.32,-0.23,1.07,-0.12,-0.02,-3.31,-19.18,-9.25
0,0.02,1.41,-0.4,0.35,1.13,-0.26,1.08,-0.06,-0.03,-0.82,-18.2,-10.25
0,0.17,1.16,-0.38,0.18,0.91,-0.34,1.04,-0.02,-0.03,0.2,-21.13,-8.51
0,0.58,0.78,-0.66,-0.07,0.7,-0.38,1.1,-0.02,-0.08,3.57,-15.09,-5.92
0,0.82,0.15,-0.78,-0.68,0.29,-0.65,0.99,-0.03,-0.02,8.81,-14.93,-4.47
0,0.57,-0.07,-0.68,-0.82,-0.19,-0.69,0.99,-0.06,-0.06,10.7,-11.63,-5.47
0,0.73,-0.23,-0.84,-0.93,-0.35,-0.75,0.95,-0.05,-0.05,9.05,-9.32,-5.34
0,1.29,-0.38,-1.05,-1.15,-0.28,-0.92,1.06,-0.01,-0.04,11.08,-10.44,-5.76
0,1.47,-0.44,-1.06,-1.25,-0.22,-0.9,1.08,-0.04,-0.01,6.84,-10.38,-5.76
0,1.35,-0.39,-1.09,-1.19,-0.25,-0.8,1.1,-0.04,-0.05,3.39,-11.16,-6.5
0,1.24,-0.22,-1.06,-1.12,-0.19,-0.72,1.03,0.06,-0.16,3.88,-1.96,-5.55
0,1.06,-0.07,-0.97,-0.93,-0.05,-0.62,0.89,0.04,-0.18,7.69,6.66,-4.23
0,0.89,0.12,-0.83,-0.68,0.15,-0.56,0.84,-0.06,-0.11,11.05,13.13,-4.27
0,0.69,0.3,-0.68,-0.45,0.35,-0.44,0.88,-0.11,-0.02,15.47,19.73,-6.06
0,0.47,0.42,-0.59,-0.32,0.44,-0.38,1,-0.06,-0.03,17.15,26.34,-8.1
0,0.38,0.58,-0.4,-0.08,0.66,-0.28,1.08,0.04,-0.02,11.6,29.43,-7.32
0,0.23,0.67,-0.31,0.09,0.84,-0.29,1.04,0.14,-0.01,8.19,33.39,-3.61
0,0.11,0.81,-0.26,0.36,1.15,-0.23,1.28,0.11,-0.17,1.87,32.97,-0.38
0,0.04,0.98,-0.28,0.49,1.24,-0.34,1.11,0.07,0.04,-5.3,22.18,1.79
0,-0.05,1.16,-0.26,0.78,1.43,-0.34,1.29,-0.06,-0.15,-8.27,16.06,1.95
0,-0.14,1.35,-0.26,1.07,1.68,-0.31,1.06,-0.1,0.06,-2.79,18.89,-0.76
0,-0.35,1.74,-0.16,1.22,2.04,-0.28,1.07,-0.04,0.02,-0.34,24.24,-2.88
0,-0.56,2.21,0.03,1.32,2.41,-0.18,0.96,-0.04,0.08,-0.04,24.48,-3.53
0,-0.6,2.61,0.05,1.37,2.66,-0.01,1.12,-0.09,-0.03,0.1,22.79,-4.09
0,-0.44,2.92,-0.35,1.31,2.91,0.14,1.16,0.01,0.02,11.14,24.38,-4.6
0,-0.87,3.68,-0.25,1.43,3.07,0.2,0.88,0.08,0.11,5.27,14.45,0.96
0,-1.79,4.23,0.27,1.87,3.16,-0.12,1.01,0.19,-0.09,-13.15,12.57,6.01
0,-2.36,3.9,0.3,1.9,3.32,0.09,1.07,-0.01,-0.04,-14.04,15.27,8.66
0,-2.16,3.89,0.7,1.8,3.52,0.91,0.92,0.02,0.29,-6.76,25.77,9.02
0,-1.87,3.56,0.98,1.81,3.37,1.48,1.13,0.11,0.01,-10.15,19.3,9.68
0,-1.76,3,1.07,2.09,3.01,1.6,1.12,0.17,0.08,-15.46,18.63,10.25
0,-1.96,2.78,1.72,2.57,3.01,2.36,1.17,-0.03,0.22,-16.79,15.53,7.85
0,-2.08,2.55,2.68,2.52,2.63,3.2,1.14,-0.26,0.17,-6.88,18.49,3.81
0,-2.04,2.23,3.53,2.35,2.35,3.75,1.19,-0.01,-0.07,5.25,18.14,3.48
0,-1.79,2.08,3.91,1.62,2.01,3.87,0.86,-0.02,0.22,3.75,14.36,10.51
0,-1.7,1.99,3.79,0.36,1.99,4.03,0.72,-0.11,0.27,7.31,3.21,12.93
0,-1.68,2.11,3.48,0.95,2.55,3.42,0.73,-0.15,0.19,16.6,-7.89,11.1
