FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
2,0.08,1.81,0.27,0.84,1.09,0.12,1.57,0.33,-0.23,12.47,-38.31,6.64
2,-0.02,1.15,0.3,0.75,0.66,0.21,1.12,0.32,-0.3,-0.1,-15.07,5.05
2,-0.17,0.63,0.43,0.63,0.39,0.24,0.59,0.24,-0.08,-12.19,9.63,6.52
2,-0.26,0.18,0.57,0.49,0.21,0.24,0.06,0.25,0.06,-21.4,16.99,8.99
2,-0.22,-0.05,0.64,0.35,-0.13,0.24,-0.22,0.05,0.07,-21.99,24.71,13.6
2,-0.08,-0.08,0.51,0.44,-0.05,0.24,-0.44,-0.09,0.09,-26.87,20.2,15.33
2,-0.01,0.09,0.46,0.42,0.01,0.2,-0.48,-0.22,0.14,-25.56,15.43,13.67
2,0.2,0.18,0.39,0.29,0.04,0.06,-0.29,-0.17,0.18,-13.22,5.73,11.54
2,0.27,0.26,0.3,0.3,0.14,0.02,-0.05,-0.09,0.2,-9.88,-0.65,9.15
2,0.29,0.23,0.58,0.24,0.18,0,0.21,-0.11,0.08,-4.27,0.43,8.17
2,0.36,0.32,0.94,0.32,0.23,0.05,0.24,-0.08,0.05,4.51,11.24,8.55
2,0.17,0.18,0.79,0.24,0.2,0.09,0.23,-0.02,0.03,5.19,17.97,9.69
2,0.09,0.24,0.74,0.3,0.27,0.18,0.12,0.02,0.07,3.53,21.81,10.68
2,0.14,0.27,0.76,0.18,0.24,0.14,0.02,0.01,0.09,0.53,23.17,11.43
2,0.14,0.27,0.85,0.15,0.24,0.14,-0.03,-0.02,0.15,-0.39,21.44,10.72
2,0.17,0.29,1.14,0.14,0.27,0.08,-0.07,-0.04,0.13,1.31,16.27,9.41
2,0.21,0.38,1.59,0.21,0.36,0.12,-0.09,-0.05,0.11,2.16,8.76,8.05
2,0.23,0.57,1.81,0.23,0.52,0.12,-0.05,0.02,0.13,-0.85,-12.53,8.24
2,0.08,0.97,1.45,0.26,0.85,0.15,0.3,0,0,-7.59,-19.31,10
2,-0.2,1.44,0.68,0.39,1.29,0,0.98,-0.15,0.29,3.65,-8.14,11.93
2,-0.08,2.02,0.91,0.69,2.2,-0.18,2,-0.03,0.57,15.24,3.06,12.37
