FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
7,0.6,4.76,-0.69,1.25,5.01,-1.3,2,-0.99,1.39,-3.98,5.86,5.64
7,0.66,5.04,-0.92,0.58,5.47,-1.36,2,-0.94,1.23,44.49,14.07,27.18
7,1.06,3.84,-0.95,-1.05,4.02,-0.81,2,0.09,0.99,41.63,-57.92,20.55
7,0.72,3.26,-0.71,-0.68,3.35,-0.44,2,0.15,1.16,-2.34,-57.2,24.22
7,0.44,3.37,-0.46,0.67,3.59,-0.49,2,-0.39,1.08,-10.32,-73.34,42.18
7,0.33,3.03,-0.2,0.38,2.72,-0.18,1.95,-0.53,0.56,20.95,-98.96,56.9
7,0.12,2.11,-0.01,0.07,2.09,0.17,1.76,-0.6,0.19,45.58,-93.21,70.5
7,0.07,1.26,0.3,0.01,1.25,0.24,1.35,-0.75,0.01,74.73,-73.77,69.42
7,-0.08,0.49,0.27,-0.07,0.29,0.52,0.94,-0.37,-0.04,92.08,-40.22,44.47
7,0.08,0.14,0.11,0.15,-0.44,0.65,0.47,-0.02,-0.11,84.66,5.58,12.18
7,0.05,0.14,0.02,0.23,-0.22,0.51,-0.02,-0.03,0.16,72.06,29.85,0.18
7,-0.13,0.29,0,0.24,-0.02,0.27,-0.37,0,0.13,78.05,26.92,-5.24
7,-0.2,0.32,-0.03,0.21,0.01,0.02,-0.5,0.01,0,74.63,13.31,-6.96
7,-0.1,0.38,-0.01,0.24,0.05,-0.1,-0.33,0.02,0,67.03,1.08,-6.01
7,0.11,0.32,0.11,0.35,0.08,-0.15,-0.03,0.02,0.01,57.6,-8.66,-5.92
7,0.15,0.23,0.18,0.23,0.11,-0.26,0.13,0.01,0.02,52.71,-10.25,-7.31
7,0.14,0.32,0.3,0.15,0.02,-0.46,0.23,-0.04,0.04,51.52,-8.92,-8.99
7,0.18,0.41,0.45,0.32,0.05,-0.31,0.21,-0.13,0.01,57.05,-5.33,-9.14
7,0.2,0.35,0.33,0.42,0.11,-0.22,0.13,-0.07,-0.1,60.02,-1.69,-7.18
7,0.29,0.33,0.3,0.42,0.2,-0.06,0.07,0,-0.19,59.08,3.88,-5.29
7,0.21,0.29,0.28,0.39,0.26,0.02,0.07,0,-0.11,59.18,11.69,-5.15
7,0.07,0.14,0.17,0.26,0.2,-0.06,0.04,0.05,-0.01,60.05,17.68,-4.34
7,0.05,0.15,0.22,0.17,0.17,-0.01,0,0.11,0.1,57.75,18.78,-1.95
7,0.08,0.14,0.25,0.15,0.17,0,-0.02,0.17,0.07,54.55,16.69,3.84
7,0.12,0.21,0.3,0.24,0.3,0.03,-0.08,0.18,0.1,51.07,11.77,12.76
7,0.12,0.42,0.25,0.29,0.44,0.06,0.07,0.21,0.11,41.79,-0.53,19.79
7,0.09,0.84,-0.01,0.33,0.78,-0.07,0.87,0.32,0.4,45.56,-17.56,27.81
7,0.17,1.96,-0.4,0.52,1.77,-0.52,2,0.46,0.15,21.98,39.37,40.24
7,0.15,3.81,-0.65,0.81,3.56,-1.15,2,-0.29,1.1,-10.31,54.06,34.92
7,-0.07,4.83,-0.72,1,5.38,-1.75,2,0.23,0.57,33.09,19.51,13.4
7,-0.04,3.1,-0.41,0.08,3.18,-1,2,0.1,0.83,-9.47,-33.59,8.54
7,0.01,3.52,-0.25,-0.04,3.19,-0.77,2,0.26,0.69,13.83,-18.25,-8.28
7,0.12,3.99,-0.28,-0.11,3.47,-0.59,2,0.34,0.54,-6.77,-25.94,-12.96
7,0.02,3.38,-0.13,0.48,3.12,-0.22,1.81,0.2,0.3,-23.07,-39.2,-2.11
7,-0.01,2.45,0.28,0.41,2.24,0,1.61,0.11,0.15,-30.94,-43.13,5.9
7,-0.39,1.43,0.76,0.36,1.49,0.22,1.53,0.14,0.12,-27.27,-19.56,5.57
7,-0.3,0.79,0.79,0.36,0.88,0.36,1.05,0.17,0.18,-37.01,-6.88,0.4
