FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
9,-0.45,0.26,0.34,0.49,0.07,0.42,1,-0.04,0.15,35.21,13.15,9.35
9,-0.17,0.3,0.4,0.61,0.11,0.43,1.04,0,0.15,42.11,13.34,10.52
9,-0.1,0.36,0.37,0.73,0.14,0.45,1.09,0.02,0.16,45.14,16.69,10.5
9,-0.22,0.49,0.45,0.82,0.24,0.52,1.07,0.03,0.16,43.12,23.07,11.4
9,-0.6,0.61,0.3,1.03,0.36,0.43,1.02,0.03,0.25,40.14,26.08,12.73
9,-0.56,0.76,0.22,1.15,0.41,0.36,1.06,0.02,0.27,37.71,23.85,14.57
9,-0.54,0.72,0.05,1,0.33,0.24,1.06,-0.03,0.34,41.79,20.76,15.59
9,-0.3,0.73,-0.07,1.25,0.39,0.11,1.03,-0.09,0.39,45.5,14.02,15.65
9,-0.82,1.12,-0.09,1.47,0.6,0.22,1.05,-0.07,0.31,49.35,6.96,14.29
9,-0.94,1.29,-0.16,1.34,0.72,0.24,1.08,0.02,0.16,50.4,6.71,13.64
9,-0.59,1.4,-0.09,1.44,0.94,0.27,1.02,0.05,0.18,46.3,10.08,14.73
9,-0.28,1.47,-0.1,1.34,1.09,0.18,0.99,-0.04,0.24,43.57,12.77,15.2
9,-0.26,1.46,-0.2,1.1,1.09,0.14,0.96,-0.09,0.25,49,14.6,14.34
9,-0.3,1.74,-0.19,1.16,1.15,0.15,0.96,-0.05,0.24,60.69,18.42,13.23
9,-0.56,2.01,-0.25,1.31,1.24,0.21,0.93,0.04,0.22,68.71,24.05,13.24
9,-0.41,1.92,-0.37,1.04,1.24,0.27,0.87,0.16,0.25,65.6,27.18,16.46
9,-0.28,1.78,-0.52,0.85,1.22,0.25,0.9,0.1,0.34,57.69,25.09,19.18
9,-0.2,1.78,-0.57,0.7,1.28,0.28,0.96,0.01,0.34,61.73,23.39,20.41
9,-0.07,1.59,-0.62,0.61,1.35,0.21,1.06,0.04,0.35,74.46,26.76,22.01
9,-0.35,1.5,-0.57,0.42,1.22,0.05,1.04,0.13,0.4,87.08,29.85,26.89
9,-0.19,1.53,-0.4,0.48,1.34,-0.04,0.91,0.15,0.42,92.32,24.42,34.24
9,-0.08,1.46,-0.41,0.64,1.5,0.02,0.88,0.18,0.4,96.17,17.22,38.73
9,-0.13,1.29,-0.5,0.84,1.56,0.06,0.88,0.22,0.36,98.53,9.17,41.08
9,-0.01,1.13,-0.5,1.35,1.71,0.06,0.94,0.26,0.31,98.73,3.07,43.44
9,0.01,1.12,-0.46,1.69,1.55,-0.12,0.96,0.24,0.26,100.24,2.29,46.81
9,0.01,1.12,-0.37,1.59,1.26,-0.29,0.89,0.23,0.28,102.54,0.92,52.14
9,-0.01,1,-0.38,0.89,1.18,-0.4,0.87,0.22,0.32,103.9,-2.95,59.39
