FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.94,-0.19,0.18,0.63,0.02,0.49,0.98,0.16,0.18,41.73,6.37,3.13
4,-0.78,-0.11,0.24,0.66,0.11,0.49,1.01,0.16,0.19,36.76,7.47,1.92
4,-0.56,-0.08,0.22,0.81,0.26,0.48,0.99,0.17,0.2,29.02,7.15,2.02
4,-0.38,-0.11,0.12,0.72,0.27,0.48,0.99,0.1,0.22,22.54,5.92,1.92
4,-0.29,-0.13,-0.01,0.63,0.29,0.39,0.99,0.05,0.24,17.62,2.5,1.1
4,-0.26,0.02,0.02,0.57,0.39,0.4,1,0.05,0.27,14.25,-0.04,-0.97
4,-0.32,0.17,0,0.48,0.48,0.33,1.01,0.07,0.27,12.02,-1.6,-3.47
4,-0.41,0.38,0.06,0.47,0.64,0.21,1,0.09,0.22,6.83,-0.58,-5.31
4,-0.3,0.42,0.05,0.47,0.76,0.09,1.03,0.09,0.21,0.96,-0.76,-5.18
4,-0.33,0.51,0.05,0.58,0.97,-0.03,1.07,0.04,0.21,-4.14,-0.11,-4.02
4,-0.63,0.81,0.03,0.89,1.24,-0.07,1.07,0.02,0.19,-7.07,3.11,-3.7
4,-1.27,1.16,-0.06,1.25,1.53,-0.18,1.06,0.04,0.13,-11.1,5.45,-3.6
4,-1.06,1.38,0,1,1.74,-0.22,1.05,0.07,0.1,-16.65,7.82,-3.42
4,-0.51,1.32,0.03,0.66,1.96,-0.35,1.04,0.01,0.19,-18.9,6.76,-3.58
4,-0.05,1.49,0.06,0.52,2.32,-0.41,1.01,-0.07,0.26,-19.37,5.55,-5.38
4,0.33,1.96,0.15,0.48,2.58,-0.43,0.99,-0.06,0.24,-17.19,-2.63,-8.31
4,0.61,2.49,0.21,0.61,2.63,-0.34,1.05,-0.02,0.14,-15.82,-4.89,-9.34
4,0.02,2.83,0.06,0.3,2.69,-0.12,1.12,-0.05,0.11,-13.81,-1.45,-11.59
4,-0.16,2.49,-0.1,1.43,1.74,-0.28,1.16,0.01,0.14,-5.96,7.44,-14.21
4,-0.44,2.04,-0.29,0.58,1.86,-0.25,1.25,0.04,0.08,-2.26,14.92,-13.18
4,-0.22,1.47,-0.23,0.78,1.59,-0.22,1.12,-0.08,0.14,7.65,23.79,-3.87
4,-0.25,1.29,0,0.67,1.38,-0.18,1.01,-0.06,0.23,24.37,29.58,4.51
4,-0.16,1.25,-0.07,0.87,1.31,-0.26,0.83,-0.06,0.33,38.08,25.85,11.98
4,-0.02,1.28,-0.09,0.97,1.32,-0.56,0.75,-0.1,0.44,56.5,20.8,17.05
4,0.07,1.29,-0.19,1.22,1.24,-0.78,0.83,-0.08,0.43,81.69,14.7,21.24
4,0.01,1.16,-0.34,1.21,1.1,-0.95,0.97,0.01,0.38,100.83,10.56,22.33
4,-0.13,1.07,-0.46,1.1,1.1,-0.86,1,0.1,0.35,115.42,4.83,24.15
4,-0.19,1.04,-0.47,0.88,1.12,-0.65,0.98,0.12,0.31,122.17,1.06,26.02
4,-0.14,1.04,-0.41,0.7,1.21,-0.46,0.97,0.09,0.28,131.35,-1.14,28.95
4,-0.08,0.97,-0.38,0.48,1.26,-0.31,1.01,0.06,0.24,143.6,0.05,34.89
4,0.05,0.97,-0.29,0.42,1.29,-0.19,0.99,0.02,0.27,156.18,1.31,41.18
4,0.07,0.98,-0.31,0.39,1.29,-0.12,0.99,-0.02,0.29,164.54,2.45,44.85
4,0.07,1,-0.31,0.39,1.24,-0.1,0.99,-0.1,0.29,173.72,2.55,45.02
4,0.05,1.04,-0.29,0.44,1.22,-0.04,0.97,-0.13,0.28,183.97,2.77,41.98
4,0.02,1.12,-0.31,0.49,1.18,-0.12,1.01,-0.12,0.26,191.4,1.08,38.24
4,0.01,1.26,-0.29,0.58,1.22,-0.13,1.06,-0.13,0.24,194.19,0.63,35.92
4,-0.01,1.26,-0.4,0.54,1.22,-0.22,1.08,-0.16,0.2,194.76,1.45,35.98
4,0.02,1.29,-0.43,0.55,1.29,-0.31,1.07,-0.26,0.22,197.52,0.21,37.76
4,0.04,1.38,-0.38,0.64,1.43,-0.38,1.07,-0.38,0.2,202.61,-3.23,40.79
4,0.02,1.37,-0.34,0.6,1.5,-0.5,1.08,-0.49,0.12,213.34,-3.46,43.87
4,0.01,1.26,-0.29,0.49,1.4,-0.6,1.1,-0.5,0.08,236.11,2.82,46.86
4,0.09,1.21,-0.26,0.39,1.43,-0.59,1.22,-0.45,0.12,250.13,9.95,48.73
4,0.12,1.19,-0.38,0.18,1.25,-0.65,1.26,-0.41,0.11,250.13,17.09,52.53
4,0.23,1.38,-0.43,0.21,1.32,-0.44,1.17,-0.41,0.1,250.13,20.92,56.25
4,0.24,1.44,-0.52,0.23,1.31,-0.37,0.89,-0.46,0.13,250.13,18.47,57.21
4,0.23,1.41,-0.55,0.27,1.29,-0.37,1.02,-0.45,-0.02,250.13,12.92,54.92
4,0.17,1.32,-0.5,0.3,1.19,-0.4,1.04,-0.4,-0.11,250.13,6.47,53.6
4,0.17,1.34,-0.5,0.42,1.19,-0.46,1.12,-0.37,-0.22,250.13,5.34,54.39
4,0.11,1.25,-0.53,0.41,1.13,-0.57,1.18,-0.33,-0.23,250.13,6.45,54.06
4,0.09,1.22,-0.52,0.42,1.18,-0.68,1.22,-0.29,-0.24,250.13,9.04,52.3
4,0.11,1.21,-0.5,0.44,1.28,-0.8,1.25,-0.24,-0.28,250.13,11.11,50.97
4,0.05,1.16,-0.56,0.36,1.37,-0.83,1.24,-0.1,-0.34,250.13,14.11,50.77
4,-0.02,1.1,-0.69,0.45,1.43,-0.75,1.23,0.02,-0.37,250.13,16.85,54.15
4,-0.08,1.04,-0.72,0.49,1.37,-0.77,1.26,0.06,-0.38,250.13,21.71,57.66
4,-0.11,1.01,-0.72,0.48,1.32,-0.75,1.21,0.08,-0.31,250.13,28.52,60.32
4,-0.11,0.98,-0.74,0.47,1.21,-0.89,1.15,0.14,-0.25,250.13,31.54,62.19
4,-0.19,0.97,-0.8,0.35,1.07,-0.87,1.08,0.16,-0.2,250.13,28.99,61.74
4,-0.22,0.97,-0.75,0.26,1.01,-0.74,1.03,0.19,-0.17,244.14,26.57,56.94
4,-0.26,0.88,-0.75,0.14,0.91,-0.71,0.99,0.18,-0.13,225.56,24.93,53.48
4,-0.25,0.87,-0.72,0.11,0.84,-0.62,0.89,0.15,-0.05,208.9,22.42,47.23
4,-0.13,0.85,-0.66,0.18,0.94,-0.5,0.87,0.13,-0.01,200.23,18.23,42.01
4,-0.14,0.78,-0.69,0.15,0.94,-0.5,0.87,0.1,-0.04,193.89,13.41,39.14
4,-0.11,0.81,-0.65,0.23,1.06,-0.49,0.9,-0.06,0.05,193.31,7.53,37.27
4,-0.13,0.81,-0.63,0.23,1.15,-0.55,1,-0.13,0.03,193.44,6.55,37.59
4,-0.11,0.88,-0.59,0.21,1.19,-0.62,1.13,-0.17,0.05,193.16,6.63,41.37
4,-0.17,0.94,-0.53,0.24,1.24,-0.68,1.09,-0.11,0.01,199.05,16.83,46.02
4,-0.22,1,-0.46,0.35,1.22,-0.6,0.79,-0.05,0.08,200.61,13.92,45.86
4,-0.3,0.92,-0.43,0.29,1.06,-0.6,0.76,-0.08,0.06,204.57,12.64,41.95
4,-0.29,0.91,-0.32,0.35,1.03,-0.49,0.69,-0.01,0.03,206.8,3.11,40.4
4,-0.35,0.87,-0.26,0.35,0.92,-0.5,0.66,0.04,0.12,203.91,-2.04,42.38
4,-0.25,0.94,-0.23,0.38,1.03,-0.49,0.95,0.03,0.26,207.98,-1.17,44.48
4,-0.19,1.07,-0.34,0.35,1.21,-0.62,1.53,0.26,0.37,218.31,3.85,43.63
4,-0.17,1.29,-0.38,0.48,1.53,-0.86,1.69,0.46,0.18,204.27,22.67,46.78
4,-0.2,1.58,-0.34,0.63,1.83,-0.99,1.31,0.19,0.35,192.57,40.91,53.53
4,-0.41,1.59,-0.4,0.58,1.8,-1.18,0.98,0.03,0.54,195.19,31.28,50.27
4,-0.41,1.62,-0.35,0.49,1.83,-1.2,0.94,0.03,0.48,203.44,10.56,49.4
4,-0.39,1.5,-0.29,0.39,1.69,-1.18,1.12,0.1,0.34,208.29,-0.8,53.69
