FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,-1.74,2.48,-0.56,2.08,1.19,0.74,0.97,0.3,0.04,-149.92,18.61,12.75
10,-1.8,2.88,-0.65,2.33,1.28,0.99,0.95,0.2,-0.05,-166.99,18.98,17.31
10,-1.82,3.1,-0.74,2.39,1.46,1.31,0.94,0.09,-0.04,-184.49,18.61,19.44
10,-1.93,3.32,-0.78,2.38,1.46,1.65,1.06,-0.08,0,-204.45,24.95,20.99
10,-1.55,3.26,-0.95,2.45,1.29,1.93,1.13,-0.38,0.17,-213.82,33.05,19.19
10,-1.12,3.16,-0.83,2.14,1.4,2.24,1.01,-0.42,0.29,-205.68,28.69,12.79
10,-1.16,3.07,-0.65,1.53,1.43,2.64,0.86,-0.44,0.42,-197.4,13.99,1.52
10,-1.33,3.06,-0.57,1.15,1.47,2.77,0.79,-0.31,0.5,-194.09,-6.86,-7.09
10,-1.48,2.85,-0.6,0.82,1.58,2.65,0.88,-0.2,0.28,-188.19,-20.63,-10.15
10,-1.55,2.66,-0.57,0.3,1.66,2.51,0.93,-0.2,0.11,-186.44,-30.95,-12.83
10,-1.65,2.42,-0.29,0.14,1.65,2.12,0.95,-0.1,-0.01,-184.85,-41.08,-14.47
10,-1.77,2.15,-0.15,0.39,1.59,1.84,1.03,-0.11,-0.15,-185.91,-44.23,-14.36
10,-1.74,1.93,-0.12,0.48,1.53,1.66,1.04,-0.15,-0.17,-187.18,-43.88,-11.28
10,-1.58,1.69,-0.03,0.55,1.32,1.35,1.05,-0.22,-0.16,-184.6,-43.89,-7.04
10,-1.36,1.43,0.14,0.57,1.16,1.14,1.04,-0.31,-0.13,-174.05,-45.23,-3.7
10,-1.03,1.35,0.45,0.48,1.09,1.05,1.08,-0.36,-0.13,-157.83,-43.16,-2.6
10,-0.7,1.1,0.37,0.49,1.07,0.95,1.13,-0.25,-0.32,-151,-39.01,-6.69
10,-0.3,1.06,0.52,0.61,0.88,0.83,1.03,-0.17,-0.21,-146.29,-35.54,-2.89
10,0.17,0.85,0.58,0.33,0.79,0.65,1.01,-0.23,-0.29,-138.9,-35.54,3.04
10,0.63,0.69,0.48,0.24,0.58,0.54,1,-0.23,-0.38,-132.49,-31.54,9.73
10,0.39,0.63,0.54,0.11,0.57,0.51,1.01,-0.19,-0.41,-132.23,-23,16.18
10,0.49,0.63,0.42,0.26,0.49,0.48,0.99,-0.27,-0.32,-134.4,-16.45,22.94
10,0.98,0.51,0.33,0.27,0.48,0.49,1.04,-0.32,-0.33,-127.9,-12.24,27.85
10,1.16,0.38,0.25,0.27,0.51,0.57,1.12,-0.36,-0.22,-113.21,-1.73,31.8
10,1.1,0.36,0.17,0.24,0.44,0.52,1.3,-0.42,-0.19,-93.69,11.33,28.96
10,0.95,0.38,0.03,0.26,0.26,0.46,1.35,-0.34,-0.23,-83.84,22.37,18.6
10,0.69,0.26,-0.07,0.33,0.15,0.39,1.09,-0.22,-0.18,-87.73,27.63,13.29
10,0.7,0.32,-0.12,0.47,0.14,0.46,0.86,-0.24,-0.03,-90.64,25.92,17.15
10,0.51,0.3,-0.18,0.41,0.11,0.43,0.82,-0.38,0.03,-81.05,18.42,21.47
10,0.45,0.3,-0.19,0.51,0.07,0.36,0.88,-0.44,-0.02,-61.7,15.72,22.29
10,0.33,0.35,-0.23,0.58,0.11,0.37,1,-0.43,-0.05,-39.37,17.69,17.01
10,0.2,0.3,-0.34,0.82,0.02,0.31,1.08,-0.23,-0.05,-19.83,25.19,7.27
10,0.01,0.39,-0.35,0.98,-0.04,0.11,1.11,0.09,-0.11,-17.18,32.34,-2.55
10,-0.19,0.54,-0.38,1.15,0.09,0.09,1.09,0.46,0.08,-58.79,25.73,-7.71
10,-0.38,0.66,-0.55,1.21,0.18,0.06,1.19,0.2,0.04,-104.46,17.96,-10.56
10,-0.45,0.87,-0.68,1.35,0.3,0.11,1.21,-0.21,0,-94.02,14.02,-19.66
10,-0.82,0.95,-0.84,1.47,0.18,0.17,1.2,-0.26,0.23,-74.9,13.83,-29.5
10,-1.18,0.94,-0.86,1.64,0.08,0.25,1.18,-0.04,0.2,-63.27,10.5,-31.37
10,-1.21,1.28,-0.55,1.78,0.21,0.37,1,0.11,0.04,-67.09,11.91,-26.51
10,-1.45,1.64,-0.4,1.71,0.33,0.3,0.88,0.16,-0.18,-74.29,13.21,-21.85
10,-1.53,1.93,-0.32,1.95,0.57,0.45,0.78,0.22,-0.18,-81.04,10.2,-16.55
10,-1.58,1.95,-0.25,2.04,0.66,0.6,0.81,0.24,-0.1,-87.78,6.41,-13.15
10,-1.73,1.47,-0.13,1.87,0.58,0.58,1,0.22,-0.06,-98.13,12.4,-11.83
10,-1.85,1.75,-0.1,1.98,0.7,0.61,1.13,0.02,-0.13,-103.75,21.07,-14.27
10,-1.87,2.12,-0.19,2.05,0.87,0.95,1.05,0.03,-0.05,-104.62,29.38,-14.67
10,-2.07,2.36,-0.01,1.98,0.75,1.32,0.89,0.06,0.12,-100.89,23.08,-8.84
10,-2.25,2.57,0.33,1.84,0.57,1.84,0.96,0.26,0.04,-101.15,24.79,1.67
10,-2.32,2.64,0.25,1.9,0.33,2.05,1.11,0.36,0,-109.56,31.94,9.24
