FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
5,0.54,0.54,2.21,-0.57,0.98,2.62,0.97,0.09,0.04,0.03,22.94,13.32
5,0.35,0.52,1.99,-0.19,0.97,2.92,1.02,0.04,0.03,0.52,16.7,16.82
5,0.18,0.52,1.68,0.15,0.91,3.16,1.07,-0.06,0.04,0.95,17.79,14.79
5,-0.04,0.47,1.38,0.48,0.82,3.29,1.05,-0.06,0.13,7.37,11.46,9.4
5,-0.32,0.38,3.48,0.72,0.73,3.19,1.01,-0.02,0.15,10.66,2.14,6.22
5,-0.59,0.3,3.32,1.04,0.72,3.16,1.04,-0.02,0.18,12.06,-2.26,5.59
5,-0.82,0.23,2.73,1.28,0.64,3.05,1.06,0,0.12,12.97,5.26,1.68
5,-1.02,0.09,2.18,1.52,0.49,2.83,1.21,0.04,0.02,10.38,5.75,0.44
5,-1.09,0.02,1.75,1.66,0.39,2.42,1.15,0.07,0.15,11.59,-3.87,0.9
5,-1.3,0.01,1.22,1.86,0.18,2.05,1.01,0.08,0.23,8,-10.8,3.28
5,-1.39,0.04,0.92,1.81,0.08,1.72,0.78,0.06,0.35,1.85,-18.8,4.84
5,-1.31,0.02,0.74,1.75,0.07,1.54,0.85,0.11,0.32,-2.99,-23.72,5
5,-1.3,0.08,0.6,1.68,0.12,1.34,0.95,-0.03,0.31,1.12,-30.34,3.63
5,-1.18,0.17,0.55,1.62,0.17,1.17,1,0.02,0.18,0.69,-36.18,2.21
5,-1.1,0.2,0.4,1.46,0.14,0.95,1.04,0.02,0.12,3.48,-33.24,1.1
5,-0.9,0.33,0.36,1.32,0.2,0.68,1.06,0.03,0.07,4.77,-34.29,-0.71
5,-0.81,0.29,0.4,1.18,0.14,0.55,1.06,0.05,-0.03,-1.78,-33.03,-0.61
5,-0.75,0.23,0.4,1.03,0.11,0.37,1.06,0.07,-0.07,-7.5,-30.92,-0.06
5,-0.65,0.23,0.11,0.92,0.07,0.24,1.04,0.05,-0.1,-9.81,-26.8,1.52
5,-0.57,0.2,0.05,0.85,0.08,0.21,1.06,0,-0.05,-6.22,-20.1,1.8
5,-0.5,0.08,-0.01,0.73,0.09,0.17,1.03,-0.02,-0.06,-4.1,-16.73,1.04
5,-0.41,0.01,-0.12,0.61,0.05,0.12,1.05,-0.03,-0.1,-4.27,-12.35,1.26
5,-0.35,0.01,-0.16,0.55,-0.02,0.06,1.05,-0.02,-0.11,-4.93,-11.5,1.51
5,-0.23,-0.05,-0.2,0.47,0.01,0.05,1.03,-0.01,-0.09,-5.73,-9.34,2.75
5,-0.13,-0.04,-0.22,0.44,0.08,0.08,1.03,-0.04,-0.09,-4.02,-10.79,4.05
5,-0.08,-0.05,-0.2,0.3,0.08,0.03,1,-0.12,-0.03,1.14,-8.27,2.7
5,0.07,0.04,-0.07,0.32,0.17,0.08,1.03,-0.08,-0.08,4.35,-5.66,-0.53
5,0.12,0.05,0.03,0.17,0.14,0.05,1.02,-0.07,-0.06,7.64,-5.15,-3.38
5,0.29,0.12,0.43,0.09,0.26,0.12,0.99,-0.01,-0.05,6.92,-6.85,-6.93
5,0.39,0.24,0.73,0.04,0.42,0.24,1.01,0.08,-0.25,5.05,-5.53,-6
5,0.42,0.2,1.01,-0.08,0.57,0.28,1.06,0.09,-0.16,-1.04,-5.45,-4.82
5,0.52,0.23,1.13,-0.26,0.54,0.33,1.24,0.01,-0.25,-4.29,6.44,-3.18
5,0.66,0.27,1.25,-0.3,0.61,0.45,1.15,0.01,-0.31,2.73,23.66,-1.63
5,0.7,0.33,1.26,-0.48,0.72,0.67,1.13,0.06,-0.23,-5.37,24.76,-1.91
5,0.82,0.52,1.5,-0.66,0.72,0.79,0.91,0.07,-0.05,-3.82,28.5,1.56
5,0.91,0.69,1.88,-0.6,0.81,0.86,0.99,-0.02,-0.26,3.67,31.52,-1.31
5,0.88,0.85,1.85,-0.69,0.82,1.11,1.13,0.08,-0.26,-8.15,33.66,-4.58
5,0.98,0.89,1.65,-0.81,0.87,1.42,1.03,0.03,-0.3,-12.31,40.11,-6.64
5,0.89,0.81,1.93,-0.94,0.84,1.57,1.05,0.1,-0.23,-12.57,39.4,-7.15
5,0.94,0.81,2.4,-0.91,0.94,1.94,0.89,0.11,0.07,-13.32,23,-5.05
5,0.88,0.67,2.65,-0.79,0.95,2.24,0.97,0.07,0.03,-13.8,23.99,-3.77
