FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
7,-0.26,1.24,0.08,0.35,1.1,0.11,1.04,0.03,0.01,-1.2,1.58,-3.34
7,0.14,1.29,0.45,0.39,1.13,0.15,1.05,0.02,0.01,-1.59,1.36,-2.87
7,-0.01,1.31,0.46,0.39,1.18,0.18,1.05,0,0.03,-1.67,1.4,-2.71
7,0.07,1.31,0.36,0.44,1.21,0.18,1.04,0,0.03,-1.72,1.18,-3.15
7,0.18,1.29,0.31,0.41,1.19,0.14,1.03,0.01,0.05,-0.08,0.82,-2.47
7,-0.01,1.32,0.21,0.42,1.26,0.2,1.04,0.02,0.01,-1.27,1.41,-1.66
7,-0.11,1.32,0.11,0.42,1.26,0.18,1.04,0.02,-0.01,-3.77,1.86,-0.95
7,-0.14,1.28,0.05,0.36,1.24,0.15,1.04,-0.01,0.01,-4.09,1.38,-0.73
7,-0.22,1.29,-0.04,0.42,1.25,0.18,1.02,-0.03,0.02,-2.4,1.31,-0.93
7,-0.32,1.25,-0.09,0.38,1.19,0.15,1.03,-0.01,0.01,-0.84,1.15,-0.8
7,-0.39,1.43,0.03,0.44,1.21,0.18,1.01,0.01,0.02,0.15,0.25,0.02
7,-0.3,1.46,0.12,0.44,1.21,0.18,1.04,0.01,-0.01,0.01,0.73,0.39
7,-0.26,1.4,0.2,0.41,1.18,0.14,1.04,0.02,0.02,-0.06,0.56,0.82
7,-0.19,1.28,0.2,0.42,1.21,0.17,1.03,0,0.04,1.5,0.9,0.85
7,-0.3,1.19,0.02,0.38,1.16,0.14,1.05,-0.01,0.04,2.27,-0.21,0.56
7,-0.26,1.19,0.09,0.41,1.18,0.15,1.04,0,0.02,2.66,-1.16,0.08
7,-0.16,1.25,0.34,0.41,1.18,0.18,1.04,0.02,0.02,3.11,-0.69,0.53
7,-0.07,1.24,0.33,0.38,1.13,0.14,1.03,0.03,0.01,2.69,0.38,1.49
7,-0.05,1.25,0.21,0.44,1.18,0.18,1.02,0,0.01,2.17,1.4,2.73
7,-0.35,1.19,0.08,0.39,1.13,0.14,1.03,0,0.03,1.86,1.76,3.56
7,-0.59,1.21,-0.03,0.41,1.18,0.2,1.03,-0.01,0.02,1.39,1.95,4.15
7,-0.81,1.1,-0.31,0.42,1.19,0.17,1.04,-0.01,0.04,1.5,1.03,3.9
7,-0.6,0.91,-0.31,0.41,1.16,0.14,1.05,0,0.04,2.02,-0.23,3.75
