FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
6,-0.35,-0.72,0.34,0.2,-0.84,0.42,1.06,0.02,-0.01,-5.09,-1.38,2.22
6,-0.33,-0.7,0.4,0.23,-0.82,0.46,1.05,0.01,0.01,-4.08,-0.64,2.94
6,-0.41,-0.75,0.4,0.24,-0.82,0.49,1.06,0,0,-3.16,0.21,4.31
6,-0.45,-0.69,0.45,0.36,-0.78,0.52,1.05,-0.01,0.03,-1.98,0.87,5.34
6,-0.48,-0.7,0.39,0.26,-0.81,0.49,1.04,-0.01,0.02,-0.71,0.93,5.81
6,-0.28,-0.68,0.36,0.23,-0.79,0.46,1.04,-0.02,0,-0.43,1.09,5.37
6,-0.26,-0.66,0.39,0.3,-0.76,0.48,1.03,-0.01,0.02,-0.09,1.28,4.99
6,-0.32,-0.69,0.36,0.32,-0.82,0.43,1.04,-0.01,0.02,0.09,0.96,4.47
6,-0.33,-0.68,0.34,0.29,-0.75,0.54,1.04,-0.02,0.01,-0.17,0.44,4.05
6,-0.05,-0.69,0.39,0.14,-0.65,0.62,1.03,-0.04,0.02,1.14,-0.23,4
6,0.23,-0.82,0.34,-0.17,-0.76,0.54,1.04,-0.04,0.07,5.45,-2.24,3.98
6,0.24,-0.69,0.57,-0.33,-0.78,0.68,1.05,-0.02,0,4.34,-0.92,4.59
6,0.08,-0.54,0.76,-0.33,-0.53,0.97,1,-0.01,0.07,9.08,-4.18,6.31
6,-0.36,-0.39,0.76,-0.14,-0.41,0.88,0.97,-0.03,0.15,10.83,-9.03,5.78
6,-1.1,-0.39,0.58,0.97,-0.28,0.67,0.99,-0.02,0.09,8.25,-14.15,4.08
6,-2.22,-0.56,-0.23,1.87,-0.36,0.61,0.97,-0.01,0,4.89,-15.03,2.8
6,-2.44,-1.08,-1.43,2.86,-0.65,0.52,1.03,-0.01,-0.05,3.29,-12.6,2.97
6,0.42,-1.16,-2.59,2.14,-1.1,-1.17,1.11,-0.06,0.01,7.69,-12.39,2.92
6,3.81,-0.42,-1.98,-1.56,-1.25,-3.43,1.11,-0.07,-0.01,10.52,-12.37,0.78
6,5.38,0.11,1.66,-4.9,0.01,1.19,1.09,-0.01,-0.13,1.68,-8,-1.61
6,2.14,1.12,3.26,-2.63,1.32,3.54,1.14,0,-0.34,-6.95,5.55,-0.66
6,-0.5,0.94,2.88,1.49,0.52,2.24,1.19,-0.05,-0.46,3.45,20.69,3.2
6,-0.44,0.33,2.12,2.6,-0.38,1.54,1.09,-0.05,-0.15,23.87,17.66,4.88
6,0.3,-0.29,1.47,0.45,-0.63,1.02,1,0.02,0.22,27.44,8.7,3.89
6,0.23,-0.7,1.05,0.57,-0.87,0.71,0.89,0.06,0.25,9.58,-2.89,2.04
6,-0.14,-0.76,0.83,0.51,-0.79,0.57,1,-0.01,-0.03,1.68,-1.9,2.18
6,-0.11,-0.68,0.61,0.64,-0.93,0.17,1.04,0.01,-0.01,3.4,-2.79,1.73
6,0.07,-0.65,0.31,0.17,-0.87,-0.01,1.08,-0.04,0.03,8.27,0.16,1.85
6,0.29,-0.63,0.05,0.2,-0.73,0.06,1.03,0.02,0.04,4.8,-0.09,2.51
6,0.47,-0.66,-0.06,0.04,-0.62,0.09,1.03,0.04,0.04,-2.02,-1.97,2.37
6,0.29,-0.72,-0.31,-0.17,-0.66,-0.04,1.04,0.01,0.01,-5.99,-2.69,1.23
6,0.32,-0.73,-0.32,-0.42,-0.62,-0.09,1.03,0,0.02,-6.63,-4.41,-0.37
6,0.3,-0.75,-0.4,-0.28,-0.63,-0.01,0.99,-0.03,0.03,-6.31,-3.86,-0.83
6,0.17,-0.73,-0.4,-0.1,-0.65,0,0.97,-0.05,0,-7.21,-3.79,-1.13
6,-0.13,-0.6,-0.01,-0.02,-0.69,0.09,1,-0.04,0,-3.07,-2.77,-1.15
6,-0.36,-0.5,0.34,-0.04,-0.81,-0.06,1.02,-0.01,0,-2.66,-1.31,-0.47
6,-0.2,-0.48,0.46,0.01,-1.05,-0.06,1.04,0.01,0.01,-3.46,-1.44,0.73
6,0.05,-0.48,0.42,0.11,-1.1,0.15,1.05,0.04,0,-4.21,-0.86,1.62
6,0.07,-0.57,0.4,0.26,-0.5,0.55,1.1,0,0,-5.25,-2.74,0.85
6,0.21,-0.51,0.45,0.41,-0.44,0.95,1.07,-0.02,-0.03,-5.22,-1.9,0.02
6,0.14,-0.36,0.49,0.38,-0.47,0.91,1.05,-0.05,0,0.27,-1.37,-0.02
6,-0.42,-0.17,0.62,0.39,-0.56,0.67,1.03,-0.02,0,6.11,-1.63,-0.24
6,-1.1,-0.05,0.83,0.67,-0.63,0.68,1.03,-0.03,-0.02,1.64,-1.21,-1.28
