FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
9,-0.11,1.24,0.03,0.38,1.16,0.11,1.04,-0.04,0.06,-0.15,1.12,1.58
9,-0.11,1.24,0.03,0.38,1.15,0.11,1.03,-0.05,0.1,-3.03,0.57,1.62
9,-0.04,1.32,0.08,0.44,1.22,0.17,1.04,-0.07,0.09,-4.92,1.08,1.06
9,-0.05,1.31,0.12,0.44,1.21,0.15,1.04,-0.07,0.11,-4.93,0.39,0.41
9,-0.07,1.32,0.12,0.48,1.28,0.22,1.04,-0.06,0.1,-4.08,-0.53,0.21
9,-0.05,1.29,0.12,0.44,1.21,0.18,1.04,-0.07,0.08,-4.01,-0.73,0.15
9,-0.02,1.34,0.12,0.44,1.24,0.2,1.03,-0.07,0.09,-4.5,-0.21,0.44
9,-0.02,1.31,0.12,0.45,1.25,0.21,1.05,-0.07,0.09,-4.62,0.44,0.31
9,0.02,1.38,0.17,0.48,1.24,0.22,1.04,-0.08,0.09,-4.4,0.52,-0.15
9,-0.04,1.34,0.12,0.42,1.21,0.18,1.04,-0.07,0.09,-3.99,0.16,-0.69
9,-0.02,1.34,0.12,0.44,1.26,0.22,1.04,-0.07,0.09,-3.77,-0.31,-1.08
9,-0.05,1.34,0.12,0.44,1.25,0.2,1.05,-0.07,0.08,-4.31,-0.4,-1
9,-0.04,1.31,0.12,0.41,1.22,0.2,1.05,-0.07,0.08,-3.73,-0.37,-0.48
9,0.02,1.41,0.15,0.45,1.25,0.22,1.04,-0.07,0.08,-3.18,-0.26,-0.23
9,-0.01,1.35,0.14,0.44,1.24,0.22,1.05,-0.07,0.08,-2.68,0.38,-0.16
9,-0.04,1.32,0.12,0.42,1.22,0.18,1.04,-0.08,0.09,-1.78,0.59,-0.53
9,-0.04,1.28,0.09,0.42,1.22,0.18,1.04,-0.08,0.08,-0.85,0.89,-0.68
9,0.02,1.37,0.17,0.45,1.24,0.2,1.03,-0.06,0.09,-0.69,0.47,-0.81
9,-0.02,1.28,0.08,0.42,1.24,0.21,1.03,-0.08,0.08,-0.34,0.08,-0.6
9,-0.02,1.29,0.09,0.39,1.19,0.17,1.04,-0.08,0.08,0.58,0.56,-0.59
9,0.04,1.35,0.14,0.44,1.25,0.21,1.04,-0.07,0.07,1.54,0.7,-0.32
9,-0.02,1.28,0.09,0.39,1.19,0.18,1.04,-0.07,0.09,2.19,1.02,0.03
