FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
2,-0.2,-0.05,0.37,0.26,-0.05,0.52,0.51,-0.22,-0.52,-39.59,-3.19,8.02
2,-0.13,-0.17,0.31,0.17,-0.14,0.49,0.14,-0.23,-0.53,-21.82,39.67,8.04
2,-0.13,-0.17,0.27,-0.08,-0.07,0.45,-0.08,-0.2,-0.12,-9.04,92.61,1.22
2,0.07,-0.16,0.2,0.11,-0.11,0.3,-0.23,-0.06,0.42,-9.94,107.86,-8.95
2,-0.11,-0.1,0.14,0.2,-0.04,0.15,-0.28,0.05,0.61,-16.07,83.24,-14.41
2,-0.07,0.07,0.11,0.21,0.15,0.06,-0.35,0.07,0.46,-25.36,44.67,-13.06
2,-0.13,0.15,0.11,0.21,0.3,0,-0.31,0.03,0.24,-28.23,17.09,-8.18
2,-0.1,0.21,0.11,0.2,0.36,0,-0.09,-0.14,0.12,-20.18,-3.19,-2.78
2,-0.07,0.24,0.22,0.27,0.38,0.15,0.07,-0.16,0.1,-11.23,-12.33,-3.05
2,-0.05,0.21,0.36,0.3,0.36,0.33,0.16,-0.06,-0.02,-8.21,-13.41,-4.74
2,0.02,0.24,0.37,0.15,0.2,0.27,0.17,0,-0.04,-7.08,-2.88,-4.66
2,0.01,0.21,0.34,0.09,0.18,0.22,0.19,0.01,-0.01,-7.26,8.47,-2.58
2,0.07,0.14,0.22,0.07,0.17,0.15,0.13,0,0.07,-9.79,14.69,0.19
2,0.08,0.11,0.09,0.12,0.18,0.12,0.04,-0.02,0.15,-12.46,15.63,1.33
2,-0.02,0.11,0.02,0.15,0.24,0.17,-0.03,-0.03,0.21,-11.61,13.74,-0.15
2,-0.02,0.3,-0.03,0.15,0.45,0.18,0.2,-0.08,0.01,-9.03,17.41,-4.05
2,-0.14,0.66,-0.12,0.23,0.95,0.03,1.21,-0.21,-0.06,13.27,66.44,-8.17
2,-0.23,1.34,-0.2,0.41,1.78,-0.04,2,-0.15,1.44,28.91,3,-6.53
2,-0.3,2.24,-0.23,0.63,2.88,-0.1,2,-0.22,0.2,20.32,23.8,-5.95
2,-0.59,3.12,-0.22,0.66,3.66,-0.35,2,0.36,0.95,17.64,57.03,-2.05
2,-1,4.29,-0.22,0.79,4.52,-0.31,2,0.22,1.04,-14.27,24.78,-1.49
2,-0.51,4.05,-0.37,0.87,3.68,-0.13,2,-0.15,1.02,-16.4,-29.59,-6.33
2,-0.17,3.13,-0.26,0.64,3.21,-0.03,2,0.07,0.73,-8.61,-86.39,-7.77
2,-0.02,3.15,-0.32,0.55,3.13,-0.1,2,0.21,0.51,-18.01,-69.5,-6.75
2,-0.08,3.37,-0.37,0.82,3.18,-0.12,2,0.11,0.39,-26.66,-53.34,-11.99
2,-0.16,3.01,-0.25,0.94,3,0.03,2,0.1,0.38,-28.94,-65.59,-14.37
2,-0.19,2.46,-0.09,0.85,2.46,0.22,2,0.09,0.24,-27.43,-65.84,-10.66
2,-0.14,1.71,0.3,0.73,1.71,0.33,1.74,0.09,0.13,-23.38,-39.19,-7.5
2,-0.05,1.13,0.65,0.51,1.03,0.34,1.01,0.07,0.12,-30.64,-23.93,0.69
2,-0.02,0.6,0.6,0.26,0.63,0.36,0.33,0.08,0.27,-34.23,-40.38,6.42
2,0.09,0.08,0.46,0.09,0.24,0.37,0.18,-0.1,0.07,-31.21,-18.71,11.2
2,0.21,-0.17,0.37,0.05,-0.04,0.4,-0.13,-0.1,0,-25.27,-9.42,11.47
2,0.18,-0.26,0.2,0.01,-0.17,0.36,-0.33,-0.12,-0.06,-13.61,-0.47,8.11
2,0.18,-0.19,0.21,0.08,-0.14,0.33,-0.28,-0.14,-0.11,-6.17,27.9,3.85
2,0.21,-0.16,0.11,0.05,-0.08,0.27,-0.04,-0.05,0.12,-5.72,50.94,0.15
2,0.2,-0.07,0.12,-0.01,0.02,0.22,0.04,0.01,0.37,-6.66,46.19,-1.02
2,0.04,0.17,0.18,0.04,0.17,0.18,-0.01,0.07,0.26,-13.65,24.52,-0.34
2,0.04,0.36,0.25,0.09,0.33,0.22,-0.04,0.03,0.13,-20.27,12.35,1.05
2,0.07,0.36,0.18,0.05,0.35,0.18,0,-0.06,0.08,-20.98,5.37,0.05
2,0.15,0.33,0.15,0.07,0.39,0.2,0.07,-0.11,0.06,-17.03,-1.75,-3.1
2,0.11,0.32,0.14,0.07,0.39,0.18,0.1,-0.09,0.04,-13.89,-5.15,-5.73
2,0.05,0.29,0.12,0.02,0.33,0.12,0.09,-0.06,0.03,-11.77,-6.78,-6.69
2,0.02,0.3,0.12,-0.01,0.3,0.12,0.07,-0.02,0.01,-10.92,-7.63,-6.27
2,-0.07,0.26,0.09,-0.01,0.26,0.06,0.08,0,-0.03,-9.82,-7.04,-4.79
2,-0.07,0.32,0.11,0.07,0.3,0.14,0.09,-0.02,-0.03,-9.15,-2.76,-2.15
2,-0.1,0.26,0.05,0.05,0.29,0.14,0.11,-0.03,0.09,-8.48,5.82,-0.6
2,-0.02,0.47,0.05,0.11,0.49,0.15,0.43,-0.06,-0.09,-6.2,18.79,-0.73
2,-0.07,0.81,-0.06,0.23,0.94,0,1.22,-0.16,0.17,21.59,38.05,-3.89
2,-0.32,2.01,-0.12,0.63,2.42,-0.06,2,0.26,0.8,15.82,34.77,-3.45
2,-0.35,2.89,-0.22,0.81,3.53,-0.31,2,0.13,0.32,11.92,94.99,-6.12
2,-0.48,3.29,-0.2,0.79,4.29,-0.49,2,0.33,0.93,-2.95,56.29,1.67
2,-0.5,3.41,-0.28,0.79,3.63,-0.18,2,-0.19,1.14,-6.65,-4.82,5.34
2,-0.1,2.83,-0.04,0.57,3.1,-0.09,2,-0.03,0.83,6.84,-72.64,10.51
2,0.14,3.09,-0.03,0.52,3.21,-0.18,2,0.08,0.45,6.59,-77.31,11.27
2,0.01,3.03,-0.13,0.78,3.25,-0.12,2,0.14,0.32,-4.84,-59.98,5.57
2,-0.33,2.78,-0.16,0.92,2.86,0.22,2,0.08,0.28,-13.49,-63.5,5.57
2,-0.38,2.41,0.02,0.95,2.29,0.43,1.92,-0.04,0.18,-8.58,-77.61,11.7
2,-0.53,1.78,0.43,0.85,1.53,0.4,1.65,0.03,-0.05,-9.07,-66.31,15.52
2,-0.42,1.34,0.64,0.66,0.89,0.31,1.21,0.05,-0.06,-21.16,-49.87,15.48
2,-0.39,0.89,0.55,0.57,0.48,0.4,0.72,0,0.08,-34.39,-39.91,14.23
2,-0.23,0.24,0.4,0.39,-0.02,0.52,0.26,-0.01,-0.2,-30.46,-22.53,8.34
2,-0.19,-0.01,0.3,0.14,-0.17,0.46,0.06,-0.14,-0.16,-30.88,1.31,-1.45
2,-0.11,-0.11,0.22,0.01,-0.14,0.28,-0.03,-0.12,-0.31,-20.34,43.32,-8.65
2,0.35,-0.11,0.21,-0.1,-0.11,0.09,-0.14,-0.07,0.01,-13.64,79.85,-11.47
2,0.24,-0.05,0.21,-0.16,0.02,-0.06,-0.17,0.03,0.38,-19.27,77.36,-13.21
2,0.23,0.05,0.22,-0.11,0.15,-0.07,-0.21,0,0.45,-22.17,51.55,-10.69
2,0.14,0.15,0.27,0.02,0.27,-0.03,-0.19,-0.13,0.36,-19.73,29.92,-7.12
2,-0.16,0.27,0.33,0.14,0.35,0.08,-0.11,-0.23,0.21,-8.29,14.1,-6.69
2,-0.2,0.36,0.36,0.15,0.35,0.2,0.01,-0.17,0.09,2.2,3.68,-9.15
2,-0.1,0.35,0.3,0.18,0.24,0.15,0.11,0,-0.01,3.05,1.75,-9.69
2,0.01,0.32,0.25,0.09,0.2,0.14,0.16,0.04,-0.04,-0.67,6.25,-8.82
