FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
7,-0.14,1.21,0.06,0.36,1.12,0.18,1.02,0,0.17,-1.17,4.86,-1.66
7,-0.1,1.25,0.09,0.39,1.13,0.22,1.02,-0.01,0.17,-1.24,4.27,-1.83
7,-0.1,1.24,0.09,0.39,1.13,0.22,1.03,-0.01,0.18,-0.63,3.62,-1.58
7,-0.07,1.28,0.14,0.44,1.18,0.25,1.02,-0.01,0.19,-0.25,3.28,-1.72
7,-0.1,1.22,0.09,0.39,1.13,0.22,1.02,0,0.19,0.34,2.56,-1.58
7,-0.05,1.26,0.12,0.42,1.18,0.27,1.02,0.01,0.19,0.43,2.11,-1.63
7,-0.07,1.26,0.12,0.42,1.18,0.27,1.02,0.01,0.18,0.44,1.52,-1.55
7,-0.1,1.22,0.09,0.39,1.13,0.24,1.02,0.02,0.19,0.27,1.51,-1.53
7,-0.07,1.28,0.15,0.45,1.19,0.28,1.02,0.02,0.17,-0.72,1.88,-1.05
7,-0.1,1.24,0.09,0.39,1.15,0.24,1.03,0.02,0.17,-1.83,2.1,-0.56
7,-0.05,1.26,0.11,0.44,1.21,0.3,1.03,0.01,0.15,-3.22,2.09,-0.4
7,-0.08,1.26,0.12,0.42,1.18,0.25,1.03,0,0.17,-4.38,2.94,0.19
7,-0.11,1.22,0.09,0.39,1.15,0.22,1.03,-0.02,0.17,-5.36,4.89,0.85
7,-0.08,1.26,0.15,0.44,1.19,0.24,1.05,-0.03,0.18,-5.18,6.16,1.02
7,-0.1,1.24,0.09,0.39,1.15,0.2,1.04,-0.04,0.19,-4.02,7.3,0.76
7,-0.04,1.32,0.15,0.48,1.22,0.24,1.04,-0.04,0.2,-2.94,8,0.16
7,-0.05,1.29,0.12,0.44,1.18,0.22,1.02,-0.04,0.17,-1.42,8.07,-0.47
7,-0.07,1.24,0.09,0.39,1.1,0.2,1,-0.05,0.17,0.87,8.82,-1.05
7,-0.01,1.25,0.14,0.42,1.1,0.22,0.99,-0.04,0.17,3.4,10.32,-2.05
